uvjete	uvjet	Ncmpa
poreza	porez	Ncmsg
na	na	Sa
dohodak	dohodak	Ncmsan
po	po	Sl
godišnjoj	godišnji	Agpfsly
prijavi	prijava	Ncfsl
obveznicima	obveznik	Ncmpi
na	na	Sl
njihovu	njihov	Ps3nsl
području	područje	Ncnsl
u	u	Sl
2015.	2015.	Mdo
godini	godina	Ncfsl
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Jedinicama	jedinica	Ncfpl
lokalne	lokalan	Agpfsgy
samouprave	samouprava	Ncfsg
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
isplaćivat	isplaćivati	Vmn
će	htjeti	Var3s
se	sebe	Px--sa
pomoć	pomoć	Ncfsn
u	u	Sl
visini	visina	Ncfsl
ostvarenog	ostvariti	Agpmsgy
poreza	porez	Ncmsg
na	na	Sa
dobit	dobit	Ncfsa
na	na	Sl
njihovu	njihov	Ps3nsl
području	područje	Ncnsl
u	u	Sl
godini	godina	Ncfsl
koja	koji	Pi-fsn
prethodi	prethoditi	Vmr3s
godini	godina	Ncfsd
izrade	izrada	Ncfsg
proračuna	proračun	Ncmsg
ako	ako	Cs
su	biti	Var3p
i	i	Qo
u	u	Sl
2014.	2014.	Mdo
godini	godina	Ncfsl
ostvarivali	ostvarivati	Vmp-pm
pravo	pravo	Ncnsa
na	na	Sa
tu	taj	Pd-fsa
pomoć	pomoć	Ncfsa
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Jedinicama	jedinica	Ncfpl
lokalne	lokalan	Agpfsgy
samouprave	samouprava	Ncfsg
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
isplaćivat	isplaćivati	Vmn
će	htjeti	Var3s
se	sebe	Px--sa
pomoć	pomoć	Ncfsn
u	u	Sl
visini	visina	Ncfsl
50	50	Mdc
posto	posto	Rgp
ostvarenog	ostvariti	Appmsgy
poreza	porez	Ncmsg
na	na	Sa
dobit	dobit	Ncfsa
na	na	Sl
njihovu	njihov	Ps3nsl
području	područje	Ncnsl
u	u	Sl
godini	godina	Ncfsl
koja	koji	Pi-fsn
prethodi	prethoditi	Vmr3s
godini	godina	Ncfsd
izrade	izrada	Ncfsg
proračuna	proračun	Ncmsg
ako	ako	Cs
u	u	Sl
2014.	2014.	Mdo
godini	godina	Ncfsl
nisu	biti	Var3p
ostvarivali	ostvarivati	Vmp-pm
pravo	pravo	Ncnsa
na	na	Sa
tu	taj	Pd-fsa
pomoć	pomoć	Ncfsa
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Jedinicama	jedinica	Ncfpl
lokalne	lokalan	Agpfsgy
samouprave	samouprava	Ncfsg
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
isplaćivat	isplaćivati	Vmn
će	htjeti	Var3s
se	sebe	Px--sa
pomoć	pomoć	Ncfsn
u	u	Sl
visini	visina	Ncfsl
pomoći	pomoći	Vmn
planiranih	planiran	Agpmpgy
na	na	Sl
razdjelu	razdjel	Ncmsl
025	025	Mdc
–	–	Z
MINISTARSTVO	ministarstvo	Ncnsn
FINANCIJA	financije	Ncfpg
u	u	Sl
Državnom	državni	Agpmsly
proračunu	proračun	Ncmsl
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
za	za	Sa
2014.	2014.	Mdo
godinu	godina	Ncfsa
i	i	Cc
projekcijama	projekcija	Ncfpi
za	za	Sa
2015.	2015.	Mdo
i	i	Cc
2016.	2016.	Mdo
godinu	godina	Ncfsa
i	i	Cc
to	to	Qo
samo	samo	Rgp
onim	onaj	Pd-fpd
jedinicama	jedinica	Ncfpd
koje	koji	Pi-fpn
su	biti	Var3p
u	u	Sl
2014.	2014.	Mdo
godini	godina	Ncfsl
ostvarivale	ostvarivati	Vmp-pf
pravo	pravo	Ncnsa
na	na	Sa
tu	taj	Pd-fsa
pomoć	pomoć	Ncfsa
.	.	Z

(	(	Z
6	6	Mdc
)	)	Z
Jedinicama	jedinica	Ncfpl
lokalne	lokalan	Agpfsgy
samouprave	samouprava	Ncfsg
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
isplaćivat	isplaćivati	Vmn
će	htjeti	Var3s
se	sebe	Px--sa
dodatna	dodatan	Agpfsny
pomoć	pomoć	Ncfsn
u	u	Sl
iznosu	iznos	Ncmsl
od	od	Sg
84.001.436,00	84.001.436,00	Mdc
kuna	kuna	Ncfpg
.	.	Z

Pomoć	pomoć	Ncfsn
jedinici	jedinica	Ncfsd
lokalne	lokalan	Agpfsgy
samouprave	samouprava	Ncfsg
iz	iz	Sg
ovoga	ovaj	Pd-msg
stavka	stavak	Ncmsg
dodjeljuje	dodjeljivati	Vmr3s
se	sebe	Px--sa
obrnuto	obrnuti	Rgp
proporcionalno	proporcionalno	Rgp
njezinu	njezin	Ps3fsa
indeksu	indeks	Ncmsl
razvijenosti	razvijenost	Ncfsg
.	.	Z

(	(	Z
7	7	Mdc
)	)	Z
Jedinice	jedinica	Ncfsg
lokalne	lokalan	Agpfsgy
samouprave	samouprava	Ncfsg
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
mogu	moći	Vmr3p
koristiti	koristiti	Vmn
pomoći	pomoći	Vmn
iz	iz	Sg
stavaka	stavak	Ncmpg
3.	3.	Mdo
4.	4.	Mdo
,	,	Z
5.	5.	Mdo
i	i	Cc
6.	6.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
samo	samo	Rgp
za	za	Sa
financiranje	financiranje	Ncnsa
Materijalnih	materijalan	Agpmpgy
rashoda	rashod	Ncmpg
(	(	Z
skupina	skupina	Ncfsn
32	32	Mdc
Računskog	računski	Agpmsgy
plana	plan	Ncmsg
proračuna	proračun	Ncmsg
)	)	Z
i	i	Cc
Rashoda	rashod	Ncmpg
za	za	Sa
nabavu	nabava	Ncfsa
nefinancijske	nefinancijski	Agpfsgy
imovine	imovina	Ncfsg
(	(	Z
razred	razred	Ncmsn
4	4	Mdc
Računskog	računski	Agpmsgy
plana	plan	Ncmsg
proračuna	proračun	Ncmsg
,	,	Z
osim	osim	Cs
za	za	Sa
nabavu	nabava	Ncfsa
osobnih	osoban	Agpmpgy
automobila	automobil	Ncmpg
–	–	Z
osnovni	osnovan	Agpmsny
račun	račun	Ncmsn
42311	42311	Mdc
Osobni	osoban	Agpmpny
automobili	automobil	Ncmpn
)	)	Z
.	.	Z

Članak	članak	Ncmsn
39.	39.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Jedinicama	jedinica	Ncfpl
lokalne	lokalan	Agpfsgy
samouprave	samouprava	Ncfsg
sa	sa	Si
statusom	status	Ncmsi
područja	područje	Ncnsg
posebne	poseban	Agpfsgy
državne	državni	Agpfsgy
skrbi	skrb	Ncfsg
(	(	Z
u	u	Sl
cijelosti	cijelost	Ncfsl
)	)	Z
,	,	Z
a	a	Cc
koje	koji	Pi-fpn
su	biti	Var3p
,	,	Z
temeljem	temelj	Ncmsi
Odluke	odluka	Ncfsg
iz	iz	Sg
članka	članak	Ncmsg
38.	38.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
,	,	Z
razvrstane	razvrstati	Appfpny
u	u	Sl
III	III	Ncfsl
.	.	Z
,	,	Z
IV	IV	Mrc
.	.	Z
ili	ili	Cc
V.	V.	Sa
skupinu	skupina	Ncfsa
jedinica	jedinica	Ncfpg
lokalne	lokalan	Agpfsgy
samouprave	samouprava	Ncfsg
čija	čiji	Pi-fsn
vrijednost	vrijednost	Ncfsn
indeksa	indeks	Ncmsg
razvijenosti	razvijenost	Ncfsg
prelazi	prelaziti	Vmr3s
75	75	Mdc
posto	posto	Rgp
prosjeka	prosjeka	Ncfpg
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
isplaćivat	isplaćivati	Vmn
će	htjeti	Var3s
se	sebe	Px--sa
pomoć	pomoć	Ncfsn
iz	iz	Sg
razdjela	razdjel	Ncmsg
025	025	Mdc
–	–	Z
MINISTARSTVO	ministarstvo	Ncnsn
FINANCIJA	financije	Ncfpg
,	,	Z
i	i	Cc
to	to	Qo
:	:	Z

–		Agpfpiy
jedinicama	jedinica	Ncfpi
lokalne	lokalan	Agpfsgy
samouprave	samouprava	Ncfsg
čija	čiji	Pi-fsn
je	biti	Var3s
vrijednost	vrijednost	Ncfsn
indeksa	indeks	Ncmsg
razvijenosti	razvijenost	Ncfsg
između	između	Sg
75,01	75,01	Mdc
posto	posto	Rgp
i	i	Cc
100	100	Mdc
posto	posto	Rgp
prosjeka	prosjeka	Ncfpg
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
isplaćivat	isplaćivati	Vmn
će	htjeti	Var3s
se	sebe	Px--sa
pomoć	pomoć	Ncfsn
u	u	Sl
iznosu	iznos	Ncmsl
od	od	Sg
45	45	Mdc
posto	posto	Rgp
prihoda	prihod	Ncmpg
iz	iz	Sg
stavka	stavak	Ncmsg
2.	2.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg

–		Agpfpiy
jedinicama	jedinica	Ncfpi
lokalne	lokalan	Agpfsgy
samouprave	samouprava	Ncfsg
čija	čiji	Pi-fsn
je	biti	Var3s
vrijednost	vrijednost	Ncfsn
indeksa	indeks	Ncmsg
razvijenosti	razvijenost	Ncfsg
između	između	Sg
100,01	100,01	Mdc
posto	posto	Rgp
i	i	Cc
125	125	Mdc
posto	posto	Rgp
prosjeka	prosjeka	Ncfpg
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
isplaćivat	isplaćivati	Vmn
će	htjeti	Var3s
se	sebe	Px--sa
pomoć	pomoć	Ncfsn
u	u	Sl
iznosu	iznos	Ncmsl
od	od	Sg
25	25	Mdc
posto	posto	Rgp
prihoda	prihod	Ncmpg
iz	iz	Sg
stavka	stavak	Ncmsg
2.	2.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg

–		Agpfpiy
jedinicama	jedinica	Ncfpi
lokalne	lokalan	Agpfsgy
samouprave	samouprava	Ncfsg
čija	čiji	Pi-fsn
je	biti	Var3s
vrijednost	vrijednost	Ncfsn
indeksa	indeks	Ncmsg

