uključujući	uključivati	Rr
dopuštena	dopustiti	Appfsny
žalba	žalba	Ncfsn
,	,	Z
ali	ali	Cc
se	sebe	Px--sa
može	moći	Vmr3s
podnijeti	podnijeti	Vmn
tužba	tužba	Ncfsn
upravnom	upravan	Agpmsdy
sudu	sud	Ncmsd
sukladno	sukladno	Rgp
članku	članak	Ncmsd
51.	51.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
osam	osam	Mlc
dana	dan	Ncmpg
od	od	Sg
dana	dan	Ncmsg
dostave	dostava	Ncfsg
odluke	odluka	Ncfsg
.	.	Z

(	(	Z
8	8	Mdc
)	)	Z
Vlada	vlada	Ncfsn
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
,	,	Z
na	na	Sa
prijedlog	prijedlog	Ncmsan
ministra	ministar	Ncmsg
unutarnjih	unutarnji	Agpmpgy
poslova	posao	Ncmpg
,	,	Z
odredit	odrediti	Vmn
će	htjeti	Var3s
pravnu	pravni	Agpfsay
osobu	osoba	Ncfsa
u	u	Sl
državnom	državni	Agpnsly
vlasništvu	vlasništvo	Ncnsl
koja	koji	Pi-fsn
će	htjeti	Var3s
pružati	pružati	Vmn
usluge	usluga	Ncfpa
zaštite	zaštita	Ncfsg
osoba	osoba	Ncfpg
i	i	Cc
imovine	imovina	Ncfsg
u	u	Sl
Prihvatilištu	prihvatilište	Ncnsl
.	.	Z

Zdravstvena	zdravstven	Agpfsny
zaštita	zaštita	Ncfsn

Članak	članak	Ncmsn
57.	57.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Zdravstvena	zdravstven	Agpfsny
zaštita	zaštita	Ncfsn
tražitelja	tražitelj	Ncmpg
obuhvaća	obuhvaćati	Vmr3s
hitnu	hitan	Agpfsay
medicinsku	medicinski	Agpfsay
pomoć	pomoć	Ncfsa
i	i	Cc
prijeko	prijek	Agpnsny
potrebno	potreban	Agpnsny
liječenje	liječenje	Ncnsn
bolesti	bolest	Ncfsg
i	i	Cc
ozbiljnih	ozbiljan	Agpmpgy
mentalnih	mentalan	Agpmpgy
poremećaja	poremećaj	Ncmpg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Tražitelju	tražitelj	Ncmsl
kojem	koji	Pi-msd
su	biti	Var3p
potrebna	potreban	Agpfsny
posebna	poseban	Agpfsny
prihvatna	prihvatni	Agpfsny
i	i	Cc
/	/	Z
ili	ili	Cc
postupovna	postupovni	Agpnpay
jamstva	jamstvo	Ncnpa
,	,	Z
osobito	osobito	Rgp
žrtvama	žrtva	Ncfpd
mučenja	mučenje	Ncnsg
,	,	Z
silovanja	silovanje	Ncnsg
ili	ili	Cc
drugih	drugi	Mlompg
teških	težak	Agpmpgy
oblika	oblik	Ncmpg
psihološkog	psihološki	Agpnsgy
,	,	Z
fizičkog	fizički	Agpmsgy
ili	ili	Cc
spolnog	spolan	Agpnsgy
nasilja	nasilje	Ncnsg
,	,	Z
pružit	pružiti	Vmn
će	htjeti	Var3s
se	sebe	Px--sa
odgovarajuća	odgovarajući	Agpfsny
zdravstvena	zdravstven	Agpfsny
zaštita	zaštita	Ncfsn
vezano	vezano	Rgp
uz	uz	Sa
specifično	specifičan	Agpnsay
stanje	stanje	Ncnsa
,	,	Z
odnosno	odnosno	Rgp
posljedice	posljedica	Ncfpn
prouzročene	prouzročiti	Appfpny
navedenim	naveden	Agpnpiy
djelima	djelo	Ncnpi
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Ministarstvo	ministarstvo	Ncnsn
nadležno	nadležan	Agpnsny
za	za	Sa
zdravlje	zdravlje	Ncnsa
dužno	dužan	Agpnsny
je	biti	Var3s
osigurati	osigurati	Vmn
zdravstveni	zdravstven	Agpmsayn
pregled	pregled	Ncmsan
iz	iz	Sg
članka	članak	Ncmsg
52.	52.	Mdo
stavka	stavak	Ncmsg
3.	3.	Mdo
točke	točka	Ncfsg
4.	4.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
te	te	Cc
zdravstvenu	zdravstven	Agpfsay
zaštitu	zaštita	Ncfsa
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
i	i	Cc
2.	2.	Mdo
ovoga	ovaj	Pd-nsg
članka	članak	Ncmsg
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Troškove	trošak	Ncmpa
zdravstvene	zdravstven	Agpfsgy
zaštite	zaštita	Ncfsg
iz	iz	Sg
stavaka	stavak	Ncmpg
1.	1.	Mdo
i	i	Cc
2.	2.	Mdo
ovoga	ovaj	Pd-nsg
članka	članak	Ncmsg
i	i	Cc
zdravstvenog	zdravstven	Agpmsgy
pregleda	pregled	Ncmsg
iz	iz	Sg
članka	članak	Ncmsg
52.	52.	Mdo
stavka	stavak	Ncmsg
3.	3.	Mdo
točke	točka	Ncfsg
4.	4.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
snosi	snositi	Vmr3s
ministarstvo	ministarstvo	Ncnsa
nadležno	nadležan	Agpnsay
za	za	Sa
poslove	posao	Ncmpa
zdravlja	zdravlje	Ncnsg
.	.	Z

Obrazovanje	obrazovanje	Ncnsn

Članak	članak	Ncmsn
58.	58.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Pravo	pravo	Ncnsn
na	na	Sa
osnovno	osnovan	Agpnsay
i	i	Cc
srednje	srednji	Agpnsay
obrazovanje	obrazovanje	Ncnsa
dijete	dijeta	Ncfsg
tražitelj	tražitelj	Ncmsn
ostvaruje	ostvarivati	Vmr3s
pod	pod	Si
istim	isti	Agpmpiy
uvjetima	uvjet	Ncmpi
kao	kao	Cs
hrvatski	hrvatski	Agpmsny
državljanin	državljanin	Ncmsn
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Tražitelju	tražitelj	Ncmsl
,	,	Z
koji	koji	Pi-msn
je	biti	Var3s
započeo	započeti	Vmp-sm
ostvarivati	ostvarivati	Vmn
pravo	pravo	Ncnsa
na	na	Sa
srednjoškolsko	srednjoškolski	Agpnsay
obrazovanje	obrazovanje	Ncnsa
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
omogućit	omogućiti	Vmn
će	htjeti	Var3s
se	sebe	Px--sa
nastavak	nastavak	Ncmsn
srednjoškolskog	srednjoškolski	Agpnsgy
obrazovanja	obrazovanje	Ncnsg
i	i	Cc
nakon	nakon	Sg
stjecanja	stjecanje	Ncnsg
punoljetnosti	punoljetnost	Ncfsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Ostvarivanje	ostvarivanje	Ncnsn
prava	pravo	Ncnsg
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
omogućit	omogućiti	Vmn
će	htjeti	Var3s
se	sebe	Px--sa
djetetu	dijete	Ncnsd
tražitelju	tražitelj	Ncmsd
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
30	30	Mdc
dana	dan	Ncmpg
od	od	Sg
dana	dan	Ncmpg
podnošenja	podnošenje	Ncnsg
zahtjeva	zahtjev	Ncmpg
do	do	Sg
izvršenja	izvršenje	Ncnsg
odluke	odluka	Ncfsg
o	o	Sl
povratku	povratak	Ncmsl
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Ako	ako	Cs
dijete	dijete	Ncnsn
tražitelj	tražitelj	Ncmsn
ne	ne	Qz
zna	znati	Vmr3s
ili	ili	Cc
nedovoljno	nedovoljno	Rgp
poznaje	poznavati	Vmr3s
hrvatski	hrvatski	Agpmsayn
jezik	jezik	Ncmsan
,	,	Z
omogućit	omogućiti	Vmn
će	htjeti	Var3s
mu	on	Pp3msd
se	sebe	Px--sa
pohađanje	pohađanje	Ncnsn
pripremne	pripreman	Agpfsgy
nastave	nastava	Ncfsg
ili	ili	Cc
dopunske	dopunski	Agpfsgy
nastave	nastava	Ncfsg
hrvatskog	hrvatski	Agpmsgy
jezika	jezik	Ncmsg
,	,	Z
kao	kao	Cs
i	i	Cc
dopunske	dopunski	Agpfsgy
nastave	nastava	Ncfsg
u	u	Sl
pojedinim	pojedini	Agpmply
nastavnim	nastavni	Agpmply
predmetima	predmet	Ncmpl
,	,	Z
ako	ako	Cs
za	za	Sa
to	taj	Pd-nsa
postoji	postojati	Vmr3s
potreba	potreba	Ncfsn
.	.	Z

Pravo	pravo	Ncnsa
na	na	Sa
informacije	informacija	Ncfpa
i	i	Cc
pravno	pravni	Agpnsay
savjetovanje	savjetovanje	Ncnsa

Članak	članak	Ncmsn
59.	59.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Državljaninu	državljanin	Ncmsl
treće	treći	Mlofsg
zemlje	zemlja	Ncfsg
ili	ili	Cc
osobi	osoba	Ncfsl
bez	bez	Sg
državljanstva	državljanstvo	Ncnsg
zadržanoj	zadržati	Appfsly
u	u	Sl
prihvatnom	prihvatni	Agpmsly
centru	centar	Ncmsl
,	,	Z
na	na	Sl
graničnom	graničan	Agpmsly
prijelazu	prijelaz	Ncmsl
,	,	Z
odnosno	odnosno	Rgp
u	u	Sl
tranzitnom	tranzitni	Agpmsly
prostoru	prostor	Ncmsl
zračne	zračan	Agpfsgy
,	,	Z
morske	morski	Agpfpay
luke	luka	Ncfpa
ili	ili	Cc
luke	luka	Ncfsg
unutarnjih	unutarnji	Agpfpgy
voda	voda	Ncfpg
,	,	Z
koja	koji	Pi-fsn
bi	biti	Vaa3s
željela	željeti	Vmp-sf
izraziti	izraziti	Vmn
namjeru	namjera	Ncfsa
,	,	Z
policijski	policijski	Agpmpny
službenici	službenik	Ncmpn
pružit	pružiti	Vmn
će	htjeti	Var3s
sve	sav	Agpfpay
potrebne	potreban	Agpfpay
informacije	informacija	Ncfpa
o	o	Sl
postupku	postupak	Ncmsl
odobrenja	odobrenje	Ncnsg
međunarodne	međunarodni	Agpfsgy
zaštite	zaštita	Ncfsg
na	na	Sl
jeziku	jezik	Ncmsl
za	za	Sa
koji	koji	Pi-msan
se	sebe	Px--sa
opravdano	opravdati	Appnsny
pretpostavlja	pretpostavljati	Vmr3s
da	da	Cs
ga	on	Pp3msa
razumije	razumjeti	Vmr3s
i	i	Cc
na	na	Sl
kojem	koji	Pi-msl
može	moći	Vmr3s
komunicirati	komunicirati	Vmn
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Ministarstvo	ministarstvo	Ncnsn
će	htjeti	Var3s
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
15	15	Mdc
dana	dan	Ncmpg
od	od	Sg
izražene	izraziti	Agpfsgy
namjere	namjera	Ncfsg
obavijestiti	obavijestiti	Vmn
tražitelja	tražitelj	Ncmpg
o	o	Sl
načinu	način	Ncmsl
provođenja	provođenje	Ncnsg
postupka	postupak	Ncmsg
odobrenja	odobrenje	Ncnsg
međunarodne	međunarodni	Agpfsgy
zaštite	zaštita	Ncfsg
,	,	Z
o	o	Sl
pravima	pravo	Ncnpl
i	i	Cc
obvezama	obveza	Ncfpl
koje	koji	Pi-fpa
ima	imati	Vmr3s
u	u	Sl
tom	taj	Pd-msl
postupku	postupak	Ncmsl
,	,	Z
kao	kao	Cs
i	i	Qo
o	o	Sl
mogućnosti	mogućnost	Ncfsl
obraćanja	obraćanje	Ncnsg
predstavnicima	predstavnik	Ncmpl
UNHCR-a	UNHCR	Npmsg
i	i	Cc
drugim	drugi	Mlofpl
organizacijama	organizacija	Ncfpl
koje	koji	Pi-fpn
se	sebe	Px--sa
bave	baviti	Vmr3p
zaštitom	zaštita	Sg
prava	prav	Agpfsny
izbjeglica	izbjeglica	Ncfsn
te	taj	Pd-fsg
mogućnosti	mogućnost	Ncfsg
dobivanja	dobivanje	Ncnsg
besplatne	besplatan	Agpfsgy
pravne	pravni	Agpfsgy
pomoći	pomoć	Ncfsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Tražitelju	tražitelj	Ncmsl
će	htjeti	Var3s
se	sebe	Px--sa
na	na	Sa
njegov	njegov	Ps3msan
zahtjev	zahtjev	Ncmsan
pružiti	pružiti	Vmn
pravne	pravni	Agpfpay
i	i	Cc
postupovne	postupovni	Agpfpay
informacije	informacija	Ncfpa
o	o	Sl
odobrenju	odobrenje	Ncnsl
međunarodne	međunarodni	Agpfsgy
zaštite	zaštita	Ncfsg
uzimajući	uzimati	Rr
u	u	Sa
obzir	obzir	Ncmsan
okolnosti	okolnost	Ncfsg
konkretnog	konkretan	Agpmsgy
zahtjeva	zahtjev	Ncmsg
,	,	Z
na	na	Sl
jeziku	jezik	Ncmsl
za	za	Sa
koji	koji	Pi-msan
se	sebe	Px--sa
opravdano	opravdati	Appnsny
pretpostavlja	pretpostavljati	Vmr3s
da	da	Cs
ga	on	Pp3msa
razumije	razumjeti	Vmr3s
i	i	Cc
na	na	Sl
kojem	koji	Pi-msl
može	moći	Vmr3s
komunicirati	komunicirati	Vmn
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z

