ciljevi	cilj	Ncmpn
sredstva	sredstvo	Ncnpa
u	u	Sl
roku	rok	Ncmsl
30	30	Mdc
dana	dan	Ncmpg
od	od	Sg
dana	dan	Ncmsg
primitka	primitak	Ncmsg
Odluke	odluka	Ncfsg
o	o	Sl
povratu	povrat	Ncmsl
sredstava	sredstvo	Ncnpg
u	u	Sl
slučaju	slučaj	Ncmsl
utvrđene	utvrditi	Agpfsgy
administrativne	administrativan	Agpfsgy
greške	greška	Ncfsg
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Odluka	odluka	Ncfsn
o	o	Sl
povratu	povrat	Ncmsl
sredstava	sredstvo	Ncnpg
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
točke	točka	Ncfsg
b	b	X
)	)	Z
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
u	u	Sl
slučaju	slučaj	Ncmsl
nepravilnosti	nepravilnost	Ncfsg
utvrđene	utvrditi	Appfpny
nakon	nakon	Sg
konačne	konačan	Agpfsgy
isplate	isplata	Ncfsg
,	,	Z
izdaje	izdavati	Vmr3s
se	sebe	Px--sa
:	:	Z

a	a	Cc
)	)	Z
u	u	Sl
slučaju	slučaj	Ncmsl
utvrđenih	utvrditi	Agpmpgy
pojedinih	pojedini	Agpmpgy
nepravilno	nepravilno	Rgp
isplaćenih	isplatiti	Agpmpgy
izdataka	izdatak	Ncmpg
,	,	Z
odnosno	odnosno	Rgp
kada	kada	Cs
utvrđeni	utvrditi	Appmpny
nepravilni	nepravilan	Agpmsny
iznos	iznos	Ncmsn
ne	ne	Qz
prelazi	prelaziti	Vmr3s
50	50	Mdc
posto	posto	Rgp
ukupnih	ukupan	Agpmpgy
prihvatljivih	prihvatljiv	Agpmpgy
troškova	trošak	Ncmpg
.	.	Z

Odlukom	odluka	Ncfsi
o	o	Sl
povratu	povrat	Ncmsl
sredstava	sredstvo	Ncnpg
Upravljačko	upravljački	Agpnsny
tijelo	tijelo	Ncnsn
će	htjeti	Var3s
zahtijevati	zahtijevati	Vmn
od	od	Sg
korisnika	korisnik	Ncmpg
povrat	povrat	Ncmsn
utvrđenog	utvrditi	Agpmsgy
nepravilnog	nepravilan	Agpmsgy
iznosa	iznos	Ncmsg
;	;	Z

b	b	Npmsn
)	)	Z
ukoliko	ukoliko	Cs
utvrđeni	utvrditi	Agpmsny
nepravilni	nepravilan	Agpmsny
iznos	iznos	Ncmsn
prelazi	prelaziti	Vmr3s
50	50	Mdc
posto	posto	Rgp
ukupnih	ukupan	Agpmpgy
prihvatljivih	prihvatljiv	Agpmpgy
troškova	trošak	Ncmpg
Upravljačko	upravljački	Agpnsny
tijelo	tijelo	Ncnsn
će	htjeti	Var3s
zahtijevati	zahtijevati	Vmn
od	od	Sg
korisnika	korisnik	Ncmpg
povrat	povrat	Ncmsn
ukupno	ukupno	Rgp
isplaćenih	isplatiti	Agpnpgy
sredstava	sredstvo	Ncnpg
potpore	potpora	Ncfsg
;	;	Z

c	C	Npmsn
)	)	Z
ukoliko	ukoliko	Cs
utvrđena	utvrditi	Appfsny
nepravilnost	nepravilnost	Ncfsn
ujedno	ujedno	Rgp
predstavlja	predstavljati	Vmr3s
sumnju	sumnja	Ncfsa
na	na	Sa
prijevaru	prijevara	Ncfsa
.	.	Z

Odlukom	odluka	Ncfsi
o	o	Sl
povratu	povrat	Ncmsl
sredstava	sredstvo	Ncnpg
Upravljačko	upravljački	Agpnsny
tijelo	tijelo	Ncnsn
će	htjeti	Var3s
zahtijevati	zahtijevati	Vmn
od	od	Sg
korisnika	korisnik	Ncmpg
povrat	povrat	Ncmsn
ukupno	ukupno	Rgp
isplaćenih	isplatiti	Agpnpgy
sredstava	sredstvo	Ncnpg
potpore	potpora	Ncfsg
,	,	Z
te	te	Cc
će	htjeti	Var3s
o	o	Sl
istome	isti	Agpmsly
izvijestiti	izvijestiti	Vmn
Državno	državni	Agpnsny
odvjetništvo	odvjetništvo	Ncnsn
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Odluka	odluka	Ncfsn
o	o	Sl
povratu	povrat	Ncmsl
sredstava	sredstvo	Ncnpg
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
je	biti	Var3s
konačna	konačan	Agpfsny
.	.	Z

(	(	Z
6	6	Mdc
)	)	Z
Na	na	Sl
temelju	temelj	Ncmsl
Odluke	odluka	Ncfsg
o	o	Sl
povratu	povrat	Ncmsl
sredstava	sredstvo	Ncnpg
korisnik	korisnik	Ncmsn
je	biti	Var3s
dužan	dužan	Agpmsnn
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
30	30	Mdc
dana	dan	Ncmpg
od	od	Sg
dana	dan	Ncmsg
zaprimanja	zaprimanje	Ncnsg
Odluke	odluka	Ncfsg
izvršiti	izvršiti	Vmn
povrat	povrat	Ncmsan
sredstava	sredstvo	Ncnpg
na	na	Sa
način	način	Ncmsan
određen	određen	Agpmsann
Odlukom	odluka	Ncfsi
.	.	Z

(	(	Z
7	7	Mdc
)	)	Z
Ukoliko	ukoliko	Cs
korisnik	korisnik	Ncmsn
nije	biti	Var3s
postupio	postupiti	Vmp-sm
sukladno	sukladno	Rgp
Odluci	odluka	Ncfsl
o	o	Sl
povratu	povrat	Ncmsl
sredstava	sredstvo	Ncnpg
,	,	Z
na	na	Sa
iznos	iznos	Ncmsan
koji	koji	Pi-msn
podliježe	podlijegati	Vmr3s
povratu	povrat	Ncmsd
se	sebe	Px--sa
nakon	nakon	Sg
isteka	istek	Ncmsg
roka	rok	Ncmsg
iz	iz	Sg
stavka	stavak	Ncmsg
6.	6.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
obračunava	obračunavati	Vmr3s
zakonska	zakonski	Agpfsny
zatezna	zatezni	Agpfsny
kamata	kamata	Ncfsn
.	.	Z

(	(	Z
8	8	Mdc
)	)	Z
U	u	Sl
slučaju	slučaj	Ncmsl
nepoštivanja	nepoštivanje	Ncnsg
roka	rok	Ncmsg
za	za	Sa
povrat	povrat	Ncmsan
sredstava	sredstvo	Ncnpg
Upravljačko	upravljački	Agpnsny
tijelo	tijelo	Ncnsn
će	htjeti	Var3s
zatražiti	zatražiti	Vmn
zaštitu	zaštita	Ncfsa
svojih	svoj	Px-npg
prava	pravo	Ncnpg
putem	put	Sg
nadležnog	nadležan	Agpmsgy
suda	sud	Ncmsg
.	.	Z

Članak	članak	Ncmsn
22.	22.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
U	u	Sl
slučaju	slučaj	Ncmsl
da	da	Cs
je	biti	Var3s
korisniku	korisnik	Ncmsd
izdana	izdati	Appfsny
Odluka	odluka	Ncfsn
o	o	Sl
povratu	povrat	Ncmsl
sredstva	sredstvo	Ncnsg
,	,	Z
korisnik	korisnik	Ncmsn
može	moći	Vmr3s
iznos	iznos	Ncmsan
duga	dug	Ncmsg
vratiti	vratiti	Vmn
u	u	Sl
obrocima	obrok	Ncmpl
,	,	Z
ako	ako	Cs
o	o	Sl
tome	taj	Pd-nsl
obavijesti	obavijest	Ncfsl
Upravljačko	upravljački	Agpnsny
tijelo	tijelo	Ncnsn
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
15	15	Mdc
dana	dan	Ncmpg
od	od	Sg
dana	dan	Ncmsg
zaprimanja	zaprimanje	Ncnsg
Odluke	odluka	Ncfsg
o	o	Sl
povratu	povrat	Ncmsl
sredstva	sredstvo	Ncnsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
U	u	Sl
slučaju	slučaj	Ncmsl
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
Upravljačko	upravljački	Agpnsny
tijelo	tijelo	Ncnsn
i	i	Cc
korisnik	korisnik	Ncmsn
će	htjeti	Var3s
sklopiti	sklopiti	Vmn
izvan	izvan	Sg
sudsku	sudski	Agpfsay
nagodbu	nagodba	Ncfsa
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Korisnik	korisnik	Ncmsn
može	moći	Vmr3s
vratiti	vratiti	Vmn
iznos	iznos	Ncmsan
duga	dug	Ncmsg
u	u	Sa
najviše	mnogo	Rgs
četiri	četiri	Mlc
rate	rata	Ncfsg
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
jedne	jedan	Agpfsgy
godine	godina	Ncfsg
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
U	u	Sl
slučaju	slučaj	Ncmsl
da	da	Cs
korisnik	korisnik	Ncmsn
ne	ne	Qz
vrati	vratiti	Vmr3s
najmanje	malo	Rgs
dvije	dva	Mlcf-n
rate	rata	Ncfsg
na	na	Sl
temelju	temelj	Ncmsl
izvan	izvan	Sg
sudske	sudski	Agpfsgy
nagodbe	nagodba	Ncfsg
,	,	Z
Upravljačko	upravljački	Agpnsny
tijelo	tijelo	Ncnsn
će	htjeti	Var3s
zatražiti	zatražiti	Vmn
zaštitu	zaštita	Ncfsa
svojih	svoj	Agpnpgy
prava	pravo	Ncnpg
sudskim	sudski	Agpmsiy
putem	put	Ncmsi
.	.	Z

IX	IX	Mrc
.	.	Z

PRIGOVORI	prigovor	Ncmpn

Članak	članak	Ncmsn
23.	23.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Svi	sav	Agpmpny
akti	akt	Ncmpn
koji	koji	Pi-mpn
proizlaze	proizlaziti	Vmr3p
iz	iz	Sg
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
nisu	biti	Var3p
upravni	upravan	Agpmpny
akti	akt	Ncmpn
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Korisnik	korisnik	Ncmsn
može	moći	Vmr3s
podnijeti	podnijeti	Vmn
prigovor	prigovor	Ncmsan
Povjerenstvu	povjerenstvo	Ncnsd
za	za	Sa
rješavanje	rješavanje	Ncnsa
po	po	Sl
prigovorima	prigovor	Ncmpl
(	(	Z
u	u	Sl
daljnjem	daljnji	Agpmsly
tekstu	tekst	Ncmsl
:	:	Z
Povjerenstvo	povjerenstvo	Ncnsn
)	)	Z
,	,	Z
koje	koji	Pi-nsn
imenuje	imenovati	Vmr3s
ministar	ministar	Ncmsn
poljoprivrede	poljoprivreda	Ncfsg
,	,	Z
na	na	Sa
Odluke	odluka	Ncfpa
koje	koji	Pi-fpn
proizlaze	proizlaziti	Vmr3p
iz	iz	Sg
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
,	,	Z
i	i	Cc
to	to	Qo
iz	iz	Sg
:	:	Z

–	–	Sg
članka	članak	Ncmsg
13.	13.	Mdo
stavka	stavak	Ncmsg
2.	2.	Mdo
točke	točka	Ncfsg
a	a	Cc
)	)	Z
Odluka	odluka	Ncfsn
o	o	Sl
dodjeli	dodjela	Ncfsl
sredstava	sredstvo	Ncnpg
,	,	Z

–	–	Sg
članka	članak	Ncmsg
13.	13.	Mdo
stavka	stavak	Ncmsg
2.	2.	Mdo
točke	točka	Ncfsg
b	b	X
)	)	Z
i	i	Cc
članka	članak	Ncmsg
14.	14.	Mdo
stavkom	stavak	Ncmsi
2.	2.	Mdo
točke	točka	Ncfsg
b	b	X
)	)	Z
Odluka	odluka	Ncfsn
o	o	Sl
odbijanju	odbijanje	Ncnsl
,	,	Z

–	–	Sg
članka	članak	Ncmsg
14.	14.	Mdo
stavka	stavak	Ncmsg
2.	2.	Mdo
točke	točka	Ncfsg
a	a	Cc
)	)	Z
Odluka	odluka	Ncfsn
o	o	Sl
privremenoj	privremen	Agpfsly
raspodjeli	raspodjela	Ncfsl
sredstava	sredstvo	Ncnpg
,	,	Z

–	–	Z
članka19	članka1	Agpnsny
.	.	Z
stavka	stavka	Ncfsn
1.	1.	Mdo
točke	točka	Ncfsg
a	a	Cc
)	)	Z
Odluka	odluka	Ncfsn
o	o	Sl
isplati	isplata	Ncfsl
,	,	Z

–	–	Sg
članka	članak	Ncmsg
19.	19.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
točke	točka	Ncfsg
b	b	X
)	)	Z
Odluka	odluka	Ncfsn
o	o	Sl
odbijanju	odbijanje	Ncnsl
Zahtjeva	zahtjev	Ncmsg
za	za	Sa
isplatu	isplata	Ncfsa
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Ostali	ostali	Agpmpny
akti	akt	Ncmpn
proizašli	proizaći	Vmp-pm
iz	iz	Sg
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
su	biti	Var3p
konačni	konačan	Agpmpny
i	i	Cc
korisnik	korisnik	Ncmsn
nema	nemati	Vmr3s
pravo	pravo	Ncnsa
prigovora	prigovor	Ncmpg
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Prigovori	prigovor	Ncmpn
iz	iz	Sg
stavka	stavak	Ncmsg
2.	2.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
podnose	podnositi	Vmr3p
se	sebe	Px--sa
preporučenom	preporučiti	Agpfsiy
pošiljkom	pošiljka	Ncfsi
s	sa	Si
povratnicom	povratnica	Ncfsi
,	,	Z
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
petnaest	petnaest	Mlc
dana	dan	Ncmpg
od	od	Sg
zaprimanja	zaprimanje	Ncnsg
akata	akt	Ncmpg
iz	iz	Sg
stavka	stavak	Ncmsg
2.	2.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z

