ovlaštena	ovlastiti	Appfsny
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
ulažu	ulagati	Vmr3p
se	sebe	Px--sa
kronološkim	kronološki	Agpmsiy
redom	red	Ncmsi
:	:	Z

1	1	Mdc
)	)	Z
zahtjev	zahtjev	Ncmsan
za	za	Sa
upis	upis	Ncmsan
u	u	Sa
registar	registar	Ncmsan
udruga	udruga	Ncfpg
s	sa	Si
prilozima	prilog	Ncmpi
,	,	Z
iz	iz	Sg
članka	članak	Ncmsg
9.	9.	Mdo
stavka	stavak	Ncmsg
3.	3.	Mdo
i	i	Cc
5.	5.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
,	,	Z

2	2	Mdc
)	)	Z
prijava	prijava	Ncfsn
promjene	promjena	Ncfsg
podataka	podatak	Ncmpg
s	sa	Si
prilozima	prilog	Ncmpi
,	,	Z
iz	iz	Sg
članka	članak	Ncmsg
10.	10.	Mdo
stavka	stavak	Ncmsg
3.	3.	Mdo
i	i	Cc
5.	5.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
,	,	Z

3	3	Mdc
)	)	Z
prijava	prijava	Ncfsn
za	za	Sa
upis	upis	Ncmsan
prestanka	prestanak	Ncmsg
djelovanja	djelovanje	Ncnsg
s	sa	Si
prilozima	prilog	Ncmpi
,	,	Z
iz	iz	Sg
članka	članak	Ncmsg
11.	11.	Mdo
stavka	stavak	Ncmsg
3.	3.	Mdo
i	i	Cc
5.	5.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
,	,	Z

4	4	Mdc
)	)	Z
izvješće	izvješće	Ncnsn
o	o	Sl
održavanju	održavanje	Ncnsl
sjednice	sjednica	Ncfsg
najvišeg	visok	Agpnsgy
tijela	tijelo	Ncnsg
udruge	udruga	Ncfsg
i	i	Cc
podacima	podatak	Ncmpi
o	o	Sl
ukupnom	ukupan	Agpmsly
broju	broj	Ncmsl
članova	član	Ncmpg
udruge	udruga	Ncfsg
iz	iz	Sg
kojeg	koji	Pi-msg
proizlazi	proizlaziti	Vmr3s
da	da	Cs
se	sebe	Px--sa
broj	broj	Ncmsn
članova	član	Ncmpg
udruge	udruga	Ncfsg
smanjio	smanjiti	Vmp-sm
ispod	ispod	Sg
broja	broj	Ncmsg
članova	član	Ncmpg
zakonom	zakon	Ncmsi
određenog	određen	Agpmsgy
za	za	Sa
utemeljenje	utemeljenje	Ncnsa
udruge	udruga	Ncfsg
iz	iz	Sg
članka	članak	Ncmsg
11.	11.	Mdo
stavka	stavak	Ncmsg
7.	7.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
,	,	Z

5	5	Mdc
)	)	Z
pravomoćna	pravomoćan	Agpfsny
sudska	sudski	Agpfsny
odluka	odluka	Ncfsn
o	o	Sl
prestanku	prestanak	Ncmsl
djelovanja	djelovanje	Ncnsg
udruge	udruga	Ncfsg
iz	iz	Sg
članka	članak	Ncmsg
11.	11.	Mdo
stavka	stavak	Ncmsg
9.	9.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
,	,	Z

6	6	Mdc
)	)	Z
rješenje	rješenje	Ncnsn
iz	iz	Sg
članka	članak	Ncmsg
9.	9.	Mdo
stavka	stavak	Ncmsg
9.	9.	Mdo
,	,	Z
rješenje	rješenje	Ncnsn
iz	iz	Sg
članka	članak	Ncmsg
10.	10.	Mdo
stavka	stavak	Ncmsg
7.	7.	Mdo
,	,	Z
rješenje	rješenje	Ncnsn
iz	iz	Sg
članka	članak	Ncmsg
11.	11.	Mdo
stavka	stavak	Ncmsg
8.	8.	Mdo
i	i	Cc
rješenje	rješenje	Ncnsn
iz	iz	Sg
članka	članak	Ncmsg
11.	11.	Mdo
stavka	stavak	Ncmsg
9.	9.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
.	.	Z

6.	6.	Mdo
DAVANJE	davanje	Ncnsn
,	,	Z
PRIKUPLJANJE	prikupljanje	Ncnsn
I	i	Cc
ČUVANJE	čuvanje	Ncnsn
PODATAKA	podatak	Ncmpg

Izvadak	izvadak	Ncmsn
iz	iz	Sg
registra	registar	Ncmsg

Članak	članak	Ncmsn
13.	13.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Na	na	Sa
pisani	pisan	Agpmsayn
zahtjev	zahtjev	Ncmsan
osobe	osoba	Ncfsg
koja	koji	Pi-fsn
ima	imati	Vmr3s
pravni	pravni	Agpmsayn
interes	interes	Ncmsan
,	,	Z
nadležno	nadležan	Agpnsny
tijelo	tijelo	Ncnsn
izdaje	izdaja	Ncfsg
izvadak	izvadak	Ncmsn
iz	iz	Sg
registra	registar	Ncmsg
(	(	Z
u	u	Sl
daljnjem	daljnji	Agpmsly
tekstu	tekst	Ncmsl
:	:	Z
izvadak	izvadak	Ncmsn
)	)	Z
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Izvadak	izvadak	Ncmsn
se	sebe	Px--sa
izdaje	izdavati	Vmr3s
u	u	Sl
obliku	oblik	Ncmsl
računalnog	računalni	Agpmsgy
ispisa	ispis	Ncmsg
na	na	Sl
obrascu	obrazac	Ncmsl
broj	broj	Ncmsn
9.	9.	Mdo

(	(	Z
3	3	Mdc
)	)	Z
Izvadak	izvadak	Ncmsn
sadrži	sadržati	Vmr3s
sljedeće	sljedeći	Agpmpay
podatke	podatak	Ncmpa
:	:	Z
naziv	naziv	Ncmsn
udruge	udruga	Ncfsg
,	,	Z
skraćeni	skratiti	Appmsny
naziv	naziv	Ncmsn
udruge	udruga	Ncfsg
,	,	Z
registarski	registarski	Agpmsny
broj	broj	Ncmsn
,	,	Z
područje	područje	Ncnsn
djelovanja	djelovanje	Ncnsg
,	,	Z
datum	datum	Ncmsn
upisa	upis	Ncmsg
,	,	Z
sjedište	sjedište	Ncnsn
(	(	Z
mjesto	mjesto	Ncnsn
,	,	Z
ulica	ulica	Ncfsn
i	i	Cc
kućni	kućni	Agpmsny
broj	broj	Ncmsn
)	)	Z
,	,	Z
ime	ime	Ncnsa
i	i	Cc
prezime	prezime	Ncnsa
osoba	osoba	Ncfpg
ovlaštenih	ovlašten	Agpfpgy
za	za	Sa
zastupanje	zastupanje	Ncnsa
,	,	Z
prestanak	prestanak	Ncmsan
djelovanja	djelovanje	Ncnsg
udruge	udruga	Ncfsg
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Izvadak	izvadak	Ncmsn
sadrži	sadržati	Vmr3s
posljednje	posljednji	Agpmpay
podatke	podatak	Ncmpa
koji	koji	Pi-mpn
su	biti	Var3p
dostavljeni	dostaviti	Appmpny
i	i	Cc
upisani	upisati	Appmpny
u	u	Sa
registar	registar	Ncmsan
udruga	udruga	Ncfpg
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Iznimno	iznimno	Rgp
,	,	Z
na	na	Sa
zahtjev	zahtjev	Ncmsan
suda	sud	Ncmsg
,	,	Z
drugog	drugi	Agpnsgy
tijela	tijelo	Ncnsg
državne	državni	Agpfsgy
vlasti	vlast	Ncfsg
ili	ili	Cc
osobe	osoba	Ncfpn
ovlaštene	ovlastiti	Appfpny
za	za	Sa
zastupanje	zastupanje	Ncnsa
udruge	udruga	Ncfsg
,	,	Z
izvadak	izvadak	Ncmsn
može	moći	Vmr3s
sadržavati	sadržavati	Vmn
i	i	Qo
starije	star	Agcmpay
podatke	podatak	Ncmpa
,	,	Z
koji	koji	Pi-mpn
se	sebe	Px--sa
upisuju	upisivati	Vmr3p
u	u	Sa
rubriku	rubrika	Ncfsa
»	»	Z
Napomena	napomena	Ncfsn
«	«	Z
.	.	Z

(	(	Z
6	6	Mdc
)	)	Z
Izvadak	izvadak	Ncmsn
ovjerava	ovjeravati	Vmr3s
pečatom	pečat	Ncmsi
i	i	Cc
potpisom	potpis	Ncmsi
ovlaštena	ovlastiti	Appfsny
osoba	osoba	Ncfsn
nadležnog	nadležan	Agpnsgy
tijela	tijelo	Ncnsg
.	.	Z

(	(	Z
7	7	Mdc
)	)	Z
Nepopunjene	nepopunjen	Agpfpny
rubrike	rubrika	Ncfpn
izvatka	izvadak	Ncmsg
dijagonalno	dijagonalno	Rgp
se	sebe	Px--sa
precrtavaju	precrtavati	Vmr3p
.	.	Z

Pravo	pravo	Ncnsn
uvida	uvid	Ncmsg
u	u	Sa
podatke	podatak	Ncmpa
upisane	upisati	Appmpay
u	u	Sa
registar	registar	Ncmsan

Članak	članak	Ncmsn
14.	14.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Registar	registar	Ncmsn
je	biti	Var3s
javan	javan	Agpmsnn
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Pravo	pravo	Ncnsn
uvida	uvid	Ncmsg
u	u	Sa
podatke	podatak	Ncmpa
upisane	upisati	Appmpay
u	u	Sa
registar	registar	Ncmsan
ima	imati	Vmr3s
osoba	osoba	Ncfsn
koja	koji	Pi-fsn
obrazloži	obrazložiti	Vmr3s
postojanje	postojanje	Ncnsa
svog	svoj	Px-msg
pravnog	pravni	Agpmsgy
interesa	interes	Ncmsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Pravo	pravo	Ncnsn
uvida	uvid	Ncmsg
u	u	Sa
zbirku	zbirka	Ncfsa
isprava	isprava	Ncfpg
ima	imati	Vmr3s
osoba	osoba	Ncfsn
koja	koji	Pi-fsn
obrazloži	obrazložiti	Vmr3s
postojanje	postojanje	Ncnsa
svog	svoj	Px-msg
pravnog	pravni	Agpmsgy
interesa	interes	Ncmsg
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Uvid	uvid	Ncmsn
se	sebe	Px--sa
obavlja	obavljati	Vmr3s
u	u	Sl
nazočnosti	nazočnost	Ncfsl
ovlaštene	ovlašten	Agpfsgy
osobe	osoba	Ncfsg
zadužene	zadužen	Agpfpny
za	za	Sa
vođenje	vođenje	Ncnsa
registra	registar	Ncmsg
.	.	Z

Obveza	obveza	Ncfsn
izvješćivanja	izvješćivanje	Ncnsg

Članak	članak	Ncmsn
15.	15.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Ured	ured	Ncmsn
državne	državni	Agpfsgy
uprave	uprava	Ncfsg
u	u	Sl
županiji	županija	Ncfsl
,	,	Z
odnosno	odnosno	Rgp
ured	ured	Ncmsn
Grada	grad	Ncmsg
Zagreba	zagrebati	Vmr3s
nadležan	nadležan	Agpmsnn
za	za	Sa
poslove	posao	Ncmpa

