ovoga	ovaj	Pd-msg
.	.	Z

(	(	Z
7	7	Mdc
)	)	Z
Kriterij	kriterij	Ncmsn
odabira	odabir	Ncmsg
ponuda	ponuda	Ncfsn
može	moći	Vmr3s
biti	biti	Van
najniža	nizak	Agsfsny
cijena	cijena	Ncfsn
ili	ili	Cc
ekonomski	ekonomski	Rgp
najpovoljnija	povoljan	Agsfsny
ponuda	ponuda	Ncfsn
(	(	Z
ENP	ENP	Npmsn
)	)	Z
.	.	Z

(	(	Z
8	8	Mdc
)	)	Z
Kriteriji	kriterij	Ncmpn
za	za	Sa
odabir	odabir	Ncmsan
ponuda	ponuda	Ncfpg
ne	ne	Qz
smiju	smjeti	Vmr3p
biti	biti	Van
diskriminirajući	diskriminirajući	Agpmpny
i	i	Cc
ne	ne	Qz
smiju	smjeti	Vmr3p
narušavati	narušavati	Vmn
slobodu	sloboda	Ncfsa
tržišnog	tržišni	Agpnsgy
natjecanja	natjecanje	Ncnsg
.	.	Z

(	(	Z
9	9	Mdc
)	)	Z
Kada	kada	Cs
se	sebe	Px--sa
odabire	odabirati	Vmr3s
ekonomski	ekonomski	Agpmsny
najpovoljnija	povoljan	Agsfsny
ponuda	ponuda	Ncfsn
korisnik	korisnik	Ncmsn
,	,	Z
ekonomsku	ekonomski	Agpfsay
prednost	prednost	Ncfsa
pojedine	pojedini	Agpfsgy
ponude	ponuda	Ncfsg
mjeri	mjeriti	Vmr3s
i	i	Cc
uspoređuje	uspoređivati	Vmr3s
s	sa	Si
kriterijima	kriterij	Ncmpi
odabira	odabir	Ncmsg
vezanim	vezan	Agpmpiy
uz	uz	Sa
predmet	predmet	Ncmsan
nabave	nabava	Ncfsg
koji	koji	Pi-msan
služe	služiti	Vmr3p
za	za	Sa
identificiranje	identificiranje	Ncnsa
najpovoljnije	povoljan	Agsfsgy
ponude	ponuda	Ncfsg
.	.	Z

Pri	pri	Sl
korištenju	korištenje	Ncnsl
kriterija	kriterij	Ncmpg
ENP-a	enp-a	Agpmsny
korisnik	korisnik	Ncmsn
može	moći	Vmr3s
osim	osim	Sg
cijene	cijena	Ncfsg
uzeti	uzeti	Vmn
u	u	Sa
obzir	obzir	Ncmsan
i	i	Cc
druge	drugi	Mlompa
kriterije	kriterij	Ncmpa
poput	poput	Sg
kvalitete	kvaliteta	Ncfsg
,	,	Z
roka	rok	Ncmsg
isporuke	isporuka	Ncfsg
,	,	Z
ili	ili	Cc
usluga	usluga	Ncfpg
nakon	nakon	Sg
prodaje	prodaja	Ncfsg
.	.	Z

Svakom	svaki	Pi-msl
odabranom	odabrati	Agpmsly
kriteriju	kriterij	Ncmsl
korisnik	korisnik	Ncmsn
pridaje	pridavati	Vmr3s
relativni	relativan	Agpmsayn
značaj	značaj	Ncmsan
koji	koji	Pi-msn
odražava	odražavati	Vmr3s
njegovu	njegov	Ps3fsa
relativnu	relativan	Agpfsay
važnost	važnost	Ncfsa
u	u	Sl
odnosu	odnos	Ncmsl
na	na	Sa
druge	drugi	Agpmpay
kriterije	kriterij	Ncmpa
.	.	Z

Svrha	svrha	Ncfsn
kriterija	kriterij	Ncmsg
ENP-a	ENP	Npmsg
jest	biti	Var3s
odabrati	odabrati	Vmn
ponudu	ponuda	Ncfsa
koja	koji	Pi-fsn
nudi	nuditi	Vmr3s
najveću	velik	Agsfsay
vrijednost	vrijednost	Ncfsn
za	za	Sa
uloženi	uložiti	Agpmsayn
novac	novac	Ncmsan
.	.	Z

(	(	Z
10	10	Mdc
)	)	Z
Nakon	nakon	Sg
isteka	istek	Ncmsg
roka	rok	Ncmsg
za	za	Sa
dostavu	dostava	Ncfsa
ponude	ponuda	Ncfsg
i	i	Cc
nakon	nakon	Sg
donošenja	donošenje	Ncnsg
Odluke	odluka	Ncfsg
o	o	Sl
prihvatljivosti	prihvatljivost	Ncfsl
zahtjeva	zahtjev	Ncmpg
za	za	Sa
potporu	potpora	Ncfsa
,	,	Z
a	a	Cc
najkasnije	kasno	Rgs
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
12	12	Mdc
mjeseci	mjesec	Ncmpg
od	od	Sg
dana	dan	Ncmpg
donošenja	donošenje	Ncnsg
Odluke	odluka	Ncfsg
o	o	Sl
prihvatljivosti	prihvatljivost	Ncfsl
zahtjeva	zahtjev	Ncmpg
za	za	Sa
potporu	potpora	Ncfsa
,	,	Z
korisnik	korisnik	Ncmsn
dostavlja	dostavljati	Vmr3s
Agenciji	agencija	Ncfsd
za	za	Sa
plaćanja	plaćanje	Ncnpa
odabrane	odabrati	Agpfpay
ponude	ponuda	Ncfpa
,	,	Z
uključujući	uključivati	Rr
i	i	Cc
ponude	ponuda	Ncfpa
za	za	Sa
opće	opći	Agpmpay
troškove	trošak	Ncmpa
i	i	Cc
bagatelnu	bagatelan	Agpfsay
nabavu	nabava	Ncfsa
vrijednosti	vrijednost	Ncfsg
manje	malo	Rgc
od	od	Sg
35.000,00	35.000,00	Mdc
kn	KN	Ncmpg
bez	bez	Sg
PDV-a	PDV	Npmsg
,	,	Z
te	te	Cc
Sažetak	sažetak	Ncmsn
izbora	izbor	Ncmsg
ponude	ponuda	Ncfsg
čiji	čiji	Pi-msan
minimalni	minimalan	Agpmsayn
sadržaj	sadržaj	Ncmsan
će	htjeti	Var3s
biti	biti	Van
propisan	propisati	Appmsnn
u	u	Sl
uputi	uputa	Ncfsl
za	za	Sa
objavu	objava	Ncfsa
poziva	poziv	Ncmpg
za	za	Sa
prikupljanje	prikupljanje	Ncnsa
ponuda	ponuda	Ncfpg
.	.	Z

(	(	Z
11	11	Mdc
)	)	Z
Odabrane	odabrati	Agpfpay
ponude	ponuda	Ncfpa
,	,	Z
uključujući	uključivati	Rr
i	i	Cc
ponude	ponuda	Ncfpa
za	za	Sa
opće	opći	Agpmpay
troškove	trošak	Ncmpa
i	i	Cc
bagatelnu	bagatelan	Agpfsay
nabavu	nabava	Ncfsa
vrijednosti	vrijednost	Ncfsg
manje	malo	Rgc
od	od	Sg
35.000,00	35.000,00	Mdc
kn	KN	Ncmpg
bez	bez	Sg
PDV-a	PDV	Npmsg
i	i	Cc
ostalu	ostali	Agpfsay
prateću	prateći	Agpfsay
dokumentaciju	dokumentacija	Ncfsa
korisnik	korisnik	Ncmsn
dostavlja	dostavljati	Vmr3s
u	u	Sl
elektronskom	elektronski	Agpmsly
obliku	oblik	Ncmsl
na	na	Sl
CD-u	cd-	Ncmsl
/	/	Z
DVD-u	DVD	Npmsl
.	.	Z

(	(	Z
12	12	Mdc
)	)	Z
Način	način	Ncmsan
predaje	predaja	Ncfsg
dokumentacije	dokumentacija	Ncfsg
na	na	Sl
elektronskom	elektronski	Agpmsly
mediju	medij	Ncmsl
propisuje	propisivati	Vmr3s
se	sebe	Px--sa
natječajem	natječaj	Ncmsi
.	.	Z

(	(	Z
13	13	Mdc
)	)	Z
Odabrane	odabrati	Agpfpny
ponude	ponuda	Ncfpn
moraju	morati	Vmr3p
biti	biti	Van
izdane	izdati	Appfpny
nakon	nakon	Sg
datuma	datum	Ncmsg
objave	objava	Ncfsg
poziva	pozivati	Vmr3s
za	za	Sa
prikupljanje	prikupljanje	Ncnsa
ponuda	ponuda	Ncfpg
i	i	Cc
moraju	morati	Vmr3p
biti	biti	Van
važeće	važeći	Agpnsny
na	na	Sa
dan	dan	Ncmsan
zaprimanja	zaprimanje	Ncnsg
u	u	Sa
Agenciju	agencija	Ncfsa
,	,	Z
osim	osim	Sg
ponuda	ponuda	Ncfpg
za	za	Sa
opće	opći	Agpmpay
troškove	trošak	Ncmpa
.	.	Z

(	(	Z
14	14	Mdc
)	)	Z
Ponude	ponuda	Ncfpn
inozemnih	inozeman	Agpmpgy
ponuditelja	ponuditelj	Ncmpg
izražavaju	izražavati	Vmr3p
se	sebe	Px--sa
u	u	Sl
domicilnim	domicilan	Agpfply
valutama	valuta	Ncfpl
ili	ili	Cc
euru	euro	Ncmsl
,	,	Z
a	a	Cc
ponude	ponuda	Ncfpn
tuzemnih	tuzeman	Agpmpgy
ponuditelja	ponuditelj	Ncmpg
isključivo	isključivo	Rgp
u	u	Sl
kunama	kuna	Ncfpl
.	.	Z

(	(	Z
15	15	Mdc
)	)	Z
Agencija	agencija	Ncfsn
za	za	Sa
plaćanja	plaćanje	Ncnpa
može	moći	Vmr3s
umanjiti	umanjiti	Vmn
iznos	iznos	Ncmsan
potpore	potpora	Ncfsg
ako	ako	Cs
utvrdi	utvrditi	Vmr3s
da	da	Cs
su	biti	Var3p
cijene	cijena	Ncfpn
za	za	Sa
robu	roba	Ncfsa
,	,	Z
radove	rad	Ncmpa
ili	ili	Cc
usluge	usluga	Ncfpa
u	u	Sl
odabranim	odabrati	Agpfply
ponudama	ponuda	Ncfpl
veće	veliko	Rgc
od	od	Sg
referentnih	referentan	Agpfpgy
cijena	cijena	Ncfpg
istih	isti	Agpfpgy
ili	ili	Cc
sličnih	sličan	Agpfpgy
roba	roba	Ncfpg
,	,	Z
radova	rad	Ncmpg
i	i	Cc
usluga	usluga	Ncfpg
.	.	Z

(	(	Z
16	16	Mdc
)	)	Z
Agencija	agencija	Ncfsn
za	za	Sa
plaćanja	plaćanje	Ncnpa
može	moći	Vmr3s
umanjiti	umanjiti	Vmn
iznos	iznos	Ncmsan
potpore	potpora	Ncfsg
za	za	Sa
pojedini	pojedini	Agpmsayn
trošak	trošak	Ncmsan
i	i	Cc
/	/	Z
ili	ili	Cc
zatražiti	zatražiti	Vmn
ponavljanje	ponavljanje	Ncnsa
postupka	postupak	Ncmsg
prikupljanja	prikupljanje	Ncnsg
ponuda	ponuda	Ncfpg
ako	ako	Cs
utvrdi	utvrditi	Vmr3s
da	da	Cs
kriteriji	kriterij	Ncmpn
odabira	odabir	Ncmsg
ponuda	ponuda	Ncfsn
nisu	biti	Var3p
u	u	Sl
skladu	sklad	Ncmsl
sa	sa	Si
stavkom	stavak	Ncmsi
8.	8.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
ili	ili	Cc
ako	ako	Cs
odabir	odabir	Ncmsn
ponuda	ponuda	Ncfsn
nije	biti	Var3s
izvršen	izvršiti	Appmsnn
sukladno	sukladno	Rgp
kriterijima	kriterij	Ncmpd
odabira	odabir	Ncmpg
ponuda	ponuda	Ncfsn
navedenim	naveden	Agpmsiy
u	u	Sl
pozivu	poziv	Ncmsl
za	za	Sa
prikupljanje	prikupljanje	Ncnsa
ponuda	ponuda	Ncfpg
.	.	Z

(	(	Z
17	17	Mdc
)	)	Z
Svaki	svaki	Pi-msn
pojedinačni	pojedinačan	Agpmsny
trošak	trošak	Ncmsn
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-nsg
članka	članak	Ncmsg
mora	morati	Vmr3s
se	sebe	Px--sa
nalaziti	nalaziti	Vmn
na	na	Sl
Listi	lista	Ncfsl
prihvatljivih	prihvatljiv	Agpmpgy
troškova	trošak	Ncmpg
kako	kako	Cs
bi	biti	Vaa3s
bio	biti	Vap-sm
predmet	predmet	Ncmsn
sufinanciranja	sufinanciranje	Ncnsg
iz	iz	Sg
EPFRR-a	EPFRR	Npmsg
.	.	Z

(	(	Z
18	18	Mdc
)	)	Z
Stavke	stavka	Ncfpn
u	u	Sl
dostavljenim	dostaviti	Agpfply
ponudama	ponuda	Ncfpl
moraju	morati	Vmr3p
sadržavati	sadržavati	Vmn
točan	točan	Agpmsann
naziv	naziv	Ncmsan
tip	tip	Ncmsn
/	/	Z
model	model	Ncmsn
,	,	Z
kataloški	kataloški	Agpmsny
broj	broj	Ncmsn
proizvoda	proizvod	Ncmpg
iz	iz	Sg
proizvođačkog	proizvođački	Agpmsgy
cjenika	cjenik	Ncmsg
(	(	Z
ukoliko	ukoliko	Cs
postoji	postojati	Vmr3s
)	)	Z
,	,	Z
naziv	naziv	Ncmsn
proizvođača	proizvođač	Ncmsg
te	te	Cc
iskazane	iskazati	Appfsgy
po	po	Sl
jedinici	jedinica	Ncfsl
mjere	mjera	Ncfsg
,	,	Z
količini	količina	Ncfsl
,	,	Z
jediničnoj	jedinični	Agpfsly
cijeni	cijena	Ncfsl
i	i	Cc
ukupnoj	ukupan	Agpfsly
cijeni	cijena	Ncfsl
stavke	stavka	Ncfsg
te	te	Cc
ukupnoj	ukupan	Agpfsly
cijeni	cijena	Ncfsl
ponude	ponuda	Ncfsg
.	.	Z

PDV	PDV	Npmsn
mora	morati	Vmr3s
biti	biti	Van
posebno	posebno	Rgp
iskazan	iskazati	Appmsnn
.	.	Z

Ako	ako	Cs
se	sebe	Px--sa
kao	kao	Cs
posebna	poseban	Agpfsny
stavka	stavka	Ncfsn
u	u	Sl
ponudama	ponuda	Ncfpl
iskazuju	iskazivati	Vmr3p
usluge	usluga	Ncfpa
kao	kao	Cs
što	što	Cs
su	biti	Var3p
prijevoz	prijevoz	Ncmsn
,	,	Z
montaža	montaža	Ncfsn
i	i	Cc
obuka	obuka	Ncfpg
,	,	Z
moraju	morati	Vmr3p
se	sebe	Px--sa
iskazati	iskazati	Vmn
jediničnom	jedinični	Agpfsiy
cijenom	cijena	Ncfsi
po	po	Sl
jedinici	jedinica	Ncfsl
mjere	mjera	Ncfsg
i	i	Cc
ukupnom	ukupan	Agpfsiy
cijenom	cijena	Ncfsi
usluge	usluga	Ncfsg
.	.	Z

Agencija	agencija	Ncfsn
za	za	Sa
plaćanje	plaćanje	Ncnsa
može	moći	Vmr3s
zatražiti	zatražiti	Vmn
od	od	Sg
ponuditelja	ponuditelj	Ncmsg
detaljnije	detaljan	Agcfsgy
informacije	informacija	Ncfsg
ili	ili	Cc
obrazloženja	obrazloženje	Ncnsg
o	o	Sl
stavkama	stavka	Ncfpl
iz	iz	Sg
ponude	ponuda	Ncfsg
,	,	Z
a	a	Cc
korisnik	korisnik	Ncmsn
je	biti	Var3s
dužan	dužan	Agpmsnn
osigurati	osigurati	Vmn
da	da	Cs
ponuditelj	ponuditelj	Ncmsn
dostavi	dostaviti	Vmr3s
tražene	tražen	Agpfpay
informacije	informacija	Ncfpa
ili	ili	Cc
obrazloženja	obrazloženje	Ncnsg
.	.	Z

(	(	Z
19	19	Mdc
)	)	Z
Tijekom	tijekom	Sg
administrativne	administrativan	Agpfsgy
kontrole	kontrola	Ncfsg
Agencija	agencija	Ncfsn
za	za	Sa
plaćanja	plaćanje	Ncnpa
može	moći	Vmr3s
zatražiti	zatražiti	Vmn
dokaz	dokaz	Ncmsan
o	o	Sl
vlasničkoj	vlasnički	Agpfsly
strukturi	struktura	Ncfsl
ponuditelja	ponuditelj	Ncmpg
.	.	Z

Na	na	Sa
zahtjev	zahtjev	Ncmsan
Agencije	agencija	Ncfsg
za	za	Sa
plaćanja	plaćanje	Ncnpa
korisnik	korisnik	Ncmsn
je	biti	Var3s
dužan	dužan	Agpmsnn
dostaviti	dostaviti	Vmn
traženi	tražen	Agpmsayn
dokument	dokument	Ncmsan
,	,	Z
ne	ne	Qz
stariji	star	Agcmsny
od	od	Sg
6	6	Mdc
mjeseci	mjesec	Ncmpg
na	na	Sa
dan	dan	Ncmsan
dostave	dostava	Ncfsg
traženog	tražen	Agpmsgy
dokumenta	dokument	Ncmsg
.	.	Z

(	(	Z
20	20	Mdc
)	)	Z
Ako	ako	Cs
je	biti	Var3s
ponuditelj	ponuditelj	Ncmsn

