domeni	domena	Ncfsd
2014.	2014.	Mdo

3.2.	3.2.	Mdo

Očitovanje	očitovanje	Ncnsn
podnositelja	podnositelj	Ncmpg
inicijative	inicijativa	Ncfsg

Agencija	agencija	Ncfsn
je	biti	Var3s
od	od	Sg
poduzetnika	poduzetnik	Ncmpg
Modulus	Modulus	Npfsg
zatražila	zatražiti	Vmp-sf
dodatno	dodatan	Agpnsay
očitovanje	očitovanje	Ncnsa
.	.	Z

U	u	Sl
podnesku	podnesak	Ncmsl
zaprimljenom	zaprimiti	Appnsly
23.	23.	Mdo
listopada	listopad	Ncmsg
2014.	2014.	Mdo
taj	taj	Pd-msn
je	biti	Var3s
poduzetnik	poduzetnik	Ncmsn
u	u	Sl
bitnome	bitan	Agpmsly
naveo	navesti	Vmp-sm
kako	kako	Cs
se	sebe	Px--sa
de	dati	Vmr3s
facto	facto	Ncfsn
nalazi	nalaziti	Vmr3s
u	u	Sl
stanju	stanje	Ncnsl
mirovanja	mirovanje	Ncnsg
zbog	zbog	Sg
nemogućnosti	nemogućnost	Ncfsg
slobodnog	slobodan	Agpnsgy
nastupanja	nastupanje	Ncnsg
na	na	Sl
tržištu	tržište	Ncnsl
leasing	leasing	Ncmsan
društava	društvo	Ncnpg
koje	koji	Pi-nsn
je	biti	Var3s
bilo	biti	Vap-sn
primarno	primaran	Agpnsny
ciljano	ciljati	Agpnsny
tržište	tržište	Ncnsn
.	.	Z

Na	na	Sa
upit	upit	Ncmsan
o	o	Sl
tome	taj	Pd-nsl
je	biti	Var3s
li	li	Qq
Modulus	Modulus	Npmsn
u	u	Sl
izravnom	izravan	Agpmsly
konkurentskom	konkurentski	Agpmsly
odnosu	odnos	Ncmsl
s	sa	Si
Gemicrom	Gemicr	Npmsi
,	,	Z
odnosno	odnosno	Rgp
u	u	Sl
kakvom	kakav	Pi-msl
su	biti	Var3p
odnosu	odnos	Ncmsl
usluge	usluga	Ncfsg
koje	koji	Pi-fpa
je	biti	Var3s
Modulus	Modulus	Npmsn
namjeravao	namjeravati	Vmp-sm
ponuditi	ponuditi	Vmn
leasing	leasing	Ncmsan
društvima	društvo	Ncmpd
u	u	Sl
usporedbi	usporedba	Ncfsl
s	sa	Si
uslugama	usluga	Ncfpi
koje	koji	Pi-fpa
pruža	pružati	Vmr3s
Gemicro	Gemicro	Npmsn
,	,	Z
Modulus	Modulus	Npmsn
je	biti	Var3s
naveo	navesti	Vmp-sm
kako	kako	Cs
se	sebe	Px--sa
programi	program	Ncmpn
i	i	Cc
usluge	usluga	Ncfpn
koje	koji	Pi-fpa
trenutno	trenutno	Rgp
nudi	nuditi	Vmr3s
obrt	obrt	Ncmsan
KK	KK	Npmsn
Consulting	Consulting	Npmsn
,	,	Z
a	a	Cc
koji	koji	Pi-mpn
bi	biti	Vaa3p
trebali	trebati	Vmp-pm
biti	biti	Van
integrirani	integrirati	Appmpny
u	u	Sa
Modulus	modulus	Ncmsan
te	te	Cc
nadopunjeni	nadopuniti	Appmpny
novim	nov	Agpfpiy
uslugama	usluga	Ncfpi
,	,	Z
mogu	moći	Vmr3p
jednostavno	jednostavno	Rgp
opisati	opisati	Vmn
kao	kao	Cs
»	»	Z
dodatni	dodatan	Agpmpny
«	«	Z
,	,	Z
budući	budući	Cs
da	da	Cs
popunjavaju	popunjavati	Vmr3p
potrebe	potreba	Ncfpa
u	u	Sa
leasing	leasing	Ncmsan
društvima	društvo	Ncnpl
sa	sa	Si
specijaliziranim	specijaliziran	Agpmpiy
programima	program	Ncmpi
kojih	koji	Pi-mpg
nema	nemati	Vmr3s
u	u	Sl
ponudi	ponuda	Ncfsl
na	na	Sl
tržištu	tržište	Ncnsl
te	te	Cc
uslugama	usluga	Ncfpl
koje	koji	Pi-fpa
drugi	drugi	Mlompn
poduzetnici	poduzetnica	Ncmpn
ne	ne	Qz
nude	nuditi	Vmr3p
.	.	Z

Jedino	jedino	Rgp
potencijalno	potencijalan	Agpnsny
preklapanje	preklapanje	Ncnsn
u	u	Sl
ponudi	ponuda	Ncfsl
jest	biti	Var3s
program	program	Ncmsn
[	[	Z
…	…	Z
]	]	Z
koji	koji	Pi-msn
je	biti	Var3s
nastao	nastati	Vmp-sm
kao	kao	Cs
posljedica	posljedica	Ncfsn
novih	nov	Agpmpgy
načina	način	Ncmpg
izvještavanja	izvještavanje	Ncnsg
koje	koji	Pi-nsn
je	biti	Var3s
HANFA	HANFA	Npfsn
propisala	propisati	Vmp-sf
početkom	početkom	Sg
2011.	2011.	Mdo
godine	godina	Ncfsg
.	.	Z

Razlika	razlika	Ncfsn
je	biti	Var3s
u	u	Sl
tome	taj	Pd-nsl
što	što	Pi3n-n
je	biti	Var3s
[	[	Z
…	…	Z
]	]	Z
razvijen	razviti	Appmsnn
tako	tako	Cs
da	da	Cs
se	sebe	Px--sa
koristi	koristiti	Vmr3s
kao	kao	Cs
samostalni	samostalan	Agpmsny
program	program	Ncmsn
,	,	Z
a	a	Cc
sličan	sličan	Agpmsann
proizvod	proizvod	Ncmsan
Gemicra	Gemicr	Npmsg
jest	biti	Var3s
integrirani	integrirati	Appmsayn
modul	modul	Ncmsan
u	u	Sl
njihovom	njihov	Ps3msl
sustavu	sustav	Ncmsl
za	za	Sa
vođenje	vođenje	Ncnsa
poslovanja	poslovanje	Ncnsg
leasing	leasing	Ncmsn
društava	društvo	Ncnpg
i	i	Cc
ne	ne	Qz
može	moći	Vmr3s
se	sebe	Px--sa
koristiti	koristiti	Vmn
odvojeno	odvojiti	Appnsny
.	.	Z

Program	program	Ncmsn
[	[	Z
…	…	Z
]	]	Z
koristi	koristiti	Vmr3s
se	sebe	Px--sa
u	u	Sl
raznim	razni	Agpmply
leasing	leasing	Ncmsn
društvima	društvo	Ncnsg
,	,	Z
neovisno	neovisan	Agpnsny
o	o	Sl
tome	taj	Pd-nsl
koji	koji	Pi-msan
centralni	centralan	Agpmsayn
sustav	sustav	Ncmsan
koriste	koristiti	Vmr3p
.	.	Z

Posebno	posebno	Rgp
upitan	upitati	Appmsnn
od	od	Sg
strane	strana	Ncfsg
Agencije	agencija	Ncfsg
o	o	Sl
tome	taj	Pd-nsl
s	sa	Si
kojim	koji	Pi-msi
je	biti	Var3s
leasing	leasing	Ncmsn
društvima	društvo	Ncnpd
uspostavio	uspostaviti	Vmp-sm
kontakte	kontakt	Ncmpa
te	te	Cc
tko	tko	Pi3m-n
je	biti	Var3s
u	u	Sa
ime	ime	Ncnsa
navedenih	naveden	Agpmpgy
leasing	leasing	Ncmpg
društava	društvo	Ncnpg
usmenim	usmen	Agpmsiy
putem	put	Ncmsi
obavijestio	obavijestiti	Vmp-sm
Modulus	Modulus	Npmsan
o	o	Sl
nemogućnosti	nemogućnost	Ncfsl
uspostavljanja	uspostavljanje	Ncnsg
poslovne	poslovan	Agpfsgy
suradnje	suradnja	Ncfsg
,	,	Z
Modulus	Modulus	Npmsn
je	biti	Var3s
naveo	navesti	Vmp-sm
kako	kako	Cs
su	biti	Var3p
2011.	2011.	Mdo
nakon	nakon	Sg
osnutka	osnutak	Ncmsg
poduzetnika	poduzetnik	Ncmpg
Modulus	Modulus	Npfsg
ostvareni	ostvariti	Appmpny
kontakti	kontakt	Ncmpn
s	sa	Si
[	[	Z
…	…	Z
]	]	Z
.	.	Z

Tada	tada	Rgp
se	sebe	Px--sa
razgovaralo	razgovarati	Vmp-sn
o	o	Sl
automatizaciji	automatizacija	Ncfsl
izvještaja	izvještaj	Ncmsg
te	te	Cc
prebacivanju	prebacivanje	Ncnsl
postojećih	postojeći	Agpmpgy
proizvoda	proizvod	Ncmpg
i	i	Cc
usluga	usluga	Ncfpg
iz	iz	Sg
obrta	obrt	Ncmsg
KK	KK	Npmsn
Consulting	Consulting	Npmsn
u	u	Sa
novoosnovanog	novoosnovan	Agpmsgy
poduzetnika	poduzetnik	Ncmsg
Modulus	Modulu	Npmsg
.	.	Z

Prema	prema	Sl
navodima	navod	Ncmpl
Modulusa	Modulus	Npmsg
,	,	Z
potvrđen	potvrditi	Appmsnn
je	biti	Var3s
interes	interes	Ncmsn
za	za	Si
uslugama	usluga	Ncfpi
vezanim	vezan	Agpfpiy
uz	uz	Sa
automatizaciju	automatizacija	Ncfsa
izvještavanja	izvještavanje	Ncnsg
,	,	Z
ali	ali	Cc
suradnja	suradnja	Ncfsn
nije	biti	Var3s
bila	biti	Vap-sf
moguća	moguć	Agpfsny
zbog	zbog	Sg
spornih	sporan	Agpmpgy
stavaka	stavak	Ncmpg
u	u	Sl
ugovoru	ugovor	Ncmsl
koje	koji	Pi-nsa
to	taj	Pd-nsn
leasing	leasing	Agpnsny
društvo	društvo	Ncnsn
ima	imati	Vmr3s
s	sa	Si
Gemicrom	Gemicr	Npmsi
,	,	Z
te	te	Cc
je	biti	Var3s
napomenuto	napomenuti	Appnsny
da	da	Cs
će	htjeti	Var3s
dosadašnja	dosadašnji	Agpfsny
suradnja	suradnja	Ncfsn
morati	morati	Vmn
biti	biti	Van
prekinuta	prekinuti	Appfsny
zbog	zbog	Sg
toga	taj	Pd-nsg
što	što	Pi3n-n
bi	biti	Vaa3s
postojeće	postojeći	Agpfpay
usluge	usluga	Ncfpa
i	i	Cc
proizvodi	proizvod	Ncmpn
bili	biti	Vap-pm
prebačeni	prebaciti	Appmpny
iz	iz	Sg
obrta	obrt	Ncmsg
KK	KK	Npmsn
Consulting	Consulting	Npmsn
u	u	Sl
Modulus	Modulu	Npmsl
.	.	Z

Modulus	Modulus	Npmsn
navodi	navoditi	Vmr3s
da	da	Cs
je	biti	Var3s
sličan	sličan	Agpmsnn
odgovor	odgovor	Ncmsn
dobio	dobiti	Vmp-sm
i	i	Cc
od	od	Sg
poduzetnika	poduzetnik	Ncmpg
[	[	Z
…	…	Z
]	]	Z
.	.	Z

Zaključno	zaključni	Agpnsny
,	,	Z
Modulus	Modulus	Npmsn
je	biti	Var3s
naveo	navesti	Vmp-sm
da	da	Cs
leasing	leasing	Ncmsn
društva	društvo	Ncnsg
koja	koji	Pi-npn
su	biti	Var3p
korisnici	korisnik	Ncmpn
Gemicra	Gemicra	Npmsn
čine	činiti	Vmr3p
više	mnogo	Rgc
od	od	Sg
50	50	Mdc
%	%	Z
leasing	leasing	Ncmsn
društava	društvo	Ncnpg
u	u	Sl
Hrvatskoj	Hrvatska	Npfsl
,	,	Z
a	a	Cc
po	po	Sl
tržišnom	tržišni	Agpmsly
udjelu	udjel	Ncmsl
i	i	Cc
više	mnogo	Rgc
od	od	Sg
toga	taj	Pd-nsg
.	.	Z

4.	4.	Mdo
Mjerodavno	mjerodavan	Agpnsny
tržište	tržište	Ncnsn

Sukladno	sukladan	Agpnsny
odredbi	odredba	Ncfsl
članka	članak	Ncmsg
7.	7.	Mdo
ZZTN-a	ZZTN	Npmsg
,	,	Z
mjerodavno	mjerodavan	Agpnsny
tržište	tržište	Ncnsn
određuje	određivati	Vmr3s
se	sebe	Px--sa
kao	kao	Cs
tržište	tržište	Ncnsn
određene	određen	Agpfsgy
robe	roba	Ncfsg
i	i	Cc
/	/	Z
ili	ili	Cc
usluga	usluga	Ncfpg
koje	koji	Pi-fpn
su	biti	Var3p
predmet	predmet	Ncmsn
obavljanja	obavljanje	Ncnsg
djelatnosti	djelatnost	Ncfsg
poduzetnika	poduzetnik	Ncmpg
na	na	Sl
određenom	određen	Agpnsly
zemljopisnom	zemljopisan	Agpnsly
području	područje	Ncnsl
.	.	Z

Mjerodavno	mjerodavno	Rgp
se	sebe	Px--sa
tržište	tržište	Ncnsn
,	,	Z
sukladno	sukladan	Agpnsny
odredbi	odredba	Ncfsl
članka	članak	Ncmsg
4.	4.	Mdo
Uredbe	uredba	Ncfsg
o	o	Sl
načinu	način	Ncmsl
i	i	Cc
kriterijima	kriterij	Ncmpl
utvrđivanja	utvrđivanje	Ncnsg
mjerodavnog	mjerodavan	Agpnsgy
tržišta	tržište	Ncnsg
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
broj	broj	Ncmsn
9/11	9/11	Mds
;	;	Z
dalje	daleko	Rgc
:	:	Z
Uredba	uredba	Ncfsn
o	o	Sl
mjerodavnom	mjerodavan	Agpnsly
tržištu	tržište	Ncnsl
)	)	Z
,	,	Z
utvrđuje	utvrđivati	Vmr3s
na	na	Sa
način	način	Ncmsan
da	da	Cs
se	sebe	Px--sa
utvrdi	utvrditi	Vmr3s
njegova	njegov	Ps3fsn
proizvodna	proizvodni	Agpfsny
dimenzija	dimenzija	Ncfsn
(	(	Z
mjerodavno	mjerodavan	Agpnsay
tržište	tržište	Ncnsa
u	u	Sl
proizvodnom	proizvodni	Agpmsly
smislu	smisao	Ncmsl
)	)	Z
i	i	Cc
zemljopisna	zemljopisan	Agpfsny
dimenzija	dimenzija	Ncfsn
(	(	Z
mjerodavno	mjerodavan	Agpnsay
tržište	tržište	Ncnsa
u	u	Sl
zemljopisnom	zemljopisan	Agpmsly
smislu	smisao	Ncmsl
)	)	Z
.	.	Z

Sukladno	sukladno	Rgp
članku	članak	Ncmsl
5.	5.	Mdo
Uredbe	uredba	Ncfsg
o	o	Sl
mjerodavnom	mjerodavan	Agpnsly
tržištu	tržište	Ncnsl
,	,	Z
mjerodavno	mjerodavan	Agpnsay
tržište	tržište	Ncnsa
u	u	Sl
proizvodnom	proizvodni	Agpmsly
smislu	smisao	Ncmsl
obuhvaća	obuhvaćati	Vmr3s
sve	sav	Agpmpay
proizvode	proizvod	Ncmpa
za	za	Sa
koje	koji	Pi-mpa
potrošači	potrošač	Ncmpn
smatraju	smatrati	Vmr3p
da	da	Cs
su	biti	Var3p
međusobno	međusobno	Rgp
zamjenjivi	zamjenjiv	Agpmpny
s	sa	Si
obzirom	obzir	Ncmsi
na	na	Sa
njihove	njihov	Ps3fpa
bitne	bitan	Agpfpay
značajke	značajka	Ncfpa
,	,	Z
cijenu	cijena	Ncfsa
ili	ili	Cc
način	način	Ncmsan
uporabe	uporaba	Ncfsg
,	,	Z
odnosno	odnosno	Rgp
navike	navika	Ncfpa
potrošača	potrošač	Ncmpg
.	.	Z

Prema	prema	Sl
članku	članak	Ncmsl
6.	6.	Mdo
Uredbe	uredba	Ncfsg
o	o	Sl
mjerodavnom	mjerodavan	Agpnsly
tržištu	tržište	Ncnsl
,	,	Z
mjerodavno	mjerodavan	Agpnsay
tržište	tržište	Ncnsa
u	u	Sl
zemljopisnom	zemljopisan	Agpmsly
smislu	smisao	Ncmsl
obuhvaća	obuhvaćati	Vmr3s
zemljopisno	zemljopisan	Agpnsay
područje	područje	Ncnsa
na	na	Sl
kojem	koji	Pi-nsl
poduzetnici	poduzetnica	Ncfsl
sudjeluju	sudjelovati	Vmr3p
u	u	Sl
ponudi	ponuda	Ncfsl
ili	ili	Cc
nabavi	nabava	Ncfsl
proizvoda	proizvod	Ncmpg
.	.	Z

Sukladno	sukladno	Rgp
članku	članak	Ncmsd
3.	3.	Mdo
stavku	stavak	Ncmsl
2.	2.	Mdo
Uredbe	uredba	Ncfsg
o	o	Sl
mjerodavnom	mjerodavan	Agpnsly
tržištu	tržište	Ncnsl
,	,	Z
svrha	svrha	Ncfsn
utvrđivanja	utvrđivanje	Ncnsg

