osoba	osoba	Ncfsn
utvrđuje	utvrđivati	Vmr3s
Povjerenstvo	povjerenstvo	Ncnsn
natpolovičnom	natpolovičan	Agpfsiy
većinom	većina	Ncfsi
ukupnog	ukupan	Agpmsgy
broja	broj	Ncmsg
članova	član	Ncmpg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Uspjeh	uspjeh	Ncmsn
kandidata	kandidat	Ncmpg
na	na	Sl
pojedinom	pojedini	Agpmsly
dijelu	dio	Ncmsl
pomoćničkog	pomoćnički	Agpmsgy
ispita	ispit	Ncmsg
vrednuje	vrednovati	Vmr3s
se	sebe	Px--sa
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
očekivanim	očekivati	Agpmpiy
praktičnim	praktičan	Agpfpiy
stručnim	stručan	Agpfpiy
kompetencijama	kompetencija	Ncfpi
i	i	Cc
očekivanim	očekivati	Agpmpiy
ishodima	ishod	Ncmpi
iz	iz	Sg
programa	program	Ncmsg
pomoćničkog	pomoćnički	Agpmsgy
ispita	ispit	Ncmsg
za	za	Sa
određenu	određen	Agpfsay
strukovnu	strukovni	Agpfsay
kvalifikaciju	kvalifikacija	Ncfsa
.	.	Z
«	«	Z
.	.	Z

Članak	članak	Ncmsn
13.	13.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
U	u	Sl
članku	članak	Ncmsl
17.	17.	Mdo
stavku	stavak	Ncmsl
2.	2.	Mdo
riječi	riječ	Ncfsg
:	:	Z
»	»	Z
zahtjev	zahtjev	Ncmsan
za	za	Sa
odgodu	odgoda	Ncfsa
«	«	Z
zamjenjuju	zamjenjivati	Vmr3p
se	sebe	Px--sa
riječima	riječ	Ncfpi
:	:	Z
»	»	Z
obavijest	obavijest	Ncfsn
o	o	Sl
odgodi	odgoda	Ncfsl
«	«	Z
,	,	Z
a	a	Cc
riječ	riječ	Ncfsn
:	:	Z
»	»	Z
opravdanosti	opravdanost	Ncfsg
«	«	Z
u	u	Sa
riječ	riječ	Ncfsa
:	:	Z
»	»	Z
razlozima	razlog	Ncmpi
«	«	Z
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
U	u	Sl
stavku	stavak	Ncmsl
5.	5.	Mdo
iza	iza	Sg
riječi	riječ	Ncfsg
:	:	Z
»	»	Z
Pravilnika	pravilnik	Ncmsg
«	«	Z
dodaju	dodati	Vmr3p
se	sebe	Px--sa
riječi	riječ	Ncfpn
:	:	Z
»	»	Z
ili	ili	Cc
da	da	Cs
je	biti	Var3s
na	na	Sa
neki	neki	Pi-msan
drugi	drugi	Mlomsan
način	način	Ncmsan
povrijeđeno	povrijeđen	Agpnsay
neko	neki	Agpnsay
njegovo	njegov	Agpnsay
pravo	pravo	Ncnsa
«	«	Z
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
U	u	Sl
stavku	stavak	Ncmsl
6.	6.	Mdo
riječi	riječ	Ncfsg
:	:	Z
»	»	Z
rješenja	rješenje	Ncnsg
koje	koji	Pi-nsn
je	biti	Var3s
konačno	konačno	Rgp
«	«	Z
zamjenjuju	zamjenjivati	Vmr3p
se	sebe	Px--sa
riječi	riječ	Ncfpn
:	:	Z
»	»	Z
odluke	odluka	Ncfsg
«	«	Z
.	.	Z

Članak	članak	Ncmsn
14.	14.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
U	u	Sl
članku	članak	Ncmsl
18.	18.	Mdo
stavak	stavak	Ncmsn
4.	4.	Mdo
mijenja	mijenjati	Vmr3s
se	sebe	Px--sa
i	i	Cc
glasi	glasiti	Vmr3s
:	:	Z

»	»	Z
(	(	Z
4	4	Mdc
)	)	Z
Dokumentaciju	dokumentacija	Ncfsa
o	o	Sl
provedenim	provesti	Agpmply
ispitima	ispit	Ncmpl
(	(	Z
Zapisnik	zapisnik	Ncmsn
,	,	Z
pisani	pisan	Agpmsayn
ispit	ispit	Ncmsan
,	,	Z
svjedodžbe	svjedodžba	Ncfpa
i	i	Cc
ostalo	ostali	Agpnsny
)	)	Z
Povjerenstvo	povjerenstvo	Ncnsn
dostavlja	dostavljati	Vmr3s
Agenciji	agencija	Ncfsd
,	,	Z
najkasnije	kasno	Rgs
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
5	5	Mdc
dana	dan	Ncmpg
od	od	Sg
dana	dan	Ncmsg
završetka	završetak	Ncmsg
roka	rok	Ncmsg
iz	iz	Sg
članka	članak	Ncmsg
5.	5.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
.	.	Z
«	«	Z
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Iza	iza	Sg
članka	članak	Ncmsg
4.	4.	Mdo
dodaje	dodavati	Vmr3s
se	sebe	Px--sa
novi	nov	Agpmsny
stavak	stavak	Ncmsn
5.	5.	Mdo
koji	koji	Pi-msn
glasi	glasiti	Vmr3s
:	:	Z

»	»	Z
(	(	Z
5	5	Mdc
)	)	Z
Dokumentacija	dokumentacija	Ncfsn
iz	iz	Sg
stavka	stavak	Ncmsg
4.	4.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
se	sebe	Px--sa
kategorizira	kategorizirati	Vmr3s
,	,	Z
čuva	čuvati	Vmr3s
i	i	Cc
pohranjuje	pohranjivati	Vmr3s
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
propisima	propis	Ncmpi
o	o	Sl
arhivskom	arhivski	Agpmsly
i	i	Cc
registraturnom	registraturni	Agpnsly
gradivu	gradivo	Ncnsl
.	.	Z
«	«	Z
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Dosadašnji	dosadašnji	Agpmsny
stavak	stavak	Ncmsn
5.	5.	Mdo
postaje	postajati	Vmr3s
stavak	stavak	Ncmsan
6.	6.	Mdo

Članak	članak	Ncmsn
15.	15.	Mdo

Članak	članak	Ncmsn
19.	19.	Mdo
briše	brisati	Vmr3s
se	sebe	Px--sa
.	.	Z

Članak	članak	Ncmsn
16.	16.	Mdo

Članak	članak	Ncmsn
20.	20.	Mdo
briše	brisati	Vmr3s
se	sebe	Px--sa
.	.	Z

Članak	članak	Ncmsn
17.	17.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Ispred	ispred	Sg
članka	članak	Ncmsg
21.	21.	Mdo
dodaje	dodavati	Vmr3s
se	sebe	Px--sa
naslov	naslov	Ncmsn
:	:	Z
»	»	Z
IZDAVANJE	izdavanje	Ncnsn
I	i	Cc
EVIDENCIJA	evidencija	Ncfsn
UVJERENJA	uvjerenje	Ncnsg
O	o	Sl
USPJEŠNO	uspješno	Rgp
POLOŽENOM	položiti	Agpmsly
POMOĆNIČKOM	pomoćnički	Agpmsly
ISPITU	ispit	Ncmsl
«	«	Z
.	.	Z

Članak	članak	Ncmsn
18.	18.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
U	u	Sl
članku	članak	Ncmsl
21.	21.	Mdo
stavku	stavak	Ncmsl
2.	2.	Mdo
riječ	riječ	Ncfsn
»	»	Z
izdanih	izdan	Agpmpgy
«	«	Z
briše	brisati	Vmr3s
se	sebe	Px--sa
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Iza	iza	Sg
stavka	stavak	Ncmsg
2.	2.	Mdo
dodaju	dodati	Vmr3p
se	sebe	Px--sa
novi	nov	Agpmpny
stavci	stavak	Ncmpn
3.	3.	Mdo
i	i	Cc
4.	4.	Mdo
koji	koji	Pi-mpn
glase	glasiti	Vmr3p
:	:	Z

»	»	Z
(	(	Z
3	3	Mdc
)	)	Z
Evidencija	evidencija	Ncfsn
uvjerenja	uvjerenje	Ncnsg
o	o	Sl
uspješno	uspješno	Rgp
položenom	položiti	Agpmsly
pomoćničkom	pomoćnički	Agpmsly
ispitu	ispit	Ncmsl
vodi	voditi	Vmr3s
se	sebe	Px--sa
u	u	Sl
elektronskom	elektronski	Agpmsly
obliku	oblik	Ncmsl
putem	put	Sg
interaktivne	interaktivan	Agpfsgy
web-aplikacije	web-aplikacija	Ncfsg
e-Naukovanje	e-naukovanja	Ncfsg
,	,	Z
koja	koji	Pi-fsn
je	biti	Var3s
dostupna	dostupan	Agpfsny
na	na	Sl
službenim	služben	Agpfply
mrežnim	mrežni	Agpfply
stranicama	stranica	Ncfpl
ministarstva	ministarstvo	Ncnsg
nadležnog	nadležan	Agpmsgy
za	za	Sa
obrt	obrt	Ncmsan
(	(	Z
www.minpo.hr	www.minpo.hr	X
)	)	Z
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Podatke	podatak	Ncmpa
o	o	Sl
osobama	osoba	Ncfpl
koje	koji	Pi-fpn
su	biti	Var3p
uspješno	uspješno	Rgp
položile	položiti	Vmp-pf
pomoćnički	pomoćnički	Agpmsayn
ispit	ispit	Ncmsan
,	,	Z
u	u	Sa
svrhu	svrha	Ncfsa
izdavanja	izdavanje	Ncnsg
uvjerenja	uvjerenje	Ncnsg
o	o	Sl
položenom	položiti	Agpmsly
pomoćničkom	pomoćnički	Agpmsly
ispitu	ispit	Ncmsl
,	,	Z
dostupnima	dostupan	Agpmpdy
kroz	kroz	Sa
interaktivnu	interaktivan	Agpfsay
web	web	Agpfsay
aplikaciju	aplikacija	Ncfsa
e-Naukovanje	e-naukovanje	Ncnsg
osiguravaju	osiguravati	Vmr3p
srednje	srednji	Agpfpny
škole	škola	Ncfpn
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
15	15	Mdc
dana	dan	Ncmpg
od	od	Sg
završetka	završetak	Ncmsg
ispitnog	ispitan	Agpmsgy
roka	rok	Ncmsg
.	.	Z
«	«	Z
.	.	Z

Članak	članak	Ncmsn
19.	19.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Iza	iza	Sg
članka	članak	Ncmsg
21.	21.	Mdo
dodaje	dodavati	Vmr3s
se	sebe	Px--sa
naslov	naslov	Ncmsn
:	:	Z
»	»	Z
PRIJELAZNE	prijelazan	Agpfpny
I	i	Cc
ZAVRŠNE	završan	Agpfpay
ODREDBE	odredba	Ncfpa
«	«	Z
i	i	Cc
novi	nov	Agpmsny
članak	članak	Ncmsn
22.	22.	Mdo
koji	koji	Pi-msn
glasi	glasiti	Vmr3s
:	:	Z

»	»	Z
(	(	Z
1	1	Mdc
)	)	Z
Kandidat	kandidat	Ncmsn
iz	iz	Sg
članka	članak	Ncmsg
4.	4.	Mdo
stavka	stavak	Ncmsg
3.	3.	Mdo
ovoga	ovaj	Pd-nsg
Pravilnika	pravilnik	Ncmsg
i	i	Cc
kandidat	kandidat	Ncmsn
koji	koji	Pi-msn
dva	dva	Mlc
puta	puta	Rgp
nije	biti	Var3s
položio	položiti	Vmp-sm
popravni	popravni	Agpmsayn
ispit	ispit	Ncmsan
iz	iz	Sg
članka	članak	Ncmsg
15.	15.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
podstavka	podstavak	Ncmsg
2.	2.	Mdo
Pravilnika	pravilnik	Ncmsg
snosi	snositi	Vmr3s
sve	sav	Agpmpay
troškove	trošak	Ncmpa
polaganja	polaganje	Ncnsg
pomoćničkog	pomoćnički	Agpmsgy
ispita	ispit	Ncmsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Odluku	odluka	Ncfsa
o	o	Sl
visini	visina	Ncfsl
i	i	Cc
načinu	način	Ncmsl
uplate	uplata	Ncfsg
troškova	trošak	Ncmpg
polaganja	polaganje	Ncnsg
pomoćničkog	pomoćnički	Agpmsgy
ispita	ispit	Ncmsg
za	za	Sa
kandidate	kandidat	Ncmpa
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovog	ovaj	Pd-msg
članka	članak	Ncmsg
donosi	donositi	Vmr3s
Agencija	agencija	Ncfsn
.	.	Z
«	«	Z
.	.	Z

Članak	članak	Ncmsn
20.	20.	Mdo

Iza	iza	Sg
članka	članak	Ncmsg
22.	22.	Mdo
dodaje	dodavati	Vmr3s
se	sebe	Px--sa
novi	nov	Agpmsny
članak	članak	Ncmsn
23.	23.	Mdo
koji	koji	Pi-msn
glasi	glasiti	Vmr3s
:	:	Z

»		Agpmsiy
Danom	dan	Ncmsi
stupanja	stupanje	Ncnsg
na	na	Sa
snagu	snaga	Ncfsa
ovog	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
prestaju	prestajati	Vmr3p
važiti	važiti	Vmn
odredbe	odredba	Ncfpa
članaka	članak	Ncmpg
1.	1.	Mdo
,	,	Z
3.	3.	Mdo
i	i	Cc
5.	5.	Mdo
Rješenja	rješenje	Ncnsg
o	o	Sl
cijeni	cijena	Ncfsl
polaganja	polaganje	Ncnsg
ispita	ispitati	Vmr3s
o	o	Sl
stručnoj	stručan	Agpfsly
osposobljenosti	osposobljenost	Ncfsl
,	,	Z
pomoćničkog	pomoćnički	Agpmsgy
i	i	Cc
majstorskog	majstorski	Agpmsgy
ispita	ispit	Ncmsg
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
broj	broj	Ncmsn
31/2002	31/2002	Mds
)	)	Z
,	,	Z
u	u	Sl
dijelu	dio	Ncmsl
u	u	Sa
koji	koji	Pi-msn
se	sebe	Px--sa
odnosi	odnositi	Vmr3s
na	na	Sa
polaganje	polaganje	Ncnsa
pomoćničkog	pomoćnički	Agpmsgy
ispita	ispit	Ncmsg
.	.	Z
«	«	Z
.	.	Z

Članak	članak	Ncmsn
21.	21.	Mdo

Ovaj	ovaj	Pd-msn
Pravilnik	pravilnik	Ncmsn
stupa	stupati	Vmr3s
na	na	Sa
snagu	snaga	Ncfsa
osmog	osmi	Mlomsg
dana	dan	Ncmsg
od	od	Sg

