stečena	steći	Appfsny
spuštenost	spuštenost	Ncfsn
gornje	gornji	Agpfsgy
očne	očni	Agpfsgy
vjeđe	vjeđa	Ncfsg
na	na	Sl
jednom	jedan	Agpnsly
oku	oko	Ncnsl
ili	ili	Cc
na	na	Sa
oba	oba	Ncnsa
oka	oko	Ncnsg
(	(	Z
H02	H02	Qr
.	.	Z
4	4	Mdc
)	)	Z
1.	1.	Mdo
Bez	bez	Sg
smetnji	smetnja	Ncfpg
(	(	Z
ili	ili	Cc
prekriva	prekriv	Agpfsny
manje	malo	Rgc
od	od	Sg
pola	polo	Rgp
rožnice	rožnica	Ncfsg
)	)	Z
O	o	Sl
4	4	Mdc
4	4	Mdc
4	4	Mdc
4	4	Mdc
4	4	Mdc
2.	2.	Mdo
S	sa	Si
funkcionalnim	funkcionalan	Agpfpiy
smetnjama	smetnja	Ncfpi
(	(	Z
ili	ili	Cc
prekriva	prekrivati	Vmr3s
više	mnogo	Rgc
od	od	Sg
pola	polo	Rgp
rožnice	rožnica	Ncfsg
)	)	Z
O	o	Sl
1	1	Mdc
1	1	Mdc
1	1	Mdc
1	1	Mdc
1	1	Mdc
44.	44.	Mdo
*	*	Z
Keratokonus	keratokonus	Ncmsn
na	na	Sl
jednom	jedan	Agpnsly
oku	oko	Ncnsl
ili	ili	Cc
na	na	Sa
oba	oba	Ncnsa
oka	oko	Ncnsg
(	(	Z
H18	H18	Qr
.	.	Z
6	6	Mdc
)	)	Z
O	o	Sl
1,3	1,3	Mdc
1,3	1,3	Mdc
1,3	1,3	Mdc
1,3	1,3	Mdc
1,3	1,3	Mdc
45.	45.	Mdo
*	*	Z
Nistagmus	nistagmus	Ncmsn
okularne	okularan	Agpfsgy
geneze	geneza	Ncfsg
(	(	Z
H55	H55	X
)	)	Z
O	o	Sl
1,3	1,3	Mdc
1,3	1,3	Mdc
1,3	1,3	Mdc
1,3	1,3	Mdc
1,3	1,3	Mdc
VIII	viii	Mrc
.	.	Z

BOLESTI	bolest	Ncfpn
UHA	uho	Ncnsg
I	i	Cc
MASTOIDNOG	mastoidni	Agpmsgy
NASTAVKA	nastavak	Ncmsg
(	(	Z
H60-H95	H60-H95	Mds
)	)	Z
46.	46.	Mdo
*	*	Z
Kronična	kroničan	Agpfsny
gnojna	gnojan	Agpfsny
upala	upala	Ncfsn
srednjeg	srednji	Agpnsgy
uha	uho	Ncnsg
,	,	Z
jedno	jedno	Rgp
ili	ili	Cc
obostrana	obostran	Agpfsny
:	:	Z
mezotimpanalna	mezotimpanalan	Agpfsny
,	,	Z
koštana	koštan	Agpfsny
,	,	Z
s	sa	Si
kolesteatomom	kolesteatoma	Ncfsi
ili	ili	Cc
velikom	velik	Agpfsiy
suhom	suh	Agpfsiy
perforacijom	perforacija	Ncfsi
bubnjića	bubnjić	Ncmpg
(	(	Z
H65-H75	H65-H75	Mds
)	)	Z
,	,	Z
U	u	Sa
1,4	1,4	Mdc
1,3,4	1,3,4	Mdc
1,3,4	1,3,4	Mdc
1,3,4	1,3,4	Mdc
1,3,4	1,3,4	Mdc
Akustička	akustički	Agpfsny
trauma	trauma	Ncfsn
,	,	Z
stanje	stanje	Ncnsn
poslije	poslije	Sg
liječenja	liječenje	Ncnsg
(	(	Z
H60-H62	h60-h6i	Agpnsny
,	,	Z
H74	H74	X
,	,	Z
H80	H80	Mdm
,	,	Z
H83	H83	Mdm
,	,	Z
H92-H95	H92-H95	Mdm
)	)	Z
,	,	Z
Izolirani	izoliran	Agpmsny
periferni	periferan	Agpmsny
vestibularni	vestibularan	Agpmsny
poremećaj	poremećaj	Ncmsn
(	(	Z
H81	H81	X
-	-	Z
H82	H82	X
)	)	Z
47.	47.	Mdo

Gluhonijemost	gluhonijemost	Ncfsn
(	(	Z
H91	H91	Qr
.	.	Z
3	3	Mdc
)	)	Z
U	u	Sa
1	1	Mdc
1	1	Mdc
1	1	Mdc
1	1	Mdc
1	1	Mdc
Nagluhost	nagluhost	Ncfsn
i	i	Cc
gluhoća	gluhoća	Ncfsn
(	(	Z
H90-H91	H90-H91	Npmsn
)	)	Z
48.	48.	Mdo
*	*	Z
1.	1.	Mdo
Na	na	Sl
jednom	jedan	Mlcmsl
uhu	uho	Ncnsl
prosječan	prosječan	Agpmsann
gubitak	gubitak	Ncmsan
sluha	sluh	Ncmsg
od	od	Sg
30	30	Mdc
dB	d	Ncmpg
do	do	Sg
40	40	Mdc
dB	d	Npmpg
,	,	Z
a	a	Cc
na	na	Sl
drugom	drugi	Mlomsl
normalan	normalan	Agpmsann
sluh	sluh	Ncmsan
U	u	Sa
4	4	Mdc
4	4	Mdc
4	4	Mdc
4	4	Mdc
4	4	Mdc
2.	2.	Mdo
Na	na	Sl
jednom	jedan	Mlcmsl
uhu	uho	Ncnsl
prosječan	prosječan	Agpmsann
gubitak	gubitak	Ncmsan
sluha	sluh	Ncmsg
40	40	Mdc
dB	db	Ncfpg
i	i	Cc
veći	velik	Agcmsny
,	,	Z
a	a	Cc
na	na	Sl
drugom	drugi	Mlomsl
normalan	normalan	Agpmsann
sluh	sluh	Ncmsan
,	,	Z
U	u	Sa
4	4	Mdc
3	3	Mdc
4	4	Mdc
4	4	Mdc
4	4	Mdc
Na	na	Sa
oba	oba	Mls
uha	uho	Ncnsg
prosječan	prosječan	Agpmsann
gubitak	gubitak	Ncmsan
sluha	sluh	Ncmsg
do	do	Sg
40	40	Mdc
dB	dB	Y
3.	3.	Mdo
Na	na	Sl
jednom	jedan	Mlcmsl
uhu	uho	Ncnsl
prosječan	prosječan	Agpmsann
gubitak	gubitak	Ncmsan
sluha	sluh	Ncmsg
40	40	Mdc
dB	db	Ncfpg
i	i	Cc
veći	velik	Agcmsny
,	,	Z
a	a	Cc
na	na	Sl
drugom	drugi	Mlomsl
do	do	Sg
50	50	Mdc
dB	dB	Y
,	,	Z
U	u	Sa
3	3	Mdc
3	3	Mdc
3	3	Mdc
3	3	Mdc
3	3	Mdc
Na	na	Sa
oba	oba	Mls
uha	uho	Ncnsg
prosječan	prosječan	Agpmsann
gubitak	gubitak	Ncmsan
sluha	sluh	Ncmsg
do	do	Sg
50	50	Mdc
dB	dB	Y
4.	4.	Mdo
Na	na	Sl
jednom	jedan	Mlcmsl
uhu	uho	Ncnsl
prosječan	prosječan	Agpmsann
gubitak	gubitak	Ncmsan
sluha	sluh	Ncmsg
do	do	Sg
50	50	Mdc
dB	d	Npmpg
,	,	Z
a	a	Cc
na	na	Sl
drugom	drugi	Mlomsl
50	50	Mdc
dB	d	Ncmpl
i	i	Cc
veći	velik	Agcmsny
U	u	Sl
1,3	1,a	Ncfsl
1,3	1,3	Mdc
1,3	1,3	Mdc
1,3	1,3	Mdc
1,3	1,3	Mdc
Na	na	Sa
oba	oba	Ncnsa
uha	uho	Ncnsg
prosječan	prosječan	Agpmsann
gubitak	gubitak	Ncmsan
sluha	sluh	Ncmsg
50	50	Mdc
dB	db	Ncfpg
i	i	Cc
veći	velik	Agcmsny
5.	5.	Mdo
Skotomi	skotom	Ncmpn
izolirani	izolirati	Appmpny
na	na	Sa
4000	4000	Mdc
Hz	hz	Ncmsan
do	do	Sg
50	50	Mdc
dB	d	Ncmpg
,	,	Z
zamjedbeni	zamjedben	Agpmsayn
gubitak	gubitak	Ncmsan
sluha	sluh	Ncmsg
sa	sa	Si
silaznim	silazan	Agpfpiy
krivuljama	krivulja	Ncfpi
iznad	iznad	Sg
4000	4000	Mdc
Hz	Hz	Y
do	do	Sg
50	50	Mdc
dB	d	Npmpg
i	i	Cc
skotomi	skotom	Ncmpn
izolirani	izolirati	Appmpny
na	na	Sa
4000	4000	Mdc
Hz	Hz	Sa
bilo	bilo	Qo
kojeg	koji	Pi-msg
stupnja	stupanj	Ncmsg
,	,	Z
a	a	Cc
na	na	Sl
drugomuhu	drugomuh	Ncmsl
uredan	uredan	Agpmsann
sluh	sluh	Ncmsan
U	u	Sa
4	4	Mdc
4	4	Mdc
4	4	Mdc
4	4	Mdc
4	4	Mdc
6.	6.	Mdo
Skotomi	skotom	Ncmpn
izolirani	izolirati	Appmpny
na	na	Sa
4000	4000	Mdc
Hz	Hz	Y
50	50	Mdc
dB	dB	Y
i	i	Cc
veći	velik	Agcmsny
obostrano	obostrano	Rgp
i	i	Cc
zamjedbeni	zamjedben	Agpmsayn
gubitak	gubitak	Ncmsan
sluha	sluh	Ncmsg
sa	sa	Si
silaznim	silazan	Agpfpiy
krivuljama	krivulja	Ncfpi
iznad	iznad	Sg
4000	4000	Mdc
Hz	Hz	Y
i	i	Cc
50	50	Mdc
dB	d	Npmpg
i	i	Cc
veći	velik	Agcmsny
U	u	Sa
3	3	Mdc
3	3	Mdc
3	3	Mdc
3	3	Mdc
3	3	Mdc
49.	49.	Mdo
*	*	Z
Urođene	urođen	Agpfpny
i	i	Cc
stečene	steći	Agpfpay
mane	mana	Ncfpa
vanjskog	vanjski	Agpnsgy
i	i	Cc
srednjeg	srednji	Agpnsgy
uha	uho	Ncnsg
(	(	Z
Q16	Q16	X
,	,	Z
Q17	Q17	X
)	)	Z
1.	1.	Mdo
S	sa	Si
manjim	mali	Agcfpiy
estetskim	estetski	Agpmsiy
defektom	defekt	Ncmsi
U	u	Sa
1,4	1,4	Mdc
1,4	1,4	Mdc
1,4	1,4	Mdc
1,4	1,4	Mdc
1,4	1,4	Mdc
2.	2.	Mdo
S	sa	Si
većim	velik	Agcfpiy
estetskim	estetski	Agpmsiy
defektom	defekt	Ncmsi
,	,	Z
uz	uz	Sa
deformaciju	deformacija	Ncfsa
lica	lice	Ncnsg
U	u	Sa
1	1	Mdc
1,3	1,3	Mdc
1,3	1,3	Mdc
1,3	1,3	Mdc
1,3	1,3	Mdc
IX	IX	Mrc
.	.	Z

BOLESTI	bolest	Ncfpn
CIRKULACIJSKOG	cirkulacijski	Agpmsgy
SUSTAVA	sustav	Ncmsg
(	(	Z
I00-I99	I00-I99	Mds
)	)	Z
50.	50.	Mdo

Akutne	akutan	Agpfpny
reumatske	reumatski	Agpfsgy
bolesti	bolest	Ncfsg
srca	srce	Ncnsg
(	(	Z
I00-I02	I00-I02	Mds
)	)	Z
1.	1.	Mdo
Liječenje	liječenje	Ncnsn
u	u	Sl
tijeku	tijek	Ncmsl
#	#	Z
#	#	Z
#	#	Z
#	#	Z
#	#	Z
2.	2.	Mdo
Nakon	nakon	Sg
provedenog	provesti	Agpnsgy
liječenja	liječenje	Ncnsg
bez	bez	Sg
posljedica	posljedica	Ncfpg
OS	OS	Npmsn
4	4	Mdc
4	4	Mdc
4	4	Mdc
4	4	Mdc
4	4	Mdc
51.	51.	Mdo
*	*	Z
Kronične	kroničan	Agpfsgy
reumatske	reumatski	Agpfsgy
srčane	srčan	Agpfsgy
bolesti	bolest	Ncfsg
(	(	Z
I05-I09	I05-I09	Mds
)	)	Z
OS	os	Ncfsn
1	1	Mdc
1,3	1,3	Mdc
1,3	1,3	Mdc
1,3	1,3	Mdc
1,3	1,3	Mdc
52.	52.	Mdo
*	*	Z
Urođene	urođen	Agpfpny
i	i	Cc
stečene	steći	Agpfpay
srčane	srčan	Agpfpay
mane	mana	Ncfpa
i	i	Cc
mane	mana	Ncfpa
velikih	velik	Agpfpgy
krvnih	krvni	Agpfpgy
žila	žila	Ncfpg
sa	sa	Si
i	i	Qo
bez	bez	Sg
operat	operat	Ncmsan
.	.	Z
liječenja	liječenje	Ncnsg
(	(	Z
Q20-Q26	Q20-Q26	Mds
)	)	Z
OS	os	Ncfsn
1	1	Mdc
1,3	1,3	Mdc
1,3	1,3	Mdc
1,3	1,3	Mdc
1,3	1,3	Mdc
53.	53.	Mdo
*	*	Z
Povišenje	povišenje	Ncnsn
krvnog	krvni	Agpmsgy
tlaka	tlak	Ncmsg
(	(	Z
I10-I15	I10-I15	Mds
)	)	Z
1.	1.	Mdo
Novootkriveno	novootkriven	Agpnsny
i	i	Cc
liječenje	liječenje	Ncnsa
u	u	Sl
tijeku	tijek	Ncmsl
OS	OS	Npmsn
#	#	Z
#	#	Z
#	#	Z
#	#	Z
#	#	Z
2.	2.	Mdo
Potvrđena	potvrditi	Appfsny
dijagnoza	dijagnoza	Ncfsn
blagog	blag	Agpnsgy
povišenja	povišenje	Ncnsg
krvnog	krvni	Agpmsgy
tlaka	tlak	Ncmsg
OS	OS	Npmsn
4	4	Mdc
4	4	Mdc
4	4	Mdc
4	4	Mdc
4	4	Mdc
3.	3.	Mdo
Potvrđena	potvrditi	Appfsny
dijagnoza	dijagnoza	Ncfsn
umjerenog	umjeren	Agpmsgy
do	do	Sg
teškog	težak	Agpnsgy
povišenja	povišenje	Ncnsg
krvnog	krvni	Agpmsgy
tlaka	tlak	Ncmsg
OS	OS	Npmsn
1	1	Mdc
1,3	1,3	Mdc
1,3	1,3	Mdc
1,3	1,3	Mdc
1,3	1,3	Mdc
54.	54.	Mdo
*	*	Z
Ishemična	ishemični	Agpfsny
bolest	bolest	Ncfsn
srca	srce	Ncnsg
(	(	Z
I20-I25	I20-I25	Mds
)	)	Z
,	,	Z
OS	os	Ncfsn
1	1	Mdc
1,3	1,3	Mdc
1,3	1,3	Mdc
1,3	1,3	Mdc
1,3	1,3	Mdc
Plućna	plućni	Agpfsny
bolest	bolest	Ncfsn
srca	srce	Ncnsg
(	(	Z
I26-I28	I26-I28	Mds
)	)	Z
55.	55.	Mdo
*	*	Z
Perikarditis	perikarditis	Ncmsn
(	(	Z
I30-I32	I30-I32	Mds
)	)	Z
1.	1.	Mdo
Bez	bez	Sg
posljedica	posljedica	Ncfpg
OS	OS	Npmsn
4	4	Mdc
4	4	Mdc
4	4	Mdc
4	4	Mdc
4	4	Mdc
2.	2.	Mdo
S	sa	Si
posljedicama	posljedica	Ncfpi
OS	OS	Npmsn
1	1	Mdc
1	1	Mdc
1,3	1,3	Mdc
1,3	1,3	Mdc
1,3	1,3	Mdc
56.	56.	Mdo
*	*	Z
Endokarditis	endokarditis	Ncmsn
(	(	Z
I33	I33	X
,	,	Z
I38	I38	X
,	,	Z
I39	I39	X
)	)	Z
1.	1.	Mdo
Akutni	akutan	Agpmsny
OS	OS	Npmsn
#	#	Z
#	#	Z
#	#	Z
#	#	Z
#	#	Z
2.	2.	Mdo
Kronični	kroničan	Agpmsny
OS	OS	Npmsn
1,4	1,4	Mdc
1,4	1,4	Mdc
1,3,4	1,3,4	Mdc
1,3,4	1,3,4	Mdc
1,3,4	1,3,4	Mdc
57.	57.	Mdo
*	*	Z
Preležani	preležati	Appmpny
akutni	akutan	Agpmsayn
miokarditis	miokarditis	Ncmsan
(	(	Z
I40-I41	I40-I41	Mds
)	)	Z
1.	1.	Mdo
Bez	bez	Sg
posljedica	posljedica	Ncfpg
OS	OS	Npmsn
4	4	Mdc
4	4	Mdc
4	4	Mdc
4	4	Mdc
4	4	Mdc
2.	2.	Mdo
S	sa	Si
posljedicama	posljedica	Ncfpi
OS	OS	Npmsn
1	1	Mdc
1	1	Mdc
1,3	1,3	Mdc
1,3	1,3	Mdc
1,3	1,3	Mdc
58.	58.	Mdo
*	*	Z
Poremećaji	poremećaj	Ncmpn
u	u	Sl
provodnom	provodni	Agpmsly
sustavu	sustav	Ncmsl
srca	srce	Ncnsg
(	(	Z
I44-I49	I44-I49	Mds
)	)	Z
1.	1.	Mdo
Lakši	lak	Agcmsayn
oblik	oblik	Ncmsan
OS	OS	Npmsan
4	4	Mdc
4	4	Mdc
4	4	Mdc
4	4	Mdc
4	4	Mdc
2.	2.	Mdo
Teži	težiti	Vmr3s
oblik	oblik	Ncmsan
OS	OS	Npmsan
1	1	Mdc
1,3	1,3	Mdc
1,3	1,3	Mdc
1,3	1,3	Mdc
1,3	1,3	Mdc
59.	59.	Mdo
*	*	Z
Kronična	kroničan	Agpfsny
bolest	bolest	Ncfsn
srca	srce	Ncnsg
(	(	Z
I42-I43	I42-I43	Mds
,	,	Z
I50-I52	I50-I52	Mds
)	)	Z
1.	1.	Mdo
Lakši	lak	Agcmsayn
oblik	oblik	Ncmsan
OS	OS	Npmsan
1	1	Mdc
1	1	Mdc
3	3	Mdc
3	3	Mdc
3	3	Mdc
2.	2.	Mdo
Teži	težiti	Vmr3s
oblik	oblik	Ncmsan
OS	OS	Npmsan
1	1	Mdc
1	1	Mdc
1	1	Mdc
1	1	Mdc
1	1	Mdc
60.	60.	Mdo
*	*	Z
Anomalije	anomalija	Ncfsg
valvula	valvula	Ncfpg
(	(	Z
I34-I37	I34-I37	X
)	)	Z
1.	1.	Mdo
Bez	bez	Sg
hemodinamskih	hemodinamski	Agpmpgy
poremećaja	poremećaj	Ncmpg
i	i	Cc
kliničkih	klinički	Agpfpgy
manifestacija	manifestacija	Ncfpg
OS	OS	Npmsn
4	4	Mdc
4	4	Mdc
4	4	Mdc
4	4	Mdc
4	4	Mdc
2.	2.	Mdo
S	sa	Si
hemodinamskim	hemodinamski	Agpmpiy
poremećajima	poremećaj	Ncmpi
i	i	Cc
kliničkim	klinički	Agpfpiy
manifestacijama	manifestacija	Ncfpi
OS	OS	Npmsn
1	1	Mdc
1	1	Mdc
1,3	1,3	Mdc
1,3	1,3	Mdc
1,3	1,3	Mdc
61.	61.	Mdo
*	*	Z
Cerebrovaskularne	cerebrovaskularan	Agpfsgy
bolesti	bolest	Ncfsg
(	(	Z
I60-I69	I60-I69	Npmsn
)	)	Z
,	,	Z
embolije	embolija	Ncfpa
i	i	Cc
tromboze	tromboza	Ncmpn
arterija	arterija	Ncfpg
(	(	Z
I74	I74	X
)	)	Z
OS	os	Ncfsn
1	1	Mdc
1	1	Mdc
1,3	1,3	Mdc
1,3	1,3	Mdc
1,3	1,3	Mdc
NP	NP	Y
62.	62.	Mdo
*	*	Z
Aneurizme	aneurizma	Ncfpn
aorte	aorta	Ncfsg
,	,	Z
plućnih	plućni	Agpfpgy
arterija	arterija	Ncfpg
,	,	Z

