M.	m	Agpnsiy
položaja	položaj	Ncmsg
ili	ili	Cc
utjecaja	utjecaj	Ncmsg
posreduje	posredovati	Vmr3s
da	da	Cs
se	sebe	Px--sa
obavi	obaviti	Vmr3s
službena	služben	Agpfsny
ili	ili	Cc
druga	drugi	Mlofsn
radnja	radnja	Ncfsn
koja	koji	Pi-fsn
bi	biti	Vaa3s
se	sebe	Px--sa
morala	morati	Vmp-sf
obaviti	obaviti	Vmn
odnosno	odnosno	Rgp
da	da	Cs
se	sebe	Px--sa
ne	ne	Qz
bi	biti	Vaa3s
smjela	smjeti	Vmp-sf
obaviti	obaviti	Vmn
,	,	Z
što	što	Pi3n-n
znači	značiti	Vmr3s
da	da	Cs
sporazum	sporazum	Ncmsn
o	o	Sl
daru	dar	Ncmsl
,	,	Z
nagradi	nagrada	Ncfsl
ili	ili	Cc
drugoj	drugi	Mlofsl
koristi	korist	Ncfsl
ili	ili	Cc
obećanje	obećanje	Ncnsa
dara	dar	Ncmpg
ili	ili	Cc
kakve	kakav	Pi-fsg
druge	drugi	Mlofsg
koristi	korist	Ncfsg
mora	morati	Vmr3s
uslijediti	uslijediti	Vmn
prije	prije	Sg
poduzimanja	poduzimanje	Ncnsg
radnje	radnja	Ncfsg
protupravnog	protupravan	Agpnsgy
posredovanja	posredovanje	Ncnsg
ili	ili	Cc
istovremeno	istovremeno	Rgp
s	sa	Si
tom	taj	Pd-fsi
radnjom	radnja	Ncfsi
,	,	Z
to	taj	Pd-nsn
prvostupanjski	prvostupanjski	Agpmsny
sud	sud	Ncmsn
pravilno	pravilno	Rgp
smatra	smatrati	Vmr3s
da	da	Cs
se	sebe	Px--sa
u	u	Sl
konkretnom	konkretan	Agpmsly
slučaju	slučaj	Ncmsl
ne	ne	Qz
radi	raditi	Vmr3s
o	o	Sl
kaznenom	kazneni	Agpnsly
djelu	djelo	Ncnsl
protuzakonitog	protuzakonit	Agpnsgy
posredovanja	posredovanje	Ncnsg
iz	iz	Sg
čl.	čl.	Y
343.	343.	Mdo

KZ	KZ	Npmsn
/	/	Z
97	97	Mdc
nego	nego	Cc
o	o	Sl
kaznenom	kazneni	Agpnsly
djelu	djelo	Ncnsl
poticanja	poticanje	Ncnsg
na	na	Sa
zlouporabu	zlouporaba	Ncfsa
položaja	položaj	Ncmsg
i	i	Cc
ovlasti	ovlast	Ncfpg
iz	iz	Sg
čl.	čla	Ncfsg
337.	337.	Mdo
st.	st.	Y
1.	1.	Mdo
KZ	KZ	Y
/	/	Z
97.	97.	Mdo

Stoga	stoga	Rgp
je	biti	Var3s
prvostupanjski	prvostupanjski	Agpmsny
sud	sud	Ncmsn
pravilno	pravilno	Rgp
iz	iz	Sg
činjeničnog	činjeničan	Agpnsgy
opisao	opisati	Vmp-sm
izostavio	izostaviti	Vmp-sm
one	onaj	Agpfpay
činjenične	činjeničan	Agpfpay
tvrdnje	tvrdnja	Ncfpa
koje	koji	Pi-fpn
ne	ne	Qz
ulaze	ulaziti	Vmr3p
u	u	Sa
opis	opis	Ncmsan
bića	biće	Ncnsg
kaznenog	kazneni	Agpnsgy
djela	djelo	Ncnsg
zlouporabe	zlouporaba	Ncfsg
položaja	položaj	Ncmsg
i	i	Cc
ovlasti	ovlast	Ncfpg
iz	iz	Sg
čl.	čla	Ncfsg
337.	337.	Mdo
st.	st.	Y
1.	1.	Mdo
KZ	KZ	Y
/	/	Z
97.	97.	Mdo
«	«	Z

367.	367.	Mdo

Na	na	Sl
kraju	kraj	Ncmsl
treba	trebati	Vmr3s
podsjetiti	podsjetiti	Vmn
na	na	Sa
činjenicu	činjenica	Ncfsa
da	da	Cs
je	biti	Var3s
USKOK	USKOK	Npmsn
prije	prije	Sg
podizanja	podizanje	Ncnsg
optužnice	optužnica	Ncfsg
odustao	odustati	Vmp-sm
od	od	Sg
progona	progon	Ncmsg
podnositelja	podnositelj	Ncmpg
za	za	Sa
kazneno	kazneni	Agpnsay
djelo	djelo	Ncnsa
zlouporabe	zlouporaba	Ncfsg
položaja	položaj	Ncmsg
i	i	Cc
ovlasti	ovlast	Ncfsg
iz	iz	Sg
članka	članak	Ncmsg
337.	337.	Mdo

KZ-a	KZ	Npmsg
/	/	Z
97.	97.	Mdo

2.2.	2.2.	Mdo

Slučaj	slučaj	Ncmsn
INA-MOL	ina-molti	Vmr3s
kao	kao	Cs
jedna	jedan	Mlcfsn
radnja	radnja	Ncfsn
izvršenja	izvršenje	Ncnsg
djela	djelo	Ncnsg
primanja	primanje	Ncnsg
mita	mit	Ncmsg

368.	368.	Mdo

Kao	kao	Cs
što	što	Cs
je	biti	Var3s
navedeno	navesti	Appnsny
u	u	Sl
točki	točka	Ncfsl
358.	358.	Mdo
obrazloženja	obrazloženje	Ncnsg
ove	ovaj	Pd-fsg
odluke	odluka	Ncfsg
,	,	Z
Županijski	županijski	Agpmsny
sud	sud	Ncmsn
u	u	Sl
Zagrebu	Zagreb	Npmsl
u	u	Sl
prvostupanjskoj	prvostupanjski	Agpfsly
je	biti	Var3s
presudi	presuda	Ncfsl
prvo	prvo	Rgp
zaključio	zaključiti	Vmp-sm
da	da	Cs
su	biti	Var3p
u	u	Sl
postupanju	postupanje	Ncnsl
podnositelja	podnositelj	Ncmpg
u	u	Sl
slučaju	slučaj	Ncmsl
INA-MOL	ina-m	Ncfpl
»	»	Z
utvrđena	utvrditi	Appfsny
obilježja	obilježje	Ncnsg
kaznenog	kazneni	Agpnsgy
djela	djelo	Ncnsg
primanja	primanje	Ncnsg
mita	mit	Ncmsg
koja	koji	Pi-npn
su	biti	Var3p
iscrpljena	iscrpiti	Appnpny
samom	sam	Agpfsiy
spremnošću	spremnost	Ncfsi
da	da	Cs
ugrozi	ugroziti	Vmr3s
zaštićene	zaštititi	Agpfpay
vrijednosti	vrijednost	Ncfpa
«	«	Z
,	,	Z
ali	ali	Cc
i	i	Cc
»	»	Z
ne	ne	Qz
samo	samo	Rgp
to	taj	Pd-nsn
«	«	Z
.	.	Z

U	u	Sl
kaznenom	kazneni	Agpmsly
je	biti	Var3s
postupku	postupak	Ncmsl
utvrđeno	utvrditi	Appnsny
da	da	Cs
je	biti	Var3s
podnositelj	podnositelj	Ncmsn
i	i	Cc
»	»	Z
obavio	obaviti	Vmp-sm
protuslužbene	protuslužben	Agpfpay
radnje	radnja	Ncfpa
za	za	Sa
koje	koji	Pi-mpa
je	biti	Var3s
konačno	konačno	Rgp
i	i	Cc
primio	primiti	Vmp-sm
dar	dar	Ncmsan
...	...	Z
«	«	Z
(	(	Z
str.	str.	Y
191.	191.	Mdo
presude	presuda	Ncfsg
)	)	Z
.	.	Z

369.	369.	Mdo

U	u	Sl
prvostupanjskoj	prvostupanjski	Agpfsly
je	biti	Var3s
presudi	presuda	Ncfsl
također	također	Rgp
navedeno	navesti	Appnsny
(	(	Z
str.	str.	Y
191.	191.	Mdo
)	)	Z
:	:	Z

»	»	Z
Nesporno	nesporan	Agpnsny
je	biti	Var3s
da	da	Cs
se	sebe	Px--sa
,	,	Z
a	a	Cc
što	što	Pi3n-n
je	biti	Var3s
ranije	rano	Rgc
obrazloženo	obrazložiti	Appnsny
,	,	Z
radi	raditi	Vmr3s
o	o	Sl
Ugovorima	ugovor	Ncmpl
protivnima	protivan	Agpmply
interesima	interes	Ncmpl
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
i	i	Cc
nesporno	nesporno	Rgp
je	biti	Var3s
utvrđeno	utvrditi	Appnsny
da	da	Cs
je	biti	Var3s
za	za	Sa
realizaciju	realizacija	Ncfsa
istih	isti	Agpmpgy
dogovoreno	dogovoriti	Agpnsay
mito	mito	Ncnsa
od	od	Sg
10,000.000.00	10,000.000.00	Mdc
eura	euro	Ncmpg
,	,	Z
a	a	Cc
isplaćeno	isplatiti	Appnsny
je	biti	Var3s
5,000.000,00	5,000.000,00	Mdc
eura	euro	Ncmpg
.	.	Z

Obje	oba	Mlsf-n
inkriminirane	inkriminiran	Agpfsgy
radnje	radnja	Ncfsg
,	,	Z
dakle	dakle	Cc
,	,	Z
zaključenje	zaključenje	Ncnsn
Prve	prvi	Mlofsg
izmjene	izmjena	Ncfsg
i	i	Cc
dopune	dopuna	Ncfsg
Ugovora	ugovor	Ncmsg
o	o	Sl
međusobnim	međusoban	Agpmply
odnosima	odnos	Ncmpl
dioničara	dioničar	Ncmpg
koji	koji	Pi-mpn
se	sebe	Px--sa
odnosi	odnositi	Vmr3s
na	na	Sa
INA-Industriju	ina-industriji	Agpfpay
nafte	nafta	Ncfpa
d.	di	Agpfsgy
d.	da	Ncfsg
i	i	Cc
Glavnog	glavni	Agpmsgy
ugovora	ugovor	Ncmsg
o	o	Sl
plinskom	plinski	Agpnsly
poslovanju	poslovanje	Ncnsl
,	,	Z
te	te	Cc
dogovaranje	dogovaranje	Ncnsa
i	i	Cc
primanje	primanje	Ncnsa
mita	mit	Ncmsg
,	,	Z
moraju	morati	Vmr3p
se	sebe	Px--sa
gledati	gledati	Vmn
kao	kao	Cs
jedna	jedan	Mlcfsn
međusobno	međusobno	Rgp
povezana	povezan	Agpfsny
i	i	Cc
uvjetovana	uvjetovati	Appfsny
cjelina	cjelina	Ncfsn
.	.	Z

Naime	naime	Qo
,	,	Z
Ugovori	ugovor	Ncmpn
su	biti	Var3p
zaključeni	zaključiti	Appmpny
i	i	Cc
optuženi	optuženi	Ncmpn
Ivo	Ivo	Npmsn
Sanader	Sanader	Npmsn
je	biti	Var3s
učinio	učiniti	Vmp-sm
sve	sav	Agpnsny
da	da	Cs
budu	biti	Var3p
zaključeni	zaključiti	Appmpny
kako	kako	Cs
je	biti	Var3s
dogovorio	dogovoriti	Vmp-sm
sa	sa	Si
Zsoltom	Zsolt	Npmsi
Tamasom	Tamas	Npmsi
Hernadijem	Hernadij	Npmsi
.	.	Z

Da	da	Cs
bi	biti	Vaa3p
se	sebe	Px--sa
zaključili	zaključiti	Vmp-pm
,	,	Z
optuženiku	optuženik	Ncmsl
je	biti	Var3s
obećano	obećati	Appnsny
i	i	Cc
djelomično	djelomično	Rgp
isplaćeno	isplatiti	Appnsny
mito	mito	Ncnsa
.	.	Z
«	«	Z

370.	370.	Mdo

Proizlazi	proizlaziti	Vmr3s
da	da	Cs
je	biti	Var3s
Županijski	županijski	Agpmsny
sud	sud	Ncmsn
u	u	Sl
Zagrebu	Zagreb	Npmsl
ocijenio	ocijeniti	Vmp-sm
kako	kako	Cs
je	biti	Var3s
u	u	Sl
slučaju	slučaj	Ncmsl
INA-MOL	ina-mti	Appfsny
riječ	riječ	Ncfsn
o	o	Sl
jednoj	jedan	Agpfsly
radnji	radnja	Ncfsl
izvršenja	izvršenje	Ncnsg
djela	djelo	Ncnsg
primanja	primanje	Ncnsg
mita	mit	Ncmsg
koja	koji	Pi-npn
obuhvaća	obuhvaćati	Vmr3s
»	»	Z
i	i	Cc
dogovaranje	dogovaranje	Ncnsa
i	i	Cc
primanje	primanje	Ncnsa
mita	mit	Ncmsg
«	«	Z
,	,	Z
i	i	Cc
djelovanje	djelovanje	Ncnsn
podnositelja	podnositelj	Ncmsg
koji	koji	Pi-msn
»	»	Z
je	biti	Var3s
učinio	učiniti	Vmp-sm
sve	sav	Agpnsny
da	da	Cs
budu	biti	Var3p
zaključeni	zaključiti	Appmpny
«	«	Z
sporni	sporan	Agpmpny
ugovori	ugovor	Ncmpn
,	,	Z
i	i	Cc
samo	sam	Agpnsay
sklapanje	sklapanje	Ncnsa
tih	taj	Pd-mpg
ugovora	ugovor	Ncmpg
.	.	Z

371.	371.	Mdo

Uvažavajući	uvažavati	Rr
činjenicu	činjenica	Ncfsa
da	da	Cs
je	biti	Var3s
Vrhovni	vrhovni	Agpmsny
sud	sud	Ncmsn
prešutno	prešutno	Rgp
prihvatio	prihvatiti	Vmp-sm
to	taj	Pd-nsa
stajalište	stajalište	Ncnsa
Županijskog	županijski	Agpmsgy
suda	sud	Ncmsg
(	(	Z
budući	budući	Cs
da	da	Cs
u	u	Sl
drugostupanjskoj	drugostupanjski	Agpfsly
presudi	presuda	Ncfsl
o	o	Sl
tom	taj	Pd-nsl
stajalištu	stajalište	Ncnsl
prvostupanjskog	prvostupanjski	Agpmsgy
suda	sud	Ncmsg
nema	nemati	Vmr3s
ni	ni	Qo
riječi	riječ	Ncfpg
)	)	Z
,	,	Z
dužan	dužan	Agpmsnn
ga	on	Pp3msa
je	biti	Var3s
prihvatiti	prihvatiti	Vmn
i	i	Qo
Ustavni	ustavan	Agpmsny
sud	sud	Ncmsn
jer	jer	Cs
nije	biti	Var3s
riječ	riječ	Ncfsn
o	o	Sl
pitanju	pitanje	Ncnsl
koje	koji	Pi-nsn
bi	biti	Vaa3s
se	sebe	Px--sa
moglo	moći	Vmp-sn
ispitivati	ispitivati	Vmn
strogim	strog	Agpmsiy
testom	test	Ncmsi
ustavnosti	ustavnost	Ncfsg
koji	koji	Pi-msn
obuhvaća	obuhvaćati	Vmr3s
samo	samo	Rgp
flagrantne	flagrantan	Agpfsgy
povrede	povreda	Ncfsg
ustavnih	ustavan	Agpnpgy
prava	pravo	Ncnpg
pojedinaca	pojedinac	Ncmpg
.	.	Z

Taj	taj	Pd-msn
se	sebe	Px--sa
zaključak	zaključak	Ncmsn
Ustavnog	ustavan	Agpmsgy
suda	sud	Ncmsg
temelji	temeljiti	Vmr3s
i	i	Cc
na	na	Sl
pregledu	pregled	Ncmsl
sudske	sudski	Agpfsgy
prakse	praksa	Ncfsg
Vrhovnog	vrhovni	Agpmsgy
suda	sud	Ncmsg
,	,	Z
koja	koji	Pi-fsn
upućuje	upućivati	Vmr3s
na	na	Sa
zaključak	zaključak	Ncmsan
da	da	Cs
način	način	Ncmsan
na	na	Sa
koji	koji	Pi-msan
je	biti	Var3s
Županijski	županijski	Agpmsny
sud	sud	Ncmsn
u	u	Sl
Zagrebu	Zagreb	Npmsl
kvalificirao	kvalificirati	Vmp-sm
inkriminirano	inkriminiran	Agpnsay
djelo	djelo	Ncnsa
u	u	Sl
slučaju	slučaj	Ncmsl
INA-MOL	INA-MOL	Npmsn
(	(	Z
kao	kao	Cs
jednu	jedan	Mlcfsa
radnju	radnja	Ncfsa
izvršenja	izvršenje	Ncnsg
djela	djelo	Ncnsg
primanja	primanje	Ncnsg
mita	mit	Ncmsg
)	)	Z
nije	biti	Var3s
presedan	presedan	Ncmsn
.	.	Z

