Odgovarajuće	odgovarajući	Agpmpay
dokazi	dokaz	Ncmpn
koji	koji	Pi-mpn
ukazuju	ukazivati	Vmr3p
da	da	Cs
se	sebe	Px--sa
profil	profil	Ncmsn
rizičnosti	rizičnost	Ncfsg
grupe	grupa	Ncfsg
značajno	značajno	Rgp
izmijenio	izmijeniti	Vmp-sm
od	od	Sg
datuma	datum	Ncmsg
kada	kada	Cs
je	biti	Var3s
potrebni	potreban	Agpmsny
solventni	solventan	Agpmsny
kapital	kapital	Ncmsn
grupe	grupa	Ncfsg
posljednji	posljednji	Agpmsny
put	put	Ncmsn
prijavljen	prijaviti	Appmsnn
,	,	Z
Agencija	agencija	Ncfsn
kao	kao	Cs
nadzorno	nadzorni	Agpnsny
tijelo	tijelo	Ncnsn
grupe	grupa	Ncfsg
može	moći	Vmr3s
zahtijevati	zahtijevati	Vmn
ponovni	ponovan	Agpmsayn
izračun	izračun	Ncmsan
potrebnog	potreban	Agpmsgy
solventnog	solventan	Agpmsgy
kapitala	kapital	Ncmsg
grupe	grupa	Ncfsg
.	.	Z

Pododjeljak	Pododjeljak	Npmsn
2.	2.	Mdo
Odabir	odabir	Ncmsn
metode	metoda	Ncfsg
izračuna	izračun	Ncmsg
i	i	Cc
opća	opći	Agpnpay
načela	načelo	Ncnpa

Odabir	odabir	Ncmsn
metode	metoda	Ncfsg

Članak	članak	Ncmsn
305.	305.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Izračunavanje	izračunavanje	Ncnsn
solventnosti	solventnost	Ncfsg
na	na	Sl
razini	razina	Ncfsl
grupe	grupa	Ncfsg
društava	društvo	Ncnpg
za	za	Sa
osiguranje	osiguranje	Ncnsa
i	i	Cc
društava	društvo	Ncnpg
za	za	Sa
reosiguranje	reosiguranje	Ncnsa
iz	iz	Sg
članka	članak	Ncmsg
298.	298.	Mdo
stavka	stavak	Ncmsg
2.	2.	Mdo
točke	točka	Ncfsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
obavlja	obavljati	Vmr3s
se	sebe	Px--sa
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
tehničkim	tehnički	Agpmpiy
načelima	načelo	Ncmpi
i	i	Cc
metodama	metoda	Ncfpl
,	,	Z
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
člancima	članak	Ncmpi
306.	306.	Mdo
–	–	Z
318.	318.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
i	i	Cc
Uredbom	Uredba	Npfsi
(	(	Z
EU	EU	Npmsn
)	)	Z
br.	br.	Y
2015/35.	2015/35.	Mds

(	(	Z
2	2	Mdc
)	)	Z
Agencija	agencija	Ncfsn
kao	kao	Cs
nadzorno	nadzorni	Agpnsny
tijelo	tijelo	Ncnsn
grupe	grupa	Ncfsg
može	moći	Vmr3s
s	sa	Si
obzirom	obzir	Ncmsi
na	na	Sa
određenu	određen	Agpfsay
grupu	grupa	Ncfsa
odlučiti	odlučiti	Vmn
,	,	Z
nakon	nakon	Sg
savjetovanja	savjetovanje	Ncnsg
s	sa	Si
drugim	drugi	Mlofpi
nadležnim	nadležan	Agpnply
nadzornim	nadzorni	Agpnply
tijelima	tijelo	Ncnpl
i	i	Cc
samom	sam	Agpfsiy
grupom	grupa	Ncfsi
,	,	Z
da	da	Cs
se	sebe	Px--sa
na	na	Sa
predmetnu	predmetni	Agpfsay
grupu	grupa	Ncfsa
primjenjuje	primjenjivati	Vmr3s
alternativna	alternativan	Agpfsny
metoda	metoda	Ncfsn
iz	iz	Sg
članka	članak	Ncmsg
318.	318.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
,	,	Z
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
Uredbom	uredba	Ncfsi
(	(	Z
EU	EU	Npmsn
)	)	Z
br.	br.	Y
2015/35	2015/35	Mdc
,	,	Z
ili	ili	Cc
kombinacija	kombinacija	Ncfsn
metode	metoda	Ncfsg
konsolidacije	konsolidacija	Ncfsg
i	i	Cc
alternativne	alternativan	Agpfsgy
metode	metoda	Ncfsg
,	,	Z
kad	kad	Cs
isključiva	isključiv	Agpfsny
primjena	primjena	Ncfsn
metode	metoda	Ncfsg
konsolidacije	konsolidacija	Ncfsg
ne	ne	Qz
bi	biti	Vaa3s
bila	biti	Vap-sf
primjerena	primjeriti	Appfsny
.	.	Z

Uključivanje	uključivanje	Ncnsn
proporcionalnog	proporcionalan	Agpmsgy
udjela	udjel	Ncmsg

Članak	članak	Ncmsn
306.	306.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Prilikom	prilikom	Sg
izračunavanja	izračunavanje	Ncnsg
solventnosti	solventnost	Ncfsg
grupe	grupa	Ncfsg
u	u	Sa
obzir	obzir	Ncmsan
se	sebe	Px--sa
uzima	uzimati	Vmr3s
proporcionalni	proporcionalan	Agpmsny
udjel	udjel	Ncmsn
koji	koji	Pi-msn
sudjelujuće	sudjelujući	Agpnsay
društvo	društvo	Ncnsa
ima	imati	Vmr3s
u	u	Sl
svojim	svoj	Px-npl
povezanim	povezati	Appnply
društvima	društvo	Ncnpl
.	.	Z

Proporcionalni	proporcionalan	Agpmsny
udjel	udjel	Ncmsn
obuhvaća	obuhvaćati	Vmr3s
jedno	jedan	Mlcnsn
od	od	Sg
sljedećih	sljedeći	Agpfpgy
:	:	Z

1.	1.	Mdo
kada	kada	Cs
se	sebe	Px--sa
upotrebljava	upotrebljavati	Vmr3s
metoda	metoda	Ncfsn
konsolidacije	konsolidacija	Ncfsg
,	,	Z
postotke	postotak	Ncmpa
koji	koji	Pi-mpn
se	sebe	Px--sa
upotrebljavaju	upotrebljavati	Vmr3p
za	za	Sa
pripremu	priprema	Ncfsa
konsolidiranih	konsolidirati	Agpmpgy
financijskih	financijski	Agpmpgy
izvještaja	izvještaj	Ncmpg
ili	ili	Cc

2.	2.	Mdo
kada	kada	Cs
se	sebe	Px--sa
upotrebljava	upotrebljavati	Vmr3s
alternativna	alternativan	Agpfsny
metoda	metoda	Ncfsn
,	,	Z
udjel	udjel	Ncmsn
upisanog	upisati	Agpmsgy
kapitala	kapital	Ncmsg
koji	koji	Pi-msn
izravno	izravno	Rgp
ili	ili	Cc
neizravno	neizravno	Rgp
drži	držati	Vmr3s
sudjelujuće	sudjelujući	Agpnsay
društvo	društvo	Ncnsa
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Kada	kada	Rgp
je	biti	Var3s
,	,	Z
bez	bez	Sg
obzira	obzir	Ncmsg
na	na	Sa
upotrijebljenu	upotrijebiti	Agpfsay
metodu	metoda	Ncfsa
,	,	Z
povezano	povezan	Agpnsny
društvo	društvo	Ncnsn
društvo	društvo	Ncnsn
kći	kći	Ncfsg
i	i	Cc
kad	kad	Cs
ono	onaj	Pd-nsa
nema	nemati	Vmr3s
dostatna	dostatan	Agpfsny
prihvatljiva	prihvatljiv	Agpnpay
vlastita	vlastit	Agpnpay
sredstva	sredstvo	Ncnpa
za	za	Sa
pokriće	pokriće	Ncnsa
svog	svoj	Px-msg
potrebnog	potreban	Agpmsgy
solventnog	solventan	Agpmsgy
kapitala	kapital	Ncmsg
,	,	Z
u	u	Sa
obzir	obzir	Ncmsan
se	sebe	Px--sa
uzima	uzimati	Vmr3s
ukupni	ukupan	Agpmsny
manjak	manjak	Ncmsn
solventnosti	solventnost	Ncfsg
društva	društvo	Ncnsg
kćeri	kći	Ncfsg
.	.	Z

Iznimno	izniman	Agpnsny
,	,	Z
kada	kada	Cs
je	biti	Var3s
prema	prema	Sl
mišljenju	mišljenje	Ncnsl
nadležnih	nadležan	Agpnpgy
nadzornih	nadzorni	Agpnpgy
tijela	tijelo	Ncnpg
odgovornost	odgovornost	Ncfsa
matičnog	matičan	Agpnsgy
društva	društvo	Ncnsg
koje	koji	Pi-nsn
posjeduje	posjedovati	Vmr3s
udjel	udjel	Ncmsan
u	u	Sl
kapitalu	kapital	Ncmsl
isključivo	isključivo	Rgp
ograničena	ograničiti	Appfsny
na	na	Sa
taj	taj	Pd-msan
udjel	udjel	Ncmsan
u	u	Sl
kapitalu	kapital	Ncmsl
,	,	Z
Agencija	agencija	Ncfsn
kao	kao	Cs
nadzorno	nadzorni	Agpnsny
tijelo	tijelo	Ncnsn
grupe	grupa	Ncfsg
može	moći	Vmr3s
dopustiti	dopustiti	Vmn
da	da	Cs
manjak	manjak	Ncmsn
solventnosti	solventnost	Ncfsg
društva	društvo	Ncnsg
kćeri	kći	Ncfsg
bude	biti	Var3s
uzet	uzet	Agpmsnn
u	u	Sa
obzir	obzir	Ncmsan
na	na	Sl
proporcionalnoj	proporcionalan	Agpfsly
osnovi	osnova	Ncfsl
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Agencija	agencija	Ncfsn
kao	kao	Cs
nadzorno	nadzorni	Agpnsny
tijelo	tijelo	Ncnsn
grupe	grupa	Ncfsg
utvrđuje	utvrđivati	Vmr3s
,	,	Z
nakon	nakon	Sg
savjetovanja	savjetovanje	Ncnsg
s	sa	Si
drugim	drugi	Mlofpi
nadležnim	nadležan	Agpnply
nadzornim	nadzorni	Agpnply
tijelima	tijelo	Ncnpl
i	i	Cc
samom	sam	Agpfsiy
grupom	grupa	Ncfsi
,	,	Z
proporcionalni	proporcionalan	Agpmsny
udjel	udjel	Ncmsn
koji	koji	Pi-msn
se	sebe	Px--sa
uzima	uzimati	Vmr3s
u	u	Sa
obzir	obzir	Ncmsan
u	u	Sl
sljedećim	sljedeći	Agpmply
slučajevima	slučaj	Ncmpl
:	:	Z

1.	1.	Mdo
kada	kada	Cs
ne	ne	Qz
postoji	postojati	Vmr3s
kapitalna	kapitalan	Agpfsny
povezanost	povezanost	Ncfsn
između	između	Sg
nekih	neki	Pi-mpg
društava	društvo	Ncnpg
u	u	Sl
grupi	grupa	Ncfsl

2.	2.	Mdo
kada	kada	Cs
Agencija	agencija	Ncfsn
utvrdi	utvrditi	Vmr3s
da	da	Cs
udjel	udjel	Ncmsn
,	,	Z
izravni	izravan	Agpmsny
ili	ili	Cc
neizravni	neizravan	Agpmsayn
,	,	Z
u	u	Sl
glasačkim	glasački	Agpnply
pravima	pravo	Ncnpl
ili	ili	Cc
kapitalu	kapital	Ncmsl
društva	društvo	Ncnsg
predstavlja	predstavljati	Vmr3s
sudjelovanje	sudjelovanje	Ncnsa
jer	jer	Cs
se	sebe	Px--sa
,	,	Z
prema	prema	Sl
mišljenju	mišljenje	Ncnsl
Agencije	agencija	Ncfsg
,	,	Z
nad	nad	Si
tim	taj	Pd-nsi
društvom	društvo	Ncnsi
ostvaruje	ostvarivati	Vmr3s
značajan	značajan	Agpmsann
utjecaj	utjecaj	Ncmsan

3.	3.	Mdo
kada	kada	Cs
Agencija	agencija	Ncfsn
utvrdi	utvrditi	Vmr3s
da	da	Cs
je	biti	Var3s
društvo	društvo	Ncnsn
matično	matičan	Agpnsny
društvo	društvo	Ncnsn
drugog	drugi	Agpnsgy
društva	društvo	Ncnsg
jer	jer	Cs
ono	onaj	Pd-nsn
,	,	Z
prema	prema	Sl
mišljenju	mišljenje	Ncnsl
Agencije	agencija	Ncfsg
,	,	Z
nad	nad	Si
tim	taj	Pd-nsi
društvom	društvo	Ncnsi
ostvaruje	ostvarivati	Vmr3s
dominantan	dominantan	Agpmsann
utjecaj	utjecaj	Ncmsan
.	.	Z

Ukidanje	ukidanje	Ncnsn
dvostruke	dvostruk	Agpfsgy
uporabe	uporaba	Ncfsg
prihvatljivih	prihvatljiv	Agpnpgy
vlastitih	vlastit	Agpnpgy
sredstava	sredstvo	Ncnpg

Članak	članak	Ncmsn
307.	307.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Dvostruka	dvostruk	Agpfsny
uporaba	uporaba	Ncfsn
vlastitih	vlastit	Agpnpgy
sredstava	sredstvo	Ncnpg
prihvatljivih	prihvatljiv	Agpmpgy
za	za	Sa
pokriće	pokriće	Ncnsa
potrebnog	potreban	Agpmsgy
solventnog	solventan	Agpmsgy
kapitala	kapital	Ncmsg
između	između	Sg
različitih	različit	Agpnpgy
društava	društvo	Ncnpg
za	za	Sa
osiguranje	osiguranje	Ncnsa
koja	koji	Pi-npn
su	biti	Var3p
prilikom	prilikom	Sg
izračunavanja	izračunavanje	Ncnsg
solventnosti	solventnost	Ncfsg
grupe	grupa	Ncfsg
uzeta	uzeti	Appfsny
u	u	Sa
obzir	obzir	Ncmsan
nije	biti	Var3s
dopuštena	dopustiti	Appfsny
.	.	Z

Prilikom	prilikom	Sg
navedenog	naveden	Agpnsgy
izračunavanja	izračunavanje	Ncnsg
te	te	Cc
ako	ako	Cs
metode	metoda	Ncfpn
iz	iz	Sg
članaka	članak	Ncmpg
315.	315.	Mdo
–	–	Z
318.	318.	Mdo
ovoga	ovaj	Pd-nsg
Zakona	Zakona	Npfsn
to	taj	Pd-nsa
ne	ne	Qz
predviđaju	predviđati	Vmr3p
,	,	Z
isključuju	isključivati	Vmr3p
se	sebe	Px--sa
sljedeći	sljedeći	Agpmpny
iznosi	iznos	Ncmpn
:	:	Z

1.	1.	Mdo
vrijednost	vrijednost	Ncfsn
bilo	bilo	Cc
koje	koji	Pi-fsg
imovine	imovina	Ncfsg
sudjelujućeg	sudjelujući	Agpnsgy
društva	društvo	Ncnsg
za	za	Sa
osiguranje	osiguranje	Ncnsa
koja	koji	Pi-fsn
predstavlja	predstavljati	Vmr3s

