sastavnica	sastavnica	Ncfsn
evidenciji	evidencija	Ncfsl
Hrvatskog	hrvatski	Agpmsgy
zavoda	zavod	Ncmsg
za	za	Sa
mirovinsko	mirovinski	Agpnsay
osiguranje	osiguranje	Ncnsa
ne	ne	Qz
starije	staro	Rgc
od	od	Sg
30	30	Mdc
dana	dan	Ncmpg
za	za	Sa
ovlaštenog	ovlašten	Agpmsgy
arhitekta	arhitekt	Ncmsg
koji	koji	Pi-msn
je	biti	Var3s
zaposlen	zaposliti	Appmsnn
kod	kod	Sg
podnositelja	podnositelj	Ncmpg
zahtjeva	zahtjev	Ncmpg
.	.	Z

Sadržaj	sadržaj	Ncmsn
suglasnosti	suglasnost	Ncfsg

Članak	članak	Ncmsn
6.	6.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Izreka	izreka	Ncfsn
suglasnosti	suglasnost	Ncfsg
obvezno	obvezno	Rgp
sadrži	sadržati	Vmr3s
:	:	Z

a	a	Cc
)	)	Z
tvrtku	tvrtka	Ncfsa
,	,	Z
odnosno	odnosno	Rgp
naziv	naziv	Ncmsn
pravne	pravni	Agpfsgy
osobe	osoba	Ncfsg
kojoj	koji	Pi-fsl
se	sebe	Px--sa
suglasnost	suglasnost	Ncfsn
izdaje	izdaja	Ncfsg
i	i	Cc

b	b	Qr
)	)	Z
stručne	stručan	Agpmpay
poslove	posao	Ncmpa
prostornog	prostoran	Agpnsgy
uređenja	uređenje	Ncnsg
za	za	Sa
obavljanje	obavljanje	Ncnsa
kojih	koji	Pi-mpg
se	sebe	Px--sa
suglasnost	suglasnost	Ncfsn
izdaje	izdaja	Ncfsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
U	u	Sl
obrazloženju	obrazloženje	Ncnsl
suglasnosti	suglasnost	Ncfsg
se	sebe	Px--sa
,	,	Z
uz	uz	Sa
ostalo	ostali	Agpnsay
potrebno	potreban	Agpnsny
,	,	Z
obvezno	obvezan	Agpnsny
navodi	navoditi	Vmr3s
ime	ime	Ncnsa
i	i	Cc
prezime	prezime	Ncnsa
ovlaštenog	ovlašten	Agpmsgy
arhitekta	arhitekt	Ncmsg
urbanista	urbanist	Ncmsg
(	(	Z
ili	ili	Cc
više	mnogo	Rgc
njih	oni	Pp3-pg
)	)	Z
koji	koji	Pi-mpn
su	biti	Var3p
zaposleni	zaposliti	Appmpny
kod	kod	Sg
podnositelja	podnositelj	Ncmpg
zahtjeva	zahtjev	Ncmpg
te	te	Cc
imena	ime	Ncnsg
,	,	Z
prezimena	prezime	Ncnsg
i	i	Cc
struke	struka	Ncfsg
osoba	osoba	Ncfpg
iz	iz	Sg
članka	članak	Ncmsg
4.	4.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
točke	točka	Ncfsg
3.	3.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
.	.	Z

Evidencija	evidencija	Ncfsn
o	o	Sl
izdanim	izdan	Agpfply
suglasnostima	suglasnost	Ncfpl

Članak	članak	Ncmsn
7.	7.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Evidenciju	evidencija	Ncfsa
o	o	Sl
izdanim	izdan	Agpfply
suglasnostima	suglasnost	Ncfpl
vodi	voditi	Vmr3s
Ministarstvo	ministarstvo	Ncnsn
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Evidencija	evidencija	Ncfsn
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
sadrži	sadržati	Vmr3s
:	:	Z

a	a	Cc
)	)	Z
tvrtku	tvrtka	Ncfsa
,	,	Z
odnosno	odnosno	Rgp
naziv	naziv	Ncmsn
pravne	pravni	Agpfsgy
osobe	osoba	Ncfsg
kojoj	koji	Pi-fsl
je	biti	Var3s
suglasnost	suglasnost	Ncfsn
izdana	izdati	Appfsny

b	b	Npmsn
)	)	Z
klasu	klasa	Ncfsa
,	,	Z
urudžbeni	urudžbeni	Agpmsny
broj	broj	Ncmsn
i	i	Cc
datum	datum	Ncmsan
izdavanja	izdavanje	Ncnsg
suglasnosti	suglasnost	Ncfsg

c	C	Npmsn
)	)	Z
stručne	stručan	Agpmpay
poslove	posao	Ncmpa
prostornog	prostoran	Agpnsgy
uređenja	uređenje	Ncnsg
za	za	Sa
obavljanje	obavljanje	Ncnsa
kojih	koji	Pi-fpg
je	biti	Var3s
suglasnost	suglasnost	Ncfsn
izdana	izdati	Appfsny

d	i	Agpnsny
)	)	Z
ime	ime	Ncnsa
i	i	Cc
prezime	prezime	Ncnsa
ovlaštenog	ovlašten	Agpmsgy
arhitekta	arhitekt	Ncmsg
urbanista	urbanist	Ncmsg
(	(	Z
ili	ili	Cc
više	mnogo	Rgc
njih	oni	Pp3-pg
)	)	Z
koji	koji	Pi-mpn
su	biti	Var3p
zaposleni	zaposliti	Appmpny
u	u	Sl
pravnoj	pravni	Agpfsly
osobi	osoba	Ncfsl
kojoj	koji	Pi-fsl
je	biti	Var3s
izdana	izdati	Appfsny
suglasnost	suglasnost	Ncfsn

e	e	I
)	)	Z
imena	ime	Ncnsg
,	,	Z
prezimena	prezime	Ncnsg
i	i	Cc
struke	struka	Ncfsg
osoba	osoba	Ncfpg
iz	iz	Sg
članka	članak	Ncmsg
4.	4.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
točke	točka	Ncfsg
3.	3.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
čiju	čiji	Pi-fsa
je	biti	Var3s
suradnju	suradnja	Ncfsa
osigurala	osigurati	Vmp-sf
pravna	pravni	Agpfsny
osoba	osoba	Ncfsn
kojoj	koji	Pi-fsl
je	biti	Var3s
izdana	izdati	Appfsny
suglasnost	suglasnost	Ncfsn
i	i	Cc

f	f	Npmsn
)	)	Z
napomene	napomena	Ncfpa
i	i	Cc
upise	upis	Ncmpa
promjena	promjena	Ncfpg
bitne	bitan	Agpfpny
za	za	Sa
izdavanje	izdavanje	Ncnsa
suglasnosti	suglasnost	Ncfsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Dokumentacijom	dokumentacija	Ncfsi
kojom	koji	Pi-fsi
se	sebe	Px--sa
dokazuje	dokazivati	Vmr3s
da	da	Cs
nisu	biti	Var3p
prestali	prestati	Vmp-pm
postojati	postojati	Vmn
uvjeti	uvjet	Ncmpn
za	za	Sa
obavljanje	obavljanje	Ncnsa
stručnih	stručan	Agpmpgy
poslova	posao	Ncmpg
prostornog	prostoran	Agpnsgy
uređenja	uređenje	Ncnsg
u	u	Sl
smislu	smisao	Ncmsl
članka	članak	Ncmsg
10.	10.	Mdo
stavka	stavak	Ncmsg
2.	2.	Mdo
Zakona	zakon	Ncmsg
smatra	smatrati	Vmr3s
se	sebe	Px--sa
:	:	Z

a	a	Cc
)	)	Z
za	za	Sa
ovlaštenog	ovlašten	Agpmsgy
arhitekta	arhitekt	Ncmsg
urbanista	urbanist	Ncmpg
izvornik	izvornik	Ncmsn
potvrde	potvrda	Ncfsg
o	o	Sl
podacima	podatak	Ncmpl
evidentiranim	evidentirati	Appmply
u	u	Sl
matičnoj	matičan	Agpfsly
evidenciji	evidencija	Ncfsl
Hrvatskog	hrvatski	Agpmsgy
zavoda	zavod	Ncmsg
za	za	Sa
mirovinsko	mirovinski	Agpnsay
osiguranje	osiguranje	Ncnsa
ne	ne	Qz
stariji	star	Agcmsny
od	od	Sg
30	30	Mdc
dana	dan	Ncmpg

b	b	Y
)	)	Z
za	za	Sa
osobe	osoba	Ncfpa
iz	iz	Sg
članka	članak	Ncmsg
4.	4.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
točke	točka	Ncfsg
3.	3.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
fotokopija	fotokopija	Ncfsn
ugovora	ugovor	Ncmsg
o	o	Sl
poslovnoj	poslovan	Agpfsly
suradnji	suradnja	Ncfsl
ili	ili	Cc
izvornik	izvornik	Ncmsn
potvrde	potvrda	Ncfsg
o	o	Sl
podacima	podatak	Ncmpl
evidentiranim	evidentirati	Appmply
u	u	Sl
matičnoj	matičan	Agpfsly
evidenciji	evidencija	Ncfsl
Hrvatskog	hrvatski	Agpmsgy
zavoda	zavod	Ncmsg
za	za	Sa
mirovinsko	mirovinski	Agpnsay
osiguranje	osiguranje	Ncnsa
,	,	Z
ne	ne	Qz
stariji	star	Agcmsny
od	od	Sg
30	30	Mdc
dana	dan	Ncmpg
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Popis	popis	Ncmsn
osoba	osoba	Ncfpg
kojima	koji	Pi-mpi
je	biti	Var3s
dana	dan	Ncmpg
i	i	Cc
oduzeta	oduzeti	Appfsny
suglasnost	suglasnost	Ncfsn
objavljuju	objavljivati	Vmr3p
se	sebe	Px--sa
na	na	Sl
mrežnim	mrežni	Agpfply
stranicama	stranica	Ncfpl
Ministarstva	ministarstvo	Ncnsg
.	.	Z

Obavljanje	obavljanje	Ncnsn
stručnih	stručan	Agpmpgy
poslova	posao	Ncmpg
prostornog	prostoran	Agpnsgy
uređenja	uređenje	Ncnsg

Članak	članak	Ncmsn
8.	8.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Hrvatski	hrvatski	Agpmsny
zavod	zavod	Ncmsn
za	za	Sa
prostorni	prostoran	Agpmsayn
razvoj	razvoj	Ncmsan
,	,	Z
te	te	Cc
zavodi	zavoditi	Vmr3s
za	za	Sa
prostorno	prostoran	Agpnsay
uređenje	uređenje	Ncnsa
županije	županija	Ncfsg
,	,	Z
Grada	grad	Ncmsg
Zagreba	Zagreb	Npmsg
,	,	Z
odnosno	odnosno	Rgp
velikog	velik	Agpmsgy
grada	grad	Ncmsg
koji	koji	Pi-msn
su	biti	Var3p
do	do	Sg
dana	dan	Ncmpg
stupanja	stupanje	Ncnsg
na	na	Sa
snagu	snaga	Ncfsa
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
ispunjavali	ispunjavati	Vmp-pm
uvjete	uvjet	Ncmpa
za	za	Sa
obavljanje	obavljanje	Ncnsa
djelatnosti	djelatnost	Ncfsg
prostornog	prostoran	Agpnsgy
uređenja	uređenje	Ncnsg
propisane	propisati	Ncfpg
Pravilnikom	pravilnik	Ncmsi
o	o	Sl
uvjetima	uvjet	Ncmpl
koje	koji	Pi-fpn
moraju	morati	Vmr3p
ispunjavati	ispunjavati	Vmn
zavodi	zavod	Ncmpn
za	za	Sa
prostorno	prostoran	Agpnsay
uređenje	uređenje	Ncnsa
za	za	Sa
obavljanje	obavljanje	Ncnsa
djelatnosti	djelatnost	Ncfsg
prostornog	prostoran	Agpnsgy
uređenja	uređenje	Ncnsg
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
br.	br.	Y
24/08	24/08	Mdc
i	i	Cc
19/10	19/10	Mdc
)	)	Z
nastavljaju	nastavljati	Vmr3p
s	sa	Si
obavljanjem	obavljanje	Ncnsi
tih	taj	Pd-mpg
poslova	posao	Ncmpg
do	do	Sg
izdavanja	izdavanje	Ncnsg
suglasnosti	suglasnost	Ncfsg
za	za	Sa
obavljanje	obavljanje	Ncnsa
stručnih	stručan	Agpmpgy
poslova	posao	Ncmpg
prostornog	prostoran	Agpnsgy
uređenja	uređenje	Ncnsg
na	na	Sl
temelju	temelj	Ncmsl
Zakona	zakon	Ncmsg
i	i	Cc
ovoga	ovaj	Pd-nsg

