propisane	propisati	Appfpny
stavku	stavak	Ncmsl
1.	1.	Mdo
iza	iza	Sg
riječi	riječ	Ncfsg
:	:	Z
»	»	Z
80	80	Mdc
cm	cm	Y
«	«	Z
stavlja	stavljati	Vmr3s
se	sebe	Px--sa
zarez	zarez	Ncmsn
i	i	Cc
dodaju	dodati	Vmr3p
riječi	riječ	Ncfpa
:	:	Z
»	»	Z
osim	osim	Rgp
za	za	Sa
usluge	usluga	Ncfpa
smještaja	smještaj	Ncmsg
u	u	Sl
obiteljskom	obiteljski	Agpmsly
domu	dom	Ncmsl
i	i	Cc
usluga	usluga	Ncfpg
organiziranog	organiziran	Agpnsgy
stanovanja	stanovanje	Ncnsg
«	«	Z
,	,	Z
a	a	Cc
u	u	Sl
stavku	stavak	Ncmsl
7.	7.	Mdo
riječi	riječ	Ncfsg
:	:	Z
»	»	Z
prostoriji	prostorija	Ncfsl
za	za	Sa
održavanje	održavanje	Ncnsa
osobne	osoban	Agpfsgy
higijene	higijena	Ncfsg
«	«	Z
zamjenjuju	zamjenjivati	Vmr3p
se	sebe	Px--sa
riječima	riječ	Ncfpi
:	:	Z
»	»	Z
kupaonici	kupaonica	Ncfsl
«	«	Z
,	,	Z
a	a	Cc
na	na	Sl
kraju	kraj	Ncmsl
teksta	tekst	Ncmsg
stavlja	stavljati	Vmr3s
se	sebe	Px--sa
zarez	zarez	Ncmsn
i	i	Cc
dodaju	dodati	Vmr3p
riječi	riječ	Ncfpa
:	:	Z
»	»	Z
osim	osim	Rgp
za	za	Sa
usluge	usluga	Ncfpa
boravka	boravak	Ncmsg
,	,	Z
psihosocijalne	psihosocijalan	Agpfsgy
podrške	podrška	Ncfsg
,	,	Z
rane	ran	Agpfsgy
intervencije	intervencija	Ncfsg
.	.	Z
«	«	Z
.	.	Z

Članak	članak	Ncmsn
53.	53.	Mdo

U	u	Sl
članku	članak	Ncmsl
159.	159.	Mdo
podstavku	podstavak	Ncmsl
2.	2.	Mdo
,	,	Z
14.	14.	Mdo
i	i	Cc
15.	15.	Mdo
riječi	riječ	Ncfsg
:	:	Z
»	»	Z
pedagogije	pedagogija	Ncfsg
,	,	Z
logopedije	logopedija	Ncfsg
ili	ili	Cc
kineziologije	kineziologija	Ncfsg
«	«	Z
zamjenjuju	zamjenjivati	Vmr3p
se	sebe	Px--sa
riječima	riječ	Ncfpi
:	:	Z
»	»	Z
pedagogije	pedagogija	Ncfsg
ili	ili	Cc
logopedije	logopedija	Ncfsg
«	«	Z
,	,	Z
u	u	Sl
podstavku	podstavak	Ncmsl
2.	2.	Mdo
iza	iza	Sg
riječi	riječ	Ncfsg
:	:	Z
»	»	Z
edukacijsko-rehabilitacijskih	edukacijsko-rehabilitacijski	Agpfpgy
znanosti	znanost	Ncfpg
«	«	Z
stavlja	stavljati	Vmr3s
se	sebe	Px--sa
zarez	zarez	Ncmsn
i	i	Cc
dodaju	dodati	Vmr3p
riječi	riječ	Ncfpa
:	:	Z
»	»	Z
socijalnog	socijalan	Agpmsgy
rada	rad	Ncmsg
ili	ili	Cc
psihologije	psihologija	Ncfsg
«	«	Z
,	,	Z
u	u	Sl
podstavku	podstavak	Ncmsl
16.	16.	Mdo
iza	iza	Sg
riječi	riječ	Ncfsg
:	:	Z
»	»	Z
znanosti	znanost	Ncfsg
«	«	Z
dodaju	dodati	Vmr3p
se	sebe	Px--sa
riječi	riječ	Ncfpn
:	:	Z
»	»	Z
ili	ili	Cc
završen	završiti	Appmsnn
diplomski	diplomski	Agpmsny
sveučilišni	sveučilišni	Agpmsny
studij	studij	Ncmsn
iz	iz	Sg
područja	područje	Ncnsg
odgojnih	odgojni	Agpfpgy
znanosti	znanost	Ncfpg
,	,	Z
obrazovnih	obrazovni	Agpfpgy
znanosti	znanost	Ncfpg
,	,	Z
pedagogije	pedagogija	Ncfsg
ili	ili	Cc
logopedije	logopedija	Ncfsg
ili	ili	Cc
završen	završiti	Appmsnn
stručni	stručan	Agpmsny
studij	studij	Ncmsn
radne	radni	Agpfsgy
terapije	terapija	Ncfsg
«	«	Z
,	,	Z
a	a	Cc
iza	iza	Sg
podstavka	podstavak	Ncmsg
25.	25.	Mdo
dodaje	dodavati	Vmr3s
se	sebe	Px--sa
novi	nov	Agpmsny
podstavak	podstavak	Ncmsn
26.	26.	Mdo
koji	koji	Pi-msn
glasi	glasiti	Vmr3s
:	:	Z
»	»	Z
–	–	Z
zastupnik	zastupnik	Ncmsn
–	–	Z
završen	završiti	Appmsnn
preddiplomski	preddiplomski	Agpmsny
ili	ili	Cc
diplomski	diplomski	Agpmsayn
sveučilišni	sveučilišni	Agpmsayn
studij	studij	Ncmsan
iz	iz	Sg
područja	područje	Ncnsg
edukacijsko-rehabilitacijskih	edukacijsko-rehabilitacijskih	Agpfsgy
znanosti	znanost	Ncfsg
,	,	Z
socijalnog	socijalan	Agpmsgy
rada	rad	Ncmsg
ili	ili	Cc
psihologije	psihologija	Ncfsg
«	«	Z
.	.	Z

Članak	članak	Ncmsn
54.	54.	Mdo

Članak	članak	Ncmsn
169.	169.	Mdo
mijenja	mijenjati	Vmr3s
se	sebe	Px--sa
i	i	Cc
glasi	glasiti	Vmr3s
:	:	Z

»	»	Z
Fizička	fizički	Agpfsny
osoba	osoba	Ncfsn
koja	koji	Pi-fsn
samostalno	samostalno	Rgp
obavlja	obavljati	Vmr3s
kao	kao	Cs
profesionalnu	profesionalan	Agpfsay
djelatnost	djelatnost	Ncfsa
usluge	usluga	Ncfsg
u	u	Sl
obiteljskom	obiteljski	Agpmsly
domu	dom	Ncmsl
može	moći	Vmr3s
pružati	pružati	Vmn
usluge	usluga	Ncfpa
iz	iz	Sg
članka	članak	Ncmsg
162.	162.	Mdo
točke	točka	Ncfsg
2.	2.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
,	,	Z
a	a	Cc
usluge	usluga	Ncfpa
iz	iz	Sg
članka	članak	Ncmsg
162.	162.	Mdo
točke	točka	Ncfsg
5.	5.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
fizička	fizički	Agpfsny
osoba	osoba	Ncfsn
koja	koji	Pi-fsn
samostalno	samostalno	Rgp
obavlja	obavljati	Vmr3s
kao	kao	Cs
profesionalnu	profesionalan	Agpfsay
djelatnost	djelatnost	Ncfsa
uslugu	usluga	Ncfsa
pomoći	pomoć	Ncfsg
u	u	Sl
kući	kuća	Ncfsl
.	.	Z
«	«	Z
.	.	Z

Članak	članak	Ncmsn
55.	55.	Mdo

Članak	članak	Ncmsn
170.	170.	Mdo
briše	brisati	Vmr3s
se	sebe	Px--sa
.	.	Z

Članak	članak	Ncmsn
56.	56.	Mdo

U	u	Sl
članku	članak	Ncmsl
172.	172.	Mdo
riječi	riječ	Ncfsg
:	:	Z
»	»	Z
uređenje	uređenje	Ncnsn
okućnice	okućnica	Ncfsg
i	i	Cc
tehnički	tehnički	Agpmpny
poslovi	posao	Ncmpn
u	u	Sl
kući	kuća	Ncfsl
korisnika	korisnik	Ncmpg
«	«	Z
zamjenjuju	zamjenjivati	Vmr3p
se	sebe	Px--sa
riječima	riječ	Ncfpi
:	:	Z
»	»	Z
zadovoljavanje	zadovoljavanje	Ncnsn
drugih	drugi	Mlofpg
svakodnevnih	svakodnevan	Agpfpgy
potreba	potreba	Ncfpg
«	«	Z
.	.	Z

Članak	članak	Ncmsn
57.	57.	Mdo

U	u	Sl
članku	članak	Ncmsl
173.	173.	Mdo
stavku	stavak	Ncmsl
2.	2.	Mdo
iza	iza	Sg
riječi	riječ	Ncfsg
:	:	Z
»	»	Z
tehničar	tehničar	Ncmsn
«	«	Z
dodaju	dodati	Vmr3p
se	sebe	Px--sa
riječi	riječ	Ncfpn
:	:	Z
»	»	Z
za	za	Sa
korisnike	korisnik	Ncmpa
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
podstavka	podstavak	Ncmsg
1.	1.	Mdo
,	,	Z
2.	2.	Mdo
,	,	Z
3.	3.	Mdo
i	i	Cc
4.	4.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
«	«	Z
,	,	Z
a	a	Cc
iza	iza	Sg
riječi	riječ	Ncfsg
:	:	Z
»	»	Z
glavna	glavni	Agpfsny
medicinska	medicinski	Agpfsny
sestra	sestra	Ncfsn
«	«	Z
dodaju	dodati	Vmr3p
se	sebe	Px--sa
riječi	riječ	Ncfpn
:	:	Z
»	»	Z
za	za	Sa
korisnike	korisnik	Ncmpa
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
podstavka	podstavak	Ncmsg
3.	3.	Mdo
i	i	Cc
4.	4.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
«	«	Z
.	.	Z

Članak	članak	Ncmsn
58.	58.	Mdo

U	u	Sl
članku	članak	Ncmsl
177.	177.	Mdo
stavku	stavak	Ncmsl
3.	3.	Mdo
iza	iza	Sg
riječi	riječ	Ncfsg
:	:	Z
»	»	Z
suradnik	suradnik	Ncmsn
«	«	Z
dodaje	dodavati	Vmr3s
se	sebe	Px--sa
riječ	riječ	Ncfsn
:	:	Z
»	»	Z
terapeut	terapeut	Ncmsn
«	«	Z
.	.	Z

Članak	članak	Ncmsn
59.	59.	Mdo

U	u	Sl
članku	članak	Ncmsl
180.	180.	Mdo
stavku	stavak	Ncmsl
1.	1.	Mdo
iza	iza	Sg
riječi	riječ	Ncfsg
:	:	Z
»	»	Z
higijenskih	higijenski	Agpfpgy
potreba	potreba	Ncfpg
«	«	Z
briše	brisati	Vmr3s
se	sebe	Px--sa
zarez	zarez	Ncmsn
i	i	Cc
riječi	riječ	Ncfpn
:	:	Z
»	»	Z
zadovoljavanje	zadovoljavanje	Ncnsn
drugih	drugi	Mlofpg
svakodnevnih	svakodnevan	Agpfpgy
potreba	potreba	Ncfpg
«	«	Z
.	.	Z

Članak	članak	Ncmsn
60.	60.	Mdo

Članak	članak	Ncmsn
181.	181.	Mdo
mijenja	mijenjati	Vmr3s
se	sebe	Px--sa
i	i	Cc
glasi	glasiti	Vmr3s
:	:	Z

»	»	Z
(	(	Z
1	1	Mdc
)	)	Z
Zadovoljavanje	zadovoljavanje	Ncnsn
drugih	drugi	Mlofpg
svakodnevnih	svakodnevan	Agpfpgy
potreba	potreba	Ncfpg
obuhvaća	obuhvaćati	Vmr3s
:	:	Z
uređenje	uređenje	Ncnsn
okućnice	okućnica	Ncfsg
(	(	Z
košnja	košnja	Ncfsn
trave	trava	Ncfsg
uže	uzak	Agcfsgy
okućnice	okućnica	Ncfsg
,	,	Z
čišćenje	čišćenje	Ncnsn
snijega	snijeg	Ncmsg
i	i	Cc
sl.	sl.	Y
)	)	Z
,	,	Z
tehničke	tehnički	Agpmpay
poslove	posao	Ncmpa
(	(	Z
cijepanje	cijepanje	Ncnsn
drva	drvo	Ncnsg
,	,	Z
obavljanje	obavljanje	Ncnsa
sitnih	sitan	Agpmpgy
popravaka	popravak	Ncmpg
u	u	Sl
kući	kuća	Ncfsl
koji	koji	Pi-mpn
ne	ne	Qz
zahtijevaju	zahtijevati	Vmr3p
specifična	specifičan	Agpnpay
stručna	stručan	Agpnpay
znanja	znanje	Ncnpa
i	i	Cc
sl.	sl.	Y
)	)	Z
,	,	Z
pratnju	pratnja	Ncfsa
pri	pri	Sl
nužnim	nužan	Agpmply
izlascima	izlazak	Ncmpl
iz	iz	Sg
kuće	kuća	Ncfsg
(	(	Z
liječnički	liječnički	Agpmsayn
pregled	pregled	Ncmsan
i	i	Cc
dr.	dr.	Y
)	)	Z
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Zadovoljavanje	zadovoljavanje	Ncnsn
drugih	drugi	Mlofpg
svakodnevnih	svakodnevan	Agpfpgy
potreba	potreba	Ncfpg
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
provodi	provoditi	Vmr3s
pomoćni	pomoćan	Agpmsny
radnik	radnik	Ncmsn
.	.	Z
«	«	Z
.	.	Z

Članak	članak	Ncmsn
61.	61.	Mdo

U	u	Sl
članku	članak	Ncmsl
184.	184.	Mdo
stavak	stavak	Ncmsn
1.	1.	Mdo
briše	brisati	Vmr3s
se	sebe	Px--sa
,	,	Z
u	u	Sl
stavku	stavak	Ncmsl
2.	2.	Mdo
riječi	riječ	Ncfsg
:	:	Z
»	»	Z
odnosno	odnosno	Rgp
tri	tri	Mlc
ležaja	ležaj	Ncmsg
u	u	Sl
obiteljskom	obiteljski	Agpmsly
domu	dom	Ncmsl
,	,	Z
«	«	Z
i	i	Cc
stavci	stavak	Ncmpn
11.	11.	Mdo
i	i	Cc
13.	13.	Mdo
brišu	brisati	Vmr3p
se	sebe	Px--sa
,	,	Z
a	a	Cc
u	u	Sl
stavku	stavak	Ncmsl
14.	14.	Mdo
brojevi	broj	Ncmpn
:	:	Z
»	»	Z
11.	11.	Mdo
,	,	Z
«	«	Z
i	i	Cc
»	»	Z
,	,	Z
13.	13.	Mdo
«	«	Z
brišu	brisati	Vmr3p
se	sebe	Px--sa
.	.	Z

Članak	članak	Ncmsn
62.	62.	Mdo

U	u	Sl
članku	članak	Ncmsl
190.	190.	Mdo
stavci	stavak	Ncmpn
6.	6.	Mdo
i	i	Cc
14.	14.	Mdo
brišu	brisati	Vmr3p
se	sebe	Px--sa
,	,	Z
u	u	Sl
stavku	stavak	Ncmsl
7.	7.	Mdo
iza	iza	Sg
riječi	riječ	Ncfsg
:	:	Z
»	»	Z
korisnike	korisnik	Ncmpa
«	«	Z
dodaju	dodati	Vmr3p
se	sebe	Px--sa
riječi	riječ	Ncfpn
:	:	Z
»	»	Z
prvog	prvi	Mlomsg
,	,	Z
drugog	drugi	Mlomsg
i	i	Cc
«	«	Z
,	,	Z
a	a	Cc
u	u	Sl
stavku	stavak	Ncmsl
15.	15.	Mdo
riječi	riječ	Ncfsg
:	:	Z
»	»	Z
10.	10.	Mdo
,	,	Z
11.	11.	Mdo
i	i	Cc
14.	14.	Mdo
«	«	Z
zamjenjuju	zamjenjivati	Vmr3p
se	sebe	Px--sa
riječima	riječ	Ncfpi
:	:	Z
»	»	Z
10.	10.	Mdo
i	i	Cc
11.	11.	Mdo
«	«	Z
.	.	Z

Članak	članak	Ncmsn
63.	63.	Mdo

U	u	Sl
članku	članak	Ncmsl
194.	194.	Mdo
podstavku	podstavak	Ncmsl
2.	2.	Mdo
iza	iza	Sg
riječi	riječ	Ncfsg
:	:	Z
»	»	Z
suradnik	suradnik	Ncmsn
«	«	Z
dodaje	dodavati	Vmr3s
se	sebe	Px--sa
riječ	riječ	Ncfsn
:	:	Z
»	»	Z
terapeut	terapeut	Ncmsn
«	«	Z
.	.	Z

Članak	članak	Ncmsn
64.	64.	Mdo

Članci	članak	Ncmpn
195.	195.	Mdo
i	i	Cc
196.	196.	Mdo

