načela	načeti	Vmp-sf
cijenjeno	cijenjen	Agpnsay
mjesto	mjesto	Ncnsa
u	u	Sl
društvenoj	društven	Agpfsly
hijerahiji	hijerahija	Ncfsl
(	(	Z
Begić	Begić	Npmsn
,	,	Z
2013	2013	Mdc
)	)	Z
.	.	Z

U	u	Sl
suvremenom	suvremen	Agpnsly
zapadnom	zapadni	Agpnsly
društvu	društvo	Ncnsl
se	sebe	Px--sa
na	na	Sa
rodnu	rodan	Agpfsay
nenormativnost	nenormativnost	Ncfsa
donedavno	donedavno	Rgp
gledalo	gledati	Vmp-sn
kao	kao	Cs
na	na	Sa
oblik	oblik	Ncmsan
psihopatologije	psihopatologija	Ncfsg
(	(	Z
Richards	Richards	Npmsn
i	i	Cc
sur	sur	Agpmsnn
.	.	Z
,	,	Z
2015	2015	Mdc
)	)	Z
.	.	Z

Zadnjih	zadnji	Agpnpgy
se	sebe	Px--sa
desetljeća	desetljeće	Ncnsg
ovaj	ovaj	Pd-msn
odnos	odnos	Ncmsn
mijenja	mijenjati	Vmr3s
i	i	Cc
rodna	rodan	Agpfsny
se	sebe	Px--sa
disforija	disforija	Ncfsn
sve	sve	Qo
rjeđe	rijetko	Rgc
smatra	smatrati	Vmr3s
psihopatološkim	psihopatološki	Agpnsiy
stanjem	stanje	Ncnsi
,	,	Z
a	a	Cc
sve	sve	Qo
češće	često	Rgc
varijacijom	varijacija	Ncfsi
koja	koji	Pi-fsn
samo	samo	Rgp
ponekad	ponekad	Rgp
zahtijeva	zahtijevati	Vmr3s
medicinsku	medicinski	Agpfsay
skrb	skrb	Ncfsa
.	.	Z

Promjena	promjena	Ncfsn
stava	stav	Ncmsg
se	sebe	Px--sa
može	moći	Vmr3s
razvidno	razvidno	Rgp
pratiti	pratiti	Vmn
kroz	kroz	Sa
promjene	promjena	Ncfpa
u	u	Sl
klasifikacijskim	klasifikacijski	Agpmply
sustavima	sustav	Ncmpl
.	.	Z

U	u	Sl
trećem	treći	Mlonsl
izdanju	izdanje	Ncnsl
Dijagnostičkog	dijagnostički	Agpnsgy
i	i	Cc
statističkog	statistički	Agpmsgy
priručnika	priručnik	Ncmsg
za	za	Sa
psihičke	psihički	Agpmpay
poremećaje	poremećaj	Ncmpa
(	(	Z
Diagnostic	Diagnostic	Xf
and	and	Xf
Statistical	Statistical	Xf
Manual	manual	Xf
of	of	Xf
Mental	Mental	Xf
Disorders	Disorders	Xf
,	,	Z
DSM	DSM	Npmsn
)	)	Z
radilo	raditi	Vmp-sn
se	sebe	Px--sa
o	o	Sl
parafiliji	parafilija	Ncfsl
,	,	Z
u	u	Sl
četvrtom	četvrti	Mlonsl
izdanju	izdanje	Ncnsl
o	o	Sl
Poremećaju	poremećaj	Ncmsl
rodnog	rodan	Agpmsgy
identiteta	identitet	Ncmsg
,	,	Z
dok	dok	Cs
se	sebe	Px--sa
u	u	Sl
najnovijem	nov	Agsmsly
,	,	Z
petom	peti	Mlonsl
izdanju	izdanje	Ncnsl
ovo	ovaj	Pd-nsn
stanje	stanje	Ncnsn
naziva	nazivati	Vmr3s
rodnom	rodan	Agpfsiy
disforijom	disforija	Ncfsi
,	,	Z
čime	što	Pi3n-i
je	biti	Var3s
izbjegnuto	izbjegnuti	Agpnsny
spominjanje	spominjanje	Ncnsn
riječi	riječ	Ncfpg
poremećaj	poremećaj	Ncmsn
u	u	Sl
nazivu	naziv	Ncmsl
stanja	stanje	Ncnsg
.	.	Z

U	u	Sl
desetom	deseti	Mlonsl
izdanju	izdanje	Ncnsl
Međunarodne	međunarodni	Agpfsgy
klasifikacije	klasifikacija	Ncfsg
bolesti	bolest	Ncfsg
(	(	Z
MKB-10	MKB-10	Qr
)	)	Z
upotrebljava	upotrebljavati	Vmr3s
se	sebe	Px--sa
naziv	naziv	Ncmsn
Transseksualnost	transseksualnost	Ncfsn
,	,	Z
koja	koji	Pi-fsn
je	biti	Var3s
svrstana	svrstati	Appfsny
u	u	Sa
kategoriju	kategorija	Ncfsa
psihičkih	psihički	Agpmpgy
poremećaja	poremećaj	Ncmpg
(	(	Z
F	F	X
kategorija	kategorija	Ncfpg
)	)	Z
.	.	Z

Prema	prema	Sl
najnovijim	nov	Agpfply
spoznajama	spoznaja	Ncfpl
u	u	Sa
MKB-11	MKB-11	Mdm
bit	biti	Van
će	htjeti	Var3s
upotrijebljen	upotrijebiti	Appmsnn
naziv	naziv	Ncmsn
Gender	Gender	Npmsn
Incongruence	Incongruence	Npmsn
(	(	Z
rodna	rodan	Agpfsny
inkongruentnost	inkongruentnost	Ncfsn
)	)	Z
,	,	Z
ta	taj	Pd-fsn
će	htjeti	Var3s
dijagnoza	dijagnoza	Ncfsn
biti	biti	Van
potpuno	potpuno	Rgp
izuzeta	izuzeti	Appfsny
iz	iz	Sg
kategorije	kategorija	Ncfsg
psihičkih	psihički	Agpmpgy
poremećaja	poremećaj	Ncmpg
i	i	Cc
svrstana	svrstati	Appfsny
u	u	Sa
posebnu	poseban	Agpfsay
kategoriju	kategorija	Ncfsa
Stanja	stanje	Ncnsg
povezanih	povezan	Agpmpgy
sa	sa	Si
seksualnim	seksualan	Agpnsiy
zdravljem	zdravlje	Ncnsi
ili	ili	Cc
u	u	Sa
sadašnju	sadašnji	Agpfsay
Z	Z	Sa
kategoriju	kategorija	Ncfsa
Stanja	stanje	Ncnsg
koja	koji	Pi-npn
zahtijevaju	zahtijevati	Vmr3p
medicinsku	medicinski	Agpfsay
skrb	skrb	Ncfsa
(	(	Z
Richards	Richards	Npmsn
i	i	Cc
sur	sur	Agpmsnn
.	.	Z
,	,	Z
2015	2015	Mdc
)	)	Z
.	.	Z

Suvremeni	suvremen	Agpmpny
i	i	Cc
znanstveno	znanstveno	Rgp
utemeljeni	utemeljen	Agpmpny
pristupi	pristup	Ncmpn
zdravstvenoj	zdravstven	Agpfsly
i	i	Cc
psihosocijalnoj	psihosocijalan	Agpfsly
skrbi	skrb	Ncfsl
transrodnim	transrodni	Agpfpiy
,	,	Z
transpolnim	transpolnim	Pp3nsn
i	i	Cc
rodno	rodno	Rgp
nenormativnim	nenormativni	Mlofpd
osobama	osoba	Ncfpd
u	u	Sl
zemljama	zemlja	Ncfpl
Europske	europski	Agpfsgy
unije	unija	Ncfsg
i	i	Cc
Sjeverne	sjeverni	Agpfsgy
Amerike	Amerika	Npfsg
se	sebe	Px--sa
oslanjaju	oslanjati	Vmr3p
na	na	Sa
preporuke	preporuka	Ncfpa
Svjetske	svjetski	Agpfsgy
strukovne	strukovni	Agpfsgy
organizacije	organizacija	Ncfsg
za	za	Sa
zdravlje	zdravlje	Ncnsa
transrodnih	transrodni	Agpfpgy
osoba	osoba	Ncfpg
(	(	Z
World	World	Xf
Professional	Professional	Xf
Association	Association	Xf
for	for	Xf
Transgender	Transgender	Xf
Health	Health	Xf
,	,	Z
WPATH	WPATH	Npmsn
)	)	Z
.	.	Z

Ova	ovaj	Pd-fsn
organizacija	organizacija	Ncfsn
okuplja	okupljati	Vmr3s
stručnjake	stručnjak	Ncmpa
iz	iz	Sg
područja	područje	Ncnsg
biomedicinskih	biomedicinski	Agpnpgy
i	i	Cc
društvenih	društven	Agpfpgy
znanosti	znanost	Ncfpg
te	te	Cc
udruge	udruga	Ncfsg
civilnog	civilan	Agpnsgy
društva	društvo	Ncnsg
koji	koji	Pi-mpn
se	sebe	Px--sa
zalažu	zalagati	Vmr3p
za	za	Sa
poštivanje	poštivanje	Ncnsa
ljudskih	ljudski	Agpnpgy
prava	pravo	Ncnpg
i	i	Cc
promicanje	promicanje	Ncnsa
prava	pravo	Ncnsg
na	na	Sa
samoodređenje	samoodređenje	Ncnsa
.	.	Z

Standardi	standard	Ncmpn
skrbi	skrb	Ncfsg
za	za	Sa
zdravlje	zdravlje	Ncnsa
transpolnih	transpolan	Agpmpgy
,	,	Z
transrodnih	transrodni	Agpfpgy
i	i	Cc
rodno	rodno	Rgp
nenormativnih	nenormativan	Agpfpgy
osoba	osoba	Ncfpg
,	,	Z
sedma	sedmi	Mlofsn
verzija	verzija	Ncfsn
(	(	Z
Coleman	Coleman	Npmsn
i	i	Cc
sur	sur	Agpmsnn
.	.	Z
,	,	Z
2012	2012	Mdc
)	)	Z
se	sebe	Px--sa
u	u	Sl
međunarodnoj	međunarodni	Agpfsly
stručnoj	stručan	Agpfsly
javnosti	javnost	Ncfsl
smatraju	smatrati	Vmr3p
»	»	Z
zlatnim	zlatan	Agpmsiy
standardom	standard	Ncmsi
«	«	Z
organizacije	organizacija	Ncfsg
skrbi	skrb	Ncfsg
.	.	Z

Sedma	sedmi	Mlofsn
verzija	verzija	Ncfsn
Standarda	standard	Ncmsg
skrbi	skrbiti	Vmr3s
se	sebe	Px--sa
razlikuje	razlikovati	Vmr3s
od	od	Sg
prijašnjih	prijašnji	Agpfpgy
verzija	verzija	Ncfpg
u	u	Sl
prepoznavanju	prepoznavanje	Ncnsl
i	i	Cc
priznavanju	priznavanje	Ncnsl
raznolikosti	raznolikost	Ncfsg
rodnih	rodan	Agpmpgy
identiteta	identitet	Ncmpg
i	i	Cc
nenormativnih	nenormativan	Agpnpgy
rodnih	rodan	Agpnpgy
izražavanja	izražavanje	Ncnpg
koji	koji	Pi-mpn
ne	ne	Qz
zahtijevaju	zahtijevati	Vmr3p
psihološke	psihološki	Agpfpay
,	,	Z
hormonske	hormonski	Agpmpay
ili	ili	Cc
kirurške	kirurški	Agpmpay
tretmane	tretman	Ncmpa
.	.	Z

Osim	osim	Sg
toga	taj	Pd-nsg
,	,	Z
naglašena	naglasiti	Appfsny
je	biti	Var3s
preporuka	preporuka	Ncfsn
o	o	Sl
kulturalnoj	kulturalan	Agpfsly
i	i	Cc
društvenoj	društven	Agpfsly
prilagodbi	prilagodba	Ncfsl
smjernica	smjernica	Ncfpg
lokalnoj	lokalan	Agpfsly
stvarnosti	stvarnost	Ncfsl
kako	kako	Cs
bi	biti	Vaa3s
se	sebe	Px--sa
izbjegla	izbjegao	Agpfsny
dodatna	dodatan	Agpfsny
stigmatizacija	stigmatizacija	Ncfsn
osoba	osoba	Ncfpg
koje	koji	Pi-fpn
proživljavaju	proživljavati	Vmr3p
rodnu	rodan	Agpfsay
disforiju	disforija	Ncfsa
.	.	Z

Ministar	ministar	Ncmsn
zdravlja	zdravlje	Ncnsg
Republike	republika	Ncfsg
Hrvatske	hrvatski	Agpfsgy
je	biti	Var3s
u	u	Sl
svibnju	svibanj	Ncmsl
2015.	2015.	Mdo
godine	godina	Ncfsg
imenovao	imenovati	Vmp-sm
Listu	lista	Ncfsa
stručnjaka	stručnjak	Ncmpg
s	sa	Si
iskustvom	iskustvo	Ncnsi
i	i	Cc
edukacijom	edukacija	Ncfsi
iz	iz	Sg
zdravstvene	zdravstven	Agpfsgy
zaštite	zaštita	Ncfsg
transrodnih	transrodni	Agpfpgy
osoba	osoba	Ncfpg
čiji	čiji	Pi-msn
je	biti	Var3s
zadatak	zadatak	Ncmsn
bio	biti	Vap-sm
predložiti	predložiti	Vmn
stručne	stručan	Agpfpay
smjernice	smjernica	Ncfpa
za	za	Sa
izradu	izrada	Ncfsa
mišljenja	mišljenje	Ncnsg
o	o	Sl
promjeni	promjena	Ncfsl
spola	spol	Ncmsg
ili	ili	Cc
života	život	Ncmsg
u	u	Sl
drugom	drugi	Mlomsl
rodnom	rodan	Agpmsly
identitetu	identitet	Ncmsl
te	te	Cc
one	onaj	Pd-fpn
za	za	Sa
zdravstvenu	zdravstven	Agpfsay
i	i	Cc
psihološku	psihološki	Agpfsay
skrb	skrb	Ncfsa
osoba	osoba	Ncfpg
s	sa	Si
rodnom	rodan	Agpfsiy
disforijom	disforija	Ncfsi
.	.	Z

Lista	lista	Ncfsn
je	biti	Var3s
sastavljena	sastaviti	Appfsny
od	od	Sg
stručnjaka	stručnjak	Ncmpg
iz	iz	Sg
područja	područje	Ncnsg
kliničke	klinički	Agpfsgy
psihologije	psihologija	Ncfsg
,	,	Z
psihijatrije	psihijatrija	Ncfsg
,	,	Z
endokrinologije	endokrinologija	Ncfsg
,	,	Z
ginekologije	ginekologija	Ncfsg
i	i	Cc
kirurgije	kirurgija	Ncfsg
,	,	Z
a	a	Cc
na	na	Sl
njoj	on	Pp3fsl
se	sebe	Px--sa
nalaze	nalaziti	Vmr3p
stručnjaci	stručnjak	Ncmpn
koji	koji	Pi-mpn
imaju	imati	Vmr3p
iskustvo	iskustvo	Ncnsa
i	i	Cc
dodatne	dodatan	Agpfsgy
edukacije	edukacija	Ncfsg
iz	iz	Sg
područja	područje	Ncnsg
transrodnosti	transrodnost	Ncfsg
i	i	Cc
transpolnosti	transpolnost	Ncfsl
.	.	Z

Stručnjaci	stručnjak	Ncmpn
s	sa	Sg
liste	lista	Ncfsg
su	biti	Var3p
kritički	kritički	Rgp
proučili	proučiti	Vmp-pm
mjerodavnu	mjerodavan	Agpfsay
znanstvenu	znanstven	Agpfsay
i	i	Cc
stručnu	stručan	Agpfsay
literaturu	literatura	Ncfsa
te	te	Cc
predlažu	predlagati	Vmr3p
Stručne	stručan	Agpfpay
smjernice	smjernica	Ncfpa
s	sa	Si
ciljem	cilj	Ncmsi
standardizacije	standardizacija	Ncfsg
postupka	postupak	Ncmsg
izrade	izrada	Ncfsg
mišljenja	mišljenje	Ncnsg
o	o	Sl
utvrđivanju	utvrđivanje	Ncnsl
uvjeta	uvjet	Ncmpg
i	i	Cc
pretpostavki	pretpostavka	Ncfpg
za	za	Sa
promjenu	promjena	Ncfsa
spola	spol	Ncmsg
i	i	Cc
životu	život	Ncmsl
u	u	Sl
drugom	drugi	Mlomsl
rodnom	rodan	Agpmsly
identitetu	identitet	Ncmsl
,	,	Z
utemeljene	utemeljen	Agpfpny
na	na	Sl
etičkim	etički	Agpmply
i	i	Cc
profesionalnim	profesionalan	Agpnply
načelima	načelo	Ncnpl
.	.	Z

Smjernice	smjernica	Ncfpn
se	sebe	Px--sa
temelje	temeljiti	Vmr3p

