radom	rad	Ncmsi
se	sebe	Px--sa
prijevremena	prijevremen	Agpfsny
rehabilitacija	rehabilitacija	Ncfsn

OZREN	OZREN	Npmsn
ORDULJ	ORDULJ	Npmsn
,	,	Z
sin	sin	Ncmsn
Nikole	Nikola	Npmsg
,	,	Z
rođen	roditi	Appmsnn
1977.	1977.	Mdo
u	u	Sl
Splitu	Split	Npmsl

za	za	Sa
izrečenu	izreći	Agpfsay
kaznu	kazna	Ncfsa
zatvora	zatvor	Ncmsg
u	u	Sl
trajanju	trajanje	Ncnsl
od	od	Sg
3	3	Mdc
godine	godina	Ncfsg
,	,	Z
zbog	zbog	Sg
kaznenih	kazneni	Agpnpgy
djela	djelo	Ncnpg
iznude	iznuda	Ncfsg
iz	iz	Sg
čl.	čl.	Y
234.	234.	Mdo
st.	st.	Y
1.	1.	Mdo
i	i	Cc
2.	2.	Mdo
KZ	KZ	Npmsn
i	i	Cc
kaznenih	kazneni	Agpnpgy
djela	djelo	Ncnpg
protupravnog	protupravan	Agpnsgy
oduzimanja	oduzimanje	Ncnsg
slobode	sloboda	Ncfsg
iz	iz	Sg
čl.	čl.	Y
124.	124.	Mdo
st.	st.	Y
1.	1.	Mdo
i	i	Cc
3.	3.	Mdo
KZ	KZ	Npfsn
–	–	Z
daje	davati	Vmr3s
se	sebe	Px--sa
prijevremena	prijevremen	Agpfsny
rehabilitacija	rehabilitacija	Ncfsn
.	.	Z

Klasa	klasa	Ncfsn
:	:	Z
703	703	Mdc
-	-	Z
04/14	04/14	Mdc
-	-	Z
01/04	01/04	Mdc
Urbroj	urbroj	Ncmsn
:	:	Z
71	71	Mdc
-	-	Z
05	05	Mdc
-	-	Z
05/2	05/2	Mdc
-	-	Z
14	14	Mdc
-	-	Z
05	05	Mdc
Zagreb	Zagreb	Npmsn
,	,	Z
10.	10.	Mdo
studenoga	studeni	Ncmsg
2014.	2014.	Mdo

Predsjednik	predsjednik	Ncmsn
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
Ivo	Ivo	Npmsn
Josipović	Josipović	Npmsn
,	,	Z
v.	v.	Y
r.	r.	Y

