toka	toka	Ncfsn
vršne	vršni	Agpfsgy
vrijednosti	vrijednost	Ncfsg
(	(	Z
filtriranje	filtriranje	Ncnsn
u	u	Sl
vremenskoj	vremenski	Agpfsly
domeni	domena	Ncfsl
)	)	Z
,	,	Z
objašnjenoj	objasniti	Appfsly
u	u	Sl
praktičnim	praktičan	Agpfply
smjernicama	smjernica	Ncfpl
iz	iz	Sg
članka	članak	Ncmsg
5.	5.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
,	,	Z
no	no	Cc
mogu	moći	Vmr3p
se	sebe	Px--sa
koristiti	koristiti	Vmn
i	i	Cc
drugi	drugi	Mlomsn
znanstveno	znanstveno	Rgp
dokazani	dokazati	Appmpny
i	i	Cc
provjereni	provjeriti	Appmpny
postupci	postupak	Ncmpn
ocjene	ocjena	Ncfsg
izloženosti	izloženost	Ncfsg
,	,	Z
pod	pod	Si
uvjetom	uvjet	Ncmsi
da	da	Cs
su	biti	Var3p
dobiveni	dobiti	Appmpny
rezultati	rezultat	Ncmpn
približno	približno	Rgp
istovrijedni	istovrijedan	Agpmpny
i	i	Cc
usporedivi	usporediv	Agpmpny
.	.	Z

Napomena	napomena	Ncfsn
B1	B1	X
–	–	Z
3	3	Mdc
:	:	Z
Vrijednosti	vrijednost	Ncfpn
upozorenja	upozorenje	Ncnsg
predstavljaju	predstavljati	Vmr3p
najviše	mnogo	Rgs
vrijednosti	vrijednost	Ncfpg
proračunane	proračunati	Appfpny
ili	ili	Cc
izmjerene	izmjeriti	Appfsgy
s	sa	Si
obzirom	obzir	Ncmsi
na	na	Sa
položaj	položaj	Ncmsan
tijela	tijelo	Ncnsg
radnika	radnik	Ncmpg
.	.	Z

To	taj	Pd-nsn
omogućuje	omogućivati	Vmr3s
konzervativnu	konzervativan	Agpfsay
procjenu	procjena	Ncfsa
izloženosti	izloženost	Ncfsg
i	i	Cc
automatsku	automatski	Agpfsay
sukladnost	sukladnost	Ncfsa
s	sa	Si
graničnim	graničan	Agpfpiy
vrijednostima	vrijednost	Ncfpi
izloženosti	izloženost	Ncfsg
u	u	Sl
svim	sav	Agpmply
nejednakim	nejednak	Agpmply
uvjetima	uvjet	Ncmpl
izloženosti	izloženost	Ncfsg
.	.	Z

Kako	kako	Cs
bi	biti	Vaa3s
se	sebe	Px--sa
pojednostavnila	pojednostavniti	Vmp-sf
procjena	procjena	Ncfsn
sukladnosti	sukladnost	Ncfsg
s	sa	Si
graničnim	graničan	Agpfpiy
vrijednostima	vrijednost	Ncfpi
izloženosti	izloženost	Ncfsg
,	,	Z
koja	koji	Pi-fsn
se	sebe	Px--sa
provodi	provoditi	Vmr3s
sukladno	sukladno	Rgp
članku	članak	Ncmsd
5.	5.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
,	,	Z
u	u	Sl
posebnim	poseban	Agpmply
nejednakim	nejednak	Agpmply
uvjetima	uvjet	Ncmpl
,	,	Z
u	u	Sl
praktičnim	praktičan	Agpfply
smjernicama	smjernica	Ncfpl
iz	iz	Sg
članka	članak	Ncmsg
5.	5.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
utvrdit	utvrditi	Vmn
će	htjeti	Var3p
se	sebe	Px--sa
kriteriji	kriterij	Ncmpn
za	za	Sa
prostorno	prostoran	Agpnsay
usrednjavanje	usrednjavanje	Ncnsa
izmjerenih	izmjeriti	Agpnpgy
polja	polje	Ncnpg
na	na	Sl
temelju	temelj	Ncmsl
priznate	priznati	Vmr2p
dozimetrije	dozimetrije	Ncmsan
.	.	Z

U	u	Sl
slučaju	slučaj	Ncmsl
vrlo	vrlo	Rgp
lokaliziranog	lokaliziran	Agpmsgy
izvora	izvor	Ncmsg
udaljenom	udaljen	Agpmsdy
nekoliko	nekoliko	Rgp
centimetara	centimetar	Ncmpg
od	od	Sg
tijela	tijelo	Ncnsg
,	,	Z
inducirano	inducirati	Agpnsny
električno	električan	Agpnsny
polje	polje	Ncnsn
određuje	određivati	Vmr3s
pomoću	pomoć	Sg
dozimetrije	dozimetrija	Ncfsg
,	,	Z
posebno	poseban	Agpnsny
za	za	Sa
svaki	svaki	Pi-msan
pojedinačni	pojedinačan	Agpmsayn
slučaj	slučaj	Ncmsan
.	.	Z

Vrijednosti	vrijednost	Ncfsg
upozorena	upozoriti	Appfsny
(	(	Z
ALs	ala	Ncfpn
)	)	Z
za	za	Sa
izloženost	izloženost	Ncfsa
magnetskim	magnetski	Agpnply
poljima	polje	Ncnpl

Niske	nizak	Agpfsgy
vrijednosti	vrijednost	Ncfsg
upozorenja	upozorenje	Ncnsg
(	(	Z
tablica	tablica	Ncfsn
B2	ba	Ncfsg
)	)	Z
,	,	Z
za	za	Sa
frekvencije	frekvencija	Ncfpa
niže	nisko	Rgc
od	od	Sg
400	400	Mdc
Hz	Hz	Y
,	,	Z
izvedene	izvesti	Appfpny
su	biti	Var3p
iz	iz	Sg
graničnih	graničan	Agpfpgy
vrijednosti	vrijednost	Ncfpg
izloženosti	izloženost	Ncfsg
za	za	Sa
učinke	učinak	Ncmpa
na	na	Sa
osjetila	osjetilo	Ncnpa
(	(	Z
tablica	tablica	Ncfsn
A3	A3	Xf
)	)	Z
i	i	Cc
za	za	Sa
frekvencije	frekvencija	Ncfpa
više	mnogo	Rgc
od	od	Sg
400	400	Mdc
Hz	Hz	Y
,	,	Z
iz	iz	Sg
graničnih	graničan	Agpfpgy
vrijednosti	vrijednost	Ncfpg
izloženosti	izloženost	Ncfsg
za	za	Sa
učinke	učinak	Ncmpa
na	na	Sa
zdravlje	zdravlje	Ncnsa
za	za	Sa
unutarnja	unutarnji	Agpnpay
električna	električan	Agpnpay
polja	polje	Ncnpa
(	(	Z
tablica	tablica	Ncfsn
A2	A2	Xf
)	)	Z
.	.	Z

Visoke	visok	Agpfpny
vrijednosti	vrijednost	Ncfpn
upozorenja	upozorenje	Ncnsg
(	(	Z
tablica	tablica	Ncfsn
B2	B2	X
)	)	Z
izvedene	izvesti	Appfpny
su	biti	Var3p
iz	iz	Sg
graničnih	graničan	Agpfpgy
vrijednosti	vrijednost	Ncfpg
izloženosti	izloženost	Ncfsg
za	za	Sa
učinke	učinak	Ncmpa
na	na	Sa
zdravlje	zdravlje	Ncnsa
povezane	povezan	Agpfsgy
s	sa	Si
električnom	električan	Agpfsiy
stimulacijom	stimulacija	Ncfsi
tkiva	tkivo	Ncnsg
perifernog	periferan	Agpnsgy
i	i	Cc
središnjeg	središnji	Agpmsgy
živčanog	živčan	Agpmsgy
sustava	sustav	Ncmsg
u	u	Sl
glavi	glava	Ncfsl
i	i	Cc
tijelu	tijelo	Ncnsl
(	(	Z
tablica	tablica	Ncfsn
A2	A2	Xf
)	)	Z
.	.	Z

Sukladnost	sukladnost	Ncfsn
s	sa	Si
visokim	visok	Agpfpiy
vrijednostima	vrijednost	Ncfpi
upozorenja	upozorenje	Ncnsg
osigurava	osiguravati	Vmr3s
da	da	Cs
granične	graničan	Agpfsgy
vrijednosti	vrijednost	Ncfsg
izloženosti	izloženost	Ncfsg
za	za	Sa
učinke	učinak	Ncmpa
na	na	Sa
zdravlje	zdravlje	Ncnsa
nisu	biti	Var3p
prekoračene	prekoračiti	Appfpny
,	,	Z
ali	ali	Cc
mogući	moguć	Agpmpny
su	biti	Var3p
učinci	učinak	Ncmpn
povezani	povezati	Appmpny
s	sa	Si
fotopsijama	fotopsija	Ncmpi
i	i	Cc
manjim	mali	Agpfpiy
kratkotrajnim	kratkotrajan	Agpfpiy
promjenama	promjena	Ncfpi
moždane	moždan	Agpfsgy
aktivnosti	aktivnost	Ncfsg
,	,	Z
ako	ako	Cs
izloženost	izloženost	Ncfsn
glave	glava	Ncfsg
prekorači	prekoračiti	Vmr3s
niske	nizak	Agpfpay
vrijednosti	vrijednost	Ncfpa
upozorenja	upozorenje	Ncnsg
za	za	Sa
izlaganja	izlaganje	Ncnpa
do	do	Sg
400	400	Mdc
Hz	Hz	Y
.	.	Z

U	u	Sl
tom	taj	Pd-msl
se	sebe	Px--sa
slučaju	slučaj	Ncmsl
primjenjuje	primjenjivati	Vmr3s
članak	članak	Ncmsn
5.	5.	Mdo
stavak	stavak	Ncmsan
6.	6.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
.	.	Z

Visoke	visok	Agpfpny
su	biti	Var3p
vrijednosti	vrijednost	Ncfpn
upozorenja	upozorenje	Ncnsg
za	za	Sa
izloženost	izloženost	Ncfsa
ekstremiteta	ekstremitet	Ncmsg
izvedene	izvesti	Appfpny
iz	iz	Sg
graničnih	graničan	Agpfpgy
vrijednosti	vrijednost	Ncfpg
izloženosti	izloženost	Ncfsg
za	za	Sa
učinke	učinak	Ncmpa
na	na	Sa
zdravlje	zdravlje	Ncnsa
za	za	Sa
unutarnje	unutarnji	Agpnsay
električno	električan	Agpnsay
polje	polje	Ncnsa
povezane	povezati	Appfpny
s	sa	Si
električnom	električan	Agpfsiy
stimulacijom	stimulacija	Ncfsi
tkiva	tkivo	Ncnsg
u	u	Sl
ekstremitetima	ekstremitet	Ncmpl
uzimajući	uzimati	Rr
u	u	Sa
obzir	obzir	Ncmsan
da	da	Cs
magnetsko	magnetski	Agpnsay
polje	polje	Ncnsa
slabije	slabo	Rgc
utječe	utjecati	Vmr3s
na	na	Sa
ekstremitete	ekstremitet	Ncmpa
nego	nego	Cc
na	na	Sa
cijelo	cijel	Agpnsay
tijelo	tijelo	Ncnsa
.	.	Z

Tablica	tablica	Ncfsn
B2	B2	Qr
.	.	Z

Vrijednosti	vrijednost	Ncfpn
upozorenja	upozorenje	Ncnsg
izloženosti	izloženost	Ncfsg

