dvije	dva	Mlcf-n
je	biti	Var3s
ta	taj	Pd-npn
sredstva	sredstvo	Ncnpn
primio	primiti	Vmp-sm
.	.	Z

IV	IV	Mrc
.	.	Z

FINANCIRANJE	financiranje	Ncnsn

Članak	članak	Ncmsn
9.	9.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Potpora	potpora	Ncfsn
podrazumijeva	podrazumijevati	Vmr3s
dodjelu	dodjela	Ncfsa
namjenskih	namjenski	Agpnpgy
bespovratnih	bespovratan	Agpnpgy
novčanih	novčan	Agpnpgy
sredstava	sredstvo	Ncnpg
za	za	Sa
sufinanciranje	sufinanciranje	Ncnsa
aktivnosti	aktivnost	Ncfpg
koja	koji	Pi-npn
su	biti	Var3p
predmet	predmet	Ncmsan
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
i	i	Cc
Natječaja	natječaj	Ncmsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Intenzitet	intenzitet	Ncmsn
javne	javan	Agpfsgy
potpore	potpora	Ncfsg
određuje	određivati	Vmr3s
se	sebe	Px--sa
sukladno	sukladno	Rgp
članku	članak	Ncmsd
95.	95.	Mdo
stavku	stavak	Ncmsl
1.	1.	Mdo
Uredbe	uredba	Ncfsg
(	(	Z
EU	EU	Npmsn
)	)	Z
br.	br.	Y
508/2014	508/2014	Mdc
,	,	Z
a	a	Cc
uzimajući	uzimati	Rr
u	u	Sa
obzir	obzir	Ncmsan
Provedbenu	provedbeni	Agpfsay
Uredbu	uredba	Ncfsa
Komisije	komisija	Ncfsg
(	(	Z
EU	EU	Npmsn
)	)	Z
br.	br.	Y
772/2014	772/2014	Mdc
оd	оd	Sg
14.	14.	Mdo
srpnja	srpanj	Ncmsg
2014.	2014.	Mdo
o	o	Sl
utvrđivanju	utvrđivanje	Ncnsl
pravila	pravilo	Ncnsg
o	o	Sl
iznosu	iznos	Ncmsl
javne	javan	Agpfsgy
potpore	potpora	Ncfsg
koja	koji	Pi-fsn
će	htjeti	Var3s
se	sebe	Px--sa
primjenjivati	primjenjivati	Vmn
na	na	Sa
ukupno	ukupan	Agpmpay
prihvatljive	prihvatljiv	Agpmpay
rashode	rashod	Ncmpa
za	za	Sa
određene	određen	Agpfpay
operacije	operacija	Ncfpa
koje	koji	Pi-fpn
se	sebe	Px--sa
financiraju	financirati	Vmr3p
u	u	Sl
okviru	okvir	Ncmsl
Europskog	europski	Agpmsgy
fonda	fond	Ncmsg
za	za	Sa
pomorstvo	pomorstvo	Ncnsa
i	i	Cc
ribarstvo	ribarstvo	Ncnsa
(	(	Z
SL	SL	Npmsn
L209	L209	Mdc
16.	16.	Mdo
7.	7.	Mdo
2014.	2014.	Mdo
)	)	Z
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Sredstva	sredstvo	Ncnsg
javne	javan	Agpfsgy
potpore	potpora	Ncfsg
za	za	Sa
sufinanciranje	sufinanciranje	Ncnsa
na	na	Sl
temelju	temelj	Ncmsl
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
osiguravaju	osiguravati	Vmr3p
se	sebe	Px--sa
iz	iz	Sg
proračuna	proračun	Ncmsg
Europske	europski	Agpfsgy
unije	unija	Ncfsg
i	i	Cc
državnog	državni	Agpmsgy
proračuna	proračun	Ncmsg
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
,	,	Z
od	od	Sg
čega	što	Pi3n-g
Europska	europski	Agpfsny
unija	unija	Ncfsn
sudjeluje	sudjelovati	Vmr3s
sa	sa	Si
75	75	Mdc

