Hrvatske	Hrvatska	Npfsg
prognoze	prognoza	Ncfsg
korištenja	korištenje	Ncnsg
sredstava	sredstvo	Ncmpg
i	i	Cc
financijskih	financijski	Agpfpgy
obveza	obveza	Ncfpg
po	po	Sl
projektima	projekt	Ncmpl
te	te	Cc
planiranja	planiranje	Ncnsg
i	i	Cc
upravljanja	upravljanje	Ncnsg
alokacijama	alokacija	Ncfpl
iz	iz	Sg
sredstava	sredstvo	Ncnpg
i	i	Cc
nacionalnih	nacionalan	Agpmpgy
izvora	izvor	Ncmpg
.	.	Z

U	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
Komunikacijskom	komunikacijski	Agpfsiy
strategijom	strategija	Ncfsi
za	za	Sa
Operativni	operativan	Agpmsayn
program	program	Ncmsan
»	»	Z
Regionalna	regionalan	Agpfsny
konkurentnost	konkurentnost	Ncfsn
«	«	Z
2007.	2007.	Mdo
-2013.	-2013.	Mdo
i	i	Cc
»	»	Z
Konkurentnost	konkurentnost	Ncfsn
i	i	Cc
kohezija	kohezija	Ncfsn
«	«	Z
2014.	2014.	Mdo
-2020.	-2020.	Mdo
provodi	provoditi	Vmr3s
mjere	mjera	Ncfpa
informiranja	informiranje	Ncnsg
i	i	Cc
komunikacije	komunikacija	Ncfsg
,	,	Z
s	sa	Si
posebnim	poseban	Agpmsiy
naglaskom	naglasak	Ncmsi
na	na	Sa
mjere	mjera	Ncfpa
namijenjene	namijenjen	Agpfpay
korisnicima	korisnik	Ncmpd
te	te	Cc
o	o	Sl
njima	oni	Pp3-pl
izvještava	izvještavati	Vmr3s
nadležne	nadležan	Agpfsgy
ustrojstvene	ustrojstven	Agpfsgy
jedinice	jedinica	Ncfsg
.	.	Z

Služba	služba	Ncfsn
upravlja	upravljati	Vmr3s
rizicima	rizik	Ncmpd
na	na	Sl
razini	razina	Ncfsl
prioritetnih	prioritetni	Agpfpgy
osi	os	Ncfpg
,	,	Z
odnosno	odnosno	Rgp
Posredničkog	posrednički	Agpnsgy
tijela	tijelo	Ncnsg
razine	razina	Ncfsg
1	1	Mdc
u	u	Sl
okviru	okvir	Ncmsl
Operativnog	operativan	Agpmsgy
programa	program	Ncmsg
»	»	Z
Regionalna	regionalan	Agpfsny
konkurentnost	konkurentnost	Ncfsn
«	«	Z
2007.	2007.	Mdo
-2013.	-2013.	Mdo
i	i	Cc
Operativnog	operativan	Agpmsgy
programa	program	Ncmsg
»	»	Z
Konkurentnost	konkurentnost	Ncfsn
i	i	Cc
kohezija	kohezija	Ncfsn
«	«	Z
2014.	2014.	Mdo
-2020.	-2020.	Mdo
,	,	Z
koordinira	koordinirati	Vmr3s
pripremu	priprema	Ncfsa
i	i	Cc
ažuriranje	ažuriranje	Ncnsa
priručnika	priručnik	Ncmpg
o	o	Sl
internim	interni	Agpfply
procedura	procedura	Ncfpg
Posredničkog	posrednički	Agpnsgy
tijela	tijelo	Ncnsg
razine	razina	Ncfsg
1	1	Mdc
sukladno	sukladno	Rgp
smjernicama	smjernica	Ncfpd
odobrenim	odobren	Agpfpiy
od	od	Sg
strane	strana	Ncfsg
Upravljačkog	upravljački	Agpnsgy
tijela	tijelo	Ncnsg
.	.	Z

Osigurava	osiguravati	Vmr3s
suradnju	suradnja	Ncfsa
s	sa	Si
revizijskim	revizijski	Agpfpiy
misijama	misija	Ncfpi
,	,	Z
koordinira	koordinirati	Vmr3s
postupak	postupak	Ncmsan
revizije	revizija	Ncfsg
te	te	Cc
provođenje	provođenje	Ncnsn
revizijskih	revizijski	Agpfpgy
preporuka	preporuka	Ncfpg
.	.	Z

Vodi	voditi	Vmr3s
evidenciju	evidencija	Ncfsa
preporuka	preporuka	Ncfpg
Upravljačkog	upravljački	Agpnsgy
tijela	tijelo	Ncnsg
proizašlih	proizašao	Agpfpgy
iz	iz	Sg
provjera	provjera	Ncfpg
sustava	sustav	Ncmsg
,	,	Z
odnosno	odnosno	Rgp
kontrole	kontrola	Ncfsg
delegiranih	delegiran	Agpfpgy
funkcija	funkcija	Ncfpg
,	,	Z
prati	pratiti	Vmr3s
njihovu	njihov	Ps3fsa
provedbu	provedba	Ncfsa
,	,	Z
osigurava	osiguravati	Vmr3s
suradnju	suradnja	Ncfsa
s	sa	Si
Upravljačkim	upravljački	Agpnsiy
tijelom	tijelo	Ncnsi
za	za	Sa
vrijeme	vrijeme	Ncnsa
i	i	Cc
nakon	nakon	Sg
kontrolne	kontrolan	Agpfsgy
provjere	provjera	Ncfsg
te	te	Cc
izvještava	izvještavati	Vmr3s
Upravljačko	upravljački	Agpnsay
tijelo	tijelo	Ncnsa
o	o	Sl
provođenju	provođenje	Ncnsl
delegiranih	delegiran	Agpfpgy
funkcija	funkcija	Ncfpg
.	.	Z

Služba	služba	Ncfsn
koordinira	koordinirati	Vmr3s
aktivnosti	aktivnost	Ncfpa
prevencije	prevencija	Ncfsg
,	,	Z
otkrivanja	otkrivanje	Ncnsg
i	i	Cc
ispravljanja	ispravljanje	Ncnsg
nepravilnosti	nepravilnost	Ncfsg
te	te	Cc
utvrđivanje	utvrđivanje	Ncnsn
mjera	mjera	Ncfpg
za	za	Sa
suzbijanje	suzbijanje	Ncnsa
prijevara	prijevara	Ncfpg
,	,	Z
uzimajući	uzimati	Rr
u	u	Sa
obzir	obzir	Ncmsan
utvrđene	utvrditi	Agpmpay
rizike	rizik	Ncmpa
,	,	Z
korektivne	korektivan	Agpfpay
mjere	mjera	Ncfpa
i	i	Cc
povrate	povratiti	Vmr3p
nepropisno	nepropisno	Rgp
plaćenih	platiti	Appmpgy
iznosa	iznos	Ncmpg
s	sa	Si
kamatama	kamata	Ncfpi
,	,	Z
u	u	Sl
okviru	okvir	Ncmsl
Operativnog	operativan	Agpmsgy
programa	program	Ncmsg
»	»	Z
Regionalna	regionalan	Agpfsny
konkurentnost	konkurentnost	Ncfsn
«	«	Z
2007.	2007.	Mdo
-2013.	-2013.	Mdo
i	i	Cc
Operativnog	operativan	Agpmsgy
programa	program	Ncmsg
»	»	Z
Konkurentnost	konkurentnost	Ncfsn
i	i	Cc
kohezija	kohezija	Ncfsn
«	«	Z
2014.	2014.	Mdo
-2020.	-2020.	Mdo
,	,	Z
na	na	Sl
razini	razina	Ncfsl
Posredničkog	posrednički	Agpnsgy
tijela	tijelo	Ncnsg
razine	razina	Ncfsg
1.	1.	Mdo
Služba	služba	Ncfsn
po	po	Sl
potrebi	potreba	Ncfsl
sudjeluje	sudjelovati	Vmr3s
u	u	Sl
provedbi	provedba	Ncfsl
obrazovnih	obrazovni	Agpfpgy
aktivnosti	aktivnost	Ncfpg
o	o	Sl
Fondovima	fond	Ncmpl
za	za	Sa
tijela	tijelo	Ncnpa
državne	državni	Agpfsgy
i	i	Cc
javne	javan	Agpfsgy
uprave	uprava	Ncfsg
,	,	Z
pravne	pravni	Agpfpny
osobe	osoba	Ncfpn
s	sa	Si
javnim	javan	Agpfpiy
ovlastima	ovlast	Ncfpi
,	,	Z
jedinice	jedinica	Ncfpn
lokalne	lokalan	Agpfsgy
i	i	Cc
područne	područni	Agpfsgy
(	(	Z
regionalne	regionalan	Agpfsgy
)	)	Z
samouprave	samouprava	Ncfsg
i	i	Cc
potencijalne	potencijalan	Agpmpay
prijavitelje	prijavitelj	Ncmpa
te	te	Cc
druge	drugi	Agpmpay
dionike	dionik	Ncmpa
.	.	Z

Osigurava	osiguravati	Vmr3s
čuvanje	čuvanje	Ncnsa
dokumenata	dokument	Ncmpg
i	i	Cc
evidencija	evidencija	Ncfpg
o	o	Sl
provedbi	provedba	Ncfsl
funkcija	funkcija	Ncfpg
radi	radi	Sg
osiguravanja	osiguravanje	Ncnsg
odgovarajućeg	odgovarajući	Agpmsgy
revizijskog	revizijski	Agpmsgy
traga	trag	Ncmsg
te	te	Cc
obavlja	obavljati	Vmr3s
i	i	Cc
druge	drugi	Mlompa
poslove	posao	Ncmpa
iz	iz	Sg
djelokruga	djelokrug	Ncmsg
Sektora	sektor	Ncmsg
.	.	Z

U	u	Sl
Službi	služba	Ncfsl
se	sebe	Px--sa
ustrojavaju	ustrojavati	Vmr3p
sljedeći	sljedeći	Agpmpny
odjeli	odjel	Ncmpn
:	:	Z

5.2.2.1.	5.2.2.1.	Mdo

Odjel	odjel	Ncmsn
za	za	Sa
provedbu	provedba	Ncfsa
EU	E	Npmsg
projekata	projekat	Ncmpg

5.2.2.2.	5.2.2.2.	Mdo

Odjel	odjel	Ncmsn
za	za	Sa
podršku	podrška	Ncfsa
sustavu	sustav	Ncmsd
.	.	Z
«	«	Z
.	.	Z

Članak	članak	Ncmsn
17.	17.	Mdo

Naslov	naslov	Ncmsn
iznad	iznad	Sg
članka	članak	Ncmsg
67.	67.	Mdo
i	i	Cc
članak	članak	Ncmsn
67.	67.	Mdo
mijenjaju	mijenjati	Vmr3p
se	sebe	Px--sa
i	i	Cc
glase	glasiti	Vmr3p
:	:	Z

»	»	Z
5.2.2.1.	5.2.2.1.	Mds

Odjel	odjel	Ncmsn
za	za	Sa
provedbu	provedba	Ncfsa
EU	E	Npmsg
projekata	projekat	Ncmpg

Članak	članak	Ncmsn
67.	67.	Mdo

Odjel	odjel	Ncmsn
za	za	Sa
provedbu	provedba	Ncfsa
EU	E	Npmsd
projekata	projekat	Ncmpg
obavlja	obavljati	Vmr3s
stručne	stručan	Agpmpay
,	,	Z
administrativne	administrativan	Agpfpay
i	i	Cc
upravno-pravne	upravno-pravan	Agpmpay
poslove	posao	Ncmpa
koji	koji	Pi-mpn
se	sebe	Px--sa
odnose	odnositi	Vmr3p
na	na	Sa
koordinaciju	koordinacija	Ncfsa
pripreme	priprema	Ncfsg
i	i	Cc
provedbu	provedba	Ncfsa
nacionalnih	nacionalan	Agpmpgy
projekata	projekat	Ncmpg
razvoja	razvoj	Ncmpg
klaster	klaster	Ncmsan
inicijativa	inicijativa	Ncfpg
i	i	Cc
uspostave	uspostava	Ncfsg
Inovacijske	inovacijski	Agpfsgy
mreže	mreža	Ncfsg
za	za	Sa
industriju	industrija	Ncfsa
i	i	Cc
tematskih	tematski	Agpfpgy
inovacijskih	inovacijski	Agpfpgy
platformi	platforma	Ncfpg
i	i	Cc
projekata	projekat	Ncmpg
tehničke	tehnički	Agpfsgy
pomoći	pomoć	Ncfsg
u	u	Sl
okviru	okvir	Ncmsl
Operativnog	operativan	Agpmsgy
programa	program	Ncmsg
»	»	Z
Konkurentnost	konkurentnost	Ncfsn
i	i	Cc
kohezija	kohezija	Ncfsn
«	«	Z
2014.	2014.	Mdo
-2020.	-2020.	Mdo
i	i	Cc
projekata	projekat	Ncmpg
tehničke	tehnički	Agpfsgy
pomoći	pomoć	Ncfsg
u	u	Sl
okviru	okvir	Ncmsl
Operativnog	operativan	Agpmsgy
programa	program	Ncmsg
»	»	Z
Regionalna	regionalan	Agpfsny
konkurentnost	konkurentnost	Ncfsn
«	«	Z
2007.	2007.	Mdo
-2013.	-2013.	Mdo
te	te	Cc
predlaganje	predlaganje	Ncnsn
istih	isti	Agpmpgy
na	na	Sa
odobrenje	odobrenje	Ncnsa
Upravljačkom	upravljački	Agpnsly
tijelu	tijelo	Ncnsl
.	.	Z

U	u	Sl
slučajevima	slučaj	Ncmpl
u	u	Sl
kojima	koji	Pi-fpl
je	biti	Var3s
Posredničko	posrednički	Agpnsny
tijelo	tijelo	Ncnsn
razine	razina	Ncfsg
1	1	Mdc
korisnik	korisnik	Ncmsn
sredstava	sredstvo	Ncnpg
tehničke	tehnički	Agpfsgy
pomoći	pomoć	Ncfsg
,	,	Z
Odjel	odjel	Ncmsn
priprema	pripremati	Vmr3s
prijave	prijava	Ncfsg
za	za	Sa
korištenje	korištenje	Ncnsa
EU	E	Npmsg
sredstava	sredstvo	Ncnpg
,	,	Z
provodi	provoditi	Vmr3s
nabavu	nabava	Ncfsa
,	,	Z
osigurava	osiguravati	Vmr3s
prihvatljivost	prihvatljivost	Ncfsa
izdataka	izdatak	Ncmpg
,	,	Z
koordinira	koordinirati	Vmr3s
provedbu	provedba	Ncfsa
projekata	projekat	Ncmpg
,	,	Z
priprema	pripremati	Vmr3s
zahtjeve	zahtjev	Ncmpa
za	za	Sa
naknadom	naknada	Ncmsan
troškova	trošak	Ncmpg
te	te	Cc
ih	oni	Pp3-pa
dostavlja	dostavljati	Vmr3s
Posredničkom	posrednički	Agpnsly
tijelu	tijelo	Ncnsl
razine	razina	Ncfsg
2.	2.	Mdo
Odjel	odjel	Ncmsn
sudjeluje	sudjelovati	Vmr3s
u	u	Sl
pripremi	priprema	Ncfsl
prognoze	prognoza	Ncfsg
korištenja	korištenje	Ncnsg
sredstava	sredstvo	Ncmpg
te	te	Cc
financijskih	financijski	Agpfpgy
obveza	obveza	Ncfpg
po	po	Sl
projektima	projekt	Ncmpl
te	te	Cc
planiranju	planiranje	Ncnsl
i	i	Cc
upravljanju	upravljanje	Ncnsl
alokacijama	alokacija	Ncfpi
iz	iz	Sg
sredstava	sredstvo	Ncnpg
i	i	Cc
nacionalnih	nacionalan	Agpmpgy
izvora	izvor	Ncmpg
.	.	Z

Odjel	odjel	Ncmsn
provodi	provoditi	Vmr3s
nacionalne	nacionalan	Agpmpay
projekte	projekt	Ncmpa
razvoja	razvoj	Ncmsg
klaster	klaster	Ncmsan
inicijativa	inicijativa	Ncfpg
i	i	Cc
uspostave	uspostava	Ncfsg
Inovacijske	inovacijski	Agpfsgy
mreže	mreža	Ncfsg
za	za	Sa
industriju	industrija	Ncfsa
i	i	Cc
tematskih	tematski	Agpfpgy
inovacijskih	inovacijski	Agpfpgy
platformi	platforma	Ncfpg
koji	koji	Pi-mpn
pridonose	pridonositi	Vmr3p
ostvarivanju	ostvarivanje	Ncnsd

