najmanje	malo	Rgs
dao	dati	Vmp-sm
lažne	lažan	Agpfpay
ili	ili	Cc
nepotpune	nepotpun	Agpmpay
podatke	podatak	Ncmpa
koji	koji	Pi-mpn
onemogućavaju	onemogućavati	Vmr3p
uredno	uredan	Agpnsay
ispunjenje	ispunjenje	Ncnsa
ugovornih	ugovoran	Agpfpgy
obveza	obveza	Ncfpg
,	,	Z

–	–	Sa
rad	rad	Ncmsan
postrojenja	postrojenje	Ncnsg
i	i	Cc
instalacija	instalacija	Ncfsn
krajnjeg	krajnji	Agpmsgy
kupca	kupac	Ncmsg
nije	biti	Var3s
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
odredbama	odredba	Ncfpl
mrežnih	mrežni	Agpmpgy
pravila	pravilo	Ncnpg
operatora	operator	Ncmpg
sustava	sustav	Ncmsg
,	,	Z
elektroenergetske	elektroenergetski	Agpfsgy
suglasnosti	suglasnost	Ncfsg
ili	ili	Cc
ugovora	ugovor	Ncmsg
o	o	Sl
korištenju	korištenje	Ncnsl
mreže	mreža	Ncfsg
,	,	Z

–	–	Agpmsny
krajnji	krajnji	Agpmsny
kupac	kupac	Ncmsn
onemogućava	onemogućavati	Vmr3s
pristup	pristup	Ncmsan
priključku	priključak	Ncmsd
,	,	Z
obračunskom	obračunski	Agpnsly
mjernom	mjerni	Agpnsly
mjestu	mjesto	Ncnsl
i	i	Cc
mjernoj	mjerni	Agpfsly
opremi	oprema	Ncfsl
,	,	Z

–	–	Agpmsny
krajnji	krajnji	Agpmsny
kupac	kupac	Ncmsn
kojem	koji	Pi-msl
je	biti	Var3s
utvrđena	utvrditi	Appfsny
neovlaštena	neovlašten	Agpfsny
potrošnja	potrošnja	Ncfsn
iz	iz	Sg
članka	članak	Ncmsg
83.	83.	Mdo
podstavka	podstavak	Ncmsg
4.	4.	Mdo
ovih	ovaj	Pd-mpg
Općih	opći	Agpmpgy
uvjeta	uvjet	Ncmpg
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
godine	godina	Ncfsg
dana	dan	Ncmpg
od	od	Sg
dana	dan	Ncmpg
utvrđivanja	utvrđivanje	Ncnsg
neovlaštene	neovlašten	Agpfsgy
potrošnje	potrošnja	Ncfsg
ponovno	ponovno	Rgp
utječe	utjecati	Vmr3s
na	na	Sa
ograničavalo	ograničavati	Vmp-sn
strujnog	strujni	Agpnsgy
opterećenja	opterećenje	Ncnsg
koje	koji	Pi-nsn
je	biti	Var3s
bilo	biti	Vap-sn
plombirano	plombirati	Appnsny
ili	ili	Cc
na	na	Sa
glavne	glavni	Agpmpay
osigurače	osigurač	Ncmpa
koji	koji	Pi-mpn
su	biti	Var3p
bili	biti	Vap-pm
plombirani	plombirati	Appmpny
omogućujući	omogućivati	Rr
time	taj	Pd-nsi
korištenje	korištenje	Ncnsn
snage	snaga	Ncfsg
veće	velik	Agcnsny
od	od	Sg
priključne	priključni	Agpfsgy
snage	snaga	Ncfsg
i	i	Cc

–	–	Agpmsny
krajnji	krajnji	Agpmsny
kupac	kupac	Ncmsn
priključi	priključiti	Vmr3s
svoje	svoj	Px-nsa
proizvodno	proizvodni	Agpnsay
postrojenje	postrojenje	Ncnsa
ili	ili	Cc
vlastiti	vlastit	Agpmsayn
izvor	izvor	Ncmsan
napajanja	napajanje	Ncnsg
na	na	Sa
svoja	svoj	Agpnpay
postrojenja	postrojenje	Ncnpa
i	i	Cc
instalacije	instalacija	Ncfsg
bez	bez	Sg
odobrenja	odobrenje	Ncnsg
operatora	operator	Ncmsg
sustava	sustav	Ncmsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Privremena	privremen	Agpfsny
obustava	obustava	Ncfsn
isporuke	isporuka	Ncfsg
električne	električan	Agpfsgy
energije	energija	Ncfsg
može	moći	Vmr3s
se	sebe	Px--sa
nakon	nakon	Sg
prethodne	prethodan	Agpfsgy
obavijesti	obavijest	Ncfsg
,	,	Z
kao	kao	Cs
krajnja	krajnji	Agpfsny
mjera	mjera	Ncfsn
,	,	Z
provesti	provesti	Vmn
i	i	Cc
na	na	Sa
zahtjev	zahtjev	Ncmsan
opskrbljivača	opskrbljivač	Ncmpg
ako	ako	Cs
krajnji	krajnji	Agpmsny
kupac	kupac	Ncmsn
:	:	Z

–	–	Z
ni	ni	Qo
nakon	nakon	Sg
opomene	opomena	Ncfsg
iz	iz	Sg
članka	članak	Ncmsg
72.	72.	Mdo
ovih	ovaj	Pd-mpg
Općih	opći	Agpmpgy
uvjeta	uvjet	Ncmpg
nije	biti	Var3s
podmirio	podmiriti	Vmp-sm
dospjele	dospjeli	Agpfpay
novčane	novčan	Agpfpay
obveze	obveza	Ncfpa
opskrbljivaču	opskrbljivač	Ncmsd
,	,	Z

–	–	Npmsn
nije	biti	Var3s
pristao	pristati	Vmp-sm
na	na	Sa
uvjete	uvjet	Ncmpa
plaćanja	plaćanje	Ncnsg
iz	iz	Sg
članka	članak	Ncmsg
73.	73.	Mdo
ovih	ovaj	Pd-mpg
Općih	opći	Agpmpgy
uvjeta	uvjet	Ncmpg
,	,	Z

–	–	Z
ne	ne	Qz
troši	trošiti	Vmr3s
električnu	električan	Agpfsay
energiju	energija	Ncfsa
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
ugovorom	ugovor	Ncmsi
o	o	Sl
opskrbi	opskrba	Ncfsl
krajnjeg	krajnji	Agpmsgy
kupca	kupac	Ncmsg
.	.	Z

Članak	članak	Ncmsn
96.	96.	Mdo

Operator	operator	Ncmsn
sustava	sustav	Ncmsg
može	moći	Vmr3s
nakon	nakon	Sg
prethodne	prethodan	Agpfsgy
obavijesti	obavijest	Ncfsg
,	,	Z
kao	kao	Cs
krajnju	krajnji	Agpfsay
mjeru	mjera	Ncfsa
,	,	Z
privremeno	privremeno	Rgp
obustaviti	obustaviti	Vmn
isporuku	isporuka	Ncfsa
proizvedene	proizvesti	Agpfsgy
električne	električan	Agpfsgy
energije	energija	Ncfsg
u	u	Sa
mrežu	mreža	Ncfsa
proizvođaču	proizvođač	Ncmsl
,	,	Z
ako	ako	Cs
:	:	Z

–	–	Agpmsny
proizvođač	proizvođač	Ncmsn
nema	nemati	Vmr3s
važeći	važeći	Agpmsayn
ugovor	ugovor	Ncmsan
o	o	Sl
korištenju	korištenje	Ncnsl
mreže	mreža	Ncfsg
,	,	Z

–	–	Agpmsny
proizvođač	proizvođač	Ncmsn
nema	nemati	Vmr3s
važeći	važeći	Agpmsayn
ugovor	ugovor	Ncmsan
o	o	Sl
otkupu	otkup	Ncmsl
električne	električan	Agpfsgy
energije	energija	Ncfsg
,	,	Z

–	–	Agpmsny
proizvođač	proizvođač	Ncmsn
nije	biti	Var3s
postupio	postupiti	Vmp-sm
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
odredbom	odredba	Ncfsi
članka	članak	Ncmsg
23.	23.	Mdo
stavka	stavak	Ncmsg
4.	4.	Mdo
ovih	ovaj	Pd-mpg
Općih	opći	Agpmpgy
uvjeta	uvjet	Ncmpg
,	,	Z

–	–	Agpmsny
proizvođač	proizvođač	Ncmsn
nije	biti	Var3s
otklonio	otkloniti	Vmp-sm
utvrđenu	utvrditi	Agpfsay
neispravnost	neispravnost	Ncfsa
na	na	Sl
unutrašnjem	unutrašnji	Agpmsly
dijelu	dio	Ncmsl
priključka	priključak	Ncmsg
u	u	Sl
roku	rok	Ncmsl
iz	iz	Sg
članka	članak	Ncmsg
24.	24.	Mdo
stavka	stavak	Ncmsg
3.	3.	Mdo
ovih	ovaj	Pd-mpg
Općih	opći	Agpmpgy
uvjeta	uvjet	Ncmpg
,	,	Z

–	–	Agpmsny
proizvođač	proizvođač	Ncmsn
proizvedenu	proizvesti	Agpfsay
električnu	električan	Agpfsay
energiju	energija	Ncfsa
isporučuje	isporučivati	Vmr3s
u	u	Sa
mrežu	mreža	Ncfsa
na	na	Sa
način	način	Ncmsan
koji	koji	Pi-msn
nije	biti	Var3s
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
ugovorom	ugovor	Ncmsi
o	o	Sl
korištenju	korištenje	Ncnsl
mreže	mreža	Ncfsg
,	,	Z

–	–	Sa
rad	rad	Ncmsan
postrojenja	postrojenje	Ncnsg
i	i	Cc
instalacija	instalacija	Ncfsn
proizvođača	proizvođač	Ncmsg
nije	biti	Var3s
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
odredbama	odredba	Ncfpl
mrežnih	mrežni	Agpmpgy
pravila	pravilo	Ncnpg
operatora	operator	Ncmpg
sustava	sustav	Ncmsg
,	,	Z
elektroenergetske	elektroenergetski	Agpfsgy
suglasnosti	suglasnost	Ncfsg
ili	ili	Cc
ugovora	ugovor	Ncmsg
o	o	Sl
korištenju	korištenje	Ncnsl
mreže	mreža	Ncfsg
,	,	Z

–	–	Agpmsny
proizvođač	proizvođač	Ncmsn
omogućuje	omogućivati	Vmr3s
korištenje	korištenje	Ncnsa
električne	električan	Agpfsgy
energije	energija	Ncfsg
drugoj	drugi	Mlofsl
pravnoj	pravni	Agpfsly
ili	ili	Cc
fizičkoj	fizički	Agpfsly
osobi	osoba	Ncfsl
,	,	Z
protivno	protivno	Rgp
članku	članak	Ncmsl
26.	26.	Mdo
ovih	ovaj	Pd-mpg
Općih	opći	Agpmpgy
uvjeta	uvjet	Ncmpg
,	,	Z

–	–	Agpmsny
proizvođač	proizvođač	Ncmsn
onemogućava	onemogućavati	Vmr3s
pristup	pristup	Ncmsan
priključku	priključak	Ncmsd
,	,	Z
obračunskom	obračunski	Agpnsly
mjernom	mjerni	Agpnsly
mjestu	mjesto	Ncnsl
i	i	Cc
mjernoj	mjerni	Agpfsly
opremi	oprema	Ncfsl
.	.	Z

Članak	članak	Ncmsn
97.	97.	Mdo

Za	za	Sa
krajnjeg	krajnji	Agpmsayn
kupca	kupac	Ncmsay
s	sa	Si
vlastitom	vlastit	Agpfsiy
proizvodnjom	proizvodnja	Ncfsi
u	u	Sl
okviru	okvir	Ncmsl
jedne	jedan	Mlcfsg
građevinske	građevinski	Agpfsgy
lokacije	lokacija	Ncfsg
jednog	jedan	Mlcmsg
vlasnika	vlasnik	Ncmsg
primjenjuju	primjenjivati	Vmr3p
se	sebe	Px--sa
odredbe	odredba	Ncfpn
članka	članak	Ncmsg
95.	95.	Mdo
ovih	ovaj	Pd-mpg
Općih	opći	Agpmpgy
uvjeta	uvjet	Ncmpg
na	na	Sl
mjestu	mjesto	Ncnsl
preuzimanja	preuzimanje	Ncnsg
električne	električan	Agpfsgy

