djelatnosti	djelatnost	Ncfpa
državljanin	državljanin	Ncmsn
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
ili	ili	Cc
je	biti	Var3s
državljanin	državljanin	Ncmsn
države	država	Ncfsg
članice	članica	Ncfsg
ili	ili	Cc
treće	treći	Mlonsn
zemlje	zemlja	Ncfsg
,	,	Z
obvezan	obvezan	Agpmsnn
je	biti	Var3s
proći	proći	Vmn
provjeru	provjera	Ncfsa
kompetentnosti	kompetentnost	Ncfsg
koja	koji	Pi-fsn
se	sebe	Px--sa
odnosi	odnositi	Vmr3s
na	na	Sa
provjeru	provjera	Ncfsa
poznavanja	poznavanje	Ncnsg
zakonodavstva	zakonodavstvo	Ncnsg
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
potrebnog	potreban	Agpnsgy
za	za	Sa
obavljanje	obavljanje	Ncnsa
poslova	posao	Ncmpg
revizije	revizija	Ncfsg
a	a	Cc
vezano	vezan	Agpnsny
za	za	Sa
područje	područje	Ncnsa
računovodstva	računovodstvo	Ncnsg
,	,	Z
revizije	revizija	Ncfsg
,	,	Z
trgovačkog	trgovački	Agpnsgy
prava	pravo	Ncnsg
,	,	Z
poreznog	porezni	Agpnsgy
prava	pravo	Ncnsg
i	i	Cc
radnog	radni	Agpnsgy
prava	pravo	Ncnsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Za	za	Sa
kandidata	kandidat	Ncmsan
za	za	Sa
kojeg	koji	Pi-msan
Komora	komora	Ncfsn
u	u	Sl
tijeku	tijek	Ncmsl
postupka	postupak	Ncmsg
priznavanja	priznavanje	Ncnsg
inozemne	inozeman	Agpfsgy
stručne	stručan	Agpfsgy
kvalifikacije	kvalifikacija	Ncfsg
utvrdi	utvrditi	Vmr3s
da	da	Cs
se	sebe	Px--sa
program	program	Ncmsn
obrazovanja	obrazovanje	Ncnsg
kojeg	koji	Pi-msg
je	biti	Var3s
pohađao	pohađati	Vmp-sm
kandidat	kandidat	Ncmsn
znatno	znatno	Rgp
razlikuje	razlikovati	Vmr3s
od	od	Sg
programa	program	Ncmsg
polaganja	polaganje	Ncnsg
ispita	ispit	Ncmpg
za	za	Sa
stjecanje	stjecanje	Ncnsa
zvanja	zvanje	Ncnsg
ovlaštenog	ovlašten	Agpmsgy
revizora	revizor	Ncmsg
koji	koji	Pi-msn
je	biti	Var3s
predviđen	predvidjeti	Appmsnn
Zakonom	zakon	Ncmsi
i	i	Cc
Pravilnikom	pravilnik	Ncmsi
Komore	komora	Ncfsg
o	o	Sl
stručnom	stručan	Agpnsly
osposobljavanju	osposobljavanje	Ncnsl
i	i	Cc
načinu	način	Ncmsl
polaganja	polaganje	Ncnsg
stručnog	stručan	Agpmsgy
ispita	ispit	Ncmsg
za	za	Sa
stjecanje	stjecanje	Ncnsa
zvanja	zvanje	Ncnsg
ovlaštenog	ovlašten	Agpmsgy
revizora	revizor	Ncmsg
,	,	Z
provjera	provjera	Ncfsn
kompetentnosti	kompetentnost	Ncfsg
iz	iz	Sg
stavka	stavak	Ncmsg
2.	2.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
obvezno	obvezno	Rgp
sadrži	sadržati	Vmr3s
i	i	Cc
polaganje	polaganje	Ncnsa
ispitne	ispitan	Agpfsgy
razlike	razlika	Ncfsg
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Ispitne	ispitan	Agpfpny
razlike	razlika	Ncfpn
iz	iz	Sg
stavka	stavak	Ncmsg
3.	3.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
utvrđuju	utvrđivati	Vmr3p
se	sebe	Px--sa
usporedbom	usporedba	Ncfsi
obrazovanja	obrazovanje	Ncnsg
odnosno	odnosno	Rgp
stručnog	stručan	Agpnsgy
osposobljavanja	osposobljavanje	Ncnsg
koje	koji	Pi-nsn
je	biti	Var3s
za	za	Sa
obavljanje	obavljanje	Ncnsa
poslova	posao	Ncmpg
revizije	revizija	Ncfsg
propisano	propisati	Appnsny
u	u	Sl
Republici	republika	Ncfsl
Hrvatskoj	Hrvatska	Npfsl
i	i	Cc
onog	onaj	Pd-msg
koje	koji	Pi-nsn
se	sebe	Px--sa
zahtijeva	zahtijevati	Vmr3s
u	u	Sl
državi	država	Ncfsl
članici	članica	Ncfsl
ili	ili	Cc
trećoj	treći	Mlofsl
zemlji	zemlja	Ncfsl
u	u	Sl
kojoj	koji	Pi-fsl
je	biti	Var3s
kandidat	kandidat	Ncmsn
stekao	steći	Vmp-sm
svoje	svoj	Px-fpa
kvalifikacije	kvalifikacija	Ncfpa
,	,	Z
odnosno	odnosno	Rgp
iz	iz	Sg
koje	koji	Pi-fsg
dolazi	dolaziti	Vmr3s
.	.	Z

Ispitne	ispitan	Agpfpny
razlike	razlika	Ncfpn
obuhvaćaju	obuhvaćati	Vmr3p
one	onaj	Pd-mpa
obrazovne	obrazovni	Agpmpay
sadržaje	sadržaj	Ncmpa
koji	koji	Pi-mpn
su	biti	Var3p
prijeko	prijeko	Rgp
potrebni	potreban	Agpmpny
za	za	Sa
obavljanje	obavljanje	Ncnsa
poslova	posao	Ncmpg
revizije	revizija	Ncfsg
u	u	Sl
Republici	republika	Ncfsl
Hrvatskoj	Hrvatska	Npfsl
te	te	Cc
poznavanje	poznavanje	Ncnsa
pravila	pravilo	Ncnpg
revizorske	revizorski	Agpfsgy
struke	struka	Ncfsg
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Bitno	bitno	Rgp
različit	različit	Agpmsann
sadržaj	sadržaj	Ncmsan
iz	iz	Sg
stavka	stavak	Ncmsg
3.	3.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
podrazumijeva	podrazumijevati	Vmr3s
sadržaj	sadržaj	Ncmsan
programa	program	Ncmsg
osposobljavanja	osposobljavanje	Ncnsg
odlučujućeg	odlučujući	Agpnsgy
za	za	Sa
obavljanje	obavljanje	Ncnsa
profesije	profesija	Ncfsg
a	a	Cc
koji	koji	Pi-msn
je	biti	Var3s
,	,	Z
glede	glede	Sg
njegova	njegov	Ps3nsg
trajanja	trajanje	Ncnsg
i	i	Cc
/	/	Z
ili	ili	Cc
obuhvata	obuhvat	Ncmsg
područja	područje	Ncnsg
,	,	Z
značajno	značajno	Rgp
različit	različit	Agpmsnn
od	od	Sg
stručnog	stručan	Agpnsgy
osposobljavanja	osposobljavanje	Ncnsg
i	i	Cc
programa	program	Ncmsg
polaganja	polaganje	Ncnsg
ispita	ispit	Ncmpg
za	za	Sa
stjecanje	stjecanje	Ncnsa
zvanja	zvanje	Ncnsg
ovlaštenog	ovlašten	Agpmsgy
revizora	revizor	Ncmsg
u	u	Sl
Republici	republika	Ncfsl
Hrvatskoj	Hrvatska	Npfsl
koji	koji	Pi-msn
je	biti	Var3s
propisan	propisati	Appmsnn
Zakonom	zakon	Ncmsi
.	.	Z

Članak	članak	Ncmsn
8.	8.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
U	u	Sl
postupku	postupak	Ncmsl
priznavanja	priznavanje	Ncnsg
inozemne	inozeman	Agpfsgy
stručne	stručan	Agpfsgy
kvalifikacije	kvalifikacija	Ncfsg
Komora	komora	Ncfsn
može	moći	Vmr3s
zatražiti	zatražiti	Vmn
mišljenje	mišljenje	Ncnsa
odgovarajuće	odgovarajući	Agpfsgy
obrazovne	obrazovni	Agpfsgy
ustanove	ustanova	Ncfsg
(	(	Z
javna	javan	Agpnpay
visoka	visok	Agpnpay
učilišta	učilište	Ncnpa
)	)	Z
ili	ili	Cc
centra	centar	Ncmsg
za	za	Sa
pomoć	pomoć	Ncfsa
(	(	Z
Nacionali	nacional	Ncmpn
ENIC	ENIC	Xf
/	/	Z
NARIC	NARIC	Npmsn
ured	ured	Ncmsn
)	)	Z
,	,	Z
koji	koji	Pi-mpn
su	biti	Var3p
dužni	dužan	Agpmpny
svoje	svoj	Px-nsa
mišljenje	mišljenje	Ncnsa
dostaviti	dostaviti	Vmn
u	u	Sl
rokovima	rok	Ncmpl
iz	iz	Sg
zakona	zakon	Ncmsg
kojim	koji	Pi-msi
se	sebe	Px--sa
uređuju	uređivati	Vmr3p
regulirane	regulirati	Agpfpny
profesije	profesija	Ncfpn
i	i	Cc
priznavanje	priznavanje	Ncnsa
inozemnih	inozeman	Agpfpgy
stručnih	stručan	Agpfpgy
kvalifikacija	kvalifikacija	Ncfpg
.	.	Z

Mišljenje	mišljenje	Ncnsn
odgovarajuće	odgovarajući	Agpfsgy
obrazovne	obrazovni	Agpfsgy
ustanove	ustanova	Ncfsg
ili	ili	Cc
centra	centar	Ncmsg
za	za	Sa
pomoć	pomoć	Ncfsa
,	,	Z
nije	biti	Var3s
obvezujuće	obvezujuć	Agpnsny
za	za	Sa
Komoru	komora	Ncfsa
u	u	Sl
postupku	postupak	Ncmsl
priznavanja	priznavanje	Ncnsg
inozemne	inozeman	Agpfsgy
stručne	stručan	Agpfsgy
kvalifikacije	kvalifikacija	Ncfsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
U	u	Sl
slučaju	slučaj	Ncmsl
kad	kad	Cs
Komora	komora	Ncfsn
utvrdi	utvrditi	Vmr3s
da	da	Cs
postoje	postojati	Vmr3p
bitne	bitan	Agpfpny
razlike	razlika	Ncfpn
u	u	Sl
stručnim	stručan	Agpfply
kvalifikacijama	kvalifikacija	Ncfpl
kandidata	kandidat	Ncmpg
koje	koji	Pi-mpa
se	sebe	Px--sa
ne	ne	Qz
mogu	moći	Vmr3p
nadoknaditi	nadoknaditi	Vmn
provedbom	provedba	Ncfsi
provjere	provjera	Ncfsg
kompetentnosti	kompetentnost	Ncfsg
iz	iz	Sg
članka	članak	Ncmsg
7.	7.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
,	,	Z
rješenjem	rješenje	Ncnsi
će	htjeti	Var3s
se	sebe	Px--sa
odbiti	odbiti	Vmn
zahtjev	zahtjev	Ncmsan
za	za	Sa
priznavanje	priznavanje	Ncnsa
inozemne	inozeman	Agpfsgy
stručne	stručan	Agpfsgy
kvalifikacije	kvalifikacija	Ncfsg
.	.	Z

Program	program	Ncmsn
provjere	provjera	Ncfsg
kompetentnosti	kompetentnost	Ncfsg
i	i	Cc
ispitni	ispitan	Agpmpny
rokovi	rok	Ncmpn

Članak	članak	Ncmsn
9.	9.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Komora	komora	Ncfsn
utvrđuje	utvrđivati	Vmr3s
program	program	Ncmsan
provjere	provjera	Ncfsg
kompetentnosti	kompetentnost	Ncfsg
kandidata	kandidat	Ncmsg
prema	prema	Sl
kojem	koji	Pi-msl
se	sebe	Px--sa
provodi	provoditi	Vmr3s
provjera	provjera	Ncfsn
poznavanja	poznavanje	Ncnsg
zakonodavstva	zakonodavstvo	Ncnsg
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
i	i	Cc
polaganje	polaganje	Ncnsa
ispitne	ispitan	Agpfsgy
razlike	razlika	Ncfsg
,	,	Z
na	na	Sa
koji	koji	Pi-msan
suglasnost	suglasnost	Ncfsn
daje	davati	Vmr3s
Odbor	odbor	Ncmsan
za	za	Sa
javni	javan	Agpmsayn
nadzor	nadzor	Ncmsan
revizije	revizija	Ncfsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Provjera	provjera	Ncfsn
poznavanja	poznavanje	Ncnsg
zakonodavstva	zakonodavstvo	Ncnsg
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
i	i	Cc
polaganje	polaganje	Ncnsa
ispitne	ispitan	Agpfsgy
razlike	razlika	Ncfsg
,	,	Z
provodi	provoditi	Vmr3s
se	sebe	Px--sa
na	na	Sl
hrvatskom	hrvatski	Agpmsly
jeziku	jezik	Ncmsl
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Komora	komora	Ncfsn
je	biti	Var3s
dužna	dužan	Agpfsny
kandidatu	kandidat	Ncmsd
omogućiti	omogućiti	Vmn
prvi	prvi	Mlomsan
izlazak	izlazak	Ncmsan
na	na	Sa
ispit	ispit	Ncmsan
radi	radi	Sg
provjere	provjera	Ncfsg
kompetentnosti	kompetentnost	Ncfsg
(	(	Z
poznavanje	poznavanje	Ncnsn
zakonodavstva	zakonodavstvo	Ncnsg
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
i	i	Cc
polaganje	polaganje	Ncnsn
ispitne	ispitan	Agpfsgy
razlike	razlika	Ncfsg
)	)	Z
unutar	unutar	Sg
šest	šest	Mlc
mjeseci	mjesec	Ncmpg
od	od	Sg
dana	dan	Ncmpg
podnošenja	podnošenje	Ncnsg
urednog	uredan	Agpmsgy
zahtjeva	zahtjev	Ncmsg
kandidata	kandidat	Ncmpg
.	.	Z

Kandidatu	kandidat	Ncmsl
koji	koji	Pi-msn
je	biti	Var3s
,	,	Z
osim	osim	Sg
provjere	provjera	Ncfsg
zakonodavstva	zakonodavstvo	Ncnsg
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
,	,	Z
obvezan	obvezan	Agpmsnn
polagati	polagati	Vmn
ispitnu	ispitan	Agpfsay
razliku	razlika	Ncfsa
,	,	Z
Komora	komora	Ncfsn
mora	morati	Vmr3s
dati	dati	Vmn
popis	popis	Ncmsan
obrazovnih	obrazovni	Agpmpgy
sadržaja	sadržaj	Ncmpg
koji	koji	Pi-mpn
podliježu	podlijegati	Vmr3p
provjeri	provjera	Ncmsan
jer	jer	Cs
nisu	biti	Var3p
obuhvaćeni	obuhvatiti	Appmpny
kandidatovim	kandidatov	Agpmpiy
dokazima	dokaz	Ncmpi
o	o	Sl
obrazovnoj	obrazovni	Agpfsly
odnosno	odnosno	Rgp
stručnoj	stručan	Agpfsly
kvalifikaciji	kvalifikacija	Ncfsl
,	,	Z
a	a	Cc
koji	koji	Pi-mpn
su	biti	Var3p
bitni	bitan	Agpmpny
za	za	Sa
obavljanje	obavljanje	Ncnsa
poslova	posao	Ncmpg

