praćenje	praćenje	Ncnsn
naknade	naknada	Ncfsg
(	(	Z
ako	ako	Cs
je	biti	Var3s
potrebno	potreban	Agpnsny
)	)	Z
i	i	Cc
faze	faza	Ncfpn
naplate	naplata	Ncfsg

–	i	Agpfpay
okolnosti	okolnost	Ncfpa
koje	koji	Pi-fpn
mogu	moći	Vmr3p
opravdati	opravdati	Vmn
raskid	raskid	Ncmsan
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
U	u	Sl
slučaju	slučaj	Ncmsl
da	da	Cs
opseg	opseg	Ncmsn
ugovora	ugovor	Ncmsg
prelazi	prelaziti	Vmr3s
nadležnost	nadležnost	Ncfsa
članova	član	Ncmpg
Komore	komora	Ncfsg
,	,	Z
u	u	Sl
ugovoru	ugovor	Ncmsl
je	biti	Var3s
potrebno	potreban	Agpnsny
raščlaniti	raščlaniti	Vmn
i	i	Cc
odvojeno	odvojeno	Rgp
prikazati	prikazati	Vmn
dijelove	dio	Ncmpa
zadatka	zadatak	Ncmsg
drugih	drugi	Mlofpg
struka	struka	Ncfpg
.	.	Z

Nositelj	nositelj	Ncmsn
ugovora	ugovor	Ncmsg
dužan	dužan	Agpmsnn
je	biti	Var3s
koordinirati	koordinirati	Vmn
međusobnu	međusoban	Agpfsay
aktivnost	aktivnost	Ncfsa
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Članovi	član	Ncmpn
Komore	komora	Ncfsg
,	,	Z
kao	kao	Cs
i	i	Cc
svi	sav	Agpmpny
djelatnici	djelatnik	Ncmpn
ili	ili	Cc
tvrtke	tvrtka	Ncfsg
koji	koji	Pi-msn
pod	pod	Si
nadzorom	nadzor	Ncmsi
člana	član	Ncmsg
Komore	komora	Ncfpn
sudjeluju	sudjelovati	Vmr3p
na	na	Sl
izvršenju	izvršenje	Ncnsl
posla	posao	Ncmsg
,	,	Z
dužni	dužan	Agpmpny
su	biti	Var3p
čuvati	čuvati	Vmn
profesionalnu	profesionalan	Agpfsay
tajnu	tajna	Ncfsa
naručitelja	naručitelj	Ncmpg
,	,	Z
te	te	Cc
ju	on	Pp3fsa
ne	ne	Qz
smiju	smjeti	Vmr3p
prenositi	prenositi	Vmn
ili	ili	Cc
zloupotrijebiti	zloupotrijebiti	Vmn
.	.	Z

Članak	članak	Ncmsn
12.	12.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Članovi	član	Ncmpn
Komore	komora	Ncfsg
dužni	dužan	Agpmpny
su	biti	Var3p
obavljati	obavljati	Vmn
svoje	svoj	Px-mpa
profesionalne	profesionalan	Agpmpay
zadatke	zadatak	Ncmpa
bez	bez	Sg
utjecaja	utjecaj	Ncmsg
na	na	Sa
druge	drugi	Agpmpay
poslovne	poslovan	Agpmpay
interese	interes	Ncmpa
i	i	Cc
moraju	morati	Vmr3p
izbjeći	izbjeći	Vmn
poslove	posao	Ncmpa
koji	koji	Pi-mpn
bi	biti	Vaa3p
mogli	moći	Vmp-pm
utjecati	utjecati	Vmn
na	na	Sa
njihovo	njihov	Ncnsa
nepristrano	nepristran	Agpnsay
djelovanje	djelovanje	Ncnsa
u	u	Sl
struci	struka	Ncfsl
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Članovi	član	Ncmpn
Komore	komora	Ncfsg
smiju	smjeti	Vmr3p
obavljati	obavljati	Vmn
poslove	posao	Ncmpa
izvođenja	izvođenje	Ncnsg
građevinskih	građevinski	Agpnpgy
ili	ili	Cc
drugih	drugi	Mlompg
radova	rad	Ncmpg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Članovi	član	Ncmpn
Komore	komora	Ncfsg
ne	ne	Qz
smiju	smjeti	Vmr3p
povrijediti	povrijediti	Vmn
odredbe	odredba	Ncfpa
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
neposredno	neposredno	Rgp
ni	ni	Qo
posredno	posredan	Agpnsny
,	,	Z
putem	put	Sg
drugih	drugi	Mlofpg
osoba	osoba	Ncfpg
,	,	Z
članova	član	Ncmpg
obitelji	obitelj	Ncfsg
i	i	Cc
slično	slično	Rgp
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Članovi	član	Ncmpn
Komore	komora	Ncfsg
ne	ne	Qz
smiju	smjeti	Vmr3p
uvjetovati	uvjetovati	Vmn
dobivanje	dobivanje	Ncnsa
posla	posao	Ncmsg
prodajom	prodaja	Ncfsi
nekretnina	nekretnina	Ncfpg
,	,	Z
dobivanjem	dobivanje	Ncnsi
zajma	zajam	Ncmsg
,	,	Z
suglasnosti	suglasnost	Ncfsg
ili	ili	Cc
administrativnih	administrativan	Agpmpgy
akata	akt	Ncmpg
,	,	Z
poslovnim	poslovan	Agpmply
aranžmanima	aranžman	Ncmpl
ili	ili	Cc
drugim	drugi	Mlofpi
pogodnostima	pogodnost	Ncfpi
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Članovi	član	Ncmpn
Komore	komora	Ncfsg
ne	ne	Qz
smiju	smjeti	Vmr3p
tražiti	tražiti	Vmn
niti	niti	Qo
uzimati	uzimati	Vmn
provizije	provizija	Ncfpa
.	.	Z

Članak	članak	Ncmsn
13.	13.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Članovi	član	Ncmpn
Komore	komora	Ncfsg
imenovani	imenovati	Appmpny
na	na	Sa
kakvu	kakav	Pi-fsa
javnu	javan	Agpfsay
dužnost	dužnost	Ncfsa
ili	ili	Cc
zaposleni	zaposlen	Agpmpny
u	u	Sl
tijelima	tijelo	Ncnpl
državne	državni	Agpfsgy
,	,	Z
područne	područni	Agpfsgy
(	(	Z
regionalne	regionalan	Agpfpny
)	)	Z
uprave	uprava	Ncfsg
i	i	Cc
lokalne	lokalan	Agpfsgy
samouprave	samouprava	Ncfsg
,	,	Z
čije	čiji	Pi-nsn
je	biti	Var3s
članstvo	članstvo	Ncnsn
u	u	Sl
mirovanju	mirovanje	Ncnsl
,	,	Z
ne	ne	Qz
smiju	smjeti	Vmr3p
koristiti	koristiti	Vmn
svoj	svoj	Px-msan
položaj	položaj	Ncmsan
za	za	Sa
dobivanje	dobivanje	Ncnsa
posla	posao	Ncmsg
za	za	Sa
sebe	sebe	Px--sa
ili	ili	Cc
drugog	drugi	Mlomsg
člana	član	Ncmsg
Komore	Komora	Npfsg
ili	ili	Cc
ovlaštenog	ovlašten	Agpmsgy
inženjera	inženjer	Ncmsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Članovi	član	Ncmpn
Komore	komora	Ncfsg
ne	ne	Qz
smiju	smjeti	Vmr3p
za	za	Sa
dobivanje	dobivanje	Ncnsa
poslova	posao	Ncmpg
zloupotrijebiti	zloupotrijebiti	Vmn
veze	veza	Ncfpa
sa	sa	Si
službenicima	službenik	Ncmpi
i	i	Cc
namještenicima	namještenik	Ncmpi
u	u	Sl
tijelima	tijelo	Ncnpl
vlasti	vlast	Ncfsl
koja	koji	Pi-fsn
izdaju	izdati	Vmr3p
akte	akt	Ncmpa
potrebne	potreban	Agpfpny
za	za	Sa
građenje	građenje	Ncnsa
.	.	Z

Članak	članak	Ncmsn
14.	14.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Član	član	Ncmsn
Komore	komora	Ncfsg
ne	ne	Qz
smije	smjeti	Vmr3s
prodavati	prodavati	Vmn
ranije	raniji	Agpmpay
izrađene	izraditi	Agpmpay
projekte	projekt	Ncmpa
,	,	Z
kao	kao	Cs
ni	ni	Qo
gotove	gotov	Agpmpay
projekte	projekt	Ncmpa
iz	iz	Sg
kataloga	katalog	Ncmsg
te	te	Cc
na	na	Sa
njih	oni	Pp3-pa
stavljati	stavljati	Vmn
svoj	svoj	Px-msan
potpis	potpis	Ncmsan
i	i	Cc
pečat	pečat	Ncmsan
,	,	Z
ukoliko	ukoliko	Cs
ih	oni	Pp3-pa
nije	biti	Var3s
on	on	Pp3msn
sam	biti	Var1s
izradio	izraditi	Vmp-sm
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Član	član	Ncmsn
Komore	komora	Ncfsg
ne	ne	Qz
smije	smjeti	Vmr3s
potpisati	potpisati	Vmn
projekt	projekt	Ncmsan
,	,	Z
stručno	stručan	Agpnsny
mišljenje	mišljenje	Ncnsn
ili	ili	Cc
bilo	bilo	Qo
koji	koji	Pi-mpn
drugi	drugi	Mlompn
zakonom	zakon	Ncmsi
predviđeni	predvidjeti	Appmsny
dokument	dokument	Ncmsn
,	,	Z
ukoliko	ukoliko	Cs
isti	isti	Agpmsny
nije	biti	Var3s
izrađen	izraditi	Appmsnn
od	od	Sg
strane	strana	Ncfsg
potpisnika	potpisnik	Ncmpg
ili	ili	Cc
pod	pod	Si
izravnim	izravan	Agpmsiy
nadzorom	nadzor	Ncmsi
,	,	Z
upravljanjem	upravljanje	Ncnsi
i	i	Cc
nadležnošću	nadležnost	Ncfsi
potpisnika	potpisnik	Ncmpg
.	.	Z

V.	V.	Mdo
MEĐUSOBNI	međusoban	Agpmpny
ODNOSI	odnos	Ncmpn

Članak	članak	Ncmsn
15.	15.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Članovi	član	Ncmpn
Komore	komora	Ncfsg
dužni	dužan	Agpmpny
su	biti	Var3p
poštivati	poštivati	Vmn
autorska	autorski	Agpnpay
prava	pravo	Ncnpa
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Član	član	Ncmsn
Komore	komora	Ncfsg
ne	ne	Qz
smije	smjeti	Vmr3s
otuđiti	otuđiti	Vmn
ili	ili	Cc
povrijediti	povrijediti	Vmn
intelektualno	intelektualan	Agpnsny
vlasništvo	vlasništvo	Ncnsn
ili	ili	Cc
nepropisno	nepropisno	Rgp
iskoristiti	iskoristiti	Vmn
ideje	ideja	Ncfpa
drugog	drugi	Mlomsg
autora	autor	Ncmsg
bez	bez	Sg
izričite	izričit	Agpfsgy
ovlasti	ovlast	Ncfsg
onog	onaj	Pd-msg
autora	autor	Ncmsg
koji	koji	Pi-mpn
na	na	Sa
to	taj	Pd-nsa
vlasništvo	vlasništvo	Ncnsa
ili	ili	Cc
ideju	ideja	Ncfsa
ima	imati	Vmr3s
pravo	pravo	Ncnsa
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Članovi	član	Ncmpn
Komore	komora	Ncfsg
mogu	moći	Vmr3p
imati	imati	Vmn
autorstvo	autorstvo	Ncnsa
ili	ili	Cc
djelomično	djelomičan	Agpnsay
autorstvo	autorstvo	Ncnsa
samo	samo	Rgp
na	na	Sl
djelima	djelo	Ncnpl
koja	koji	Pi-npn
su	biti	Var3p
sami	sam	Agpmpny
izradili	izraditi	Vmp-pm
ili	ili	Cc
koja	koji	Pi-fsn
su	biti	Var3p
nastala	nastati	Vmp-pn
pod	pod	Si
njihovim	njihov	Agpnsiy
vodstvom	vodstvo	Ncnsi
ili	ili	Cc
osobnim	osoban	Agpnsiy
sudjelovanjem	sudjelovanje	Ncnsi
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Član	član	Ncmsn
Komore	komora	Ncfsg
ne	ne	Qz
smije	smjeti	Vmr3s
drugom	drugi	Mlomsl
članu	član	Ncmsl
Komore	komora	Ncfsg
ili	ili	Cc
projektantu	projektant	Ncmsl
propisati	propisati	Vmn
način	način	Ncmsan
ili	ili	Cc
uvjete	uvjet	Ncmpa
oblikovanja	oblikovanje	Ncnsg
,	,	Z
upotrebu	upotreba	Ncfsa
materijala	materijal	Ncmpg
i	i	Cc
stilska	stilski	Agpnpay
obilježja	obilježje	Ncnpa
ili	ili	Cc
sudjelovati	sudjelovati	Vmn
u	u	Sl
ograničavanju	ograničavanje	Ncnsl
stvaralačke	stvaralački	Agpfsgy
slobode	sloboda	Ncfsg
.	.	Z

Članak	članak	Ncmsn
16.	16.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Članovi	član	Ncmpn
Komore	komora	Ncfsg
moraju	morati	Vmr3p
se	sebe	Px--sa
prema	prema	Sl
drugim	drugi	Agpmply
članovima	član	Ncmpl
Komore	komora	Ncfsg
i	i	Cc
inženjerima	inženjer	Ncmpi
ponašati	ponašati	Vmn
kolegijalno	kolegijalno	Rgp
i	i	Cc
lojalno	lojalan	Agpnsny
.	.	Z

Dužni	dužan	Agpmpny
su	biti	Var3p
se	sebe	Px--sa
međusobno	međusobno	Rgp
pomagati	pomagati	Vmn
i	i	Cc
savjetovati	savjetovati	Vmn
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Članovi	član	Ncmpn
Komore	komora	Ncfsg
mogu	moći	Vmr3p
međusobno	međusobno	Rgp
konkurirati	konkurirati	Vmn
samo	samo	Rgp
stručnošću	stručnost	Ncfsi
i	i	Cc
kvalitetom	kvaliteta	Ncfsi
svojih	svoj	Px-fpg
usluga	usluga	Ncfpg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Član	član	Ncmsn
Komore	komora	Ncfsg
ne	ne	Qz
smije	smjeti	Vmr3s
izravno	izravno	Rgp
i	i	Cc
neizravno	neizravno	Rgp
činiti	činiti	Vmn
štetu	šteta	Ncfsa
kolegama	kolega	Ncmpi
i	i	Cc
treba	trebati	Vmr3s
se	sebe	Px--sa
truditi	truditi	Vmn
da	da	Cs
bude	biti	Var3s
objektivan	objektivan	Agpmsnn
pri	pri	Sl
ocjenjivanju	ocjenjivanje	Ncnsl
njihovog	njihov	Ps3msg
rada	rad	Ncmsg
i	i	Cc
drugih	drugi	Mlonpg
postignuća	postignuće	Ncnpg
.	.	Z

Na	na	Sa
isti	isti	Agpmsayn
način	način	Ncmsan
mora	morati	Vmr3s
primiti	primiti	Vmn

