kunama	kuna	Ncfpi
Pravilnikom	Pravilniki	Npmsl
ukoliko	ukoliko	Cs
se	sebe	Px--sa
dopuna	dopuna	Ncfsn
/	/	Z
obrazloženje	obrazloženje	Ncnsn
/	/	Z
ispravak	ispravak	Ncmsn
odnosi	odnositi	Vmr3s
na	na	Sa
obvezne	obvezan	Agpmpay
Zahtjeve	zahtjev	Ncmpa
za	za	Sa
isplatu	isplata	Ncfsa
u	u	Sl
cijelosti	cijelost	Ncfsl

9.	9.	Mdo
korištenja	korištenje	Ncnsg
unajmljenog	unajmiti	Agpmsgy
prostora	prostor	Ncmsg
na	na	Sa
način	način	Ncmsan
koji	koji	Pi-msn
nije	biti	Var3s
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
njegovom	njegov	Ps3fsi
namjenom	namjena	Ncfsi

10.	10.	Mdo
utvrđene	utvrditi	Agpfsgy
nepravilnosti	nepravilnost	Ncfsg
,	,	Z
koja	koji	Pi-fsn
je	biti	Var3s
ujedno	ujedno	Rgp
i	i	Cc
sumnja	sumnjati	Vmr3s
na	na	Sa
prijevaru	prijevara	Ncfsa
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Odluka	odluka	Ncfsn
o	o	Sl
odbijanju	odbijanje	Ncnsl
Zahtjeva	zahtjev	Ncmsg
za	za	Sa
isplatu	isplata	Ncfsa
predujma	predujam	Ncmsg
donosi	donositi	Vmr3s
se	sebe	Px--sa
zbog	zbog	Sg
nedostavljanja	nedostavljanje	Ncnsg
valjanoga	valjan	Agpnsgy
bankovnog	bankovan	Agpnsgy
jamstva	jamstvo	Ncnsg
.	.	Z

IV	IV	Mrc
.	.	Z

KONTROLA	kontrola	Ncfsn
NA	na	Sl
TERENU	teren	Ncmsl

Ovlaštenje	ovlaštenje	Ncnsn
za	za	Sa
provedbu	provedba	Ncfsa
kontrole	kontrola	Ncfsg
na	na	Sl
terenu	teren	Ncmsl

Članak	članak	Ncmsn
68.	68.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Kontrolu	kontrola	Ncfsa
na	na	Sl
terenu	teren	Ncmsl
provode	provoditi	Vmr3p
djelatnici	djelatnik	Ncmpn
Agencije	agencija	Ncfsg
za	za	Sa
plaćanja	plaćanje	Ncnpa
(	(	Z
u	u	Sl
daljnjem	daljnji	Agpmsly
tekstu	tekst	Ncmsl
:	:	Z
kontrolori	kontrolor	Ncmpn
)	)	Z
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Kontrolori	kontrolor	Ncmpn
provode	provoditi	Vmr3p
kontrolu	kontrola	Ncfsa
izvršenih	izvršen	Agpfpgy
usluga	usluga	Ncfpg
,	,	Z
radova	rad	Ncmpg
i	i	Cc
nabavljene	nabaviti	Agpfpay
opreme	oprema	Ncfpa
kod	kod	Sg
isplate	isplata	Ncfsg
u	u	Sl
ratama	rata	Ncfpl
,	,	Z
dok	dok	Cs
kod	kod	Sg
konačne	konačan	Agpfsgy
isplate	isplata	Ncfsg
kontroliraju	kontrolirati	Vmr3p
i	i	Cc
upotrebu	upotreba	Ncfsa
ulaganja	ulaganje	Ncnsg
prema	prema	Sl
odobrenoj	odobren	Agpfsly
namjeni	namjena	Ncfsl
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Kontrolori	kontrolor	Ncmpn
provode	provoditi	Vmr3p
kontrolu	kontrola	Ncfsa
prije	prije	Sg
isplate	isplata	Ncfsg
i	i	Cc
tijekom	tijekom	Sg
petogodišnjeg	petogodišnji	Agpnsgy
razdoblja	razdoblje	Ncnsg
nakon	nakon	Sg
izvršenog	izvršen	Agpnsgy
konačnog	konačan	Agpnsgy
plaćanja	plaćanje	Ncnsg
(	(	Z
ex	ex	Xf
post	post	Ncmsn
kontrola	kontrola	Ncfpg
)	)	Z
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Osim	osim	Sg
redovnih	redovan	Agpfpgy
kontrola	kontrola	Ncfpg
,	,	Z
kontrole	kontrola	Ncfpn
na	na	Sl
terenu	teren	Ncmsl
mogu	moći	Vmr3p
se	sebe	Px--sa
provoditi	provoditi	Vmn
u	u	Sl
bilo	bilo	Qo
kojem	koji	Pi-msl
trenutku	trenutak	Ncmsl
unutar	unutar	Sg
razdoblja	razdoblje	Ncnsg
iz	iz	Sg
stavka	stavak	Ncmsg
3.	3.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Osim	osim	Sg
djelatnika	djelatnik	Ncmpg
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
kontrolu	kontrola	Ncfsa
ulaganja	ulaganje	Ncnsg
mogu	moći	Vmr3p
obavljati	obavljati	Vmn
i	i	Qo
djelatnici	djelatnik	Ncmpn
Službe	služba	Ncfsg
za	za	Sa
unutarnju	unutarnji	Agpfsay
reviziju	revizija	Ncfsa
Agencije	agencija	Ncfsg
za	za	Sa
plaćanja	plaćanje	Ncnpa
,	,	Z
djelatnici	djelatnik	Ncmpn
Upravljačkog	upravljački	Agpnsgy
tijela	tijelo	Ncnsg
,	,	Z
ARPA-e	ARPA-a	Npfsg
,	,	Z
revizori	revizor	Ncmpn
Europske	europski	Agpfsgy
komisije	komisija	Ncfsg
,	,	Z
Europski	europski	Agpmsny
revizorski	revizorski	Agpmsny
sud	sud	Ncmsn
,	,	Z
predstavnici	predstavnik	Ncmpn
OLAF-a	OLAF	Npmsg
te	te	Cc
druge	drugi	Mlofpn
institucije	institucija	Ncfpn
koje	koji	Pi-fpn
za	za	Sa
to	taj	Pd-nsa
imaju	imati	Vmr3p
ovlasti	ovlast	Ncfpa
po	po	Sl
posebnim	poseban	Agpmply
propisima	propis	Ncmpl
.	.	Z

(	(	Z
6	6	Mdc
)	)	Z
Za	za	Sa
Podmjeru	Podmjera	Npmsay
19.3.	19.3.	Mdo
kontrola	kontrola	Ncfsn
na	na	Sl
terenu	teren	Ncmsl
neće	htjeti	Var3s
se	sebe	Px--sa
provoditi	provoditi	Vmn
.	.	Z

Ovlasti	ovlast	Ncfpn
kontrolora	kontrolor	Ncmsg

Članak	članak	Ncmsn
69.	69.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Pri	pri	Sl
obavljanju	obavljanje	Ncnsl
kontrole	kontrola	Ncfsg
na	na	Sl
terenu	teren	Ncmsl
kontrolori	kontrolor	Ncmpn
su	biti	Var3p
ovlašteni	ovlastiti	Appmpny
:	:	Z

1.	1.	Mdo
pregledati	pregledati	Vmn
objekte	objekt	Ncmpa
,	,	Z
uređaje	uređaj	Ncmpa
,	,	Z
robu	roba	Ncfsa
te	te	Cc
poslovnu	poslovan	Agpfsay
dokumentaciju	dokumentacija	Ncfsa
korisnika	korisnik	Ncmpg

2.	2.	Mdo
izvršiti	izvršiti	Vmn
uvid	uvid	Ncmsan
u	u	Sa
dokumente	dokument	Ncmpa
korisnika	korisnik	Ncmpg
koji	koji	Pi-mpn
se	sebe	Px--sa
odnose	odnositi	Vmr3p
na	na	Sa
stjecanje	stjecanje	Ncnsa
prava	pravo	Ncnsg
na	na	Sa
potporu	potpora	Ncfsa

3.	3.	Mdo
provjeravati	provjeravati	Vmn
računovodstvene	računovodstveni	Agpmpay
podatke	podatak	Ncmpa
iz	iz	Sg
poslovnih	poslovan	Agpfpgy
knjiga	knjiga	Ncfpg
korisnika	korisnik	Ncmpg

4.	4.	Mdo
provjeravati	provjeravati	Vmn
evidencije	evidencija	Ncfpa
vezane	vezan	Agpfpay
uz	uz	Sa
ulaganje	ulaganje	Ncnsa
i	i	Cc
poslovanje	poslovanje	Ncnsa
korisnika	korisnik	Ncmpg

5.	5.	Mdo
provjeravati	provjeravati	Vmn
dokumente	dokument	Ncmpa
(	(	Z
račune	račun	Ncmpa
,	,	Z
potvrde	potvrda	Ncfpa
o	o	Sl
plaćanju	plaćanje	Ncnsl
,	,	Z
bankovna	bankovan	Agpnpay
izvješća	izvješće	Ncnpa
korisnika	korisnik	Ncmpg
i	i	Cc
s	sa	Si
njim	on	Pp3msi
povezanih	povezan	Agpfpgy
osoba	osoba	Ncfpg
,	,	Z
podatke	podatak	Ncmpa
o	o	Sl
korištenom	koristiti	Agpmsly
materijalu	materijal	Ncmsl
,	,	Z
jamstvene	jamstveni	Agpmpay
listove	list	Ncmpa
,	,	Z
deklaracije	deklaracija	Ncfpa
i	i	Cc
dr.	dr.	Y
)	)	Z

6.	6.	Mdo
provjeravati	provjeravati	Vmn
vjerodostojnost	vjerodostojnost	Ncfsa
dokumenata	dokument	Ncmpg
poslanih	poslati	Appmpgy
uz	uz	Sa
Zahtjev	zahtjev	Ncmsan
za	za	Sa
isplatu	isplata	Ncfsa

7.	7.	Mdo
provjeravati	provjeravati	Vmn
uporabu	uporaba	Ncfsa
ili	ili	Cc
spremnost	spremnost	Ncfsa
ulaganja	ulaganje	Ncnsg
za	za	Sa
uporabu	uporaba	Ncfsa

8.	8.	Mdo
provjeravati	provjeravati	Vmn
rješenja	rješenje	Ncnpa
,	,	Z
ugovore	ugovoriti	Vmr3p
,	,	Z
potvrde	potvrda	Ncfpa
drugih	drugi	Mlonpg
tijela	tijelo	Ncnpg
koja	koji	Pi-npn
prate	pratiti	Vmr3p
rad	rad	Ncmsan
korisnika	korisnik	Ncmpg

9.	9.	Mdo

