kalendarskoj	kalendarski	Agpfsly
korisniku	korisnik	Ncmsl
–	i	Agpmsly
dužniku	dužnik	Ncmsl
navesti	navesti	Vmn
razlog	razlog	Ncmsan
nastanka	nastanak	Ncmsg
duga	dug	Ncmsg
,	,	Z
iznos	iznos	Ncmsn
ukupnog	ukupan	Agpmsgy
duga	dug	Ncmsg
,	,	Z
navesti	navesti	Vmn
da	da	Cs
li	li	Qq
će	htjeti	Var3s
dug	dug	Ncmsn
biti	biti	Van
plaćen	platiti	Appmsnn
jednokratnom	jednokratan	Agpfsiy
uplatom	uplata	Ncfsi
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
30	30	Mdc
dana	dan	Ncmpg
od	od	Sg
dana	dan	Ncmsg
sastavljanja	sastavljanje	Ncnsg
zapisnika	zapisnik	Ncmsg
,	,	Z
ili	ili	Cc
će	htjeti	Var3s
dug	dug	Ncmsn
biti	biti	Van
plaćen	platiti	Appmsnn
u	u	Sl
mjesečnim	mjesečan	Agpfply
ratama	rata	Ncfpl
.	.	Z

U	u	Sl
slučaju	slučaj	Ncmsl
smrti	smrt	Ncfsg
korisnika	korisnik	Ncmpg
–	–	Z
dužnika	dužnik	Ncmpg
,	,	Z
prvostupanjsko	prvostupanjski	Agpnsny
tijelo	tijelo	Ncnsn
će	htjeti	Var3s
pokrenuti	pokrenuti	Vmn
postupak	postupak	Ncmsan
radi	radi	Sg
naplate	naplata	Ncfsg
nepripadajućih	nepripadajući	Agpnpgy
novčanih	novčan	Agpnpgy
sredstava	sredstvo	Ncnpg
sa	sa	Sg
jednog	jedan	Mlcmsg
ili	ili	Cc
više	mnogo	Rgc
tekućih	tekući	Agpmpgy
računa	račun	Ncmpg
korisnika	korisnik	Ncmpg
–	–	Z
dužnika	dužnik	Ncmpg
koji	koji	Pi-mpn
se	sebe	Px--sa
vode	voditi	Vmr3p
kod	kod	Sg
banaka	banka	Ncfpg
.	.	Z

Korisnik	korisnik	Ncmsn
–	–	Z
dužnik	dužnik	Ncmsn
je	biti	Var3s
obvezan	obvezati	Appmsnn
platiti	platiti	Vmn
zatezne	zatezni	Agpfpay
kamate	kamata	Ncfpa
sukladno	sukladno	Rgp
članku	članak	Ncmsl
29.	29.	Mdo

Zakona	zakon	Ncmsg
o	o	Sl
obveznim	obvezan	Agpmply
odnosima	odnos	Ncmpl
(	(	Z
»	i	Agpfpny
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
broj	broj	Ncmsn
35/05.	35/05.	Mdo
,	,	Z
41/08	41/08	Mdc
i	i	Cc
125/11	125/11	Mdc
)	)	Z
,	,	Z
ukoliko	ukoliko	Cs
dug	dug	Agpmsnn
ne	ne	Qz
uplati	uplatiti	Vmr3s
jednokratnom	jednokratan	Agpfsiy
uplatom	uplata	Ncfsi
na	na	Sa
račun	račun	Ncmsan
Državnog	državni	Agpmsgy
proračuna	proračun	Ncmsg
u	u	Sl
roku	rok	Ncmsl
navedenom	naveden	Agpmsly
u	u	Sl
zapisniku	zapisnik	Ncmsl
o	o	Sl
povratu	povrat	Ncmsl
sredstava	sredstvo	Ncnpg
.	.	Z

Ukoliko	ukoliko	Cs
korisnik	korisnik	Ncmsn
–	–	Z
dužnik	dužnik	Ncmsn
u	u	Sl
zapisniku	zapisnik	Ncmsl
prihvati	prihvatiti	Vmr3s
da	da	Cs
će	htjeti	Var3s
dug	dug	Ncmsn
platiti	platiti	Vmn
u	u	Sl
mjesečnim	mjesečan	Agpfply
ratama	rata	Ncfpl
,	,	Z
prvostupanjsko	prvostupanjski	Agpnsny
tijelo	tijelo	Ncnsn
obvezno	obvezan	Agpnsny
će	htjeti	Var3s
obračunati	obračunati	Vmn
zateznu	zatezni	Agpfsay
kamatu	kamata	Ncfsa
sukladno	sukladno	Rgp
članku	članak	Ncmsd
29.	29.	Mdo

Zakona	zakon	Ncmsg
o	o	Sl
obveznim	obvezan	Agpmply
odnosima	odnos	Ncmpl
i	i	Cc
obračun	obračun	Ncmsan
dostaviti	dostaviti	Vmn
korisniku	korisnik	Ncmsd
–	–	Z
dužniku	dužnik	Ncmsl
,	,	Z
kao	kao	Cs
i	i	Qo
broj	broj	Ncmsan
žiro	žiro	Agpnsny
–	–	Z
računa	račun	Ncmsg
Državnog	državni	Agpmsgy
proračuna	proračun	Ncmsg
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
za	za	Sa
uplatu	uplata	Ncfsa
duga	dug	Ncmsg
i	i	Cc
uplatu	uplata	Ncfsa
kamata	kamata	Ncfpg
.	.	Z

U	u	Sl
iznimnim	izniman	Agpmply
slučajevima	slučaj	Ncmpl
kada	kada	Rgp
se	sebe	Px--sa
zbog	zbog	Sg
socijalno	socijalno	Rgp
ekonomskih	ekonomski	Agpmpgy
razloga	razlog	Ncmpg
koji	koji	Pi-mpn
postoje	postojati	Vmr3p
kod	kod	Sg
korisnika	korisnik	Ncmpg
–	–	Z
dužnika	dužnik	Ncmpg
(	(	Z
ugroženost	ugroženost	Ncfsn
osnovnih	osnovan	Agpfpgy
egzistencijalnih	egzistencijalan	Agpfpgy
potreba	potreba	Ncfpg
kao	kao	Cs
što	što	Cs
su	biti	Var3p
prehrana	prehrana	Ncfsn
,	,	Z
smještaj	smještaj	Ncmsn
,	,	Z
komunalne	komunalan	Agpfpay
usluge	usluga	Ncfpa
i	i	Cc
slično	sličan	Agpnsay
)	)	Z
,	,	Z
zbog	zbog	Sg
kojih	koji	Pi-mpg
korisnik	korisnik	Ncmsn
–	–	Z
dužnik	dužnik	Ncmsn
ne	ne	Qz
može	moći	Vmr3s
dug	dug	Ncmsan
platiti	platiti	Vmn
jednokratnom	jednokratan	Agpfsiy
uplatom	uplata	Ncfsi
ili	ili	Cc
otplatom	otplata	Ncfsi
do	do	Sg
12	12	Mdc
jednakih	jednak	Agpfpgy
mjesečnih	mjesečan	Agpfpgy
rata	rata	Ncfpg
,	,	Z
prvostupanjsko	prvostupanjski	Agpnsny
tijelo	tijelo	Ncnsn
može	moći	Vmr3s
odobriti	odobriti	Vmn
plaćanje	plaćanje	Ncnsa
duga	dug	Ncmsg
u	u	Sl
primjerenom	primjeren	Agpmsly
broju	broj	Ncmsl
mjesečnih	mjesečan	Agpfpgy
rata	rata	Ncfpg
,	,	Z
a	a	Cc
najviše	mnogo	Rgs
do	do	Sg
24	24	Mdc
mjesečne	mjesečan	Agpfsgy
rate	rata	Ncfsg
.	.	Z

Korisnik	korisnik	Ncmsn
–	–	Z
dužnik	dužnik	Ncmsn
je	biti	Var3s
obvezan	obvezan	Agpmsnn
izvršiti	izvršiti	Vmn
uplatu	uplata	Ncfsa
mjesečne	mjesečan	Agpfsgy
rate	rata	Ncfsg
do	do	Sg
15.	15.	Mdo
u	u	Sl
mjesecu	mjesec	Ncmsl
za	za	Sa
prethodni	prethodan	Agpmsayn
mjesec	mjesec	Ncmsan
,	,	Z
s	sa	Si
tim	taj	Pd-nsi
da	da	Cs
je	biti	Var3s
korisnik	korisnik	Ncmsn
–	–	Agpmsny
dužnik	dužnik	Ncmsn
obvezan	obvezati	Appmsnn
odmah	odmah	Rgp
po	po	Sl
izvršenoj	izvršen	Agpfsly
uplati	uplata	Ncfsl
dostaviti	dostaviti	Vmn
dokaz	dokaz	Ncmsan
o	o	Sl
istoj	isti	Agpfsly
prvostupanjskom	prvostupanjski	Agpnsly
tijelu	tijelo	Ncnsl
.	.	Z

Prvostupanjsko	prvostupanjski	Agpnsny
tijelo	tijelo	Ncnsn
obvezno	obvezan	Agpnsny
će	htjeti	Var3s
u	u	Sl
zapisniku	zapisnik	Ncmsl
navesti	navesti	Vmn
da	da	Cs
zbog	zbog	Sg
prekida	prekid	Ncmsg
uplata	uplata	Ncfsn
dviju	dva	Ncfsg
mjesečnih	mjesečan	Agpfpgy
rata	rata	Ncfpg
povrata	povrat	Ncmpg
duga	duga	Ncfpg
,	,	Z
bez	bez	Sg
razlike	razlika	Ncfsg
da	da	Cs
li	li	Cs
postoje	postojati	Vmr3p
dvije	dva	Mlcf-n
uzastopne	uzastopni	Agpfsgy
neplaćene	neplaćen	Agpfsgy
mjesečne	mjesečan	Agpfsgy
rate	rata	Ncfsg
,	,	Z
ili	ili	Cc
dvije	dva	Mlcf-n
pojedinačne	pojedinačan	Agpfsgy
neplaćene	neplaćen	Agpfsgy
mjesečne	mjesečan	Agpfsgy
rate	rata	Ncfsg
,	,	Z
dospijeva	dospijevati	Vmr3s
na	na	Sa
naplatu	naplata	Ncfsa
cjelokupni	cjelokupan	Agpmsayn
ostatak	ostatak	Ncmsan
duga	dug	Ncmsg
,	,	Z
a	a	Cc
taj	taj	Pd-msn
ostatak	ostatak	Ncmsn
duga	dug	Ncmsg
sa	sa	Si
zateznom	zatezni	Agpfsiy
kamatom	kamata	Ncfsi
,	,	Z
obvezan	obvezati	Appmsnn
je	biti	Var3s
uplatiti	uplatiti	Vmn
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
30	30	Mdc
dana	dan	Ncmpg
od	od	Sg
dana	dan	Ncmpg
dospijeća	dospijeće	Ncnsg
prve	prvi	Agpfsgy
naredne	naredan	Agpfsgy
mjesečne	mjesečan	Agpfsgy
rate	rata	Ncfsg
.	.	Z

3	3	Mdc
)	)	Z
Ukoliko	ukoliko	Cs
korisnik	korisnik	Ncmsn
–	–	Z
dužnik	dužnik	Ncmsn
ne	ne	Qz
pristane	pristati	Vmr3s
da	da	Cs
se	sebe	Px--sa
sačini	sačiniti	Vmr3s
zapisnik	zapisnik	Ncmsn
iz	iz	Sg
stavka	stavak	Ncmsg
2.	2.	Mdo
ovog	ovaj	Pd-msg
članka	članak	Ncmsg
o	o	Sl
čemu	što	Ncmsl
prvostupanjsko	prvostupanjski	Agpnsny
tijelo	tijelo	Ncnsn
sačinjava	sačinjavati	Vmr3s
službenu	služben	Agpfsay
zabilješku	zabilješka	Ncfsa
,	,	Z
ili	ili	Cc
korisnik	korisnik	Ncmsn
–	–	Z
dužnik	dužnik	Ncmsn
ne	ne	Qz
izvrši	izvršiti	Vmr3s
uplatu	uplata	Ncfsa
cjelokupnog	cjelokupan	Agpmsgy
duga	dug	Ncmsg
u	u	Sl
roku	rok	Ncmsl
iz	iz	Sg
stavka	stavak	Ncmsg
2.	2.	Mdo
ovog	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
ili	ili	Cc
korisnik	korisnik	Ncmsn
–	–	Z
dužnik	dužnik	Ncmsn
ne	ne	Qz
izvrši	izvršiti	Vmr3s
uplatu	uplata	Ncfsa
duga	dug	Ncmsg
po	po	Sl
mjesečnim	mjesečan	Agpfply
otplatama	otplata	Ncfpl
na	na	Sa
način	način	Ncmsan
utvrđen	utvrditi	Appmsnn
u	u	Sl
stavku	stavak	Ncmsl
2.	2.	Mdo
ovog	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
ili	ili	Cc
ne	ne	Qz
izvrši	izvršiti	Vmr3s
uplatu	uplata	Ncfsa
preostalog	preostao	Agpmsgy
iznosa	iznos	Ncmsg
duga	dug	Ncmsg
u	u	Sl
cijelosti	cijelost	Ncfsl
i	i	Cc
kamata	kamata	Ncfpg
iz	iz	Sg
stavka	stavak	Ncmsg
2.	2.	Mdo
ovog	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
dužan	dužan	Agpmsnn
je	biti	Var3s
iznos	iznos	Ncmsn
duga	dug	Ncmsg
i	i	Cc
kamata	kamata	Ncfsn
namiriti	namiriti	Vmn
u	u	Sl
daljem	dalek	Agcmsly
roku	rok	Ncmsl
od	od	Sg
30	30	Mdc
(	(	Z
trideset	trideset	Mlc
)	)	Z
dana	dan	Ncmsg
,	,	Z
o	o	Sl
čemu	što	Pi3n-l
će	htjeti	Var3s
prvostupanjsko	prvostupanjski	Agpnsny
tijelo	tijelo	Ncnsn
pismeno	pismen	Agpnsny
obavijestiti	obavijestiti	Vmn
korisnika	korisnik	Ncmpg
–	–	Z
dužnika	dužnik	Ncmpg
.	.	Z

Rok	rok	Ncmsn
za	za	Sa
uplatu	uplata	Ncfsa
povrata	povrat	Ncmpg
duga	dug	Ncmsg
s	sa	Si
kamatama	kamata	Ncfpi
teče	teći	Vmr3s
od	od	Sg
dana	dan	Ncmpg
prijema	prijem	Ncmsg
dopisa	dopis	Ncmsg
prvostupanjskog	prvostupanjski	Agpnsgy
tijela	tijelo	Ncnsg
.	.	Z

4	4	Mdc
)	)	Z
Ukoliko	ukoliko	Cs
korisnik	korisnik	Ncmsn
–	–	Z
dužnik	dužnik	Ncmsn
ne	ne	Qz
izvrši	izvršiti	Vmr3s
uplatu	uplata	Ncfsa
duga	dug	Ncmsg
u	u	Sl
roku	rok	Ncmsl
iz	iz	Sg
stavka	stavak	Ncmsg
3.	3.	Mdo
ovog	ovaj	Pd-msg

