Izračunavanja	izračunavanje	Ncnpn
;	;	Z
ili	ili	Cc

•	i	Agpnsay
dobivanje	dobivanje	Ncnsa
savjeta	savjet	Ncmpg
u	u	Sl
vezi	veza	Ncfsl
s	sa	Si
uslugom	usluga	Ncfsi
od	od	Sg
vanjske	vanjski	Agpfsgy
profesionalne	profesionalan	Agpfsgy
osobe	osoba	Ncfsg
za	za	Sa
poreze	porez	Ncmpa
.	.	Z

Klijenti	klijent	Ncmpn
revizija	revizija	Ncfpg
koji	koji	Pi-mpn
su	biti	Var3p
subjekti	subjekt	Ncmpn
od	od	Sg
javnog	javan	Agpmsgy
interesa	interes	Ncmsg

290.182	290.182	Mdc
Osim	osim	Cs
u	u	Sl
izvanrednim	izvanredan	Agpfply
situacijama	situacija	Ncfpl
,	,	Z
u	u	Sl
slučaju	slučaj	Ncmsl
klijenta	klijent	Ncmsg
revizije	revizija	Ncfsg
koji	koji	Pi-msn
je	biti	Var3s
subjekt	subjekt	Ncmsn
od	od	Sg
javnog	javan	Agpmsgy
interesa	interes	Ncmsg
,	,	Z
revizorsko	revizorski	Agpnsny
društvo	društvo	Ncnsn
neće	htjeti	Var3s
pripremati	pripremati	Vmn
izračune	izračun	Ncmpa
tekućih	tekući	Agpmpgy
i	i	Cc
odgođenih	odgoditi	Appfpgy
poreznih	porezni	Agpfpgy
obveza	obveza	Ncfpg
(	(	Z
ili	ili	Cc
imovine	imovina	Ncfsg
)	)	Z
za	za	Sa
svrhu	svrha	Ncfsa
pripremanja	pripremanje	Ncnsg
računovodstvenih	računovodstveni	Agpmpgy
unosa	unos	Ncmpg
koji	koji	Pi-mpn
su	biti	Var3p
značajni	značajan	Agpmpny
za	za	Sa
financijske	financijski	Agpmpay
izvještaje	izvještaj	Ncmpa
o	o	Sl
kojima	koji	Pi-fpl
će	htjeti	Var3s
revizorsko	revizorski	Agpnsny
društvo	društvo	Ncnsn
izraziti	izraziti	Vmn
mišljenje	mišljenje	Ncnsa
.	.	Z

290.183	290.183	Mdc
Pripremanja	pripremanje	Ncnsg
izračuna	izračun	Ncmsg
tekućih	tekući	Agpmpgy
i	i	Cc
odgođenih	odgoditi	Appfpgy
poreznih	porezni	Agpfpgy
obveza	obveza	Ncfpg
(	(	Z
ili	ili	Cc
imovine	imovina	Ncfsg
)	)	Z
za	za	Sa
nekog	neki	Pi-msg
klijenta	klijent	Ncmsg
revizije	revizija	Ncfsg
za	za	Sa
svrhu	svrha	Ncfsa
pripremanja	pripremanje	Ncnsg
računovodstvenih	računovodstveni	Agpmpgy
unosa	unos	Ncmpg
,	,	Z
koja	koji	Pi-fsn
inače	inače	Rgp
ne	ne	Qz
bi	biti	Vaa3p
bile	biti	Vmp-pf
dopuštena	dopustiti	Appfsny
prema	prema	Sl
ovom	ovaj	Pd-msl
odjeljku	odjeljak	Ncmsl
,	,	Z
mogu	moći	Vmr3p
se	sebe	Px--sa
pružiti	pružiti	Vmn
klijentima	klijent	Ncmpd
revizija	revizija	Ncfpg
u	u	Sl
izvanrednim	izvanredan	Agpfply
ili	ili	Cc
drugim	drugi	Mlofpl
neuobičajenim	neuobičajen	Agpfply
situacijama	situacija	Ncfpl
kada	kada	Cs
za	za	Sa
klijenta	klijent	Ncmsay
revizije	revizija	Ncfsg
nije	biti	Var3s
izvedivo	izvediv	Agpnsny
da	da	Cs
sklopi	sklopiti	Vmr3s
druge	drugi	Mlompa
aranžmane	aranžman	Ncmpa
.	.	Z

To	taj	Pd-nsn
može	moći	Vmr3s
biti	biti	Van
slučaj	slučaj	Ncmsn
kada	kada	Rgp
(	(	Z
a	a	Cc
)	)	Z
samo	samo	Rgp
revizorsko	revizorski	Agpnsny
društvo	društvo	Ncnsn
ima	imati	Vmr3s
resurse	resurs	Ncmpa
i	i	Cc
potrebno	potreban	Agpnsny
poznavanje	poznavanje	Ncnsn
klijentovog	klijentov	Aspnsgy
poslovanja	poslovanje	Ncnsg
za	za	Sa
pomaganje	pomaganje	Ncnsa
klijentu	klijent	Ncmsd
u	u	Sl
pravodobnom	pravodoban	Agpnsly
pripremanju	pripremanje	Ncnsl
njegovih	njegov	Agpmpgy
izračuna	izračun	Ncmpg
tekućih	tekući	Agpmpgy
i	i	Cc
odgođenih	odgoditi	Appfpgy
poreznih	porezni	Agpfpgy
obveza	obveza	Ncfpg
(	(	Z
ili	ili	Cc
imovine	imovina	Ncfsg
)	)	Z
i	i	Cc
(	(	Z
b	b	X
)	)	Z
ograničavanje	ograničavanje	Ncnsn
mogućnosti	mogućnost	Ncfsg
revizorskog	revizorski	Agpnsgy
društva	društvo	Ncnsg
da	da	Cs
pruži	pružiti	Vmr3s
usluge	usluga	Ncfpa
bi	biti	Vaa3s
imalo	imati	Vmp-sn
za	za	Sa
posljedicu	posljedica	Ncfsa
značajne	značajan	Agpmpay
probleme	problem	Ncmpa
za	za	Sa
klijenta	klijent	Ncmsan
(	(	Z
na	na	Sa
primjer	primjer	Ncmsan
,	,	Z
kao	kao	Cs
što	što	Cs
mogu	moći	Vmr3p
rezultirati	rezultirati	Vmn
iz	iz	Sg
propusta	propust	Ncmsg
da	da	Cs
se	sebe	Px--sa
ispune	ispuniti	Vmr3p
zahtjevi	zahtjev	Ncmpn
regulatora	regulator	Ncmsg
u	u	Sl
vezi	veza	Ncfsl
s	sa	Si
izvješćivanjem	izvješćivanje	Ncnsi
)	)	Z
.	.	Z

U	u	Sl
takvim	takav	Pd-fpl
situacijama	situacija	Ncfpl
,	,	Z
bit	biti	Van
će	htjeti	Var3p
ispunjeni	ispuniti	Appmpny
sljedeći	sljedeći	Agpmpny
uvjeti	uvjet	Ncmpn
:	:	Z

(	(	Z
a	a	Cc
)	)	Z
oni	onaj	Pd-mpn
koji	koji	Pi-mpn
pružaju	pružati	Vmr3p
usluge	usluga	Ncfpn
nisu	biti	Var3p
članovi	član	Ncmpn
revizijskog	revizijski	Agpmsgy
tima	tim	Ncmsg
;	;	Z

(	(	Z
b	b	X
)	)	Z
usluge	usluga	Ncfpn
se	sebe	Px--sa
pružaju	pružati	Vmr3p
samo	samo	Rgp
za	za	Sa
kratko	kratak	Agpnsay
razdoblje	razdoblje	Ncnsa
i	i	Cc
ne	ne	Qz
očekuje	očekivati	Vmr3s
se	sebe	Px--sa
da	da	Cs
će	htjeti	Var3s
se	sebe	Px--sa
ponoviti	ponoviti	Vmn
;	;	Z
i	i	Cc

(	(	Z
c	C	Npmsn
)	)	Z
situacija	situacija	Ncfsn
je	biti	Var3s
raspravljena	raspraviti	Appfsny
s	sa	Si
onima	onaj	Pd-mpd
koji	koji	Pi-mpn
su	biti	Var3p
zaduženi	zadužiti	Appmpny
za	za	Sa
upravljanje	upravljanje	Ncnsa
.	.	Z

Planiranje	planiranje	Ncnsn
poreza	porez	Ncmsg
i	i	Cc
ostale	ostali	Agpfpay
usluge	usluga	Ncfpa
poreznog	porezni	Agpnsgy
savjetovanja	savjetovanje	Ncnsg

290.184	290.184	Mdc
Usluge	usluga	Ncfsg
planiranja	planiranje	Ncnsg
poreza	porez	Ncmsg
i	i	Cc
ostale	ostali	Agpfpay
usluge	usluga	Ncfpa
poreznog	porezni	Agpnsgy
savjetovanja	savjetovanje	Ncnsg
obuhvaćaju	obuhvaćati	Vmr3p
široki	širok	Agpmsayn
raspon	raspon	Ncmsan
usluga	usluga	Ncfpg
,	,	Z
kao	kao	Cs
što	što	Cs
su	biti	Var3p
savjetovanje	savjetovanje	Ncnsn
klijenta	klijent	Ncmsg
o	o	Sl
tome	taj	Pd-nsl
kako	kako	Cs
strukturirati	strukturirati	Vmn
svoje	svoj	Px-nsa
poslovanje	poslovanje	Ncnsa
na	na	Sa
porezno	porezni	Agpnsay
učinkoviti	učinkovit	Agpmsayn
način	način	Ncmsan
ili	ili	Cc
savjetovanje	savjetovanje	Ncnsa
o	o	Sl
primjeni	primjena	Ncfsl
novog	nov	Agpmsgy
poreznog	porezni	Agpmsgy
zakona	zakon	Ncmsg
ili	ili	Cc
regulative	regulativa	Ncfsg
.	.	Z

290.185	290.18i	Agpfsny
Prijetnja	prijetnja	Ncfsn
temeljem	temelj	Ncmsi
samoprovjere	samoprovjera	Ncfsg
može	moći	Vmr3s
nastati	nastati	Vmn
tamo	tamo	Rgp
gdje	gdje	Cs
će	htjeti	Var3s
savjet	savjet	Ncmsn
utjecati	utjecati	Vmn
na	na	Sa
pitanja	pitanje	Ncnpa
koja	koji	Pi-npn
se	sebe	Px--sa
odražavaju	odražavati	Vmr3p
u	u	Sl
financijskim	financijski	Agpmply
izvještajima	izvještaj	Ncmpl
.	.	Z

Postojanje	postojanje	Ncnsn
i	i	Cc
važnost	važnost	Ncfsn
svake	svaki	Pi-fsg
prijetnje	prijetnja	Ncfsg
ovisit	ovisiti	Vmn
će	htjeti	Var3s
o	o	Sl
čimbenicima	čimbenik	Ncmpl
kao	kao	Cs
što	što	Cs
su	biti	Var3p
:	:	Z

•	•	Agpmsny
stupanj	stupanj	Ncmsn
subjektivnosti	subjektivnost	Ncfsg
sadržan	sadržati	Appmsnn
u	u	Sl
određivanju	određivanje	Ncnsl
primjerenog	primjeren	Agpmsgy
tretmana	tretman	Ncmsg
poreznog	porezni	Agpmsgy
savjeta	savjet	Ncmsg
u	u	Sl
financijskim	financijski	Agpmply
izvještajima	izvještaj	Ncmpl
;	;	Z

•	•	Agpmsayn
razmjer	razmjer	Ncmsan
u	u	Sl
kojem	koji	Pi-msl
će	htjeti	Var3s
ishod	ishod	Ncmsn
poreznog	porezni	Agpmsgy
savjeta	savjet	Ncmsg
imati	imati	Vmn
značajan	značajan	Agpmsann
učinak	učinak	Ncmsan
na	na	Sa
financijske	financijski	Agpmpay
izvještaje	izvještaj	Ncmpa
;	;	Z

•	i	Agpnsny
ovisi	ovisiti	Vmr3s
li	li	Cs
učinkovitost	učinkovitost	Ncfsn
poreznog	porezni	Agpmsgy
savjeta	savjet	Ncmsg
o	o	Sl
računovodstvenom	računovodstveni	Agpmsly
tretmanu	tretman	Ncmsl
ili	ili	Cc
prezentaciji	prezentacija	Ncfsl
u	u	Sl
financijskim	financijski	Agpmply
izvještajima	izvještaj	Ncmpl
i	i	Cc
postoji	postojati	Vmr3s
li	li	Qq
dvojba	dvojba	Ncfsn
o	o	Sl
primjerenosti	primjerenost	Ncfsl
računovodstvenog	računovodstveni	Agpmsgy
tretmana	tretman	Ncmsg
ili	ili	Cc
prezentacije	prezentacija	Ncfsg
prema	prema	Sl
relevantnom	relevantan	Agpmsly
okviru	okvir	Ncmsl
financijskog	financijski	Agpnsgy
izvještavanja	izvještavanje	Ncnsg
;	;	Z

•	i	Mlofsg
razine	razina	Ncfsg
stručnosti	stručnost	Ncfsg
osoblja	osoblje	Ncnsg
klijenta	klijent	Ncmsg
u	u	Sl
vezi	veza	Ncfsl
s	sa	Si
poreznom	porezni	Agpfsiy
problematikom	problematika	Ncfsi
;	;	Z

•	•	Agpmsayn
razmjer	razmjer	Ncmsan
u	u	Sl
kojem	koji	Pi-msl
je	biti	Var3s
savjet	savjet	Ncmsn
podržan	podržati	Appmsnn
poreznim	porezni	Agpmsiy
zakonom	zakon	Ncmsi
ili	ili	Cc
regulativom	regulativa	Ncfsi
,	,	Z
drugim	drugi	Mlompi
presedanima	presedan	Ncmpi
ili	ili	Cc
stvorenom	stvoren	Agpfsiy
praksom	praksa	Ncfsi
;	;	Z
i	i	Cc

•	i	Agpnsny
je	biti	Var3s
li	li	Qq
porezni	porezni	Agpmsny
tretman	tretman	Ncmsn
potkrijepljen	potkrijepiti	Appmsnn
mišljenjem	mišljenje	Ncnsi
porezne	porezni	Agpfsgy
uprave	uprava	Ncfsg
ili	ili	Cc
su	biti	Var3p
ga	on	Pp3msa
porezne	porezni	Agpfpny
vlasti	vlast	Ncfpn
razjasnile	razjasniti	Vmp-pf
na	na	Sa
drugi	drugi	Mlomsan
način	način	Ncmsan
prije	prije	Sg
pripremanja	pripremanje	Ncnsg
financijskih	financijski	Agpmpgy
izvještaja	izvještaj	Ncmpg
.	.	Z

Naprimjer	naprimjer	Rgp
,	,	Z
pružanje	pružanje	Ncnsn
usluge	usluga	Ncfsg
planiranja	planiranje	Ncnsg
poreza	porez	Ncmsg
i	i	Cc
ostalih	ostali	Agpmpgy

