poduzeća	poduzeće	Ncnpn
znanstvenoj	znanstven	Agpfsly
i	i	Cc
stručnoj	stručan	Agpfsly
javnosti	javnost	Ncfsl
,	,	Z
praksa	praksa	Ncfsn
nije	biti	Var3s
mogla	moći	Vmp-sf
odgovore	odgovor	Ncmpa
na	na	Sa
svoja	svoj	Agpnpay
praktična	praktičan	Agpnpay
pitanja	pitanje	Ncnpa
i	i	Cc
dvojbe	dvojba	Ncfsg
pronaći	pronaći	Vmn
u	u	Sl
stručnoj	stručan	Agpfsly
literaturi	literatura	Ncfsl
,	,	Z
odnosno	odnosno	Rgp
svaki	svaki	Pi-msn
sudac	sudac	Ncmsn
ili	ili	Cc
drugi	drugi	Mlomsn
pravni	pravni	Agpmsny
praktičar	praktičar	Ncmsn
mogao	moći	Vmp-sm
je	biti	Var3s
birati	birati	Vmn
između	između	Sg
one	onaj	Pd-fsg
opcije	opcija	Ncfsg
za	za	Sa
koju	koji	Pi-fsa
je	biti	Var3s
po	po	Sl
svojem	svoj	Px-msl
stručnom	stručan	Agpnsly
znanju	znanje	Ncnsl
i	i	Cc
uvjerenju	uvjerenje	Ncnsl
smatrao	smatrati	Vmp-sm
da	da	Cs
je	biti	Var3s
pravilna	pravilan	Agpfsny
.	.	Z

Primjenjujući	primjenjivati	Rr
navedeno	navesti	Appnsny
na	na	Sa
konkretan	konkretan	Agpmsann
slučaj	slučaj	Ncmsan
,	,	Z
Ustavni	ustavan	Agpmsny
sud	sud	Ncmsn
ističe	isticati	Vmr3s
da	da	Cs
je	biti	Var3s
u	u	Sl
konkretnom	konkretan	Agpmsly
slučaju	slučaj	Ncmsl
riječ	riječ	Ncfsn
o	o	Sl
upisu	upis	Ncmsl
koji	koji	Pi-msn
je	biti	Var3s
proveden	provesti	Appmsnn
1998.	1998.	Mdo
godine	godina	Ncfsg
,	,	Z
dakle	dakle	Cc
»	»	Z
samo	samo	Rgp
«	«	Z
dvije	dva	Mlcf-n
godine	godina	Ncfsg
nakon	nakon	Sg
donošenja	donošenje	Ncnsg
Zakona	zakon	Ncmsg
o	o	Sl
privatizaciji	privatizacija	Ncfsl
,	,	Z
kada	kada	Cs
su	biti	Var3p
naprijed	naprijed	Rgp
navedene	naveden	Agpfpny
dvojbe	dvojba	Ncfpn
u	u	Sl
primjeni	primjena	Ncfsl
bile	biti	Vap-pf
još	još	Rgp
izraženije	izraženiji	Agpmsayn
,	,	Z
budući	budući	Cs
da	da	Cs
u	u	Sa
to	taj	Pd-nsa
vrijeme	vrijeme	Ncnsa
(	(	Z
odnosno	odnosno	Rgp
dvije	dva	Mlcf-n
godine	godina	Ncfsg
nakon	nakon	Sg
njegovog	njegov	Ps3nsg
stupanja	stupanje	Ncnsg
na	na	Sa
snagu	snaga	Ncfsa
kada	kada	Cs
je	biti	Var3s
proveden	provesti	Appmsnn
sporni	sporan	Agpmsny
upis	upis	Ncmsn
)	)	Z
nije	biti	Var3s
bila	biti	Vap-sf
razrađena	razraditi	Appfsny
,	,	Z
a	a	Cc
osobito	osobito	Rgp
ne	ne	Qz
ustaljena	ustaliti	Appfsny
praksa	praksa	Ncfsn
o	o	Sl
upisu	upis	Ncmsl
takvih	takav	Pd-fpg
nekretnina	nekretnina	Ncfpg
.	.	Z

Nadalje	nadalje	Rgp
,	,	Z
nije	biti	Var3s
logično	logičan	Agpnsny
ni	ni	Cc
pravno	pravni	Agpnsny
prihvatljivo	prihvatljiv	Agpnsny
da	da	Cs
se	sebe	Px--sa
podnositelju	podnositelj	Ncmsd
stavlja	stavljati	Vmr3s
na	na	Sa
teret	teret	Ncmsan
njegovo	njegov	Ps3nsa
postupanje	postupanje	Ncnsa
,	,	Z
učinjeno	učiniti	Appnsny
deset	deset	Mlc
godina	godina	Ncfpg
nakon	nakon	Sg
provedbe	provedba	Ncfsg
inkriminiranog	inkriminiran	Agpmsgy
upisa	upis	Ncmsg
,	,	Z
kada	kada	Cs
se	sebe	Px--sa
protekom	protek	Ncmsi
relativno	relativno	Rgp
dugog	dug	Agpnsgy
vremenskog	vremenski	Agpnsgy
razdoblja	razdoblje	Ncnsg
praksa	praksa	Ncfpg
u	u	Sl
međuvremenu	međuvrijeme	Ncnsl
ustalila	ustaliti	Vmp-sf
.	.	Z

16.2.	16.2.	Mdo

Ustavni	ustavan	Agpmsny
sud	sud	Ncmsn
ističe	isticati	Vmr3s
da	da	Cs
presude	presuda	Ncfpn
sudova	sud	Ncmpg
ne	ne	Qz
bi	biti	Vaa3p
smjele	smjeti	Vmp-pf
biti	biti	Van
rezultat	rezultat	Ncmsn
»	»	Z
zakašnjelog	zakašnjeli	Agpmsgy
razvitka	razvitak	Ncmsg
«	«	Z
sudske	sudski	Agpfsgy
prakse	praksa	Ncfsg
pri	pri	Sl
objektivnom	objektivan	Agpnsly
određenju	određenje	Ncnsl
sadržaja	sadržaj	Ncmsg
,	,	Z
smisla	smisao	Ncmsg
i	i	Cc
dosega	doseg	Ncmpg
mjerodavnih	mjerodavan	Agpfpgy
pravnih	pravni	Agpfpgy
normi	norma	Ncfpg
koje	koji	Pi-nsn
treba	trebati	Vmr3s
primijeniti	primijeniti	Vmn
u	u	Sl
pojedinom	pojedini	Agpmsly
slučaju	slučaj	Ncmsl
.	.	Z

O	o	Sl
toj	taj	Pd-fsl
pojavi	pojava	Ncfsl
je	biti	Var3s
Ustavni	ustavan	Agpmsny
sud	sud	Ncmsn
izrazio	izraziti	Vmp-sm
sljedeće	sljedeći	Agpnsay
pravno	pravni	Agpnsay
shvaćanje	shvaćanje	Ncnsa
u	u	Sl
predmetu	predmet	Ncmsl
broj	broj	Ncmsn
:	:	Z
U-III-5807	U-III-5807	X
/	/	Z
2010	2010	Mdc
od	od	Sg
30.	30.	Mdo
travnja	travanj	Ncmsg
2013.	2013.	Mdo
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
broj	broj	Ncmsn
57/13.	57/13.	Mds
)	)	Z
:	:	Z

»	»	Z
24.3.	24.3.	Mds

Međutim	međutim	Rgp
,	,	Z
s	sa	Si
obzirom	obzir	Ncmsi
da	da	Cs
kazneni	kazneni	Agpmpny
postupci	postupak	Ncmpn
slični	sličan	Agpmpny
podnositeljevom	podnositeljev	Ncmpn
u	u	Sl
domaćem	domaći	Agpmsly
pravnom	pravni	Agpmsly
sustavu	sustav	Ncmsl
u	u	Sl
pravilu	pravilo	Ncnsl
traju	trajati	Vmr3p
više	mnogo	Rgc
godina	godina	Ncfpg
,	,	Z
na	na	Sl
sudovima	sud	Ncmpl
je	biti	Var3s
velika	velik	Agpfsny
odgovornost	odgovornost	Ncfsn
pri	pri	Sl
ostvarenju	ostvarenje	Ncnsl
te	taj	Pd-fsg
zadaće	zadaća	Ncfsg
jer	jer	Cs
njihove	njihov	Ps3fpa
presude	presuda	Ncfpa
ne	ne	Qz
bi	biti	Vaa3p
smjele	smjeti	Vmp-pf
biti	biti	Van
rezultat	rezultat	Ncmsn
‘	‘	Z
zakašnjelog	zakašnjeli	Agpmsgy
razvitka	razvitak	Ncmsg
’	’	Z
sudske	sudski	Agpfsgy
prakse	praksa	Ncfsg
pri	pri	Sl
‘	‘	Z
objektivnom	objektivan	Agpnsly
određivanju	određivanje	Ncnsl
sadržaja	sadržaj	Ncmsg
,	,	Z
smisla	smisao	Ncmsg
i	i	Cc
dosega	doseg	Ncmpg
’	’	Z
članaka	članak	Ncmpg
292.	292.	Mdo
,	,	Z
337.	337.	Mdo
i	i	Cc
339.	339.	Mdo

KZ-a	KZ	Npmsg
,	,	Z
kao	kao	Cs
i	i	Cc
svih	sav	Agpmpgy
drugih	drugi	Mlofpg
pravnih	pravni	Agpfpgy
normi	norma	Ncfpg
općenito	preopćenito	Rgp
.	.	Z

O	o	Sl
toj	taj	Ncfsl
se	sebe	Px--sa
pojavi	pojava	Ncfsl
može	moći	Vmr3s
govoriti	govoriti	Vmn
onda	onda	Rgp
kad	kad	Cs
sudovi	sud	Ncmpn
u	u	Sl
praksi	praksa	Ncfsl
na	na	Sa
konkretan	konkretan	Agpmsann
slučaj	slučaj	Ncmsan
primijene	primijeniti	Vmr3p
mjerila	mjerilo	Ncnpa
za	za	Sa
procjenu	procjena	Ncfsa
postojanja	postojanje	Ncnsg
navedenih	naveden	Agpnpgy
kaznenih	kazneni	Agpnpgy
djela	djelo	Ncnpg
koja	koji	Pi-npn
su	biti	Var3p
se	sebe	Px--sa
u	u	Sl
međuvremenu	međuvrijeme	Ncnsl
,	,	Z
do	do	Sg
donošenja	donošenje	Ncnsg
pravomoćne	pravomoćan	Agpfsgy
presude	presuda	Ncfsg
,	,	Z
već	već	Rgp
izgradila	izgraditi	Vmp-sf
,	,	Z
ali	ali	Cc
nisu	biti	Var3p
postojala	postojati	Vmp-sf
ili	ili	Cc
nisu	biti	Var3p
bila	biti	Vap-sf
standardizirana	standardizirati	Appfsny
odnosno	odnosno	Rgp
ustaljena	ustaliti	Appfsny
u	u	Sl
sudskoj	sudski	Agpfsly
praksi	praksa	Ncfsl
u	u	Sa
vrijeme	vrijeme	Ncnsa
kad	kad	Cs
su	biti	Var3p
djela	djelo	Ncnpn
–	–	Z
više	mnogo	Rgc
godina	godina	Ncfpg
poslije	poslije	Sg
toga	taj	Pd-nsg
kvalificirana	kvalificirati	Appfsny
kao	kao	Cs
kaznena	kazneni	Agpfsny
–	–	Ncfsn
počinjena	počiniti	Appfsny
.	.	Z
«	«	Z

Navedena	navesti	Appnpny
stajališta	stajalište	Ncnpn
primjenjiva	primjenjiv	Agpnpny
su	biti	Var3p
mutatis	mutatti	Appfpny
mutandis	mutandis	Agpfpny
i	i	Cc
na	na	Sa
konkretan	konkretan	Agpmsann
slučaj	slučaj	Ncmsan
.	.	Z

Bez	bez	Sg
takve	takav	Pd-fsg
razrade	razrada	Ncfsg
i	i	Cc
analize	analiza	Ncfsg
podnositeljevog	podnositeljev	Agpnsgy
postupanja	postupanje	Ncnsg
,	,	Z
ne	ne	Qz
može	moći	Vmr3s
se	sebe	Px--sa
sa	sa	Si
sigurnošću	sigurnost	Ncfsi
tvrditi	tvrditi	Vmn
da	da	Cs
je	biti	Var3s
kod	kod	Sg
podnositelja	podnositelj	Ncmpg
postojala	postojati	Vmp-sf
namjera	namjera	Ncfsn
za	za	Sa
počinjenje	počinjenje	Ncnsa
kaznenog	kazneni	Agpnsgy
djela	djelo	Ncnsg
.	.	Z

Tim	taj	Pd-nsi
više	mnogo	Rgc
što	što	Cs
je	biti	Var3s
protiv	protiv	Sg
njegove	njegov	Ps3fsg
odluke	odluka	Ncfsg
moguća	moguć	Agpfsny
žalba	žalba	Ncfsn
drugostupanjskom	drugostupanjski	Agpmsly
sudu	sud	Ncmsl
koji	koji	Pi-msn
je	biti	Var3s
nadležan	nadležan	Agpmsnn
otkloniti	otkloniti	Vmn
eventualne	eventualan	Agpmpay
propuste	propust	Ncmpa
i	i	Cc
pogreške	pogreška	Ncfpa
nižih	nizak	Agcmpgy
sudova	sud	Ncmpg
u	u	Sl
primjeni	primjena	Ncfsl
mjerodavnog	mjerodavan	Agpnsgy
materijalnog	materijalan	Agpnsgy
prava	pravo	Ncnsg
,	,	Z
što	što	Pi3n-n
je	biti	Var3s
u	u	Sl
konkretnom	konkretan	Agpmsly
slučaju	slučaj	Ncmsl
i	i	Cc
učinjeno	učiniti	Appnsny
.	.	Z

17.	17.	Mdo

Ustavni	ustavan	Agpmsny
sud	sud	Ncmsn
primjećuje	primjećivati	Vmr3s
da	da	Cs
je	biti	Var3s
u	u	Sl
zemljišnoknjižnom	zemljišnoknjižni	Agpmsly
predmetu	predmet	Ncmsl
za	za	Sa
koji	koji	Pi-msan
se	sebe	Px--sa
tereti	teretiti	Vmr3s
podnositelj	podnositelj	Ncmsn
,	,	Z
odlučujući	odlučivati	Rr
o	o	Sl
žalbi	žalba	Ncfsl
Hrvatskog	hrvatski	Agpmsgy
fonda	fond	Ncmsg
za	za	Sa
privatizaciju	privatizacija	Ncfsa
protiv	protiv	Sg
prvostupanjskog	prvostupanjski	Agpnsgy
rješenja	rješenje	Ncnsg
i	i	Cc
ocjenjujući	ocjenjivati	Rr
kako	kako	Cs
»	»	Z
u	u	Sl
konkretnom	konkretan	Agpmsly
slučaju	slučaj	Ncmsl
nije	biti	Var3s
bilo	biti	Vap-sn
osnova	osnova	Ncfpg
za	za	Sa
pozivanje	pozivanje	Ncnsa
na	na	Sa
odredbe	odredba	Ncfpa
članka	članak	Ncmsg
365.	365.	Mdo
,	,	Z
te	te	Cc
dalje	daleko	Rgc
članka	članak	Ncmsg
367.	367.	Mdo
stavka	stavak	Ncmsg
2.	2.	Mdo
ZV-a	zv-a	Ncfsg
«	«	Z
,	,	Z
ispravak	ispravak	Ncmsn
u	u	Sl
odnosu	odnos	Ncmsl
na	na	Sa
tumačenje	tumačenje	Ncnsa
i	i	Cc
primjenu	primjena	Ncfsa
propisa	propis	Ncmsg
mjerodavnog	mjerodavan	Agpmsgy
za	za	Sa
ocjenu	ocjena	Ncfsa
dopuštenosti	dopuštenost	Ncfsg
zahtjeva	zahtjev	Ncmpg
zatraženog	zatražiti	Agpmsgy
upisa	upis	Ncmsg
proveo	provesti	Vmp-sm
Županijski	županijski	Agpmsayn
sud	sud	Ncmsan
u	u	Sl
Dubrovniku	Dubrovnik	Npmsl
.	.	Z

U	u	Sl
točki	točka	Ncfsl
II	ii	Mrc
.	.	Z
izreke	izreka	Ncfpa
rješenja	rješenje	Ncnsg
Županijskog	županijski	Agpmsgy
suda	sud	Ncmsg
u	u	Sa
Dubrovniku	dubrovniku	Agpmsann
broj	broj	Ncmsan
:	:	Z
Gž-1071	Gž-1071	Mds
/	/	Z
08	08	Mdc
od	od	Sg
18.	18.	Mdo
rujna	rujan	Ncmsg
2008.	2008.	Mdo
djelomično	djelomično	Rgp
je	biti	Var3s
usvojena	usvojiti	Appfsny
žalba	žalba	Ncfsn
Hrvatskog	hrvatski	Agpmsgy
fonda	fond	Ncmsg
za	za	Sa
privatizaciju	privatizacija	Ncfsa
i	i	Cc
preinačeno	preinačiti	Agpnsny
prvostupanjsko	prvostupanjski	Agpnsny
rješenja	rješenje	Ncnsg
broj	broj	Ncmsn
:	:	Z
Z-322	Z-322	Mds
/	/	Z
98	98	Mdc
od	od	Sg
26.	26.	Mdo
kolovoza	kolovoz	Ncmsg
1998.	1998.	Mdo
,	,	Z
u	u	Sl
dijelu	dio	Ncmsl
kako	kako	Cs
je	biti	Var3s
to	taj	Pd-nsn
navedeno	navesti	Appnsny
u	u	Sl

