načelima	načelo	Ncnpl
okviru	okvir	Ncmsl
.	.	Z

III	III	Mrc
.	.	Z

ODABIR	odabir	Ncmsn
KANDIDATA	kandidat	Ncmpg
PUTEM	put	Sg
JAVNOG	javan	Agpmsgy
NATJEČAJA	natječaj	Ncmsg

Članak	članak	Ncmsn
7.	7.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Odabir	odabir	Ncmsn
kandidata	kandidat	Ncmpg
putem	put	Sg
javnog	javan	Agpmsgy
natječaja	natječaj	Ncmsg
inicira	inicirati	Vmr3s
nadležno	nadležan	Agpnsay
tijelo	tijelo	Ncnsa
trgovačkog	trgovački	Agpnsgy
društva	društvo	Ncnsg
,	,	Z
odnosno	odnosno	Rgp
pravne	pravni	Agpfpay
osobe	osoba	Ncfpa
iz	iz	Sg
članka	članak	Ncmsg
1.	1.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
ove	ovaj	Pd-fsg
Uredbe	uredba	Ncfsg
,	,	Z
na	na	Sa
način	način	Ncmsan
da	da	Cs
prijedlog	prijedlog	Ncmsn
za	za	Sa
pokretanje	pokretanje	Ncnsa
postupka	postupak	Ncmsg
odabira	odabir	Ncmsg
kandidata	kandidat	Ncmpg
javnim	javan	Agpmsiy
natječajem	natječaj	Ncmsi
,	,	Z
zajedno	zajedno	Rgp
s	sa	Si
prijedlogom	prijedlog	Ncmsi
teksta	tekst	Ncmsg
javnog	javan	Agpmsgy
natječaja	natječaj	Ncmsg
dostavlja	dostavljati	Vmr3s
nadležnom	nadležan	Agpnsly
ministarstvu	ministarstvo	Ncnsl
,	,	Z
koje	koji	Pi-fpn
navedeni	naveden	Agpmsny
tekst	tekst	Ncmsn
odobrava	odobravati	Vmr3s
i	i	Cc
dostavlja	dostavljati	Vmr3s
DUUDI-u	DUUDI	Npmsl
,	,	Z
radi	radi	Sg
objave	objava	Ncfsg
u	u	Sl
»	»	Z
Narodnim	narodni	Agpfply
novinama	novina	Ncfpl
«	«	Z
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
U	u	Sl
tekstu	tekst	Ncmsl
javnog	javan	Agpmsgy
natječaja	natječaj	Ncmsg
za	za	Sa
odabir	odabir	Ncmsan
kandidata	kandidat	Ncmpg
,	,	Z
nadležno	nadležan	Agpnsny
ministarstvo	ministarstvo	Ncnsn
će	htjeti	Var3s
,	,	Z
u	u	Sl
suradnji	suradnja	Ncfsl
s	sa	Si
trgovačkim	trgovački	Agpnsiy
društvom	društvo	Ncnsi
,	,	Z
odnosno	odnosno	Rgp
pravnom	pravni	Agpfsiy
osobom	osoba	Ncfsi
,	,	Z
osim	osim	Cs
propisanih	propisati	Agpmpgy
općih	opći	Agpmpgy
uvjeta	uvjet	Ncmpg
,	,	Z
odrediti	odrediti	Vmn
po	po	Sl
potrebi	potreba	Ncfsl
i	i	Cc
posebne	poseban	Agpmpay
uvjete	uvjet	Ncmpa
za	za	Sa
kandidate	kandidat	Ncmpa
kao	kao	Cs
i	i	Qo
rokove	rok	Ncmpa
provedbe	provedba	Ncfsg
javnog	javan	Agpmsgy
natječaja	natječaj	Ncmsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Javni	javan	Agpmsny
natječaj	natječaj	Ncmsn
započinje	započinjati	Vmr3s
objavom	objava	Ncfsi
oglasa	oglas	Ncmsg
o	o	Sl
javnom	javan	Agpmsly
natječaju	natječaj	Ncmsl
za	za	Sa
odabir	odabir	Ncmsan
kandidata	kandidat	Ncmpg
u	u	Sl
»	»	Z
Narodnim	narodni	Agpfply
novinama	novina	Ncfpl
«	«	Z
.	.	Z

Javni	javan	Agpmsny
natječaj	natječaj	Ncmsn
objavit	objaviti	Vmn
će	htjeti	Var3s
se	sebe	Px--sa
i	i	Qo
na	na	Sl
službenim	služben	Agpfply
stranicama	stranica	Ncfpl
DUUDI-a	DUUDI	Npmsg
,	,	Z
trgovačkog	trgovački	Agpnsgy
društva	društvo	Ncnsg
,	,	Z
odnosno	odnosno	Rgp
pravne	pravni	Agpfsgy
osobe	osoba	Ncfsg
koja	koji	Pi-fsn
je	biti	Var3s
podnijela	podnijeti	Vmp-sf
prijedlog	prijedlog	Ncmsan
za	za	Sa
provedbu	provedba	Ncfsa
javnog	javan	Agpmsgy
natječaja	natječaj	Ncmsg
,	,	Z
te	te	Cc
na	na	Sl
službenim	služben	Agpfply
stranicama	stranica	Ncfpl
nadležnog	nadležan	Agpnsgy
ministarstva	ministarstvo	Ncnsg
.	.	Z

Članak	članak	Ncmsn
8.	8.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Prijave	prijava	Ncfpn
kandidata	kandidat	Ncmpg
dostavljaju	dostavljati	Vmr3p
se	sebe	Px--sa
DUUDI-ju	DUUDI-j	Npmsd
sukladno	sukladno	Rgp
objavljenoj	objavljen	Agpfsly
uputi	uputa	Ncfsl
u	u	Sl
oglasu	oglas	Ncmsl
o	o	Sl
javnom	javan	Agpmsly
natječaju	natječaj	Ncmsl
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
DUUDI	DUUD	Npmpn
na	na	Sl
temelju	temelj	Ncmsl
prijava	prijava	Ncfsn
kandidata	kandidat	Ncmpg
utvrđuje	utvrđivati	Vmr3s
kandidate	kandidat	Ncmpa
koji	koji	Pi-mpn
ispunjavaju	ispunjavati	Vmr3p
formalne	formalan	Agpmpay
uvjete	uvjet	Ncmpa
javnog	javan	Agpmsgy
natječaja	natječaj	Ncmsg
.	.	Z

DUUDI	duud	Ncmpn
će	htjeti	Var3p
prijave	prijava	Ncfpn
kandidata	kandidat	Ncmpg
koji	koji	Pi-mpn
ispunjavaju	ispunjavati	Vmr3p
uvjete	uvjet	Ncmpa
javnog	javan	Agpmsgy
natječaja	natječaj	Ncmsg
,	,	Z
te	te	Cc
dokaze	dokaz	Ncmpa
o	o	Sl
ispunjavanju	ispunjavanje	Ncnsl
uvjeta	uvjet	Ncmsg
,	,	Z
zajedno	zajedno	Rgp
s	sa	Si
poslovnim	poslovan	Agpmsiy
planom	plan	Ncmsi
kandidata	kandidat	Ncmpg
dostaviti	dostaviti	Vmn
nadležnom	nadležan	Agpnsly
ministarstvu	ministarstvo	Ncnsl
,	,	Z
odnosno	odnosno	Rgp
Povjerenstvu	povjerenstvo	Ncnsd
Vlade	vlada	Ncfsg
,	,	Z
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
osam	osam	Mlc
dana	dan	Ncmpg
od	od	Sg
zadnjeg	zadnji	Agpmsgy
dana	dan	Ncmsg
roka	rok	Ncmsg
za	za	Sa
prijavu	prijava	Ncfsa
na	na	Sa
javni	javan	Agpmsayn
natječaj	natječaj	Ncmsan
.	.	Z

Članak	članak	Ncmsn
9.	9.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Nadležno	nadležan	Agpnsny
ministarstvo	ministarstvo	Ncnsn
vrši	vršiti	Vmr3s
razgovor	razgovor	Ncmsan
s	sa	Si
kandidatima	kandidat	Ncmpi
za	za	Sa
članove	član	Ncmpa
i	i	Cc
predsjednike	predsjednik	Ncmpa
uprava	uprava	Ncfpg
trgovačkih	trgovački	Agpnpgy
društava	društvo	Ncnpg
od	od	Sg
strateškog	strateški	Agpmsgy
i	i	Cc
posebnog	poseban	Agpmsgy
interesa	interes	Ncmsg
za	za	Sa
Republiku	republika	Ncfsa
Hrvatsku	Hrvatska	Npfsa
u	u	Sl
kojima	koji	Pi-fpl
Republika	republika	Ncfsn
Hrvatska	Hrvatska	Npfsn
ima	imati	Vmr3s
većinski	većinski	Agpmsayn
udio	udjel	Ncmsan
i	i	Cc
čiji	čiji	Pi-msn
konsolidirani	konsolidirati	Agpmsayn
prihod	prihod	Ncmsan
u	u	Sl
prethodnoj	prethodan	Agpfsly
poslovnoj	poslovan	Agpfsly
godini	godina	Ncfsl
iznosi	iznositi	Vmr3s
manje	malo	Rgc
od	od	Sg
750.000.000,00	750.000.000,00	Mdc
kuna	kuna	Ncfpg
,	,	Z
s	sa	Si
kandidatima	kandidat	Ncmpi
za	za	Sa
pravne	pravni	Agpfpay
osobe	osoba	Ncfpa
od	od	Sg
strateškog	strateški	Agpmsgy
i	i	Cc
posebnog	poseban	Agpmsgy
interesa	interes	Ncmsg
za	za	Sa
Republiku	republika	Ncfsa
Hrvatsku	Hrvatska	Npfsa
,	,	Z
te	te	Cc
s	sa	Si
kandidatima	kandidat	Ncmpi
za	za	Sa
članove	član	Ncmpa
uprava	uprava	Ncfpg
trgovačkih	trgovački	Agpnpgy
društava	društvo	Ncnpg
od	od	Sg
strateškog	strateški	Agpmsgy
i	i	Cc
posebnog	poseban	Agpmsgy
interesa	interes	Ncmsg
za	za	Sa
Republiku	republika	Ncfsa
Hrvatsku	Hrvatska	Npfsa
u	u	Sl
kojima	koji	Pi-fpl
Republika	republika	Ncfsn
Hrvatska	Hrvatska	Npfsn
ima	imati	Vmr3s
većinski	većinski	Agpmsayn
udio	udjel	Ncmsan
i	i	Cc
čiji	čiji	Pi-msn
konsolidirani	konsolidirati	Agpmsayn
prihod	prihod	Ncmsan
u	u	Sl
prethodnoj	prethodan	Agpfsly
poslovnoj	poslovan	Agpfsly
godini	godina	Ncfsl
iznosi	iznositi	Vmr3s
više	mnogo	Rgc
od	od	Sg
750.000.000,00	750.000.000,00	Mdc
kuna	kuna	Ncfpg
kroz	kroz	Sa
koji	koji	Pi-msn
utvrđuje	utvrđivati	Vmr3s
i	i	Cc
ocjenjuje	ocjenjivati	Vmr3s
njihovo	njihov	Ps3nsa
:	:	Z

–	i	Agpnsny
radno	radni	Agpnsny
iskustvo	iskustvo	Ncnsn
stečeno	steći	Appnsny
na	na	Sl
rukovodećim	rukovodeći	Agpmply
položajima	položaj	Ncmpl
u	u	Sl
djelatnosti	djelatnost	Ncfsl
trgovačkog	trgovački	Agpnsgy
društva	društvo	Ncnsg
ili	ili	Cc
pravne	pravni	Agpfsgy
osobe	osoba	Ncfsg
za	za	Sa
koju	koji	Pi-fsa
se	sebe	Px--sa
provodi	provoditi	Vmr3s
postupak	postupak	Ncmsn

–	i	Agpnsny
radno	radni	Agpnsny
iskustvo	iskustvo	Ncnsn
u	u	Sl
organiziranju	organiziranje	Ncnsl
rada	rad	Ncmsg
i	i	Cc
vođenju	vođenje	Ncnsl
poslova	posao	Ncmpg

–	i	Agpnsny
poznavanje	poznavanje	Ncnsn
korporativnog	korporativan	Agpnsgy
upravljanja	upravljanje	Ncnsg
,	,	Z
odnosno	odnosno	Rgp
neprofitnog	neprofitan	Agpnsgy
upravljanja	upravljanje	Ncnsg
ili	ili	Cc
poznavanje	poznavanje	Ncnsa
financija	financije	Ncfpg
i	i	Cc
računovodstva	računovodstvo	Ncnsg
i	i	Cc

za	za	Sa
svaku	svaki	Pi-fsa
od	od	Sg
navedenih	naveden	Agpfpgy
kategorija	kategorija	Ncfpg
daje	davati	Vmr3s
bodovnu	bodovni	Agpfsay
ocjenu	ocjena	Ncfsa
od	od	Sg
1	1	Mdc
do	do	Sg
10	10	Mdc
,	,	Z
pri	pri	Sl
čemu	što	Pi3n-l
je	biti	Var3s
1	1	Mdc
najniža	nizak	Agsfsny
ocjena	ocjena	Ncfsn
,	,	Z
a	a	Cc
10	10	Mdc
najviša	visok	Agsfsny
ocjena	ocjena	Ncfsn
,	,	Z
te	te	Cc
kratko	kratak	Agpnsny
obrazloženje	obrazloženje	Ncnsn
bodovne	bodovni	Agpfsgy
ocjene	ocjena	Ncfsg
u	u	Sl
smislu	smisao	Ncmsl
opisa	opis	Ncmsg
prednosti	prednost	Ncfsg
i	i	Cc
nedostatka	nedostatak	Ncmsg
kandidata	kandidat	Ncmpg
u	u	Sl
svakoj	svaki	Pi-fsl
od	od	Sg
kategorija	kategorija	Ncfpg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Nadležno	nadležan	Agpnsny
ministarstvo	ministarstvo	Ncnsn
dužno	dužan	Agpnsny
je	biti	Var3s
ocijeniti	ocijeniti	Vmn
dostavljene	dostaviti	Agpmpay
prijedloge	prijedlog	Ncmpa
plana	plan	Ncmsg
rada	rad	Ncmsg
kandidata	kandidat	Ncmsg
za	za	Sa
mandatno	mandatni	Agpnsay
razdoblje	razdoblje	Ncnsa
.	.	Z

Prilikom	prilikom	Sg
razgovora	razgovor	Ncmsg
kandidat	kandidat	Ncmsn
će	htjeti	Var3s
obrazložiti	obrazložiti	Vmn
prijedlog	prijedlog	Ncmsan
plana	plan	Ncmsg
rada	rad	Ncmsg
,	,	Z
koji	koji	Pi-msn
će	htjeti	Var3s
nadležno	nadležan	Agpnsay
ministarstvo	ministarstvo	Ncnsa
ocijeniti	ocijeniti	Vmn
bodovnom	bodovni	Agpfsiy
ocjenom	ocjena	Ncfsi
u	u	Sl
rasponu	raspon	Ncmsl
od	od	Sg
1	1	Mdc
do	do	Sg
10	10	Mdc
,	,	Z
pri	pri	Sl
čemu	što	Pi3n-l
je	biti	Var3s
1	1	Mdc
najniža	nizak	Agsfsny
ocjena	ocjena	Ncfsn
,	,	Z
a	a	Cc
10	10	Mdc
najviša	visok	Agsfsny
ocjena	ocjena	Ncfsn
,	,	Z
te	te	Cc
kratkim	kratak	Agpnsiy
obrazloženjem	obrazloženje	Ncnsi
bodovne	bodovni	Agpfsgy
ocjene	ocjena	Ncfsg
u	u	Sl

