prijelaznoj	prijelazan	Agpfsly
Ciljana	ciljati	Appfsny
razina	razina	Ncfsn
sanacijskog	sanacijski	Agpmsgy
fonda	fond	Ncmsg

Članak	članak	Ncmsn
117.	117.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Sredstva	sredstvo	Ncnsg
sanacijskog	sanacijski	Agpmsgy
fonda	fond	Ncmsg
moraju	morati	Vmr3p
iznositi	iznositi	Vmn
najmanje	malo	Rgs
1	1	Mdc
%	%	Z
iznosa	iznos	Ncmsg
osiguranih	osigurati	Agpmpgy
depozita	depozit	Ncmpg
svih	sav	Agpfpgy
kreditnih	kreditan	Agpfpgy
institucija	institucija	Ncfpg
s	sa	Si
odobrenjem	odobrenje	Ncnsi
za	za	Sa
rad	rad	Ncmsan
u	u	Sl
Republici	republika	Ncfsl
Hrvatskoj	Hrvatska	Npfsl
,	,	Z
a	a	Cc
prema	prema	Sl
revidiranim	revidirati	Agpmply
financijskim	financijski	Agpmply
izvještajima	izvještaj	Ncmpl
za	za	Sa
prethodnu	prethodan	Agpfsay
godinu	godina	Ncfsa
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Iznimno	iznimno	Rgp
od	od	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
ako	ako	Cs
se	sebe	Px--sa
sredstva	sredstvo	Ncnpn
sanacijskog	sanacijski	Agpmsgy
fonda	fond	Ncmsg
smanje	smanjiti	Vmr3p
ispod	ispod	Sg
iznosa	iznos	Ncmsg
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
na	na	Sa
iznos	iznos	Ncmsan
koji	koji	Pi-msn
predstavlja	predstavljati	Vmr3s
više	mnogo	Rgc
od	od	Sg
dvije	dva	Mlcf-n
trećine	trećina	Ncfsg
ciljane	ciljati	Agpfsgy
razine	razina	Ncfsg
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
doprinosi	doprinositi	Vmr3s
prikupljeni	prikupiti	Appmpny
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
člankom	članak	Ncmsi
118.	118.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
,	,	Z
nastavljaju	nastavljati	Vmr3p
se	sebe	Px--sa
prikupljati	prikupljati	Vmn
dinamikom	dinamika	Ncfsi
kojom	koji	Pi-fsi
su	biti	Var3p
se	sebe	Px--sa
i	i	Qo
do	do	Sg
tada	tada	Rgp
prikupljala	prikupljati	Vmp-sf
dok	dok	Cs
se	sebe	Px--sa
ne	ne	Qz
dosegne	dosegnuti	Vmr3s
razina	razina	Ncfsn
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Iznimno	iznimno	Rgp
od	od	Sg
stavka	stavak	Ncmsg
2.	2.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
ako	ako	Cs
se	sebe	Px--sa
sredstva	sredstvo	Ncnpn
sanacijskog	sanacijski	Agpmsgy
fonda	fond	Ncmsg
smanje	smanjiti	Vmr3p
na	na	Sa
iznos	iznos	Ncmsan
koji	koji	Pi-msn
predstavlja	predstavljati	Vmr3s
manje	malo	Rgc
od	od	Sg
dvije	dva	Mlcf-n
trećine	trećina	Ncfsg
ciljane	ciljati	Agpfsgy
razine	razina	Ncfsg
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
doprinos	doprinos	Ncmsn
se	sebe	Px--sa
postavlja	postavljati	Vmr3s
na	na	Sa
razinu	razina	Ncfsa
koja	koji	Pi-fsn
omogućuje	omogućivati	Vmr3s
dostizanje	dostizanje	Ncnsa
ciljne	ciljan	Agpfsgy
razine	razina	Ncfsg
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
šest	šest	Mlc
godina	godina	Ncfpg
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Iznimno	iznimno	Rgp
od	od	Sg
stavka	stavak	Ncmsg
3.	3.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
Državna	državni	Agpfsny
agencija	agencija	Ncfsn
za	za	Sa
osiguranje	osiguranje	Ncnsa
štednih	štedni	Agpfpgy
uloga	uloga	Ncfpg
i	i	Cc
sanaciju	sanacija	Ncfsa
banaka	banka	Ncfpg
može	moći	Vmr3s
odlučiti	odlučiti	Vmn
drugačije	drugačije	Rgp
ako	ako	Cs
je	biti	Var3s
to	taj	Pd-nsn
opravdano	opravdati	Appnsny
obzirom	obzir	Ncmsi
na	na	Sa
fazu	faza	Ncfsa
poslovnog	poslovan	Agpmsgy
ciklusa	ciklus	Ncmsg
i	i	Cc
utjecaj	utjecaj	Ncmsan
koji	koji	Pi-msn
prociklički	prociklički	Agpmpny
doprinosi	doprinos	Ncmpn
mogu	moći	Vmr3p
imati	imati	Vmn
na	na	Sa
određivanje	određivanje	Ncnsa
godišnjih	godišnji	Agpmpgy
doprinosa	doprinos	Ncmpg
u	u	Sl
smislu	smisao	Ncmsl
ove	ovaj	Pd-fsg
odredbe	odredba	Ncfsg
.	.	Z

Prethodni	prethodan	Agpmsny
doprinos	doprinos	Ncmsn

Članak	članak	Ncmsn
118.	118.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Institucije	institucija	Ncfpn
i	i	Cc
podružnice	podružnica	Ncfsg
u	u	Sl
Europskoj	europski	Agpfsly
uniji	unija	Ncfsl
koje	koji	Pi-fpn
imaju	imati	Vmr3p
odobrenje	odobrenje	Ncnsa
za	za	Sa
rad	rad	Ncmsan
u	u	Sl
Republici	republika	Ncfsl
Hrvatskoj	Hrvatska	Npfsl
dužne	dužan	Agpfsgy
su	biti	Var3p
jednom	jednom	Rgp
godišnje	godišnje	Rgp
uplaćivati	uplaćivati	Vmn
prethodni	prethodan	Agpmsayn
doprinos	doprinos	Ncmsan
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Doprinos	doprinos	Ncmsn
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
pojedine	pojedini	Agpfpny
institucije	institucija	Ncfpn
i	i	Cc
podružnice	podružnica	Ncfsg
u	u	Sl
Europskoj	europski	Agpfsly
uniji	unija	Ncfsl
koje	koji	Pi-fpn
imaju	imati	Vmr3p
odobrenje	odobrenje	Ncnsa
za	za	Sa
rad	rad	Ncmsan
u	u	Sl
Republici	republika	Ncfsl
Hrvatskoj	Hrvatska	Npfsl
razmjeran	razmjeran	Agpmsnn
je	biti	Var3s
iznosu	iznos	Ncmsd
njezinih	njezin	Ps3fpg
obveza	obveza	Ncfpg
(	(	Z
isključujući	isključivati	Rr
regulatorni	regulatoran	Agpmsny
kapital	kapital	Ncmsn
)	)	Z
umanjenih	umanjiti	Appmpgy
za	za	Sa
osigurane	osigurati	Agpmpay
depozite	depozit	Ncmpa
u	u	Sl
odnosu	odnos	Ncmsl
na	na	Sa
ukupne	ukupan	Agpfpay
obveze	obveza	Ncfpa
(	(	Z
isključujući	isključivati	Rr
regulatorni	regulatoran	Agpmsny
kapital	kapital	Ncmsn
)	)	Z
umanjene	umanjiti	Appfpny
za	za	Sa
osigurane	osigurati	Agpmpay
depozite	depozit	Ncmpa
svih	sav	Agpfpgy
institucija	institucija	Ncfpg
i	i	Cc
u	u	Sa
Europskih	europski	Agpfpgy
podružnica	podružnica	Ncfpg
koje	koji	Pi-fpn
imaju	imati	Vmr3p
odobrenje	odobrenje	Ncnsa
za	za	Sa
rad	rad	Ncmsan
u	u	Sl
Republici	republika	Ncfsl
Hrvatskoj	Hrvatska	Npfsl
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Doprinosi	doprinositi	Vmr3s
se	sebe	Px--sa
prilagođavaju	prilagođavati	Vmr3p
razmjerno	razmjerno	Rgp
profilu	profil	Ncmsl
rizičnosti	rizičnost	Ncfsg
institucija	institucija	Ncfpg
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
kriterijima	kriterij	Ncmpi
za	za	Sa
utvrđivanje	utvrđivanje	Ncnsa
rizičnosti	rizičnost	Ncfsg
institucije	institucija	Ncfsg
i	i	Cc
podružnice	podružnica	Ncfsg
u	u	Sl
Europskoj	europski	Agpfsly
uniji	unija	Ncfsl
koje	koji	Pi-fpn
imaju	imati	Vmr3p
odobrenje	odobrenje	Ncnsa
za	za	Sa
rad	rad	Ncmsan
u	u	Sl
Republici	republika	Ncfsl
Hrvatskoj	Hrvatska	Npfsl
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Hrvatska	hrvatski	Agpfsny
narodna	narodni	Agpfsny
banka	banka	Ncfsn
odnosno	odnosno	Rgp
Hrvatska	hrvatski	Agpfsny
agencija	agencija	Ncfsn
za	za	Sa
nadzor	nadzor	Ncmsan
financijskih	financijski	Agpfpgy
usluga	usluga	Ncfpg
kao	kao	Cs
nadležno	nadležan	Agpnsny
tijelo	tijelo	Ncnsn
temeljem	temelj	Ncmsi
dostavljenih	dostaviti	Agpmpgy
revidiranih	revidirati	Agpmpgy
podataka	podatak	Ncmpg
za	za	Sa
prethodnu	prethodan	Agpfsay
poslovnu	poslovan	Agpfsay
godinu	godina	Ncfsa
dostavljaju	dostavljati	Vmr3p
Državnoj	državni	Agpfsly
agenciji	agencija	Ncfsl
za	za	Sa
osiguranje	osiguranje	Ncnsa
štednih	štedni	Agpfpgy
uloga	uloga	Ncfpg
i	i	Cc
sanaciju	sanacija	Ncfsa
banaka	banka	Ncfpg
podatak	podatak	Ncmsan
o	o	Sl
:	:	Z

a	a	Cc
)	)	Z
iznosu	iznos	Ncmsl
ukupnih	ukupan	Agpfpgy
obveza	obveza	Ncfpg
umanjenih	umanjiti	Appfpgy
za	za	Sa
stavke	stavka	Ncfpa
regulatornog	regulatoran	Agpmsgy
kapitala	kapital	Ncmsg
i	i	Cc

b	b	Qr
)	)	Z
ulazne	ulazan	Agpmpay
parametre	parametar	Ncmpa
za	za	Sa
izračun	izračun	Ncmsan
profila	profil	Ncmsg
rizičnosti	rizičnost	Ncfsg
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
delegiranom	delegiran	Agpmsly

