prisutnosti	prisutnost	Ncfpa
10/0264	10/0264	Mdc
-	-	Z
14	14	Mdc
-	-	Z
1	1	Mdc
)	)	Z
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Program	program	Ncmsn
nadziranja	nadziranje	Ncnsg
zdravlja	zdravlje	Ncnsg
akvatičnih	akvatičan	Agpfpgy
životinja	životinja	Ncfpg
prijemljivih	prijemljiv	Agpfpgy
na	na	Sa
proljetnu	proljetni	Agpfsay
viremiju	viremija	Ncfsa
šarana	šaran	Ncmpg
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
podtočke	podtočka	Ncfsg
(	(	Z
e	e	Npmsn
)	)	Z
ove	ovaj	Pd-fsg
točke	točka	Ncfsg
provodi	provoditi	Vmr3s
se	sebe	Px--sa
na	na	Sa
zahtjev	zahtjev	Ncmsan
posjednika	posjednik	Ncmpg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Troškovi	trošak	Ncmpn
provođenja	provođenje	Ncnsg
mjera	mjera	Ncfpg
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
podtočaka	podtočaka	Ncfsg
(	(	Z
a	a	Cc
)	)	Z
,	,	Z
(	(	Z
b	b	Y
)	)	Z
,	,	Z
(	(	Z
c	C	Npmsn
)	)	Z
i	i	Cc
(	(	Z
d	d	X
)	)	Z
ove	ovaj	Pd-fsg
točke	točka	Ncfsg
podmiruju	podmirivati	Vmr3p
se	sebe	Px--sa
iz	iz	Sg
državnog	državni	Agpmsgy
proračuna	proračun	Ncmsg
,	,	Z
a	a	Cc
troškove	trošak	Ncmpa
provođenja	provođenje	Ncnsg
mjere	mjera	Ncfsg
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
podtočke	podtočka	Ncfsg
(	(	Z
e	e	Npmsn
)	)	Z
ove	ovaj	Pd-fsg
točke	točka	Ncfsg
snosi	snositi	Vmr3s
posjednik	posjednik	Ncmsn
.	.	Z

3.	3.	Mdo
Arteritis	arteritis	Ncmsn
konja	konj	Ncmsg

(	(	Z
1	1	Mdc
)	)	Z
Krv	krv	Ncfsn
necijepljenih	necijepljen	Agpmpgy
pastuha	pastuh	Ncmpg
mora	morati	Vmr3s
se	sebe	Px--sa
jednom	jednom	Rgp
godišnje	godišnje	Rgp
pretražiti	pretražiti	Vmn
na	na	Sa
arteritis	arteritis	Ncmsan
konja	konj	Ncmpg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Pretraživanje	pretraživanje	Ncnsn
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ove	ovaj	Pd-fsg
točke	točka	Ncfsg
provodi	provoditi	Vmr3s
se	sebe	Px--sa
u	u	Sa
pastuha	pastuh	Ncmsg
prije	prije	Sg
početka	početak	Ncmsg
korištenja	korištenje	Ncnsg
za	za	Sa
prirodni	prirodan	Agpmsayn
pripust	pripust	Ncfsa
ili	ili	Cc
umjetno	umjetan	Agpnsay
osjemenjivanje	osjemenjivanje	Ncnsa
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Preporuča	preporučati	Vmr3s
se	sebe	Px--sa
serološko	serološki	Agpnsny
pretraživanje	pretraživanje	Ncnsn
kobila	kobila	Ncfpg
prije	prije	Sg
prirodnog	prirodan	Agpmsgy
pripusta	pripust	Ncmsg
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Radi	radi	Sg
otkrivanja	otkrivanje	Ncnsg
arteritisa	arteritis	Ncmsg
konja	konj	Ncmpg
,	,	Z
svaki	svaki	Pi-msn
pobačaj	pobačaj	Ncmsn
kobile	kobila	Ncfsg
mora	morati	Vmr3s
biti	biti	Van
prijavljen	prijaviti	Appmsnn
veterinaru	veterinar	Ncmsd
.	.	Z

Od	od	Sg
kobile	kobila	Ncfsg
koja	koji	Pi-fsn
je	biti	Var3s
pobacila	pobaciti	Vmp-sf
ovlašteni	ovlašten	Agpmsny
veterinar	veterinar	Ncmsn
mora	morati	Vmr3s
uzeti	uzeti	Vmn
uzorke	uzorak	Ncmpa
te	te	Cc
iste	isti	Agpfpay
dostaviti	dostaviti	Vmn
u	u	Sa
službeni	služben	Agpmsayn
laboratorij	laboratorij	Ncmsan
radi	radi	Sg
pretrage	pretraga	Ncfsg
na	na	Sa
arteritis	arteritia	Ncfpa
konja	konj	Ncmpg
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Troškove	trošak	Ncmpa
provođenja	provođenje	Ncnsg
mjera	mjera	Ncfpg
iz	iz	Sg
stavka	stavka	Ncfpg
1.	1.	Mdo
i	i	Cc
3.	3.	Mdo
ove	ovaj	Pd-fsg
točke	točka	Ncfsg
snosi	snositi	Vmr3s
posjednik	posjednik	Ncmsn
životinje	životinja	Ncfsg
,	,	Z
a	a	Cc
troškovi	trošak	Ncmpn
provođenja	provođenje	Ncnsg
mjera	mjera	Ncfpg
iz	iz	Sg
stavka	stavak	Ncmsg
4.	4.	Mdo
ove	ovaj	Pd-fsg
točke	točka	Ncfsg
podmiruju	podmirivati	Vmr3p
se	sebe	Px--sa
iz	iz	Sg
državnog	državni	Agpmsgy
proračuna	proračun	Ncmsg
.	.	Z

4.	4.	Mdo
Infekciozna	infekciozan	Agpfsny
anemija	anemija	Ncfsn
kopitara	kopitar	Ncmpg

(	(	Z
1	1	Mdc
)	)	Z
Svi	sav	Agpmpny
kopitari	kopitar	Ncmpn
stariji	star	Agcmsny
od	od	Sg
6	6	Mdc
mjeseci	mjesec	Ncmpg
moraju	morati	Vmr3p
biti	biti	Van
serološki	serološki	Agpmpny
pretraženi	pretražiti	Appmpny
na	na	Sa
infekcioznu	infekciozan	Agpfsay
anemiju	anemija	Ncfsa
kopitara	kopitar	Ncmpg
(	(	Z
IAK	IAK	Npmsn
)	)	Z
jednom	jednom	Rgp
godišnje	godišnje	Rgp
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Kopitari	kopitar	Ncmpn
stariji	star	Agcmsny
od	od	Sg
6	6	Mdc
mjeseci	mjesec	Ncmpg
mogu	moći	Vmr3p
se	sebe	Px--sa
premještati	premještati	Vmn
,	,	Z
ako	ako	Cs
su	biti	Var3p
serološki	serološki	Agpmpny
pretraženi	pretražiti	Appmpny
na	na	Sa
IAK	iak	Ncmsan
s	sa	Si
negativnim	negativan	Agpmsiy
rezultatom	rezultat	Ncmsi
,	,	Z
s	sa	Si
tim	taj	Pd-nsi
da	da	Cs
pretraživanje	pretraživanje	Ncnsn
mora	morati	Vmr3s
biti	biti	Van
provedeno	provesti	Appnsny
unutar	unutar	Sg
12	12	Mdc
mjeseci	mjesec	Ncmpg
prije	prije	Sg
premještanja	premještanje	Ncnsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Pretraživanje	pretraživanje	Ncnsn
iz	iz	Sg
stavka	stavak	Ncmsg
2.	2.	Mdo
ove	ovaj	Pd-fsg
točke	točka	Ncfsg
ne	ne	Qz
odnosi	odnositi	Vmr3s
se	sebe	Px--sa
na	na	Sa
kopitare	kopitar	Ncmpa
koji	koji	Pi-mpn
se	sebe	Px--sa
upućuju	upućivati	Vmr3p
izravno	izravno	Rgp
na	na	Sa
klanje	klanje	Ncnsa
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Troškovi	trošak	Ncmpn
provođenja	provođenje	Ncnsg
mjera	mjera	Ncfpg
iz	iz	Sg
ove	ovaj	Pd-fsg
točke	točka	Ncfsg
uređeni	urediti	Appmpny
su	biti	Var3p
na	na	Sa
sljedeći	sljedeći	Agpmsayn
način	način	Ncmsan
:	:	Z

(	(	Z
a	a	Cc
)	)	Z
troškovi	trošak	Ncmpn
provođenja	provođenje	Ncnsg
laboratorijske	laboratorijski	Agpfsgy
pretrage	pretraga	Ncfsg
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
podmiruju	podmirivati	Vmr3p
se	sebe	Px--sa
iz	iz	Sg
državnog	državni	Agpmsgy
proračuna	proračun	Ncmsg
,	,	Z

(	(	Z
b	b	X
)	)	Z
troškove	trošak	Ncmpa
uzorkovanja	uzorkovanje	Ncnsg
i	i	Cc
dostavu	dostava	Ncfsa
uzoraka	uzorak	Ncmpg
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
snosi	snositi	Vmr3s
posjednik	posjednik	Ncmsn
kopitara	kopitar	Ncmpg
.	.	Z

5.	5.	Mdo
Leptospiroza	leptospiroza	Ncfsn

(	(	Z
1	1	Mdc
)	)	Z
Krv	krv	Ncfsn
svih	sav	Agpmpgy
kopitara	kopitar	Ncmpg
starijih	star	Agcmpgy
od	od	Sg
12	12	Mdc
mjeseci	mjesec	Ncmpg
,	,	Z
mora	morati	Vmr3s
jednom	jednom	Rgp
godišnje	godišnje	Rgp
biti	biti	Van
serološki	serološki	Rgp
pretražena	pretražiti	Appfsny
na	na	Sa
leptospirozu	leptospiroza	Ncfsa
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Pretraživanje	pretraživanje	Ncnsn
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ove	ovaj	Pd-fsg
točke	točka	Ncfsg
mora	morati	Vmr3s
biti	biti	Van
provedeno	provesti	Appnsny
najkasnije	kasno	Rgs
do	do	Sg
30.	30.	Mdo
studenoga	studeni	Ncmsg
2015.	2015.	Mdo
godine	godina	Ncfsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Iznimno	iznimno	Rgp
od	od	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ove	ovaj	Pd-fsg
točke	točka	Ncfsg
,	,	Z
kopitari	kopitar	Ncmpn
koji	koji	Pi-mpn
se	sebe	Px--sa
koriste	koristiti	Vmr3p
isključivo	isključivo	Rgp
za	za	Sa
tov	tov	Ncmsan
i	i	Cc
kopitari	kopitar	Ncmpn
koji	koji	Pi-mpn
se	sebe	Px--sa
koriste	koristiti	Vmr3p
za	za	Sa
rad	rad	Ncmsan
na	na	Sl
šumskim	šumski	Agpnply
radilištima	radilište	Ncnpl
ne	ne	Qz
podliježu	podlijegati	Vmr3p
obvezi	obveza	Ncfsd
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ove	ovaj	Pd-fsg
točke	točka	Ncfsg
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Radi	radi	Sg
otkrivanja	otkrivanje	Ncnsg
leptospiroze	leptospiroza	Ncfsg
,	,	Z
svaki	svaki	Pi-msn
pobačaj	pobačaj	Ncmsn
krave	krava	Ncfsg
,	,	Z
ovce	ovca	Ncfpn
,	,	Z
koze	koza	Ncfsg
,	,	Z
krmače	krmača	Ncfsg
i	i	Cc
kobile	kobila	Ncfpa
mora	morati	Vmr3s
biti	biti	Van
prijavljen	prijaviti	Appmsnn
veterinaru	veterinar	Ncmsd
.	.	Z

Od	od	Sg
životinje	životinja	Ncfsg
koja	koji	Pi-fsn
je	biti	Var3s
pobacila	pobaciti	Vmp-sf
ovlašteni	ovlašten	Agpmsny
veterinar	veterinar	Ncmsn
mora	morati	Vmr3s
uzeti	uzeti	Vmn
uzorke	uzorak	Ncmpa
te	te	Cc
iste	isti	Agpfpay
dostaviti	dostaviti	Vmn
u	u	Sa
službeni	služben	Agpmsayn
laboratorij	laboratorij	Ncmsan
radi	radi	Sg
pretrage	pretraga	Ncfsg
na	na	Sa
leptospirozu	leptospiroza	Ncfsa
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Troškove	trošak	Ncmpa
provođenja	provođenje	Ncnsg
mjere	mjera	Ncfsg
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ove	ovaj	Pd-fsg
točke	točka	Ncfsg
snosi	snositi	Vmr3s
posjednik	posjednik	Ncmsn
životinje	životinja	Ncfsg
,	,	Z
a	a	Cc
troškovi	trošak	Ncmpn
provođenja	provođenje	Ncnsg
mjera	mjera	Ncfpg
iz	iz	Sg
stavka	stavak	Ncmsg
4.	4.	Mdo
ove	ovaj	Pd-fsg
točke	točka	Ncfsg
podmiruju	podmirivati	Vmr3p
se	sebe	Px--sa
iz	iz	Sg
državnog	državni	Agpmsgy
proračuna	proračun	Ncmsg
.	.	Z

6.	6.	Mdo
Groznica	groznica	Ncfsn
zapadnog	zapadni	Agpmsgy
Nila	Nil	Npmsg

(	(	Z
1	1	Mdc
)	)	Z
Radi	radi	Sg
otkrivanja	otkrivanje	Ncnsg
i	i	Cc
praćenja	praćenje	Ncnsg
infekcije	infekcija	Ncfsg
virusa	virus	Ncmsg
groznice	groznica	Ncfsg
zapadnog	zapadni	Agpmsgy
Nila	Nil	Npmsg
određuje	određivati	Vmr3s
se	sebe	Px--sa
provedba	provedba	Ncfsn
Programa	program	Ncmsg
nadziranja	nadziranje	Ncnsg
groznice	groznica	Ncfsg
zapadnog	zapadni	Agpmsgy
Nila	Nil	Npmsg
na	na	Sl
području	područje	Ncnsl
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
(	(	Z
KLASA	klasa	Ncfsn
:	:	Z
322	322	Mdc
-	-	Z
01/14	01/14	Mdc
-	-	Z
01/1889	01/1889	Mdc
,	,	Z
URBROJ	urbroj	Ncmsn
:	:	Z
525	525	Mdc
-	-	Z
10/0244	10/0244	Mdc
-	-	Z
14	14	Mdc
-	-	Z
1	1	Mdc
)	)	Z
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
U	u	Sl
slučaju	slučaj	Ncmsl
nalaza	nalaz	Ncmpg
kliničkih	klinički	Agpmpgy
znakova	znak	Ncmpg
i	i	Cc
uginuća	uginuće	Ncnsg
kopitara	kopitar	Ncmpg
naređuje	naređivati	Vmr3s
se	sebe	Px--sa
dijagnostičko	dijagnostički	Agpnsny

