ograničen	ograničiti	Appmsnn
zraka	zrak	Ncmsg
«	«	Z

Baloni	balon	Ncmpn
i	i	Cc
zračni	zračan	Agpmpny
brodovi	brod	Ncmpn
koji	koji	Pi-mpn
uzgon	uzgon	Ncmsan
ostvaruju	ostvarivati	Vmr3p
korištenjem	korištenje	Ncnsi
toplog	topao	Agpmsgy
zraka	zrak	Ncmsg
ili	ili	Cc
plinova	plin	Ncmpg
lakših	lak	Agcmpgy
od	od	Sg
zraka	zraka	Ncfpg
kao	kao	Cs
što	što	Cs
su	biti	Var3p
helij	helij	Ncmsn
ili	ili	Cc
vodik	vodik	Ncmsan
.	.	Z

ML8	ML8	Qr
.	.	Z
,	,	Z
10.	10.	Mdo
,	,	Z
14.	14.	Mdo

»	»	Z
Zrakoplov	zrakoplov	Ncmsn
«	«	Z

Zračno	zračan	Agpnsny
vozilo	vozilo	Ncnsn
s	sa	Si
fiksnim	fiksan	Agpnpiy
krilima	krilo	Ncnpi
,	,	Z
s	sa	Si
krilima	krilo	Ncmpi
promjenjive	promjenjiv	Agpfsgy
geometrije	geometrija	Ncfsg
,	,	Z
rotirajućim	rotirajući	Agpnply
krilima	krilo	Ncnpl
(	(	Z
helikopteri	helikopter	Ncmpn
)	)	Z
,	,	Z
zakretnim	zakretni	Agpmsiy
rotorom	rotor	Ncmsi
(	(	Z
tilt-rotor	tilt-rotor	Ncmsn
)	)	Z
ili	ili	Cc
zakretnim	zakretni	Agpnsiy
krilom	krilo	Ncnsi
(	(	Z
tilt-wing	tilt-wing	Ncmsn
)	)	Z
.	.	Z

