ostaju	ostajati	Vmr3p
Korištenje	korištenje	Ncnsn
uzoraka	uzorak	Ncmpg
za	za	Sa
ovjeru	ovjera	Ncfsa
mjerila	mjerilo	Ncnsg
opisano	opisati	Appnsny
je	biti	Var3s
u	u	Sl
Dodatku	dodatak	Ncmsl
II	ii	Mrc
(	(	Z
Naputak	naputak	Ncmsn
za	za	Sa
ovjeravanje	ovjeravanje	Ncnsa
infracrvenih	infracrven	Agpmpgy
analizatora	analizator	Ncmpg
za	za	Sa
mjerenje	mjerenje	Ncnsa
sadržaja	sadržaj	Ncmsg
proteina	protein	Ncmsg
u	u	Sl
zrnju	zrnje	Ncnsl
poljoprivrednih	poljoprivredni	Agpfpgy
vrsta	vrsta	Ncfpg
)	)	Z
.	.	Z

1.12.	1.12.	Mdo

Dojava	dojava	Ncfsn
o	o	Sl
pogrešci	pogreška	Ncfsl

Mjerilo	mjerilo	Ncnsn
mora	morati	Vmr3s
jasno	jasno	Rgp
signalizirati	signalizirati	Vmn
svaku	svaki	Pi-fsa
dojavu	dojava	Ncfsa
o	o	Sl
pogrešci	pogreška	Ncfsl
koja	koji	Pi-fsn
se	sebe	Px--sa
pojavi	pojaviti	Vmr3s
tijekom	tijekom	Sg
mjerenja	mjerenje	Ncnsg
uočljivo	uočljiv	Agpnsny
na	na	Sl
zaslonu	zaslon	Ncmsl
te	te	Cc
spriječiti	spriječiti	Vmn
daljnja	daljnji	Agpnpay
mjerenja	mjerenje	Ncnpa
dok	dok	Cs
se	sebe	Px--sa
pogreška	pogreška	Ncfsn
ne	ne	Qz
otkloni	otkloniti	Vmr3s
.	.	Z

1.13.	1.13.	Mdo

Uputstvo	uputstvo	Ncnsn
proizvođača	proizvođač	Ncmsg

Proizvođač	proizvođač	Ncmsn
mjerila	mjerilo	Ncnsg
mora	morati	Vmr3s
osigurati	osigurati	Vmn
za	za	Sa
svako	svaki	Agpnsay
mjerilo	mjerilo	Ncnsa
priručnik	priručnik	Ncmsn
(	(	Z
uputstvo	uputstvo	Ncnsn
)	)	Z
koje	koji	Pi-nsn
sadrži	sadržati	Vmr3s
upute	uputa	Ncfpa
o	o	Sl
rukovanju	rukovanje	Ncnsl
,	,	Z
instalaciji	instalacija	Ncfsl
,	,	Z
održavanju	održavanje	Ncnsl
mjerila	mjerilo	Ncnsg
i	i	Cc
načinu	način	Ncmsl
rada	rad	Ncmsg
mjerila	mjerilo	Ncnsg
.	.	Z

Osim	osim	Sg
toga	taj	Pd-nsg
,	,	Z
priručnik	priručnik	Ncmsn
mora	morati	Vmr3s
sadržavati	sadržavati	Vmn
sljedeće	sljedeći	Agpmpay
podatke	podatak	Ncmpa
:	:	Z

1.	1.	Mdo
naziv	naziv	Ncmsn
i	i	Cc
adresu	adresa	Ncfsa
proizvođača	proizvođač	Ncmsg

2.	2.	Mdo
poljoprivredne	poljoprivredni	Agpfsgy
vrste	vrsta	Ncfsg
na	na	Sl
kojima	koji	Pi-fpl
je	biti	Var3s
moguće	moguć	Agpnsny
mjerenje	mjerenje	Ncnsn

3.	3.	Mdo
ograničenja	ograničenje	Ncnsg
uporabe	uporaba	Ncfsg
:	:	Z
temperatura	temperatura	Ncfsn
okoliša	okoliš	Ncmsg
,	,	Z
maksimalna	maksimalan	Agpfsny
dopuštena	dopustiti	Appfsny
temperaturna	temperaturni	Agpfsny
razlika	razlika	Ncfsn
između	između	Sg
uzorka	uzorak	Ncmsg
zrna	zrno	Ncnsg
i	i	Cc
mjerila	mjerilo	Ncnsg
,	,	Z
raspon	raspon	Ncmsan
radnog	radni	Agpmsgy
napona	napon	Ncmsg
i	i	Cc
frekvencije	frekvencija	Ncfsg
,	,	Z
elektromagnetske	elektromagnetski	Agpfsgy
smetnje	smetnja	Ncfsg
i	i	Cc
elektromagnetska	elektromagnetski	Agpfsny
kompatibilnost	kompatibilnost	Ncfsn
.	.	Z

Uputa	uputa	Ncfsn
značajna	značajan	Agpfsny
za	za	Sa
rukovanje	rukovanje	Ncnsa
operatera	operater	Ncmpg
mora	morati	Vmr3s
biti	biti	Van
na	na	Sl
hrvatskom	hrvatski	Agpmsly
jeziku	jezik	Ncmsl
.	.	Z

1.14.	1.14.	Mdo

Software	software	Ncmsn

Proizvođač	proizvođač	Ncmsn
je	biti	Var3s
obavezan	obavezati	Appmsnn
definirati	definirati	Vmn
na	na	Sa
koji	koji	Pi-msan
način	način	Ncmsan
je	biti	Var3s
software	software	Ncmsn
implementiran	implementirati	Appmsnn
u	u	Sa
mjerilo	mjerilo	Ncnsa
ili	ili	Cc
modul	modul	Ncmsan
mjerila	mjerilo	Ncnsg
,	,	Z
tj.	tj.	Y
je	biti	Var3s
li	li	Qq
ugrađen	ugraditi	Appmsnn
u	u	Sa
hardware	hardware	Ncmsan
ili	ili	Cc
instaliran	instalirati	Appmsnn
na	na	Sl
računalu	računalo	Ncnsl
.	.	Z

Verzija	verzija	Ncfsn
softwarea	software	Ncmsg
mora	morati	Vmr3s
imati	imati	Vmn
mogućnost	mogućnost	Ncfsa
identifikacije	identifikacija	Ncfsg
i	i	Cc
mora	morati	Vmr3s
biti	biti	Van
legalna	legalan	Agpfsny
.	.	Z

Gdje	gdje	Rgp
postoji	postojati	Vmr3s
potreba	potreba	Ncfsn
za	za	Si
prijenosom	prijenos	Ncmsi
rezultata	rezultat	Ncmpg
mjerenja	mjerenje	Ncnsg
na	na	Sl
nezaštićenom	nezaštićen	Agpmsly
mediju	medij	Ncmsl
u	u	Sa
komercijalne	komercijalan	Agpfpay
svrhe	svrha	Ncfpa
,	,	Z
moraju	morati	Vmr3p
biti	biti	Van
ispunjeni	ispuniti	Appmpny
sljedeći	sljedeći	Agpmpny
uvjeti	uvjet	Ncmpn
:	:	Z

1.	1.	Mdo
mjerni	mjerni	Agpmsny
rezultat	rezultat	Ncmsn
mora	morati	Vmr3s
biti	biti	Van
popraćen	popratiti	Appmsnn
svim	sav	Agpfpdy
informacijama	informacija	Ncfpd
bitnim	bitan	Agpfply
za	za	Sa
daljnju	daljnji	Agpfsay
uporabu	uporaba	Ncfsa
:	:	Z
identifikacija	identifikacija	Ncfsn
uzorka	uzorak	Ncmsg
,	,	Z
datum	datum	Ncmsan
i	i	Cc
vrijeme	vrijeme	Ncnsa

