utvrđene	utvrditi	Agpmpay
obzir	obzir	Ncmsan
i	i	Cc
ovisnosti	ovisnost	Ncfpa
koje	koji	Pi-fpn
utječu	utjecati	Vmr3p
na	na	Sa
promatranu	promatrati	Ncmsl
infrastrukturu	infrastruktura	Ncfsa
,	,	Z
kao	kao	Cs
i	i	Cc
ovisnosti	ovisnost	Ncfpn
drugih	drugi	Mlofpg
kritičnih	kritičan	Agpfpgy
infrastruktura	infrastruktura	Ncfpg
o	o	Sl
promatranoj	promatrati	Ncfsl
kritičnoj	kritičan	Agpfsly
infrastrukturi	infrastruktura	Ncfsl
.	.	Z

Članak	članak	Ncmsn
16.	16.	Mdo

Za	za	Sa
utvrđivanje	utvrđivanje	Ncnsa
i	i	Cc
analizu	analiza	Ncfsa
međuovisnosti	međuovisnost	Ncfsg
kritičnih	kritičan	Agpfpgy
infrastruktura	infrastruktura	Ncfpg
u	u	Sa
obzir	obzir	Ncmsan
se	sebe	Px--sa
uzimaju	uzimati	Vmr3p
sljedeće	sljedeći	Agpfsgy
značajke	značajka	Ncfsg
:	:	Z

1.	1.	Mdo
karakteristike	karakteristika	Ncfsg
infrastrukture	infrastruktura	Ncfsg
–	–	Z
organizacijske	organizacijski	Agpfsgy
,	,	Z
operativne	operativan	Agpfpay
,	,	Z
vremenske	vremenski	Agpfsgy
,	,	Z
prostorne	prostoran	Agpfsgy

2.	2.	Mdo
stanje	stanje	Ncnsa
rada	rad	Ncmsg
–	–	Z
normalno	normalan	Agpnsny
/	/	Z
redovno	redovno	Rgp
,	,	Z
poremećeno	poremetiti	Appnsny
,	,	Z
popravak	popravak	Ncmsn
i	i	Cc
obnova	obnova	Ncfsn

3.	3.	Mdo
vrste	vrsta	Ncfsg
međuovisnosti	međuovisnost	Ncfsg
–	–	Z
fizička	fizički	Agpfsny
,	,	Z
zemljopisna	zemljopisan	Agpfsny
,	,	Z
informatička	informatički	Agpfsny
,	,	Z
logička	logički	Agpfsny

4.	4.	Mdo
okruženje	okruženje	Ncnsa
/	/	Z
okolina	okolina	Ncfsn
infrastrukture	infrastruktura	Ncfsg
–	–	Z
gospodarsko	gospodarski	Agpnsny
,	,	Z
poslovno	poslovan	Agpnsny
,	,	Z
tehničko	tehnički	Agpnsny
,	,	Z
socio-političko	socio-politički	Agpnsny
,	,	Z
pravno	pravno	Rgp
i	i	Cc
regulatorno	regulatoran	Agpnsny
,	,	Z
zdravstveno	zdravstven	Agpnsny
,	,	Z
sigurnosno	sigurnosno	Rgp
,	,	Z
javna	javan	Agpfsny
politika	politika	Ncfsn

5.	5.	Mdo
sprega	sprega	Ncfsn
/	/	Z
povezanost	povezanost	Ncfsn
i	i	Cc
ponašanje	ponašanje	Ncnsa
u	u	Sl
reakciji	reakcija	Ncfsl
–	–	Z
stupanj	stupanj	Ncmsn
sprege	sprega	Ncfsg
(	(	Z
labava	labav	Agpfsny
,	,	Z
čvrsta	čvrst	Agpfsny
)	)	Z
,	,	Z
vrsta	vrsta	Ncfsn
međuovisnosti	međuovisnost	Ncfsg
(	(	Z
linearna	linearan	Agpfsny
,	,	Z
kompleksna	kompleksan	Agpfsny
)	)	Z
,	,	Z
ponašanje	ponašanje	Ncnsn
u	u	Sl
reakciji	reakcija	Ncfsl
(	(	Z
nepopustljivo	nepopustljiv	Agpnsny
/	/	Z
neelastično	neelastičan	Agpnsny
,	,	Z
prilagodljivo	prilagodljiv	Agpnsny
)	)	Z

6.	6.	Mdo
vrste	vrsta	Ncfsg
kvara	kvar	Ncmsg
–	–	Z
kaskadni	kaskadni	Agpmpny
,	,	Z
eskalirajući	eskalirati	Rr
,	,	Z
kvar	kvar	Ncmsan
s	sa	Si
istim	isti	Agpmsiy
uzrokom	uzrok	Ncmsi
.	.	Z

Članak	članak	Ncmsn
17.	17.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Nositelji	nositelj	Ncmpn
izrade	izrada	Ncfsg
sektorske	sektorski	Agpfsgy
analize	analiza	Ncfsg
rizika	rizik	Ncmsg
poslovanja	poslovanje	Ncnsg
kritičnih	kritičan	Agpfpgy
infrastruktura	infrastruktura	Ncfpg
za	za	Sa
utvrđivanje	utvrđivanje	Ncnsa
i	i	Cc
analizu	analiza	Ncfsa
međuovisnosti	međuovisnost	Ncfsg
kritičnih	kritičan	Agpfpgy
infrastruktura	infrastruktura	Ncfpg
surađuju	surađivati	Vmr3p
i	i	Cc
razmjenjuju	razmjenjivati	Vmr3p
podatke	podatak	Ncmpa
s	sa	Si
nositeljima	nositelj	Ncmpi
analize	analiza	Ncfsg
rizika	rizik	Ncmsg
kritičnih	kritičan	Agpfpgy
infrastruktura	infrastruktura	Ncfpg
iz	iz	Sg
drugih	drugi	Mlompg
sektora	sektor	Ncmpg
i	i	Cc
vlasnicima	vlasnik	Ncmpi
/	/	Z
upraviteljima	upravitelj	Ncmpl
kritičnih	kritičan	Agpfpgy
infrastruktura	infrastruktura	Ncfpg
,	,	Z
u	u	Sl
cilju	cilj	Ncmsl
sagledavanja	sagledavanje	Ncnsg
međuovisnosti	međuovisnost	Ncfsg
i	i	Cc
s	sa	Si
njima	oni	Pp3-pi
povezanih	povezan	Agpmpgy
rizika	rizik	Ncmpg
i	i	Cc
ranjivosti	ranjivost	Ncfsg
pojedinih	pojedini	Agpfpgy
kritičnih	kritičan	Agpfpgy
infrastruktura	infrastruktura	Ncfpg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Središnja	središnji	Agpnsgy
tijela	tijelo	Ncnsg
državne	državni	Agpfsgy
uprave	uprava	Ncfsg
i	i	Cc
regulatorne	regulatoran	Agpfpny
agencije	agencija	Ncfpn
obvezne	obvezan	Agpfpny
su	biti	Var3p
vlasnicima	vlasnik	Ncmpi
/	/	Z
upraviteljima	upravitelj	Ncmpi
kritičnih	kritičan	Agpfpgy
infrastruktura	infrastruktura	Ncfpg
iz	iz	Sg
svoga	svoj	Px-msg
sektora	sektor	Ncmsg
dostavljati	dostavljati	Vmn
podatke	podatak	Ncmpa
od	od	Sg
značaja	značaj	Ncmsg
za	za	Sa
izradu	izrada	Ncfsa
analize	analiza	Ncfsg
rizika	rizik	Ncmpg
kritičnih	kritičan	Agpfpgy
infrastruktura	infrastruktura	Ncfpg
kojima	koji	Pi-fpd
upravljaju	upravljati	Vmr3p
te	te	Cc
pružati	pružati	Vmn
stručnu	stručan	Agpfsay
pomoć	pomoć	Ncfsa
u	u	Sl
definiranju	definiranje	Ncnsl
i	i	Cc
primjeni	primjena	Ncfsl
međusektorskih	međusektorski	Agpmpgy
i	i	Cc
sektorskih	sektorski	Agpnpgy
mjerila	mjerilo	Ncnpg
za	za	Sa
analizu	analiza	Ncfsa
prijetnji	prijetnja	Ncfpg
,	,	Z
rizika	rizik	Ncmsg
i	i	Cc
ranjivosti	ranjivost	Ncfpg
identificiranih	identificirati	Agpfpgy
kritičnih	kritičan	Agpfpgy
infrastruktura	infrastruktura	Ncfpg
i	i	Cc
izradu	izrada	Ncfsa
njihovih	njihov	Ps3mpg
sigurnosnih	sigurnosni	Agpmpgy
planova	plan	Ncmpg
.	.	Z

V.	V.	Y
PRIJELAZNE	prijelazan	Agpfpny
I	i	Cc
ZAVRŠNE	završan	Agpfpay
ODREDBE	odredba	Ncfpa

Članak	članak	Ncmsn
18.	18.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Središnja	središnji	Agpnsgy
tijela	tijelo	Ncnsg
državne	državni	Agpfsgy
uprave	uprava	Ncfsg
u	u	Sl
suradnji	suradnja	Ncfsl
s	sa	Si
nadležnim	nadležan	Agpfpiy
regulatornim	regulatoran	Agpfpiy
agencijama	agencija	Ncfpi
i	i	Cc
strukovnim	strukovni	Agpfply
udrugama	udruga	Ncfpl
dužna	dužan	Agpfsny
su	biti	Var3p
predložiti	predložiti	Vmn
Vladi	Vlada	Npfsd
Republike	republika	Ncfsg
Hrvatske	hrvatski	Agpfsgy
kritične	kritičan	Agpfsgy
infrastrukture	infrastruktura	Ncfsg
u	u	Sl
sektorima	sektor	Ncmpl
iz	iz	Sg
svoga	svoj	Px-msg
djelokruga	djelokrug	Ncmsg
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
šest	šest	Mlc
mjeseci	mjesec	Ncmpg
od	od	Sg
dana	dan	Ncmpg
stupanja	stupanje	Ncnsg
na	na	Sa
snagu	snaga	Ncfsa
ovog	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Središnja	središnji	Agpnsgy
tijela	tijelo	Ncnsg
državne	državni	Agpfsgy
uprave	uprava	Ncfsg
u	u	Sl
suradnji	suradnja	Ncfsl
s	sa	Si
nadležnim	nadležan	Agpfpiy
regulatornim	regulatoran	Agpfpiy
agencijama	agencija	Ncfpi
dužna	dužan	Agpfsny
su	biti	Var3p
izraditi	izraditi	Vmn
sektorske	sektorski	Agpfpay
analize	analiza	Ncfpa
rizika	rizik	Ncmpg
kritičnih	kritičan	Agpfpgy
infrastruktura	infrastruktura	Ncfpg
u	u	Sl
sektorima	sektor	Ncmpl
iz	iz	Sg
svojega	svoj	Px-msg
djelokruga	djelokrug	Ncmsg
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
dvanaest	dvanaest	Mlc
mjeseci	mjesec	Ncmpg
od	od	Sg
dana	dan	Ncmpg
stupanja	stupanje	Ncnsg
na	na	Sa
snagu	snaga	Ncfsa
ovog	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Vlasnici	vlasnik	Ncmpn
/	/	Z
upravitelji	upravitelj	Ncmpn
kritičnih	kritičan	Agpfpgy
infrastruktura	infrastruktura	Ncfpg
dužni	dužan	Agpmpny
su	biti	Var3p
izraditi	izraditi	Vmn
analizu	analiza	Ncfsa
rizika	rizik	Ncmsg
kritične	kritičan	Agpfsgy
infrastrukture	infrastruktura	Ncfsg
kojom	koji	Pi-fsi
upravlja	upravljati	Vmr3s
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
šest	šest	Mlc
mjeseci	mjesec	Ncmpg
od	od	Sg
dana	dan	Ncmpg
primitka	primitak	Ncmsg
odluke	odluka	Ncfsg
kojom	koji	Pi-fsi
čelnik	čelnik	Ncmsn
nadležnog	nadležan	Agpnsgy
središnjeg	središnji	Agpnsgy
tijela	tijelo	Ncnsg
državne	državni	Agpfsgy
uprave	uprava	Ncfsg
određuje	određivati	Vmr3s
nacionalne	nacionalan	Agpfsgy
kritične	kritičan	Agpfsgy
infrastrukture	infrastruktura	Ncfsg
.	.	Z

Članak	članak	Ncmsn
19.	19.	Mdo

Danom	dan	Ncmsi
stupanja	stupanje	Ncnsg
na	na	Sa
snagu	snaga	Ncfsa
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
prestaje	prestajati	Vmr3s
važiti	važiti	Vmn
Pravilnik	pravilnik	Ncmsan
o	o	Sl
metodologiji	metodologija	Ncfsl
za	za	Sa
izradu	izrada	Ncfsa
analize	analiza	Ncfsg
rizika	rizik	Ncmpg
poslovanja	poslovanje	Ncnsg
kritičnih	kritičan	Agpfpgy
infrastruktura	infrastruktura	Ncfpg
(	(	Z
»	i	Agpfpny
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
broj	broj	Ncmsn
128/13	128/13	Mds
)	)	Z
.	.	Z

Članak	članak	Ncmsn
20.	20.	Mdo

Ovaj	ovaj	Pd-msn
Pravilnik	pravilnik	Ncmsn
stupa	stupati	Vmr3s
na	na	Sa
snagu	snaga	Ncfsa
osmog	osmi	Mlomsg
dana	dan	Ncmsg
od	od	Sg
dana	dan	Ncmsg
objave	objava	Ncfsg
u	u	Sl
»	»	Z
Narodnim	narodni	Agpfply
novinama	novina	Ncfpl
«	«	Z
.	.	Z

Klasa	klasa	Ncfsn
:	:	Z
012	012	Mdc
-	-	Z
02/16	02/16	Mdc
-	-	Z
03/01	03/01	Mdc

Urbroj	urbroj	Ncmsn
:	:	Z
543	543	Mdc
-	-	Z
01	01	Mdc
-	-	Z
08	08	Mdc
-	-	Z
01	01	Mdc
-	-	Z
16	16	Mdc
-	-	Z
11	11	Mdc

Zagreb	Zagreb	Npmsn
,	,	Z
4.	4.	Mdo
svibnja	svibanj	Ncmsg
2016.	2016.	Mdo

Ravnatelj	ravnatelj	Ncmsn
dr.	dr.	Y
sc.	sc.	Y
Jadran	Jadran	Npmsn
Perinić	Perinić	Npmsn
,	,	Z
v.	v.	Y
r.	r.	Y

PRILOG	prilog	Ncmsn
1.	1.	Mdo
–	–	Z
PRILOG	prilog	Ncmsn
3.	3.	Mdo

