građevinskoj	građevinski	Agpfsly
PRIHODI	prihod	Ncmpn
TURISTIČKIH	turistički	Agpfpgy
ZAJEDNICA	zajednica	Ncfpg
u	u	Sl
podtočki	podtočka	Ncfsl
1.1.	1.1.	Mds

Članarina	članarina	Ncfsn
turističkim	turistički	Agpfpdy
zajednicama	zajednica	Ncfpd
iza	iza	Sg
BENKOVCA	BENKOVC	Npmsg
dodaje	dodavati	Vmr3s
se	sebe	Px--sa
BEREK	BEREK	Npmsn
,	,	Z
iza	iza	Sg
JELSE	JELSE	Npfsg
,	,	Z
VRBOSKE	VRBOSKE	Npfsg
dodaje	dodavati	Vmr3s
se	sebe	Px--sa
JOSIPDOL	JOSIPDOL	Npmsn
,	,	Z
iza	iza	Sg
PODSTRANE	podstrana	Ncfsg
dodaje	dodavati	Vmr3s
se	sebe	Px--sa
POLIČNIK	poličnik	Ncmsn
a	a	Cc
iza	iza	Sg
ŠOLTE	ŠOLTE	Npfsg
dodaje	dodavati	Vmr3s
se	sebe	Px--sa
ŠTEFANJE	štefanje	Ncnsn
.	.	Z

IBAN	IBAN	Npmsn
Grad	grad	Ncmsn
/	/	Z
Općina	općina	Ncfsn
HR8410010051701827156	HR8410010051701827156	Npmsn
BEREK	BEREK	Npmsn
HR9010010051717227156	HR9010010051717227156	Npmsn
JOSIPDOL	JOSIPDOL	Npmsn
HR4410010051734527158	HR4410010051734527158	Npmsn
POLIČNIK	POLIČNIK	Npmsn
HR9610010051745027151	HR9610010051745027151	Mdc
ŠTEFANJE	štefanje	Ncnsn

U	u	Sl
istoj	isti	Agpfsly
glavi	glava	Ncfsl
,	,	Z
istoj	isti	Agpfsly
točki	točka	Ncfsl
i	i	Cc
istoj	isti	Agpfsly
podtočki	podtočka	Ncfsl
iza	iza	Sg
DRNIŠA	DRNIŠ	Npmsg
briše	brisati	Vmr3s
se	sebe	Px--sa
DRNJE	drnje	Ncnsn
,	,	Z
iza	iza	Sg
GAREŠNICE	GAREŠNICE	Npfsg
briše	brisati	Vmr3s
se	sebe	Px--sa
GOLA	gol	Ncmsg
,	,	Z
iza	iza	Sg
HERCEGOVCA	hercegovac	Ncmsg
brišu	brisati	Vmr3p
se	sebe	Px--sa
HLEBINE	HLEBINE	Npfsg
,	,	Z
iza	iza	Sg
KALIA	KALI	Npmsg
briše	brisati	Vmr3s
se	sebe	Px--sa
KALINOVAC	KALINOVAC	Npmsn
,	,	Z
iza	iza	Sg
KLISA	KLIS	Npmsg
brišu	brisati	Vmr3p
se	sebe	Px--sa
KLOŠTAR	KLOŠTAR	Npmsn
IVANIĆ	Ivanić	Npmsn
i	i	Cc
KLOŠTAR	KLOŠTAR	Npmsn
PODRAVSKI	podravski	Agpmpny
,	,	Z
iza	iza	Sg
KRKA	KRK	Npmsg
briše	brisati	Vmr3s
se	sebe	Px--sa
KRNJAK	KRNJAK	Npmsn
,	,	Z
iza	iza	Sg
LABINA	LABIN	Npmsg
briše	brisati	Vmr3s
se	sebe	Px--sa
LASINJA	LASINJA	Npfsn
,	,	Z
iza	iza	Sg
LASTOVA	lastov	Ncmpg
briše	brisati	Vmr3s
se	sebe	Px--sa
LEGRAD	LEGRAD	Npmsn
,	,	Z
iza	iza	Sg
NEDELIŠĆA	NEDELIŠĆ	Npmsg
briše	brisati	Vmr3s
se	sebe	Px--sa
NETRETIĆ	NETRETIĆ	Npmsn
,	,	Z
iza	iza	Sg
OPATIJA	opatija	Ncfpg
,	,	Z
IČIČI	ičič	Ncmpn
brišu	brisati	Vmr3p
se	sebe	Px--sa
OPRISAVCI	OPRISAVC	Npmpn
,	,	Z
iza	iza	Sg
PODGORE	PODGORE	Npfsg
,	,	Z
ŽIVOGOŠĆE	živogošća	Ncfpn
brišu	brisati	Vmr3p
se	sebe	Px--sa
PODRAVSKE	podravski	Agpfpny
SESVETE	sesveta	Ncfpn
,	,	Z
iza	iza	Sg
RAKOVICE	rakovica	Ncfsg
briše	brisati	Vmr3s
se	sebe	Px--sa
RASINJA	RASINJA	Npfsn
,	,	Z
iza	iza	Sg
VELIKOG	velik	Agpnsgy
TROJSTVA	trojstvo	Ncnsg
briše	brisati	Vmr3s
se	sebe	Px--sa
VINICA	Vinica	Npfsn
i	i	Cc
iza	iza	Sg
ZRINSKOG	ZRINSKO	Npmsg
TOPOLOVCA	TOPOLOVC	Npmsg
briše	brisati	Vmr3s
se	sebe	Px--sa
ŽAKANJE	žakanje	Ncnsn
.	.	Z

IBAN	IBAN	Npmsn
Grad	grad	Ncmsn
/	/	Z
Općina	općina	Ncfsn
HR9310010051709627152	hr931001005170962715i	Agpfsgy
DRNJE	drnja	Ncfsg
HR6510010051712227159	HR6510010051712227159	Mdc
GOLA	gol	Ncmsg
HR9610010051714527150	HR9610010051714527150	Mdc
HLEBINE	HLEBINE	Npfsg
HR9510010051755927156	HR9510010051755927156	X
KALINOVAC	KALINOVAC	Npmsn
HR2810010051719327158	HR2810010051719327158	Npmsn
KLOŠTAR	KLOŠTAR	Npmsn
IVANIĆ	Ivanić	Npmsn
HR4510010051719427150	HR4510010051719427150	Npmsn
KLOŠTAR	KLOŠTAR	Npmsn
PODRAVSKI	podravski	Agpmsny
HR1010010051721627158	HR1010010051721627158	Npmsn
KRNJAK	KRNJAK	Npmsn
HR8410010051722527150	HR8410010051722527150	Mdc
LASINJA	LASINJA	Npfsn
HR6310010051722727154	HR6310010051722727154	Npfsn
LEGRAD	LEGRAD	Npfsn
HR7310010051728127158	HR7310010051728127158	Npfsn
NETRETIĆ	NETRETIĆ	Npfsn
HR2810010051730327152	HR2810010051730327152	X
OPRISAVCI	OPRISAVC	Npmpn
HR7410010051761627157	HR7410010051761627157	Mdc
PODRAVSKE	podravski	Agpfsgy
SESVETE	SESVETE	Npfsg
HR9010010051736627156	HR9010010051736627156	Npfsn
RASINJA	RASINJA	Npfsn
HR8810010051748627159	HR8810010051748627159	Npfsn
VINICA	Vinica	Npfsn
HR8410010051753027151	HR8410010051753027151	X
ŽAKANJE	žakanje	Ncnsa

U	u	Sl
istoj	isti	Agpfsly
glavi	glava	Ncfsl
i	i	Cc
istoj	isti	Agpfsly
točki	točka	Ncfsl
u	u	Sl
podtočki	podtočka	Ncfsl
1.2.	1.2.	Mds

Boravišna	boravišni	Agpfsny
pristojba	pristojba	Ncfsn
,	,	Z
iza	iza	Sg
BENKOVCA	BENKOVC	Npmsg
dodaje	dodavati	Vmr3s
se	sebe	Px--sa
BEREK	BEREK	Npmsn
,	,	Z
iza	iza	Sg
DONJE	donji	Agpfsgy
STUBICE	STUBICE	Npfsg
dodaje	dodavati	Vmr3s
se	sebe	Px--sa
DONJA	donji	Agpnpny
VOĆA	voće	Ncnpn
,	,	Z
iza	iza	Sg
ĐURĐEVCA	ĐURĐEVC	Npmsg
dodaje	dodavati	Vmr3s
se	sebe	Px--sa
ĐURMANEC	ĐURMANEC	Npmsn
,	,	Z
iza	iza	Sg
JELSA	JELS	Npmsg
,	,	Z
VRBOSKA	VRBOSKA	Npfsn
dodaje	dodavati	Vmr3s
se	sebe	Px--sa
JESENJE	jesenji	Agpnsny
,	,	Z
iza	iza	Sg
MAKARSKE	MAKARSKE	Npfsg
dodaje	dodavati	Vmr3s
se	sebe	Px--sa
MALA	MALA	Npfsn
SUBOTICA	SUBOTICA	Npfsn
,	,	Z
iza	iza	Sg
ŠPIŠIĆ	ŠPIŠIĆ	Npfsg
BUKOVICE	BUKOVICE	Npfsg
dodaje	dodavati	Vmr3s
se	sebe	Px--sa
ŠTEFANJE	štefanje	Ncnsn
,	,	Z
iza	iza	Sg
TUHELJA	TUHELJ	Npmsg
dodaje	dodavati	Vmr3s
se	sebe	Px--sa
UDBINA	UDBINA	Npfsn
a	a	Cc
iza	iza	Sg
UMAGA	UMAG	Npmsg
–	–	Z
UMAGO	UMAGO	Npmsn
dodaje	dodavati	Vmr3s
se	sebe	Px--sa
UNEŠIĆ	UNEŠIĆ	Npmsn
.	.	Z

IBAN	IBAN	Npmsn
Grad	grad	Ncmsn
/	/	Z
Općina	općina	Ncfsn
HR2510010051701804744	HR2510010051701804744	Npmsn
BEREK	BEREK	Npmsn
HR1710010051708004740	HR1710010051708004740	Mdc
DONJA	donji	Agpnpay
VOĆA	voće	Ncnpa
HR8710010051710804743	HR8710010051710804743	Npmsn
ĐURMANEC	ĐURMANEC	Npmsn
HR4410010051755204745	HR4410010051755204745	X

