_______________________	_______________________	Ncfsn
50	50	Mdc
sek	sek	Y
.	.	Z

Preko	preko	Sg
40	40	Mdc
sek	sek	Y
.	.	Z

Preko	preko	Sg
30	30	Mdc
sek	sek	Y
.	.	Z

Ispod	ispod	Sg
30	30	Mdc
sek	sek	Y
.	.	Z
40	40	Mdc
–	–	Z
49	49	Mdc
M	m	Y
Preko	preko	Sg
65	65	Mdc
sek	sek	Y
.	.	Z

Preko	preko	Sg
55	55	Mdc
sek	sek	Y
.	.	Z

Preko	preko	Sg
45	45	Mdc
sek	sek	Y
.	.	Z

Preko	preko	Sg
35	35	Mdc
sek	sek	Y
.	.	Z

Ispod	ispod	Sg
35	35	Mdc
sek	sek	Y
.	.	Z

Ž	Ž	Npmsn
Preko	preko	Sg
55	55	Mdc
sek	sek	Y
.	.	Z

Preko	preko	Sg
45	45	Mdc
sek	sek	Y
.	.	Z

Preko	preko	Sg
35	35	Mdc
sek	sek	Y
.	.	Z

Preko	preko	Sg
25	25	Mdc
sek	sek	Y
.	.	Z

Ispod	ispod	Sg
25	25	Mdc
sek	sek	Y
.	.	Z
50	50	Mdc
+	+	Z
M	m	Y
Preko	preko	Sg
60	60	Mdc
sek	sek	Y
.	.	Z

Preko	preko	Sg
50	50	Mdc
sek	sek	Y
.	.	Z

Preko	preko	Sg
40	40	Mdc
sek	sek	Y
.	.	Z

Preko	preko	Sg
30	30	Mdc
sek	sek	Y
.	.	Z

Ispod	ispod	Sg
30	30	Mdc
sek	sek	Y
.	.	Z

Ž	Ž	Npmsn
Preko	preko	Sg
50	50	Mdc
sek	sek	Y
.	.	Z

Preko	preko	Sg
40	40	Mdc
sek	sek	Y
.	.	Z

Preko	preko	Sg
30	30	Mdc
sek	sek	Y
.	.	Z

Preko	preko	Sg
20	20	Mdc
sek	sek	Y
.	.	Z

Ispod	ispod	Sg
20	20	Mdc
sek	sek	Y
.	.	Z

Izdržaj	Izdržaj	Npmsn
u	u	Sl
skijaškom	skijaški	Agpmsly
čučnju	čučanj	Ncmsl
–	–	Z
test	test	Ncmsn
se	sebe	Px--sa
izvodi	izvoditi	Vmr3s
na	na	Sa
način	način	Ncmsan
da	da	Cs
se	sebe	Px--sa
ispitanik	ispitanik	Ncmsn
postavi	postaviti	Vmr3s
uz	uz	Sa
zid	zid	Ncmsan
u	u	Sl
položaju	položaj	Ncmsl
kao	kao	Cs
da	da	Cs
sjedi	sjediti	Vmr3s
na	na	Sl
stolici	stolica	Ncfsl
,	,	Z
leđa	leđa	Ncnpn
su	biti	Var3p
naslonjena	nasloniti	Appnpny
na	na	Sa
zid	zid	Ncmsan
,	,	Z
a	a	Cc
ruke	ruka	Ncfpn
moraju	morati	Vmr3p
biti	biti	Van
opuštene	opustiti	Appfpny
uz	uz	Sa
tijelo	tijelo	Ncnsa
.	.	Z

Kada	kada	Cs
je	biti	Var3s
ispitanik	ispitanik	Ncmsn
spreman	spreman	Agpmsnn
,	,	Z
počinje	počinjati	Vmr3s
se	sebe	Px--sa
sa	sa	Si
odbrojavanjem	odbrojavanje	Ncnsi
na	na	Sa
način	način	Ncmsan
da	da	Cs
se	sebe	Px--sa
mjeri	mjeriti	Vmr3s
u	u	Sl
sekundama	sekunda	Ncfpl
koliko	koliko	Rgp
je	biti	Var3s
ispitanik	ispitanik	Ncmsn
izdržao	izdržati	Vmp-sm
u	u	Sl
položaju	položaj	Ncmsl
skijaškog	skijaški	Agpmsgy
čučnja	čučanj	Ncmsg
prema	prema	Sl
gornjoj	gornji	Agpfsly
tablici	tablica	Ncfsl
.	.	Z

PRILOG	prilog	Ncmsn
5.	5.	Mdo

TEST	test	Ncmsn
SNAGE	snaga	Ncfsg
RUKU	ruka	Ncfpg
I	i	Cc
GORNJEG	gornji	Agpmsgy
DIJELA	dio	Ncmsg
TRUPA	trup	Ncmsg
(	(	Z
sklekovi	sklek	Ncmpn
)	)	Z

DOB	dob	Ncfsn
SPOL	spol	Ncmsn
OCJENA	ocjena	Ncfpg
IZVANREDAN	izvanredan	Agpmsnn
ODLIČAN	odličan	Agpmsnn
DOBAR	dobar	Agpmsnn
ZADOVOLJAVA	zadovoljavati	Vmr3s
NE	ne	Qz
ZADOVOLJAVA	zadovoljavati	Vmr3s
18	18	Mdc
–	–	Z
20	20	Mdc
M	m	Y
Preko	preko	Sg
45	45	Mdc
Preko	preko	Sg
40	40	Mdc
Preko	preko	Sg
35	35	Mdc
Preko	preko	Sg
30	30	Mdc
Ispod	ispod	Sg
30	30	Mdc
Ž	Ž	Y
Preko	preko	Sg
45	45	Mdc
Preko	preko	Sg
40	40	Mdc
Preko	preko	Sg
35	35	Mdc
Preko	preko	Sg
30	30	Mdc
Ispod	ispod	Sg
30	30	Mdc
21	21	Mdc
–	–	Z
29	29	Mdc
M	m	Y
Preko	preko	Sg
40	40	Mdc
Preko	preko	Sg
35	35	Mdc
Preko	preko	Sg
30	30	Mdc
Preko	preko	Sg
25	25	Mdc
Ispod	ispod	Sg
25	25	Mdc
Ž	Ž	Y
Preko	preko	Sg
40	40	Mdc
Preko	preko	Sg
35	35	Mdc
Preko	preko	Sg
30	30	Mdc
Preko	preko	Sg
25	25	Mdc
Ispod	ispod	Sg
25	25	Mdc
30	30	Mdc
–	–	Z
39	39	Mdc
M	m	Y
Preko	preko	Sg
35	35	Mdc
Preko	preko	Sg
30	30	Mdc
Preko	preko	Sg
25	25	Mdc
Preko	preko	Sg
20	20	Mdc
Ispod	ispod	Sg
20	20	Mdc
Ž	Ž	Y
Preko	preko	Sg
35	35	Mdc
Preko	preko	Sg
30	30	Mdc
Preko	preko	Sg
25	25	Mdc
Preko	preko	Sg
20	20	Mdc
Ispod	ispod	Sg
20	20	Mdc
40	40	Mdc
–	–	Z
49	49	Mdc
M	m	Y
Preko	preko	Sg
30	30	Mdc
Preko	preko	Sg
25	25	Mdc
Preko	preko	Sg
20	20	Mdc
Preko	preko	Sg
15	15	Mdc
Ispod	ispod	Sg
15	15	Mdc
Ž	Ž	Y
Preko	preko	Sg
30	30	Mdc
Preko	preko	Sg
25	25	Mdc
Preko	preko	Sg
20	20	Mdc
Preko	preko	Sg
15	15	Mdc
Ispod	ispod	Sg
15	15	Mdc
50	50	Mdc
+	+	Z
M	m	Y
Preko	preko	Sg
25	25	Mdc
Preko	preko	Sg
20	20	Mdc

