532/2014	532/2014	Mds
i	i	Cc
ispravljanja	ispravljanje	Ncnsg
nepravilnosti	nepravilnost	Ncfsg
te	te	Cc
,	,	Z
uzimajući	uzimati	Rr
u	u	Sa
obzir	obzir	Ncmsan
utvrđene	utvrditi	Agpmpay
rizike	rizik	Ncmpa
,	,	Z
korektivne	korektivan	Agpfpay
mjere	mjera	Ncfpa
i	i	Cc
povrate	povratiti	Vmr3p
nepropisno	nepropisno	Rgp
plaćenih	platiti	Appmpgy
iznosa	iznos	Ncmpg
s	sa	Si
kamatama	kamata	Ncfpi
,	,	Z
utvrđuje	utvrđivati	Vmr3s
učinkovite	učinkovit	Agpfpay
i	i	Cc
razmjerne	razmjeran	Agpfsgy
mjere	mjera	Ncfsg
za	za	Sa
suzbijanje	suzbijanje	Ncnsa
prijevara	prijevara	Ncfpg
;	;	Z

7.	7.	Mdo
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
člankom	članak	Ncmsi
3.	3.	Mdo
stavkom	stavak	Ncmsi
3.	3.	Mdo
Provedbene	provedbeni	Agpfsgy
uredbe	uredba	Ncfsg
Komisije	komisija	Ncfsg
(	(	Z
EU	EU	Npmsn
)	)	Z
br.	br.	Y
463/2014	463/2014	Mdc
,	,	Z
imenuje	imenovati	Vmr3s
osobu	osoba	Ncfsa
ili	ili	Cc
osobe	osoba	Ncfpn
odgovorne	odgovoran	Agpfpny
za	za	Sa
upravljanje	upravljanje	Ncnsa
pravima	pravo	Ncnpi
pristupa	pristup	Ncmpg
u	u	Sl
okviru	okvir	Ncmsl
Elektroničkog	elektronički	Agpmsgy
sustava	sustav	Ncmsg
za	za	Sa
razmjenu	razmjena	Ncfsa
podataka	podatak	Ncmpg
(	(	Z
SFC2014	SFC2014	X
)	)	Z
;	;	Z

8.	8.	Mdo
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
člankom	članak	Ncmsi
6.	6.	Mdo
stavkom	stavak	Ncmsi
8.	8.	Mdo
Provedbene	provedbeni	Agpfsgy
uredbe	uredba	Ncfsg
Komisije	komisija	Ncfsg
(	(	Z
EU	EU	Npmsn
)	)	Z
br.	br.	Y
463/2014	463/2014	Mdc
,	,	Z
imenuje	imenovati	Vmr3s
osobu	osoba	Ncfsa
ili	ili	Cc
osobe	osoba	Ncfpn
odgovorne	odgovoran	Agpfpny
za	za	Sa
održavanje	održavanje	Ncnsa
i	i	Cc
osiguravanje	osiguravanje	Ncnsa
primjene	primjena	Ncfsg
nacionalnih	nacionalan	Agpmpgy
,	,	Z
regionalnih	regionalan	Agpfpgy
ili	ili	Cc
lokalnih	lokalan	Agpfpgy
sigurnosnih	sigurnosni	Agpfpgy
politika	politika	Ncfpg
za	za	Sa
informacijsku	informacijski	Agpfsay
tehnologiju	tehnologija	Ncfsa
(	(	Z
IT	IT	Npmsn
)	)	Z
;	;	Z

9.	9.	Mdo
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
člankom	članak	Ncmsi
30.	30.	Mdo
stavkom	stavka	Ncfsi
4.	4.	Mdo
Uredbe	uredba	Ncfsg
(	(	Z
EU	EU	Npmsn
)	)	Z
br.	br.	Y
223/2014	223/2014	Mdc
,	,	Z
osigurava	osiguravati	Vmr3s
razmjenu	razmjena	Ncfsa
informacija	informacija	Ncfpg
s	sa	Si
Komisijom	komisija	Ncfsi
preko	preko	Sg
sustava	sustav	Ncmsg
elektroničke	elektronički	Agpfsgy
razmjene	razmjena	Ncfsg
podataka	podatak	Ncmpg
sukladno	sukladno	Rgp
Provedbenoj	provedbeni	Agpfsly
uredbi	uredba	Ncfsl
Komisije	komisija	Ncfsg
(	(	Z
EU	EU	Npmsn
)	)	Z
br.	br.	Y
463/2014	463/2014	Mdc
;	;	Z

10.	10.	Mdo
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
člankom	članak	Ncmsi
30.	30.	Mdo
stavkom	stavka	Ncfsi
3.	3.	Mdo
Uredbe	uredba	Ncfsg
(	(	Z
EU	EU	Npmsn
)	)	Z
br.	br.	Y
223/2014	223/2014	Mdc
,	,	Z
osigurava	osiguravati	Vmr3s
učinkovite	učinkovit	Agpmpay
mehanizme	mehanizam	Ncmpa
za	za	Sa
provjeru	provjera	Ncfsa
pritužbi	pritužba	Ncfpg
sukladno	sukladno	Rgp
institucionalnim	institucionalan	Agpmsiy
i	i	Cc
pravnim	pravni	Agpmsiy
okvirom	okvir	Ncmsi
,	,	Z
te	te	Cc
rješava	rješavati	Vmr3s
odgovore	odgovor	Ncmpa
na	na	Sa
pritužbe	pritužba	Ncfpa
u	u	Sl
drugoj	drugi	Mlofsl
razini	razina	Ncfsl
;	;	Z

11.	11.	Mdo
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
člankom	članak	Ncmsi
26.	26.	Mdo

Uredbe	uredba	Ncfpn
(	(	Z
EU	EU	Npmsn
)	)	Z
br.	br.	Y
223/2014	223/2014	Mdc
,	,	Z
donosi	donositi	Vmr3s
pravilnik	pravilnik	Ncmsn
o	o	Sl
prihvatljivosti	prihvatljivost	Ncfsl
izdataka	izdatak	Ncmpg
;	;	Z

12.	12.	Mdo
dostavlja	dostavljati	Vmr3s
Komisiji	komisija	Ncfsd
financijske	financijski	Agpmpay
izvještaje	izvještaj	Ncmpa
,	,	Z
izjavu	izjava	Ncfsa
o	o	Sl
upravljanju	upravljanje	Ncnsl
tijela	tijelo	Ncnsg
odgovornih	odgovoran	Agpfpgy
za	za	Sa
upravljanje	upravljanje	Ncnsa
sredstvima	sredstvo	Ncmpi
i	i	Cc
godišnji	godišnji	Agpmsny
sažetak	sažetak	Ncmsn
završnih	završan	Agpnpgy
revizorskih	revizorski	Agpnpgy
izvješća	izvješće	Ncnpg
i	i	Cc
provedenih	provesti	Agpfpgy
kontrola	kontrola	Ncfpg
iz	iz	Sg
članka	članak	Ncmsg
59.	59.	Mdo
stavka	stavak	Ncmsg
5.	5.	Mdo
prvog	prvi	Mlomsg
podstavka	podstavak	Ncmsg
točaka	točka	Ncfpg
(	(	Z
a	a	Cc
)	)	Z
i	i	Cc
(	(	Z
b	b	X
)	)	Z
Uredbe	uredba	Ncfpn
(	(	Z
EU	EU	Npmsn
)	)	Z
br.	br.	Y
966/2012	966/2012	Mdc
;	;	Z

13.	13.	Mdo
ako	ako	Cs
je	biti	Var3s
primjenjivo	primjenjiv	Agpnsny
,	,	Z
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
člankom	članak	Ncmsi
6.	6.	Mdo
Uredbe	uredba	Ncfsg
(	(	Z
EU	EU	Npmsn
)	)	Z
br.	br.	Y
223/2014	223/2014	Mdc
,	,	Z
dostavlja	dostavljati	Vmr3s
Komisiji	komisija	Ncfsd
informacije	informacija	Ncfpa
o	o	Sl
izuzećima	izuzeće	Ncnpl
od	od	Sg
opoziva	opoziv	Ncmpg
odobrenih	odobren	Agpnpgy
sredstava	sredstvo	Ncnpg
;	;	Z

14.	14.	Mdo
osigurava	osiguravati	Vmr3s
raspoloživost	raspoloživost	Ncfsa
popratnih	popratni	Agpmpgy
dokumenata	dokument	Ncmpg
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
člankom	članak	Ncmsi
51.	51.	Mdo

Uredbe	uredba	Ncfpn
(	(	Z
EU	EU	Npmsn
)	)	Z
br.	br.	Y
223/2014.	223/2014.	Mds

V.	V.	Y

Upravljačko	upravljački	Agpnsny
tijelo	tijelo	Ncnsn
temeljem	temelj	Ncmsi
članka	članak	Ncmsg
31.	31.	Mdo
stavka	stavak	Ncmsg
7.	7.	Mdo
Uredbe	uredba	Ncfsg
(	(	Z
EU	EU	Npmsn
)	)	Z
br.	br.	Y
223/2014	223/2014	Mdc
povjerava	povjeravati	Vmr3s
upravljanje	upravljanje	Ncnsa
dijelom	dio	Ncmsi
Operativnog	operativan	Agpmsgy
programa	program	Ncmsg
Posredničkom	posrednički	Agpnsly
tijelu	tijelo	Ncnsl
.	.	Z

Posredničko	posrednički	Agpnsny
tijelo	tijelo	Ncnsn
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ove	ovaj	Pd-fsg
točke	točka	Ncfsg
je	biti	Var3s
središnje	središnji	Agpnsny
tijelo	tijelo	Ncnsn
državne	državni	Agpfsgy
uprave	uprava	Ncfsg
nadležno	nadležan	Agpnsny
za	za	Sa
poslove	posao	Ncmpa
socijalne	socijalan	Agpfsgy
politike	politika	Ncfsg
i	i	Cc
mladih	mlad	Agpmpgy
.	.	Z

Posredničko	posrednički	Agpnsny
tijelo	tijelo	Ncnsn
obavlja	obavljati	Vmr3s
sljedeće	sljedeći	Agpfsgy
delegirane	delegiran	Agpfpay
funkcije	funkcija	Ncfpa
u	u	Sl
upravljanju	upravljanje	Ncnsl
Programom	program	Ncmsi
:	:	Z

1.	1.	Mdo
sudjeluje	sudjelovati	Vmr3s
u	u	Sl
izradi	izrada	Ncfsl
godišnjih	godišnji	Agpmpgy
i	i	Cc
završnog	završan	Agpnsgy
izvješća	izvješće	Ncnsg
iz	iz	Sg
točke	točka	Ncfsg
IV	IV	Mrc
.	.	Z
stavka	stavka	Ncfsn
3.	3.	Mdo
podtočke	podtočka	Ncfsg
1.	1.	Mdo
ove	ovaj	Pd-fsg
Odluke	odluka	Ncfsg
;	;	Z

2.	2.	Mdo
u	u	Sa
svrhu	svrha	Ncfsa
učinkovitog	učinkovit	Agpmsgy
sustava	sustav	Ncmsg
praćenja	praćenje	Ncnsg
provedbe	provedba	Ncfsg
,	,	Z
sudjeluje	sudjelovati	Vmr3s
na	na	Sl
sastancima	sastanak	Ncmpl
s	sa	Si
Upravljačkim	upravljački	Agpnsiy
tijelom	tijelo	Ncnsi
,	,	Z
partnerskim	partnerski	Agpfpiy
organizacijama	organizacija	Ncfpi
i	i	Cc
relevantnim	relevantan	Agpmpiy
dionicima	dionik	Ncmpi
najmanje	malo	Rgs
dva	dva	Mlc
puta	puta	Rgp
godišnje	godišnje	Rgp
;	;	Z

3.	3.	Mdo
sudjeluje	sudjelovati	Vmr3s
u	u	Sl
provedbi	provedba	Ncfsl
ex-ante	ex-ant	Agpfsgy
evaluacije	evaluacija	Ncfsg
Operativnog	operativan	Agpmsgy
programa	program	Ncmsg
i	i	Cc
jedne	jedan	Mlcfsg
tematske	tematski	Agpfsgy
evaluacije	evaluacija	Ncfsg
tijekom	tijekom	Sg
razdoblja	razdoblje	Ncnsg
provedbe	provedba	Ncfsg
Operativnog	operativan	Agpmsgy
programa	program	Ncmsg
;	;	Z

4.	4.	Mdo
sudjeluje	sudjelovati	Vmr3s
u	u	Sl
provedbi	provedba	Ncfsl
strukturirane	strukturiran	Agpfpay
ankete	anketa	Ncfpa
primatelja	primatelj	Ncmsg
pomoći	pomoć	Ncfsg
u	u	Sl
2017.	2017.	Mdo
i	i	Cc
2022.	2022.	Mdo
godini	godina	Ncfsl
,	,	Z
sukladno	sukladno	Rgp
članku	članak	Ncmsl
17.	17.	Mdo
stavku	stavak	Ncmsl
4.	4.	Mdo
Uredbe	uredba	Ncfsg
(	(	Z
EU	EU	Npmsn
)	)	Z
br.	br.	Y
223/2014	223/2014	Mdc
;	;	Z

5.	5.	Mdo
priprema	pripremati	Vmr3s
popis	popis	Ncmsan
operacija	operacija	Ncfpg
financiranih	financirati	Appfpgy
iz	iz	Sg
sredstava	sredstvo	Ncnpg
Fonda	fond	Ncmsg
europske	europski	Agpfsgy
pomoći	pomoć	Ncfsg
za	za	Sa
najpotrebitije	potrebit	Ncfpa
,	,	Z
sukladno	sukladan	Agpnsny
članku	članak	Ncmsl
19.	19.	Mdo
stavku	stavak	Ncmsl
2.	2.	Mdo
Uredbe	uredba	Ncfsg
(	(	Z
EU	EU	Npmsn
)	)	Z
br.	br.	Y
223/2014	223/2014	Mdc
;	;	Z

6.	6.	Mdo
osigurava	osiguravati	Vmr3s
da	da	Cs
su	biti	Var3p
partnerske	partnerski	Agpfpny
organizacije	organizacija	Ncfpn
na	na	Sl
razini	razina	Ncfsl
projekta	projekt	Ncmsg

