S	sa	Si
Dakle	dakle	Cc
,	,	Z
u	u	Sl
trenutku	trenutak	Ncmsl
odlučivanja	odlučivanje	Ncnsg
predmetne	predmetni	Agpfsgy
sutkinje	sutkinja	Ncfsg
o	o	Sl
podnositeljevoj	podnositeljev	Agpfsly
žalbi	žalba	Ncfsl
već	već	Rgp
je	biti	Var3s
gotovo	gotovo	Rgp
prije	prije	Sg
pune	pun	Agpfsgy
dvije	dva	Mlcf-a
godine	godina	Ncfsg
bilo	biti	Vap-sn
pravomoćno	pravomoćan	Agpnsny
riješeno	riješiti	Appnsny
da	da	Cs
podnositelj	podnositelj	Ncmsn
protiv	protiv	Sg
nje	on	Pp3fsg
ne	ne	Qz
može	moći	Vmr3s
voditi	voditi	Vmn
kazneni	kazneni	Agpmsayn
postupak	postupak	Ncmsan
,	,	Z
a	a	Cc
u	u	Sl
trenutku	trenutak	Ncmsl
podnošenja	podnošenje	Ncnsg
ustavne	ustavan	Agpfsgy
tužbe	tužba	Ncfsg
prošlo	proći	Vmp-sn
je	biti	Var3s
preko	preko	Sg
dvije	dva	Pd-fsg
godine	godina	Ncfsg
.	.	Z

Ustavni	ustavan	Agpmsny
sud	sud	Ncmsn
nadalje	nadalje	Rgp
napominje	napominjati	Vmr3s
da	da	Cs
je	biti	Var3s
podnositelj	podnositelj	Ncmsn
optužni	optužni	Agpmsny
prijedlog	prijedlog	Ncmsn
protiv	protiv	Sg
predmetne	predmetni	Agpfsgy
sutkinje	sutkinja	Ncfsg
podnio	podnijeti	Vmp-sm
zbog	zbog	Sg
navodnog	navodni	Agpnsgy
počinjenja	počinjenje	Ncnsg
kaznenih	kazneni	Agpnpgy
djela	djelo	Ncnpg
zlouporabe	zlouporaba	Ncfsg
položaja	položaj	Ncmsg
i	i	Cc
ovlasti	ovlast	Ncfsg
te	te	Cc
nesavjesnog	nesavjestan	Agpmsgy
rada	rad	Ncmsg
u	u	Sl
službi	služba	Ncfsl
jer	jer	Cs
je	biti	Var3s
»	»	Z
kao	kao	Cs
bivša	bivši	Agpfsny
sutkinja	sutkinja	Ncfsn
Općinskog	općinski	Agpmsgy
suda	sud	Ncmsg
u	u	Sl
Rijeci	Rijeka	Npfsl
,	,	Z
u	u	Sl
predmetu	predmet	Ncmsl
P-1547	P-1547	Mdc
/	/	Z
02	02	Mdc
donijela	donijeti	Vmp-sf
presudu	presuda	Ncfsa
protiv	protiv	Sg
njega	on	Pp3msg
,	,	Z
pri	pri	Sl
čemu	što	Pi3n-l
je	biti	Var3s
postupala	postupati	Vmp-sf
nesavjesno	nesavjesno	Rgp
,	,	Z
propuštajući	propuštati	Rr
izvesti	izvesti	Vmn
predložene	predložen	Agpmpay
dokaze	dokaz	Ncmpa
i	i	Cc
utvrditi	utvrditi	Vmn
činjenice	činjenica	Ncfpa
čime	što	Pi3n-i
mu	on	Pp3msd
je	biti	Var3s
prouzročila	prouzročiti	Vmp-sf
štetu	šteta	Ncfsa
«	«	Z
.	.	Z

Odbacujući	odbacivati	Rr
podnositeljevu	podnositeljev	Agpfsay
kaznenu	kazneni	Agpfsay
prijavu	prijava	Ncfsa
nadležno	nadležan	Agpnsny
je	biti	Var3s
državno	državni	Agpnsny
odvjetništvo	odvjetništvo	Ncnsn
navelo	navesti	Vmp-sn
»	»	Z
da	da	Cs
je	biti	Var3s
postupanje	postupanje	Ncnsn
prijavljene	prijaviti	Agpfsgy
sutkinje	sutkinja	Ncfsg
u	u	Sl
predmetu	predmet	Ncmsl
Općinskog	općinski	Agpmsgy
suda	sud	Ncmsg
u	u	Sl
Rijeci	Rijeka	Npfsl
P-1547	P-1547	Mds
/	/	Z
02	02	Mdc
,	,	Z
povodom	povod	Sg
žalbe	žalba	Ncfsg
podnositelja	podnositelj	Ncmpg
bilo	biti	Vap-sn
podvrgnuto	podvrgnuti	Appnsny
kontroli	kontrola	Ncfsd
Županijskog	županijski	Agpmsgy
suda	sud	Ncmsg
u	u	Sl
Rijeci	Rijeka	Npfsl
,	,	Z
koji	koji	Pi-msn
je	biti	Var3s
njezinu	njezin	Ps3fsa
presudu	presuda	Ncfsa
potvrdio	potvrditi	Vmp-sm
«	«	Ncmsan
te	te	Cc
da	da	Cs
stoga	stoga	Rgp
»	»	Z
nisu	biti	Var3p
utvrđene	utvrditi	Appfpny
nikakve	nikakav	Agpfpny
okolnosti	okolnost	Ncfpn
iz	iz	Sg
kojih	koji	Pi-fpg
bi	biti	Vaa3s
proizlazilo	proizlaziti	Vmp-sn
da	da	Cs
je	biti	Var3s
sutkinja	sutkinja	Ncfsn
Helena	Helena	Npfsn
Vlahov-Kozomara	Vlahov-Kozomara	Npfsn
postupala	postupati	Vmp-sf
na	na	Sa
način	način	Ncmsan
kojim	koji	Pi-msi
bi	biti	Vaa3s
ostvarila	ostvariti	Vmp-sf
biće	biće	Ncnsa
kaznenih	kazneni	Agpmpgy
dijela	dio	Ncmpg
zlouporabe	zlouporaba	Ncfsg
položaja	položaj	Ncmsg
i	i	Cc
ovlasti	ovlast	Ncfpg
,	,	Z
i	i	Cc
nesavjesnog	nesavjestan	Agpmsgy
rada	rad	Ncmsg
u	u	Sl
službi	služba	Ncfsl
«	«	Z
.	.	Z

Iz	iz	Sg
toga	taj	Pd-nsg
proizlazi	proizlaziti	Vmr3s
da	da	Cs
je	biti	Var3s
bila	biti	Vap-sf
riječ	riječ	Ncfsn
,	,	Z
kao	kao	Cs
što	što	Cs
je	biti	Var3s
kasnije	kasno	Rgc
ocijenilo	ocijeniti	Vap-sn
Državno	državni	Agpnsny
sudbeno	sudbeni	Agpnsny
vijeće	vijeće	Ncnsn
,	,	Z
»	»	Z
o	o	Sl
subjektivnom	subjektivan	Agpnsly
nezadovoljstvu	nezadovoljstvo	Ncnsl
podnositelja	podnositelj	Ncmpg
donesenim	donesen	Agpfpiy
sudskim	sudski	Agpfpiy
odlukama	odluka	Ncfpi
«	«	Z
.	.	Z

Ustavni	ustavan	Agpmsny
sud	sud	Ncmsn
ističe	isticati	Vmr3s
da	da	Cs
,	,	Z
pored	pored	Sg
postojanja	postojanje	Ncnsg
i	i	Cc
poštovanja	poštovanje	Ncnsg

