crtežu	crtež	Ncmsd
proizvodnje	proizvodnja	Ncfsg
kao	kao	Cs
i	i	Qo
za	za	Sa
nabavu	nabava	Ncfsa
,	,	Z
ali	ali	Cc
ne	ne	Qz
nužno	nužan	Agpnsny
i	i	Cc
na	na	Sl
isporučenim	isporučiti	Agpmply
proizvodima	proizvod	Ncmpl
.	.	Z

3.2.	3.2.	Mdo

Simboli	simbol	Ncmpn

A	a	Cc
Istezljivost	istezljivost	Ncfsn
(	(	Z
L	l	Y
o	o	Sl
=		Ncmsl
5,65	5,65	Mdc
√	√	Z
S	sa	Si
o	o	Sl
)	)	Z
%		Ncmsl
A80	A80	Mdc
mm	mm	Y
Istezljivost	istezljivost	Ncfsn
(	(	Z
L	l	Y
o	o	Sl
=		Ncmsl
80	80	Mdc
mm	mm	Ncmpg
)	)	Z
%	%	Z
KCV	KCV	Npmsn
Udarni	udarni	Agpmsayn
rad	rad	Ncmsan
loma	lom	Ncmsg
po	po	Sl
površini	površina	Ncfsl
poprečnog	poprečan	Agpmsgy
presjeka	presjek	Ncmsg
J	j	Xf
/	/	Z
cm2	cm2	Agpmsny
P	p	Agpmsny
proračunski	proračunski	Agpmsny
tlak	tlak	Ncmsn
bar	bar	Ncmpg
PS	PS	Npmsn
najveći	velik	Agsmsny
radni	radni	Agpmsny
tlak	tlak	Ncmsn
bar	bar	Ncmsg
Ph	P	Npmsg
hidrostatski	hidrostatski	Agpmsny
ili	ili	Cc
pneumatski	pneumatski	Agpmsayn
ispitni	ispitan	Agpmsayn
tlak	tlak	Ncmsan
bar	bar	Ncmsan
Rp0	Rp	Npmsg
,	,	Z
2	2	Mdc
konvencionalna	konvencionalan	Agpfsny
granica	granica	Ncfsn
razvlačenja	razvlačenje	Ncnsg
za	za	Sa
0,2	0,2	Mdc
%	%	Z
plastične	plastičan	Agpfsgy
deformacije	deformacija	Ncfsg
MPa	mpi	Agpfsgy
ReT	rea	Ncfsg
granica	granica	Ncfsn
razvlačenja	razvlačenje	Ncnsg
pri	pri	Sl
najvišoj	visok	Agpfsly
radnoj	radni	Agpfsly
temperaturi	temperatura	Ncfsl
MPa	MPa	Npfsn
ReH	rei	Agpfsny
gornja	gornji	Agpfsny
granica	granica	Ncfsn
razvlačenja	razvlačenje	Ncnsg
MPa	mp	Ncmpg
Rm	Rm	Pi-mpa
vlačna	vlačni	Agpfsny
čvrstoća	čvrstoća	Ncfsn
MPa	MPa	Npfsn
Rm	Rm	Npfsn
,	,	Z
max	max	Mlsm-n
najveća	velik	Agsfsny
vlačna	vlačni	Agpfsny
čvrstoća	čvrstoća	Ncfsn
MPa	MP	Npmsg
Rp1	Rp	Npmsg
,	,	Z
0	0	Mdc
konvencionalna	konvencionalan	Agpfsny
granica	granica	Ncfsn
razvlačenja	razvlačenje	Ncnsg
za	za	Sa
1,0	1,0	Mdc
%	%	Z
plastične	plastičan	Agpfsgy
deformacije	deformacija	Ncfsg
MPa	MPa	Npfsn
Tmax	Tmax	Npfsn
najviša	visok	Agsfsny
radna	radni	Agpfsny
temperatura	temperatura	Ncfsn
°	°	Z
C	C	Npmsn
Tmin	Tmin	Npmsn
najniža	nizak	Agsfsny
radna	radni	Agpfsny
temperatura	temperatura	Ncfsn
°	°	Z
C	C	Npmsn
V	V	Agpmsann
volumen	volumen	Ncmsan
posude	posuda	Ncfsg
L	l	X

DODATAK	dodatak	Ncmsn
IV	IV	Mrc
.	.	Z

EU	E	Npmsd
IZJAVA	izjava	Ncfsn
O	o	Sl
SUKLADNOSTI	sukladnost	Ncfsl
(	(	Z
br.	br.	Y

XXXX	XXXX	Npmsn
)	)	Z
(	(	Z
1	1	Mdc
)	)	Z

1.	1.	Mdo
Model	model	Ncmsn
posude	posuda	Ncfsg
/	/	Z
posuda	posuda	Ncfsn
(	(	Z
broj	broj	Ncmsn
proizvoda	proizvod	Ncmpg
,	,	Z
vrste	vrsta	Ncfsg
,	,	Z
šarže	šarža	Ncfsg
ili	ili	Cc
serijski	serijski	Agpmsny
broj	broj	Ncmsn
)	)	Z
:	:	Z

2.	2.	Mdo
Naziv	naziv	Ncmsn
i	i	Cc
adresa	adresa	Ncfsn
proizvođača	proizvođač	Ncmsg
i	i	Cc
po	po	Sl
potrebi	potreba	Ncfsl
njegovog	njegov	Ps3msg
ovlaštenog	ovlašten	Agpmsgy
zastupnika	zastupnik	Ncmsg
:	:	Z

3.	3.	Mdo
Za	za	Sa
izdavanje	izdavanje	Ncnsa
EU	E	Npmsg
izjave	izjava	Ncfpa
o	o	Sl
sukladnosti	sukladnost	Ncfsl
odgovoran	odgovoran	Agpmsnn
je	biti	Var3s
isključivo	isključivo	Rgp
proizvođač	proizvođač	Ncmsn
.	.	Z

4.	4.	Mdo
Predmet	predmet	Ncmsn
izjave	izjava	Ncfsg
(	(	Z
identifikacija	identifikacija	Ncfsn
posude	posuda	Ncfsg
koja	koji	Pi-fsn
omogućuje	omogućivati	Vmr3s
sljedivost	sljedivost	Ncfsn
;	;	Z
može	moći	Vmr3s
,	,	Z
ako	ako	Cs
je	biti	Var3s
potrebno	potreban	Agpnsny
za	za	Sa
identifikaciju	identifikacija	Ncfsa
posude	posuda	Ncfsg
,	,	Z
uključivati	uključivati	Vmn
i	i	Cc
sliku	slika	Ncfsa
)	)	Z
:	:	Z

5.	5.	Mdo
Predmet	predmet	Ncmsn
navedene	naveden	Agpfsgy
izjave	izjava	Ncfsg
u	u	Sl
skladu	sklad	Ncmsl
je	biti	Var3s
s	sa	Si
mjerodavnim	mjerodavan	Agpnsiy
zakonodavstvom	zakonodavstvo	Ncnsi
Unije	unija	Ncfsg
o	o	Sl
usklađivanju	usklađivanje	Ncnsl
:	:	Z

6.	6.	Mdo
Pozivanja	pozivanje	Ncnsg
na	na	Sa
relevantne	relevantan	Agpfpay
primijenjene	primijeniti	Ncfpa
usklađene	uskladiti	Agpfpay
norme	norma	Ncfpa
ili	ili	Cc
pozivanja	pozivanje	Ncnsg
na	na	Sa
druge	drugi	Mlofpa
tehničke	tehnički	Agpfpay
specifikacije	specifikacija	Ncfpa
u	u	Sl
vezi	veza	Ncfsl
s	sa	Si
kojima	koji	Pi-mpi
se	sebe	Px--sa
izjavljuje	izjavljivati	Vmr3s
sukladnost	sukladnost	Ncfsn
:	:	Z

7.	7.	Mdo
Prijavljeno	prijaviti	Appnsny
tijelo	tijelo	Ncnsa
…	…	Z
(	(	Z
naziv	naziv	Ncmsn
,	,	Z
broj	broj	Ncmsn
)	)	Z
provelo	provesti	Vmp-sn
je	biti	Var3s
…	…	Z
(	(	Z
opis	opis	Ncmsn
intervencije	intervencija	Ncfsg
)	)	Z
i	i	Cc
izdalo	izdati	Vmp-sn
potvrdu	potvrda	Ncfsa
:	:	Z

8.	8.	Mdo
Dodatne	dodatan	Agpfpay
informacije	informacija	Ncfpa
:	:	Z

Potpisano	potpisan	Agpnsny
za	za	Sa
i	i	Qo
u	u	Sa
ime	ime	Ncnsa
:	:	Z

(	(	Z
mjesto	mjesto	Ncnsn
i	i	Cc
dan	dan	Ncmsn
izdavanja	izdavanje	Ncnsg
)	)	Z
:	:	Z

(	(	Z
ime	ime	Ncnsn
,	,	Z
funkcija	funkcija	Ncfsn
)	)	Z
(	(	Z
potpis	potpis	Ncmsn
)	)	Z
:	:	Z

