Međunarodnom	međunarodni	Agpmsly
odgovornostima	odgovornost	Ncfpl
.	.	Z

V.	vi	Agpfpay
SMJERNICE	smjernica	Ncfpa
ZA	za	Sa
KOORDINACIJU	koordinacija	Ncfsa
RAZVOJA	razvoj	Ncmsg
SUSTAVA	sustav	Ncmsg
UNUTARNJIH	unutarnji	Agpfpgy
KONTROLA	kontrola	Ncfpg
KOD	kod	Sg
KORISNIKA	korisnik	Ncmpg
PRORAČUNA	proračun	Ncmsg

Članak	članak	Ncmsn
7.	7.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Razvoj	razvoj	Ncmsan
sustava	sustav	Ncmsg
unutarnjih	unutarnji	Agpfpgy
kontrola	kontrola	Ncfpg
na	na	Sl
razini	razina	Ncfsl
korisnika	korisnik	Ncmpg
proračuna	proračun	Ncmsg
koordinira	koordinirati	Vmr3s
jedinica	jedinica	Ncfsn
za	za	Sa
financije	financije	Ncfpa
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Jedinica	jedinica	Ncfsn
za	za	Sa
financije	financije	Ncfpa
u	u	Sl
ministarstvu	ministarstvo	Ncnsl
i	i	Cc
drugom	drugi	Mlomsl
korisniku	korisnik	Ncmsl
državnog	državni	Agpmsgy
proračuna	proračun	Ncmsg
na	na	Sl
razini	razina	Ncfsl
razdjela	razdjel	Ncmsg
organizacijske	organizacijski	Agpfsgy
klasifikacije	klasifikacija	Ncfsg
,	,	Z
županiji	županija	Ncfsl
,	,	Z
gradu	grad	Ncmsl
i	i	Cc
općini	općina	Ncfsl
,	,	Z
koordinaciju	koordinacija	Ncfsa
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
provodi	provoditi	Vmr3s
kroz	kroz	Sa
sljedeće	sljedeći	Agpfpay
aktivnosti	aktivnost	Ncfpa
:	:	Z

a	a	Cc
)	)	Z
izrađuje	izrađivati	Vmr3s
prijedloge	prijedlog	Ncmpa
internih	interni	Agpmpgy
akata	akt	Ncmpg
za	za	Sa
ključne	ključan	Agpmpay
procese	proces	Ncmpa
financijskog	financijski	Agpnsgy
upravljanja	upravljanje	Ncnsg
koje	koji	Pi-nsn
donosi	donositi	Vmr3s
odgovorna	odgovoran	Agpfsny
osoba	osoba	Ncfsn
korisnika	korisnik	Ncmpg
proračuna	proračun	Ncmsg

b	b	Npmsn
)	)	Z
prati	pratiti	Vmr3s
primjenu	primjena	Ncfsa
internih	interni	Agpmpgy
akata	akt	Ncmpg
iz	iz	Sg
točke	točka	Ncfsg
a	a	Cc
)	)	Z
ovoga	ovaj	Pd-nsg
stavka	stavak	Ncmsg
te	te	Cc
predlaže	predlagati	Vmr3s
njihove	njihov	Agpfpay
izmjene	izmjena	Ncfpa
i	i	Cc
dopune	dopuna	Ncfsg
sukladno	sukladno	Rgp
izmjenama	izmjena	Ncfpd
zakona	zakon	Ncmsg
i	i	Cc
drugih	drugi	Mlompg
propisa	propis	Ncmpg
na	na	Sl
kojima	koji	Pi-mpl
se	sebe	Px--sa
temelje	temeljiti	Vmr3p
,	,	Z
promjenama	promjena	Ncfpl
u	u	Sl
poslovanju	poslovanje	Ncnsl
korisnika	korisnik	Ncmpg
proračuna	proračun	Ncmsg
i	i	Cc
korisnika	korisnik	Ncmpg
proračuna	proračun	Ncmsg
iz	iz	Sg
nadležnosti	nadležnost	Ncfsg
,	,	Z
rezultatima	rezultat	Ncmpi
vanjskih	vanjski	Agpfpgy
procjena	procjena	Ncfpg
te	te	Cc
samoprocjene	samoprocjena	Ncfsg
sustava	sustav	Ncmsg
unutarnjih	unutarnji	Agpfpgy
kontrola	kontrola	Ncfpg

c	C	Npmsn
)	)	Z
po	po	Sl
potrebi	potreba	Ncfsl
izrađuje	izrađivati	Vmr3s
dodatne	dodatan	Agpfpay
upute	uputa	Ncfpa
i	i	Cc
smjernice	smjernica	Ncfpa
o	o	Sl
primjeni	primjena	Ncfsl
internih	interni	Agpmpgy
akata	akt	Ncmpg
iz	iz	Sg
točke	točka	Ncfsg
a	a	Cc
)	)	Z
ovoga	ovaj	Pd-msg
stavka	stavak	Ncmsg
,	,	Z
daje	davati	Vmr3s
tumačenja	tumačenje	Ncnsg
i	i	Cc
pruža	pružati	Vmr3s
izobrazbu	izobrazba	Ncfsa
u	u	Sl
vezi	veza	Ncfsl
s	sa	Si
njihovom	njihov	Ps3fsi
primjenom	primjena	Ncfsi

d	d	Npmsn
)	)	Z
razvija	razvijati	Vmr3s
i	i	Cc
vodi	voditi	Vmr3s
računovodstveni	računovodstveni	Agpmsayn
sustav	sustav	Ncmsan
,	,	Z
uključujući	uključivati	Rr
troškovno	troškovan	Agpnsay
i	i	Cc
upravljačko	upravljački	Agpnsay
računovodstvo	računovodstvo	Ncnsa
na	na	Sl
razini	razina	Ncfsl
korisnika	korisnik	Ncmpg
proračuna	proračun	Ncmsg
i	i	Cc
korisnika	korisnik	Ncmpg
proračuna	proračun	Ncmsg
iz	iz	Sg
nadležnosti	nadležnost	Ncfsg
,	,	Z
gdje	gdje	Cs
je	biti	Var3s
primjenjivo	primjenjiv	Agpnsny

e	e	I
)	)	Z
pruža	pružati	Vmr3s
savjete	savjet	Ncmpa
i	i	Cc
potporu	potpora	Ncfsa
rukovoditeljima	rukovoditelj	Ncmpd
ustrojstvenih	ustrojstven	Agpfpgy
jedinica	jedinica	Ncfpg
,	,	Z
uključujući	uključivati	Rr
rukovoditelje	rukovoditelj	Ncmpa
korisnika	korisnik	Ncmpg
proračuna	proračun	Ncmsg
iz	iz	Sg
nadležnosti	nadležnost	Ncfsg
,	,	Z
u	u	Sl
oblikovanju	oblikovanje	Ncnsl
i	i	Cc
razvoju	razvoj	Ncmsl
sustava	sustav	Ncmsg
unutarnjih	unutarnji	Agpfpgy
kontrola	kontrola	Ncfpg
kojima	koji	Pi-mpi
se	sebe	Px--sa
osigurava	osiguravati	Vmr3s
da	da	Cs
su	biti	Var3p
financijski	financijski	Agpmpny
učinci	učinak	Ncmpn
poslovanja	poslovanje	Ncnsg
za	za	Sa
koje	koji	Pi-mpa
su	biti	Var3p
odgovorni	odgovoran	Agpmpny
rukovoditelji	rukovoditelj	Ncmpn
,	,	Z
na	na	Sa
vrijeme	vrijeme	Ncnsa
prepoznati	prepoznati	Appmpny
,	,	Z
adekvatno	adekvatno	Rgp
kontrolirani	kontrolirati	Appmpny
i	i	Cc
usmjeravani	usmjeravati	Appmpny
radi	radi	Sg
osiguranja	osiguranje	Ncnsg
pravilnog	pravilan	Agpnsgy
,	,	Z
etičnog	etičan	Agpmsgy
,	,	Z
ekonomičnog	ekonomičan	Agpmsgy
,	,	Z
učinkovitog	učinkovit	Agpmsgy
i	i	Cc
djelotvornog	djelotvoran	Agpnsgy
upravljanja	upravljanje	Ncnsg
sredstvima	sredstvo	Ncnpi

f	f	Npnsn
)	)	Z
koordinira	koordinirati	Vmr3s
provođenje	provođenje	Ncnsa
samoprocjene	samoprocjena	Ncfsg
sustava	sustav	Ncmsg
unutarnjih	unutarnji	Agpfpgy
kontrola	kontrola	Ncfpg
putem	put	Sg
Izjave	izjava	Ncfsg
o	o	Sl
fiskalnoj	fiskalan	Agpfsly
odgovornosti	odgovornost	Ncfsl
u	u	Sl
korisniku	korisnik	Ncmsl
proračuna	proračun	Ncmsg
i	i	Cc
institucijama	institucija	Ncfpi
iz	iz	Sg
nadležnosti	nadležnost	Ncfsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Jedinica	jedinica	Ncfsn
za	za	Sa
financije	financije	Ncfpa
iz	iz	Sg
stavka	stavak	Ncmsg
2.	2.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
pruža	pružati	Vmr3s
savjete	savjet	Ncmpa
i	i	Cc
potporu	potpora	Ncfsa
jedinicama	jedinica	Ncfpl
za	za	Sa
financije	financije	Ncfpa
u	u	Sl
korisnicima	korisnik	Ncmpl
proračuna	proračun	Ncmsg
iz	iz	Sg
nadležnosti	nadležnost	Ncfsg
radi	radi	Sg
primjene	primjena	Ncfsg
uputa	uputa	Ncfpg
i	i	Cc
smjernica	smjernica	Ncfsn
nadležnog	nadležan	Agpmsgy
korisnika	korisnik	Ncmsg
proračuna	proračun	Ncmsg
,	,	Z
razvoja	razvoj	Ncmsg
i	i	Cc
provođenja	provođenje	Ncnsg
kontrola	kontrola	Ncfpg
u	u	Sl
poslovnim	poslovan	Agpmply
procesima	proces	Ncmpl
,	,	Z
programima	program	Ncmpi
,	,	Z
projektima	projekt	Ncmpi
i	i	Cc
aktivnostima	aktivnost	Ncfpi
u	u	Sl
cilju	cilj	Ncmsl
osiguranja	osiguranje	Ncnsg
pravilnog	pravilan	Agpmsgy
,	,	Z
etičnog	etičan	Agpmsgy
,	,	Z
ekonomičnog	ekonomičan	Agpmsgy
,	,	Z
učinkovitog	učinkovit	Agpmsgy
i	i	Cc
djelotvornog	djelotvoran	Agpnsgy
raspolaganja	raspolaganje	Ncnsg
dodijeljenim	dodijeljen	Agpnpiy
financijskim	financijski	Agpnpiy
sredstvima	sredstvo	Ncnpi
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Jedinica	jedinica	Ncfsn
za	za	Sa
financije	financije	Ncfpa
u	u	Sl
izvanproračunskom	izvanproračunski	Agpmsly
korisniku	korisnik	Ncmsl

