obzirom	obzir	Ncmsi
excel	excel	Ncmsn
)	)	Z
na	na	Sl
temelju	temelj	Ncmsl
podataka	podatak	Ncmpg
unesenih	unijeti	Appmpgy
u	u	Sa
TABLICU	tablica	Ncfsa
8.	8.	Mdo

Tablica	tablica	Ncfsn
8	8	Mdc
a	a	Cc
daje	davati	Vmr3s
prikaz	prikaz	Ncmsan
podataka	podatak	Ncmpg
o	o	Sl
realiziranom	realizirati	Agpmsly
broju	broj	Ncmsl
nadzora	nadzor	Ncmsg
u	u	Sl
usporedbi	usporedba	Ncfsl
s	sa	Si
ukupnim	ukupan	Agpmsiy
planiranim	planiran	Agpmsiy
godišnjim	godišnji	Agpmsiy
brojem	broj	Ncmsi
nadzora	nadzor	Ncmsg
te	te	Cc
podatke	podatak	Ncmpa
o	o	Sl
realiziranom	realizirati	Agpmsly
udjelu	udjel	Ncmsl
(	(	Z
u	u	Sl
postotku	postotak	Ncmsl
)	)	Z
predmeta	predmet	Ncmsg
nadzora	nadzor	Ncmsg
(	(	Z
prikazanom	prikazan	Agpmsly
kroz	kroz	Sa
osam	osam	Mlc
skupina	skupina	Ncfpg
premeta	premet	Ncmsg
nadzora	nadzor	Ncmsg
)	)	Z
prema	prema	Sl
planiranom	planiran	Agpmsly
godišnjem	godišnji	Agpmsly
udjelu	udjel	Ncmsl
skupina	skupina	Ncfsn
predmeta	predmet	Ncmsg
nadzora	nadzor	Ncmsg
u	u	Sl
ukupnom	ukupan	Agpmsly
planiranom	planiran	Agpmsly
godišnjem	godišnji	Agpmsly
broju	broj	Ncmsl
nadzora	nadzor	Ncmsg
.	.	Z

TABLICA	tablica	Ncfsn
8.	8.	Mdo
b.	b.	Mdo
BROJ	broj	Ncmsn
I	i	Cc
VRSTA	vrsta	Ncfsn
PREDMETA	predmet	Ncmpg
KOJE	koji	Pi-mpa
INSPEKTOR	inspektor	Ncmsn
(	(	Z
ime	ime	Ncnsa
i	i	Cc
prezime	prezime	Ncnsa
)	)	Z
TREBA	trebati	Vmr3s
OBAVITI	obaviti	Vmn
DA	da	Cs
BI	biti	Vaa3s
ISPUNIO	ispuniti	Vmp-sm
PLAN	plan	Ncmsan
ZA	za	Sa
TEKUĆU	tekući	Agpfsay
GODINU	godina	Ncfsa

Tablica	tablica	Ncfsn
8	8	Mdc
b.	b.	Y
se	sebe	Px--sa
ne	ne	Qz
ispunjava	ispunjavati	Vmr3s
već	već	Rgp
se	sebe	Px--sa
ona	on	Pp3fsn
formira	formirati	Vmr3s
automatski	automatski	Rgp
(	(	Z
excel	excel	Ncmsn
)	)	Z
na	na	Sl
temelju	temelj	Ncmsl
podataka	podatak	Ncmpg
unesenih	unijeti	Appmpgy
u	u	Sa
TABLICU	tablica	Ncfsa
8.	8.	Mdo
te	te	Cc
podataka	podatak	Ncmpg
iz	iz	Sg
TABLICE	tablica	Ncfsg
8.	8.	Mdo
a.	aa	Ncfsg

Tablica	tablica	Ncfsn
služi	služiti	Vmr3s
za	za	Sa
usmjeravanje	usmjeravanje	Ncnsa
inspektora	inspektor	Ncmpg
pri	pri	Sl
planiranju	planiranje	Ncnsl
broja	broj	Ncmsg
i	i	Cc
vrste	vrsta	Ncfsg
predmeta	predmet	Ncmpg
nadzora	nadzor	Ncmpg
nad	nad	Si
kojima	koji	Pi-mpi
je	biti	Var3s
potrebno	potreban	Agpnsny
obaviti	obaviti	Vmn
inspekcijske	inspekcijski	Agpmpay
nadzore	nadzor	Ncmpa
da	da	Cs
bi	biti	Vaa3s
se	sebe	Px--sa
ispunio	ispuniti	Vmp-sm
plan	plan	Ncmsn
do	do	Sg
konca	konac	Ncmsg
tekuće	tekući	Agpfsgy
godine	godina	Ncfsg
.	.	Z

9.	9.	Mdo
IZVJEŠĆE	izvješće	Ncnsn
INSPEKTORA	inspektor	Ncmpg
(	(	Z
ime	ime	Ncnsa
i	i	Cc
prezime	prezime	Ncnsa
)	)	Z
O	o	Sl
OBAVLJENIM	obaviti	Agpmply
INSPEKCIJSKIM	inspekcijski	Agpmply
POSLOVIMA	posao	Ncmpl
U	u	Sl
TEKUĆOJ	tekući	Agpfsly
GODINI	godina	Ncfsl

O	o	Sl
poslovima	posao	Ncmpl
koji	koji	Pi-mpn
nisu	biti	Var3p
vidljivi	vidljiv	Agpmpny
iz	iz	Sg
tabličnih	tablični	Agpnpgy
izvješća	izvješće	Ncnpg
kao	kao	Cs
i	i	Cc
poslovima	posao	Ncmpl
izvan	izvan	Sg
inspekcijskog	inspekcijski	Agpmsgy
nadzora	nadzor	Ncmsg
ustrojava	ustrojavati	Vmr3s
se	sebe	Px--sa
zasebna	zaseban	Agpfsny
evidencija	evidencija	Ncfsn
iz	iz	Sg
koje	koji	Pi-fsg
se	sebe	Px--sa
vidi	vidjeti	Vmr3s
i	i	Cc
ostala	ostali	Agpfsny
aktivnost	aktivnost	Ncfsn
inspektora	inspektor	Ncmsg
Državnog	državni	Agpmsgy
zavoda	zavod	Ncmsg
za	za	Sa
mjeriteljstvo	mjeriteljstvo	Ncnsa
(	(	Z
izvješće	izvješće	Ncnsa
o	o	Sl
nadzorima	nadzor	Ncmpl
s	sa	Si
važnim	važan	Agpfpiy
napomenama	napomena	Ncfpi
,	,	Z
sudjelovanje	sudjelovanje	Ncnsa
u	u	Sl
koordinaciji	koordinacija	Ncfsl
inspekcija	inspekcija	Ncfpg
,	,	Z
drugi	drugi	Mlompn
inspekcijski	inspekcijski	Agpmpny
poslovi	posao	Ncmpn
i	i	Cc
sl.	sl.	Y
)	)	Z
.	.	Z

Članak	članak	Ncmsn
5.	5.	Mdo

Podaci	podatak	Ncmpn
sadržani	sadržati	Appmpny
u	u	Sl
očevidniku	očevidnik	Ncmsl
obvezno	obvezno	Rgp
se	sebe	Px--sa
koriste	koristiti	Vmr3p
prilikom	prilikom	Sg
sastavljanja	sastavljanje	Ncnsg
godišnjih	godišnji	Agpnpgy
i	i	Cc
drugih	drugi	Mlonpg
izvješća	izvješće	Ncnpg
o	o	Sl
radu	rad	Ncmsl
Samostalne	samostalan	Agpfsgy
službe	služba	Ncfsg
za	za	Sa
mjeriteljsku	mjeriteljski	Agpfsay
inspekciju	inspekcija	Ncfsa
Državnog	državni	Agpmsgy
zavoda	zavod	Ncmsg
za	za	Sa
mjeriteljstvo	mjeriteljstvo	Ncnsa
kao	kao	Cs
i	i	Qo
za	za	Sa
izradu	izrada	Ncfsa
planova	plan	Ncmpg
rada	rad	Ncmsg
(	(	Z
mjesečni	mjesečan	Agpmpny
,	,	Z
godišnji	godišnji	Agpmsny
plan	plan	Ncmsn
rada	rad	Ncmsg
i	i	Cc
sl.	sl.	Y
)	)	Z
.	.	Z

Članak	članak	Ncmsn
6.	6.	Mdo

Ovaj	ovaj	Pd-msn
Pravilnik	pravilnik	Ncmsn
stupa	stupati	Vmr3s
na	na	Sa
snagu	snaga	Ncfsa
osmoga	osmi	Mlomsg
dana	dan	Ncmsg
od	od	Sg
dana	dan	Ncmsg
objave	objava	Ncfsg
u	u	Sl
»	»	Z
Narodnim	narodni	Agpfply
novinama	novina	Ncfpl
«	«	Z
.	.	Z

Klasa	klasa	Ncfsn
:	:	Z
011/01/15	011/01/15	Mdc
-	-	Z
01/03	01/03	Mdc

Urbroj	urbroj	Ncmsn
:	:	Z
558	558	Mdc
-	-	Z
05/1	05/1	Mdc
-	-	Z
15	15	Mdc
-	-	Z
1	1	Mdc

Zagreb	Zagreb	Npmsn
,	,	Z
23.	23.	Mdo
ožujka	ožujak	Ncmsg
2015.	2015.	Mdo

Zamjenik	zamjenik	Ncmsn
ravnatelja	ravnatelj	Ncmsg
Državnog	državni	Agpmsgy
zavoda	zavod	Ncmsg
za	za	Sa
mjeriteljstvo	mjeriteljstvo	Ncnsa
mr.	mr.	Y
sc.	sc.	Y
Božidar	Božidar	Npmsn
Ljubić	Ljubić	Npmsn
,	,	Z
dipl.	dipl.	Y
ing.	ing.	Y
,	,	Z
v.	v.	Y
r.	r.	Y

Očevidnik	očevidnik	Ncmsn
mjeriteljskog	mjeriteljski	Agpmsgy
inspektora	inspektor	Ncmsg
(	(	Z
obrazac	obrazac	Ncmsn
OMI	om	Ncmpn
)	)	Z

