kontejnerima	kontejner	Ncmpi
uporabe	uporaba	Ncfsg
koji	koji	Pi-mpn
po	po	Sl
posebnim	poseban	Agpmply
propisima	propis	Ncmpl
Europske	europski	Agpfsgy
unije	unija	Ncfsg
podliježu	podlijegati	Vmr3p
pojačanom	pojačati	Appmsdy
nadzoru	nadzor	Ncmsl
pri	pri	Sl
uvozu	uvoz	Ncmsl
iznose	iznositi	Vmr3p
:	:	Z

a	a	Cc
)	)	Z
1.	1.	Mdo
pošiljke	pošiljka	Ncfsg
do	do	Sg
50	50	Mdc
tona	tona	Ncfpg
–	–	Z
350,00	350,00	Mdc
kuna	kuna	Ncfpg

2.	2.	Mdo
pošiljke	pošiljka	Ncfsg
od	od	Sg
50	50	Mdc
do	do	Sg
500	500	Mdc
tona	tona	Ncfpg
–	–	Z
700,00	700,00	Mdc
kuna	kuna	Ncfpg

3.	3.	Mdo
pošiljke	pošiljka	Ncfsg
iznad	iznad	Sg
500	500	Mdc
tona	tona	Ncfpg
–	–	Z
3.000,00	3.000,00	Mdc
kuna	kuna	Ncfpg

b	b	I
)	)	Z
pošiljke	pošiljka	Ncfpn
koje	koji	Pi-fpn
se	sebe	Px--sa
prevoze	prevoziti	Vmr3p
kao	kao	Cs
rasuti	rasut	Agpmsny
teret	teret	Ncmsn
:	:	Z

1.	1.	Mdo
po	po	Sl
brodu	brod	Ncmsl
s	sa	Si
teretom	teret	Ncmsi
do	do	Sg
500	500	Mdc
tona	tona	Ncfpg
–	–	Z
1.000,00	1.000,00	Mdc
kuna	kuna	Ncfpg

2.	2.	Mdo
po	po	Sl
brodu	brod	Ncmsl
s	sa	Si
teretom	teret	Ncmsi
od	od	Sg
500	500	Mdc
do	do	Sg
2000	2000	Mdc
tona	tona	Ncfpg
–	–	Z
2.000,00	2.000,00	Mdc
kuna	kuna	Ncfpg

3.	3.	Mdo
po	po	Sl
brodu	brod	Ncmsl
s	sa	Si
teretom	teret	Ncmsi
iznad	iznad	Sg
2000	2000	Mdc
tona	tona	Ncfpg
–	–	Z
3.500,00	3.500,00	Mdc
kuna	kuna	Ncfpg
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Naknade	naknada	Ncfsg
iz	iz	Sg
stavka	stavak	Ncmsg
3.	3.	Mdo
i	i	Cc
4.	4.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
koje	koji	Pi-fpn
se	sebe	Px--sa
odnose	odnositi	Vmr3p
na	na	Sa
troškove	trošak	Ncmpa
pri	pri	Sl
uvozu	uvoz	Ncmsl
,	,	Z
uvoznik	uvoznik	Ncmsn
uplaćuje	uplaćivati	Vmr3s
novčanom	novčan	Agpfsiy
uplatnicom	uplatnica	Ncfsi
u	u	Sa
korist	korist	Ncfsa
sredstava	sredstvo	Ncnpg
Državnog	državni	Agpmsgy
proračuna	proračun	Ncmsg
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
člankom	članak	Ncmsi
6.	6.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
.	.	Z

(	(	Z
6	6	Mdc
)	)	Z
Iznimno	iznimno	Rgp
od	od	Sg
odredbe	odredba	Ncfsg
stavka	stavak	Ncmsg
4.	4.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
za	za	Sa
pošiljke	pošiljka	Ncfpa
koje	koji	Pi-fpn
su	biti	Var3p
upućene	uputiti	Appfpny
iz	iz	Sg
nekih	neki	Agpfpgy
država	država	Ncfpg
članica	članica	Ncfpg
Europske	europski	Agpfsgy
unije	unija	Ncfsg
u	u	Sa
Republiku	republika	Ncfsa
Hrvatsku	Hrvatska	Npfsa
,	,	Z
a	a	Cc
koje	koji	Pi-fpn
su	biti	Var3p
odobrene	odobren	Agpfpny
kao	kao	Cs
»	»	Z
daljnji	daljnji	Agpmsny
prijevoz	prijevoz	Ncmsn
pošiljke	pošiljka	Ncfsg
«	«	Z
,	,	Z
a	a	Cc
radi	raditi	Vmr3s
se	sebe	Px--sa
o	o	Sl
pošiljci	pošiljka	Ncfsl
koja	koji	Pi-fsn
čeka	čekati	Vmr3s
rezultate	rezultat	Ncmpa
fizičkih	fizički	Agpmpgy
pregleda	pregled	Ncmpg
koje	koji	Pi-mpa
je	biti	Var3s
provela	provesti	Vmp-sf
druga	drugi	Mlofsn
država	država	Ncfsn
članica	članica	Ncfpg
i	i	Cc
uvoznik	uvoznik	Ncmsn
pri	pri	Sl
uvozu	uvoz	Ncmsl
posjeduje	posjedovati	Vmr3s
ovjerenu	ovjeriti	Agpfsay
presliku	preslika	Ncfsa
izvornog	izvoran	Agpmsgy
CED-a	CED	Npmsg
,	,	Z
naknada	naknada	Ncfsn
se	sebe	Px--sa
ne	ne	Qz
naplaćuje	naplaćivati	Vmr3s
.	.	Z

Troškovi	trošak	Ncmpn
provedbe	provedba	Ncfsg
analize	analiza	Ncfsg

Članak	članak	Ncmsn
5.	5.	Mdo

Troškove	trošak	Ncmpa
provedbe	provedba	Ncfsg
analize	analiza	Ncfsg
uzorka	uzorak	Ncmsg
hrane	hrana	Ncfsg
i	i	Cc
predmeta	predmet	Ncmpg
opće	opći	Agpfsgy
uporabe	uporaba	Ncfsg
koji	koji	Pi-mpn
su	biti	Var3p
uzeti	uzeti	Vmn
prilikom	prilikom	Sg
službene	služben	Agpfsgy
kontrole	kontrola	Ncfsg
uvoza	uvoz	Ncmsg
snosi	snositi	Vmr3s
uvoznik	uvoznik	Ncmsn
pošiljke	pošiljka	Ncfsg
.	.	Z

Troškovi	trošak	Ncmpn
se	sebe	Px--sa
plaćaju	plaćati	Vmr3p
izravno	izravno	Rgp
laboratoriju	laboratorij	Ncmsl
,	,	Z
na	na	Sl
temelju	temelj	Ncmsl
izdanog	izdan	Agpmsgy
računa	račun	Ncmsg
od	od	Sg
strane	strana	Ncfsg
laboratorija	laboratorij	Ncmsg
u	u	Sl
smislu	smisao	Ncmsl
članka	članak	Ncmsg
25.	25.	Mdo

Zakona	zakon	Ncmsg
o	o	Sl
službenim	služben	Agpfply
kontrolama	kontrola	Ncfpl
koje	koji	Pi-fpn
se	sebe	Px--sa
provode	provoditi	Vmr3p
sukladno	sukladno	Rgp
propisima	propis	Ncmpd
o	o	Sl
hrani	hrana	Ncfsl
,	,	Z
hrani	hrana	Ncfsl
za	za	Sa
životinje	životinja	Ncfpa
,	,	Z
o	o	Sl
zdravlju	zdravlje	Ncnsl
i	i	Cc
dobrobiti	dobrobit	Ncfsl
životinja	životinja	Ncfpg
(	(	Z
»	i	Agpfpny
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
broj	broj	Ncmsn
81/2013	81/2013	Mds
i	i	Cc
14/2014	14/2014	Mds
)	)	Z
te	te	Cc
članka	članak	Ncmsg
32.	32.	Mdo

Zakona	zakon	Ncmsg
o	o	Sl
predmetima	predmet	Ncmpl
opće	opći	Agpfsgy
uporabe	uporaba	Ncfsg
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
broj	broj	Ncmsn
39/2013	39/2013	Mds
i	i	Cc
47/2014	47/2014	Mds
)	)	Z
.	.	Z

Članak	članak	Ncmsn
6.	6.	Mdo

Naknade	naknada	Ncfpn
utvrđene	utvrditi	Appfpny
ovim	ovaj	Pd-msi
Pravilnikom	pravilnik	Ncmsi
,	,	Z
osim	osim	Sg
naknade	naknada	Ncfsg
iz	iz	Sg
članka	članak	Ncmsg
5.	5.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
,	,	Z
uplaćuju	uplaćivati	Vmr3p
se	sebe	Px--sa
novčanom	novčan	Agpfsiy
uplatnicom	uplatnica	Ncfsi
u	u	Sa
korist	korist	Ncfsa
sredstava	sredstvo	Ncnpg
Državnog	državni	Agpmsgy
proračuna	proračun	Ncmsg
na	na	Sa
račun	račun	Ncmsan
broj	broj	Ncmsan
:	:	Z
HR1210010051863000160	HR1210010051863000160	Mds
,	,	Z
model	model	Ncmsn
HR62	HR62	X
s	sa	Si
pozivom	poziv	Ncmsi
na	na	Sa
broj	broj	Ncmsan
:	:	Z
7005	7005	Mdc
-	-	Z
47107	47107	Mdc
-	-	Z
100650.	100650.	Mdo

Članak	članak	Ncmsn
7.	7.	Mdo

Neovisno	neovisan	Agpnsny
o	o	Sl
odredbama	odredba	Ncfpl
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
,	,	Z
upravne	upravan	Agpfpny
pristojbe	pristojba	Ncfpn
naplaćuju	naplaćivati	Vmr3p
se	sebe	Px--sa
sukladno	sukladno	Rgp
odredbama	odredba	Ncfpi
posebnog	poseban	Agpmsgy
propisa	propis	Ncmsg
koji	koji	Pi-msn
uređuje	uređivati	Vmr3s
naplatu	naplata	Ncfsa
upravnih	upravan	Agpfpgy
pristojbi	pristojba	Ncfpg
.	.	Z

Članak	članak	Ncmsn
8.	8.	Mdo

Stupanjem	stupanje	Ncnsi
na	na	Sa
snagu	snaga	Ncfsa
ovog	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
prestaje	prestajati	Vmr3s
važiti	važiti	Vmn
Pravilnik	pravilnik	Ncmsan
o	o	Sl
visini	visina	Ncfsl
i	i	Cc
načinu	način	Ncmsl
plaćanja	plaćanje	Ncnsg
naknade	naknada	Ncfsg
za	za	Sa
pokrivanje	pokrivanje	Ncnsa
troškova	trošak	Ncmpg
nadzora	nadzor	Ncmsg
i	i	Cc
utvrđivanja	utvrđivanje	Ncnsg
zdravstvene	zdravstven	Agpfsgy
ispravnosti	ispravnost	Ncfsg
namirnica	namirnica	Ncfpg
i	i	Cc
predmeta	predmet	Ncmpg
opće	opći	Agpfsgy
uporabe	uporaba	Ncfsg
koji	koji	Pi-mpn
se	sebe	Px--sa
uvoze	uvoziti	Vmr3p
u	u	Sa
Republiku	republika	Ncfsa
Hrvatsku	Hrvatska	Npfsa
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
broj	broj	Ncmsn
7/1994	7/1994	Mds
i	i	Cc
2/2000	2/2000	Mds
)	)	Z
.	.	Z

Članak	članak	Ncmsn
9.	9.	Mdo

Ovaj	ovaj	Pd-msn
Pravilnik	pravilnik	Ncmsn
stupa	stupati	Vmr3s
na	na	Sa
snagu	snaga	Ncfsa
prvoga	prvi	Mlomsg
dana	dan	Ncmsg
od	od	Sg
dana	dan	Ncmsg
objave	objava	Ncfsg
u	u	Sl
»	»	Z
Narodnim	narodni	Agpfply
novinama	novina	Ncfpl
«	«	Z
.	.	Z

Klasa	klasa	Ncfsn
:	:	Z
011	011	Mdc
-	-	Z
02/14	02/14	Mdc
-	-	Z
04/33	04/33	Mdc

Urbroj	urbroj	Ncmsn
:	:	Z
534	534	Mdc
-	-	Z
02	02	Mdc
-	-	Z
1	1	Mdc
-	-	Z
1/3	1/3	Mdc
-	-	Z
14	14	Mdc
-	-	Z
5	5	Mdc

Zagreb	Zagreb	Npmsn
,	,	Z
27.	27.	Mdo
srpnja	srpanj	Ncmsg
2015.	2015.	Mdo

Ministar	ministar	Ncmsn
prim	prim	Ncmsan
.	.	Z

Siniša	Siniša	Npfsn
Varga	Varga	Npfsn
,	,	Z
dr.	dr.	Y
med	med	Ncmsan
.	.	Z
dent	dent	Ncmsan
.	.	Z
,	,	Z
v.	v.	Y
r.	r.	Y

