Pravilnika	pravilnik	Ncmpg
o	o	Sl
rentnom	rentni	Agpnsly
osiguranju	osiguranje	Ncnsl

Članak	članak	Ncmsn
46.	46.	Mdo

Skupni	skupni	Agpmsny
ugovor	ugovor	Ncmsn
o	o	Sl
rentnom	rentni	Agpnsly
osiguranju	osiguranje	Ncnsl
podrazumijeva	podrazumijevati	Vmr3s
ugovor	ugovor	Ncmsan
o	o	Sl
rentnom	rentni	Agpnsly
osiguranju	osiguranje	Ncnsl
u	u	Sl
kojem	koji	Pi-nsl
su	biti	Var3p
vjerovnici	vjerovnik	Ncmpn
fizičke	fizički	Agpfpny
osobe	osoba	Ncfpn
povezane	povezati	Appfpny
putem	put	Sg
poslodavca	poslodavac	Ncmsg
,	,	Z
trgovinskog	trgovinski	Agpnsgy
udruženja	udruženje	Ncnsg
,	,	Z
sindikata	sindikat	Ncmpg
ili	ili	Cc
drugog	drugi	Agpnsgy
udruženja	udruženje	Ncnsg
skupine	skupina	Ncfsg
.	.	Z

6.5.	6.5.	Mdo

Skupni	skupni	Agpmpny
ugovori	ugovor	Ncmpn
o	o	Sl
osiguranju	osiguranje	Ncnsl
i	i	Cc
skupni	skupni	Agpmpny
ugovori	ugovor	Ncmpn
o	o	Sl
rentnom	rentni	Agpnsly
osiguranju	osiguranje	Ncnsl
uz	uz	Sa
mogućnost	mogućnost	Ncfsa
isplate	isplata	Ncfsg
otkupne	otkupni	Agpfsgy
vrijednosti	vrijednost	Ncfsg
police	polica	Ncfsg

Članak	članak	Ncmsn
47.	47.	Mdo

Izvještajne	izvještajni	Agpfpny
financijske	financijski	Agpfpny
institucije	institucija	Ncfpn
mogu	moći	Vmr3p
smatrati	smatrati	Vmn
financijski	financijski	Agpmsayn
račun	račun	Ncmsan
koji	koji	Pi-msn
je	biti	Var3s
udio	udjel	Ncmsn
člana	član	Ncmsg
u	u	Sl
skupnom	skupni	Agpmsly
ugovoru	ugovor	Ncmsl
o	o	Sl
osiguranju	osiguranje	Ncnsl
ili	ili	Cc
skupnom	skupni	Agpmsly
ugovoru	ugovor	Ncmsl
o	o	Sl
rentnom	rentni	Agpnsly
osiguranju	osiguranje	Ncnsl
uz	uz	Sa
mogućnost	mogućnost	Ncfsa
isplate	isplata	Ncfsg
otkupne	otkupni	Agpfsgy
vrijednosti	vrijednost	Ncfsg
police	polica	Ncfsg
,	,	Z
financijskim	financijski	Agpmsiy
računom	račun	Ncmsi
o	o	Sl
kojem	koji	Pi-msl
se	sebe	Px--sa
ne	ne	Qz
izvješćuje	izvješćivati	Vmr3s
do	do	Sg
datuma	datum	Ncmsg
na	na	Sa
koji	koji	Pi-msan
se	sebe	Px--sa
iznos	iznos	Ncmsn
isplaćuje	isplaćivati	Vmr3s
zaposleniku	zaposlenik	Ncmsd
/	/	Z
imatelju	imatelj	Ncmsl
certifikata	certifikat	Ncmsg
ili	ili	Cc
korisniku	korisnik	Ncmsl
,	,	Z
ako	ako	Cs
financijski	financijski	Agpmsny
račun	račun	Ncmsn
koji	koji	Pi-msn
je	biti	Var3s
udio	udjel	Ncmsn
člana	član	Ncmsg
u	u	Sl
skupnom	skupni	Agpmsly
ugovoru	ugovor	Ncmsl
o	o	Sl
osiguranju	osiguranje	Ncnsl
ili	ili	Cc
skupnom	skupni	Agpmsly
ugovoru	ugovor	Ncmsl
o	o	Sl
rentnom	rentni	Agpnsly
osiguranju	osiguranje	Ncnsl
uz	uz	Sa
mogućnost	mogućnost	Ncfsa
isplate	isplata	Ncfsg
otkupne	otkupni	Agpfsgy
vrijednosti	vrijednost	Ncfsg
police	polica	Ncfsg
ispunjava	ispunjavati	Vmr3s
sljedeće	sljedeći	Agpmpay
uvjete	uvjet	Ncmpa
:	:	Z

1.	1.	Mdo
skupni	skupni	Agpmsayn
ugovor	ugovor	Ncmsan
o	o	Sl
osiguranju	osiguranje	Ncnsl
ili	ili	Cc
skupni	skupni	Agpmsayn
ugovor	ugovor	Ncmsan
o	o	Sl
rentnom	rentni	Agpnsly
osiguranju	osiguranje	Ncnsl
uz	uz	Sa
mogućnost	mogućnost	Ncfsa
isplate	isplata	Ncfsg
otkupne	otkupni	Agpfsgy
vrijednosti	vrijednost	Ncfsg
police	polica	Ncfsg
izdan	izdati	Appmsnn
je	biti	Var3s
poslodavcu	poslodavac	Ncmsd
i	i	Cc
obuhvaća	obuhvaćati	Vmr3s
25	25	Mdc
ili	ili	Cc
više	mnogo	Rgc
zaposlenika	zaposlenik	Ncmpg
/	/	Z
imatelja	imatelj	Ncmsg
certifikata	certifikat	Ncmsg
,	,	Z

2.	2.	Mdo
zaposlenici	zaposlenik	Ncmpn
/	/	Z
imatelji	imatelj	Ncmpn
certifikata	certifikat	Ncmsg
imaju	imati	Vmr3p
pravo	pravo	Ncnsa
primiti	primiti	Vmn
svaku	svaki	Pi-fsa
ugovorenu	ugovoriti	Agpfsay
vrijednost	vrijednost	Ncfsa
koja	koji	Pi-fsn
se	sebe	Px--sa
odnosi	odnositi	Vmr3s
na	na	Sa
njihove	njihov	Ps3mpa
udjele	udjel	Ncmpa
i	i	Cc
imenovati	imenovati	Vmn
korisnike	korisnik	Ncmpa
naknade	naknada	Ncfsg
koja	koji	Pi-fsn
se	sebe	Px--sa
isplaćuje	isplaćivati	Vmr3s
u	u	Sl
slučaju	slučaj	Ncmsl
zaposlenikove	zaposlenikov	Agpfsgy
smrti	smrt	Ncfsg
i	i	Cc

3.	3.	Mdo
agregirani	agregirati	Appmsayn
iznos	iznos	Ncmsan
koji	koji	Pi-msn
se	sebe	Px--sa
isplaćuje	isplaćivati	Vmr3s
svakom	svaki	Pi-msd
zaposleniku	zaposlenik	Ncmsd
/	/	Z
imatelju	imatelj	Ncmsl
certifikata	certifikat	Ncmsg
ili	ili	Cc
korisniku	korisnik	Ncmsl
nije	biti	Var3s
veći	velik	Agcmsny
od	od	Sg
kunskog	kunski	Agpmsgy
iznosa	iznos	Ncmsg
koji	koji	Pi-msn
odgovara	odgovarati	Vmr3s
iznosu	iznos	Ncmsd
1.000.000	1.000.000	Mdc
USD	US	Npmsg
.	.	Z

6.6.	6.6.	Mdo

Pravila	pravilo	Ncnpn
o	o	Sl
agregiranju	agregiranje	Ncnsl
stanja	stanje	Ncnsg
računa	račun	Ncmsg
i	i	Cc
valuti	valuta	Ncfsl

Članak	članak	Ncmsn
48.	48.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Radi	radi	Sg
utvrđivanja	utvrđivanje	Ncnsg
agregiranog	agregirati	Agpnsgy
stanja	stanje	Ncnsg
ili	ili	Cc
vrijednosti	vrijednost	Ncfsg
financijskih	financijski	Agpmpgy
računa	račun	Ncmpg
fizičke	fizički	Agpfsgy
osobe	osoba	Ncfsg
ili	ili	Cc
subjekta	subjekt	Ncmsg
,	,	Z
izvještajne	izvještajni	Agpfpny
financijske	financijski	Agpfpny
institucije	institucija	Ncfpn
obvezne	obvezan	Agpfpny
su	biti	Var3p
agregirati	agregirati	Vmn
sve	sav	Agpmpay
financijske	financijski	Agpmpay
račune	račun	Ncmpa
koje	koji	Pi-fpn
vode	voditi	Vmr3p
izvještajne	izvještajni	Agpfpny
financijske	financijski	Agpfpny
institucije	institucija	Ncfpn
ili	ili	Cc
povezani	povezan	Agpmpny
subjekti	subjekt	Ncmpn
,	,	Z
ali	ali	Cc
samo	samo	Rgp
u	u	Sl
mjeri	mjera	Ncfsl
u	u	Sl
kojoj	koji	Pi-fsl
računalni	računalni	Agpmpny
sustavi	sustav	Ncmpn
izvještajnih	izvještajni	Agpfpgy
financijskih	financijski	Agpfpgy
institucija	institucija	Ncfpg
povezuju	povezivati	Vmr3p
financijske	financijski	Agpmpay
račune	račun	Ncmpa
s	sa	Si
obzirom	obzir	Ncmsi
na	na	Sa
podatkovni	podatkovni	Agpmsayn
element	element	Ncmsan
kao	kao	Cs
što	što	Cs
je	biti	Var3s
broj	broj	Ncmsn
stranaka	stranka	Ncfpg
ili	ili	Cc
porezni	porezni	Agpmsayn
identifikacijski	identifikacijski	Agpmsayn
broj	broj	Ncmsan
i	i	Cc
omogućuju	omogućivati	Vmr3p
agregiranje	agregiranje	Ncnsa
stanja	stanje	Ncnsg
ili	ili	Cc
vrijednosti	vrijednost	Ncfsg
po	po	Sl
računima	račun	Ncmpl
.	.	Z

Svakom	svaki	Pi-msl
imatelju	imatelj	Ncmsl
zajedničkog	zajednički	Agpmsgy
financijskog	financijski	Agpmsgy
računa	račun	Ncmsg
pripisuje	pripisivati	Vmr3s
se	sebe	Px--sa
ukupno	ukupan	Agpnsny
stanje	stanje	Ncnsn
ili	ili	Cc
vrijednost	vrijednost	Ncfsn
zajedničkog	zajednički	Agpmsgy
financijskog	financijski	Agpmsgy
računa	račun	Ncmsg
za	za	Sa
potrebe	potreba	Ncfpa
primjene	primjena	Ncfsg
uvjeta	uvjet	Ncmpg
agregiranja	agregiranje	Ncnsg
iz	iz	Sg
ovoga	ovaj	Pd-msg
stavka	stavak	Ncmsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Radi	radi	Sg
utvrđivanja	utvrđivanje	Ncnsg
agregiranog	agregirati	Agpnsgy
stanja	stanje	Ncnsg
ili	ili	Cc
vrijednosti	vrijednost	Ncfsg
financijskih	financijski	Agpmpgy
računa	račun	Ncmpg
pojedine	pojedini	Agpfsgy
osobe	osoba	Ncfsg
u	u	Sl
cilju	cilj	Ncmsl
utvrđivanja	utvrđivanje	Ncnsg
radi	raditi	Vmr3s
li	li	Cs
se	sebe	Px--sa
o	o	Sl
računu	račun	Ncmsl
velike	velik	Agpfsgy
vrijednosti	vrijednost	Ncfsg
,	,	Z
izvještajne	izvještajni	Agpfpny
financijske	financijski	Agpfpny
institucije	institucija	Ncfpn
obvezne	obvezan	Agpfpny
su	biti	Var3p
,	,	Z
kada	kada	Cs
se	sebe	Px--sa
radi	raditi	Vmr3s
o	o	Sl
financijskim	financijski	Agpmply
računima	račun	Ncmpl
za	za	Sa
koje	koji	Pi-mpa
osoba	osoba	Ncfsn
u	u	Sl
banci	banka	Ncfsl
zadužena	zadužiti	Appfsny
za	za	Sa
poslovanje	poslovanje	Ncnsa
sa	sa	Si
strankama	stranka	Ncfpi
sazna	saznati	Vmr3s
ili	ili	Cc
ima	imati	Vmr3s
razloga	razlog	Ncmpg
vjerovati	vjerovati	Vmn
da	da	Cs
su	biti	Var3p
u	u	Sl
izravnom	izravan	Agpmsly
ili	ili	Cc
neizravnom	neizravan	Agpnsly
vlasništvu	vlasništvo	Ncnsl
,	,	Z
pod	pod	Si
kontrolom	kontrola	Ncfsi
iste	isti	Agpfpay
osobe	osoba	Ncfpa
ili	ili	Cc
ih	oni	Pp3-pa
je	biti	Var3s
otvorila	otvoriti	Vmp-sf
ista	isti	Agpfsny
osoba	osoba	Ncfsn
(	(	Z
osim	osim	Cs
u	u	Sl
svojstvu	svojstvo	Ncnsl
fiducijara	fiducijar	Ncmpg
)	)	Z
,	,	Z
agregirati	agregirati	Vmn
takve	takav	Pd-mpa
račune	račun	Ncmpa
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Iznosi	iznositi	Vmr3s
izraženi	izraziti	Appmpny
u	u	Sl
kunama	kuna	Ncfpl
preračunavaju	preračunavati	Vmr3p
se	sebe	Px--sa
u	u	Sa
iznose	iznos	Ncmpa
stranih	stran	Agpfpgy
valuta	valuta	Ncfpg
primjenom	primjena	Ncfsi
srednjeg	srednji	Agpmsgy
tečaja	tečaj	Ncmsg
Hrvatske	hrvatski	Agpfsgy
narodne	narodni	Agpfsgy
banke	banka	Ncfsg
na	na	Sa
dan	dan	Ncmsan
utvrđivanja	utvrđivanje	Ncnsg
stanja	stanje	Ncnsg
ili	ili	Cc
vrijednosti	vrijednost	Ncfsg
financijskih	financijski	Agpmpgy
računa	račun	Ncmpg
.	.	Z

7.	7.	Mdo
Pojmovi	pojam	Ncmpn

Članak	članak	Ncmsn
49.	49.	Mdo

U	u	Sl
člancima	članak	Ncmpl
50.	50.	Mdo
do	do	Sg
83.	83.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
propisuje	propisivati	Vmr3s
se	sebe	Px--sa
značenje	značenje	Ncnsn
pojmova	pojam	Ncmpg
u	u	Sl
smislu	smisao	Ncmsl
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
.	.	Z

7.1.	7.1.	Mdo

Izvještajna	izvještajni	Agpfsny
financijska	financijski	Agpfsny
institucija	institucija	Ncfsn

Članak	članak	Ncmsn
50.	50.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Izvještajna	izvještajni	Agpfsny
financijska	financijski	Agpfsny
institucija	institucija	Ncfsn
podrazumijeva	podrazumijevati	Vmr3s
svaku	svaki	Pi-fsa
hrvatsku	hrvatski	Agpfsay
financijsku	financijski	Agpfsay
instituciju	institucija	Ncfsa
koja	koji	Pi-fsn
nije	biti	Var3s
neizvještajna	neizvještajan	Agpfsny
financijska	financijski	Agpfsny
institucija	institucija	Ncfsn
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Izvještajna	izvještajni	Agpfsny
financijska	financijski	Agpfsny
institucija	institucija	Ncfsn
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
podrazumijeva	podrazumijevati	Vmr3s
svaku	svaki	Pi-fsa
financijsku	financijski	Agpfsay
instituciju	institucija	Ncfsa
koja	koji	Pi-fsn
je	biti	Var3s
rezident	rezident	Ncfsn
u	u	Sl
Republici	republika	Ncfsl
Hrvatskoj	Hrvatska	Npfsl
,	,	Z

