Začretje	začretje	Ncnsn
51219	51219	Mdc
Čavle	Čavle	Npfsn
484.	484.	Mdo

U-II-5807	U-II-5807	X
/	/	Z
2014	2014	Mdc
–	–	Z
Pernar	Pernar	Npmsn
Marija	Marija	Npfsn
,	,	Z
Bože	Bože	Npfsn
Starca	Starca	Npfsn
Jurićeva	Jurićeva	Npfsn
13	13	Mdc
,	,	Z
51000	51000	Mdc
Rijeka	Rijeka	Npfsn
485.	485.	Mdo

U-II-5808	U-II-5808	X
/	/	Z
2014	2014	Mdc
–	–	Z
Matijaš	Matija	Npmsg
Ksenija	Kseni	Npmsg
,	,	Z
Studena	Studen	Npmsg
22	22	Mdc
D	D	Y
,	,	Z
51217	51217	Mdc
Klana	klan	Ncmsg
486.	486.	Mdo

U-II-5809	U-II-5809	X
/	/	Z
2014	2014	Mdc
–	–	Z
Salamon	Salamo	Npmsg
Ksenija	Kseni	Npmsg
,	,	Z
Pulac	Pulac	Npmsn
15	15	Mdc
,	,	Z
51000	51000	Mdc
Rijeka	Rijeka	Npfsn
487.	487.	Mdo

U-II-5810	U-II-5810	X
/	/	Z
2014	2014	Mdc
–	–	Z
Francetić	Francetić	Npfsn
Kristina	Kristina	Npfsn
,	,	Z
Ulica	ulica	Ncfsn
1.	1.	Mdo
Istarske	istarski	Agpfsgy
čete	četa	Ncfsg
7	7	Mdc
,	,	Z
51410	51410	Mdc
Opatija	opatija	Ncfsn
488.	488.	Mdo

U-II-5811	U-II-5811	X
/	/	Z
2014	2014	Mdc
–	–	Z
Sablić	Sablić	Npfsn
Branka	Branka	Npfsn
,	,	Z
Hreljin	Hreljin	Npmsn
70	70	Mdc
,	,	Z
51226	51226	Mdc
Hreljin	hreljin	Aspmsnn
489.	489.	Mdo

U-II-5812	U-II-5812	X
/	/	Z
2014	2014	Mdc
–	–	Z
Cividini	cividin	Agpmsny
Magdalena	Magdalen	Npmsg
,	,	Z
Turkovo	Turkovo	Npnsn
42	42	Mdc
B	b	Y
,	,	Z
51000	51000	Mdc
Rijeka	Rijeka	Npfsn
490.	490.	Mdo

U-II-5813	U-II-5813	X
/	/	Z
2014	2014	Mdc
–	–	Z
Lončar	lončar	Ncmsn
Mirela	Mirel	Npmsg
,	,	Z
Milana	Milan	Npmsg
Rustanbega	Rustanbi	Npmsg
10	10	Mdc
,	,	Z
51000	51000	Mdc
Rijeka	Rijeka	Npfsn
491.	491.	Mdo

U-II-5814	U-II-5814	X
/	/	Z
2014	2014	Mdc
–	–	Z
Jokić	Jokić	Npmsn
Jelena	Jelen	Npmsay
,	,	Z
Kalvarija	kalvarija	Ncfsn
2	2	Mdc
,	,	Z
51000	51000	Mdc
Rijeka	Rijeka	Npfsn
492.	492.	Mdo

U-II-5815	U-II-5815	X
/	/	Z
2014	2014	Mdc
–	–	Z
Lesica	Lesica	Npmsn
Mario	Mario	Npmsn
,	,	Z
Ratila	Ratil	Npmsg
Petrovića	Petrović	Npmsg
56	56	Mdc
,	,	Z
51000	51000	Mdc
Rijeka	Rijeka	Npfsn
493.	493.	Mdo

U-II-5816	U-II-5816	X
/	/	Z
2014	2014	Mdc
–	–	Z
Voloder	Volode	Npmsg
Ivana	Ivan	Npmsg
,	,	Z
I.	I.	Npfsn
Žorža	Žorža	Npfsn
9	9	Mdc
,	,	Z
51000	51000	Mdc
Rijeka	Rijeka	Npfsn
494.	494.	Mdo

U-II-5817	U-II-5817	X
/	/	Z
2014	2014	Mdc
–	–	Z
Ravlić	Ravlić	Npfsn
Marica	Marica	Npfsn
,	,	Z
Labinska	labinski	Agpfsny
18	18	Mdc
,	,	Z
51000	51000	Mdc
Rijeka	Rijeka	Npfsn
495.	495.	Mdo

U-II-5818	U-II-5818	X
/	/	Z
2014	2014	Mdc
–	–	Z
Dokozić	Dokozić	Npfsn
Sandra	Sandra	Npfsn
,	,	Z
Glavinićeva	glavinićev	Aspfsny
16	16	Mdc
,	,	Z
51000	51000	Mdc
Rijeka	Rijeka	Npfsn
496.	496.	Mdo

U-II-5819	U-II-5819	X
/	/	Z
2014	2014	Mdc
–	–	Z
Novak	Novak	Npmsn
Ružica	ružica	Ncfsn
,	,	Z
A.	A.	Npmsn
Šenoe	Šenoe	Npmsn
28	28	Mdc
,	,	Z
Sveti	svet	Agpmsny
Križ	Križ	Npmsn
,	,	Z
40321	40321	Mdc
Mala	Mala	Npfsn
Subotica	Subotica	Npfsn
497.	497.	Mdo

U-II-5820	U-II-5820	X
/	/	Z
2014	2014	Mdc
–	–	Z
Kušić	Kušić	Npmsn
Nataša	Nataša	Npfsn
,	,	Z
Medovićeva	medovićev	Aspfsny
7	7	Mdc
,	,	Z
51000	51000	Mdc
Rijeka	Rijeka	Npfsn
498.	498.	Mdo

U-II-5821	U-II-5821	X
/	/	Z
2014	2014	Mdc
–	–	Z
Vratarić	Vratarić	Npfsn
Katarina	Katarina	Npfsn
,	,	Z
Rudolfa	Rudolfa	Npfsn
Strohala	Strohala	Npfsn
3	3	Mdc
,	,	Z
51000	51000	Mdc
Rijeka	Rijeka	Npfsn
499.	499.	Mdo

U-II-5822	U-II-5822	X
/	/	Z
2014	2014	Mdc
–	–	Z
Ovuka	Ovuka	Npfsn
Vesna	Vesna	Npfsn
,	,	Z
Braće	Braće	Npfsn
Cetina	Cetina	Npfsn
22	22	Mdc
,	,	Z
51000	51000	Mdc

