potpisani	potpisan	Agpmpny
glasački	glasački	Agpmsny
listić	listić	Ncmsn
se	sebe	Px--sa
popunjava	popunjavati	Vmr3s
zaokruživanjem	zaokruživanje	Ncnsi
rednog	redni	Agpmsgy
broja	broj	Ncmsg
ispred	ispred	Sg
imena	ime	Ncnsg
i	i	Cc
prezimena	prezime	Ncnsg
kandidata	kandidat	Ncmpg
za	za	Sa
kojega	koji	Pi-msay
birač	birač	Ncmsay
glasuje	glasovati	Vmr3s
;	;	Z
dok	dok	Cs
su	biti	Var3p
mjerila	mjerilo	Ncnpn
za	za	Sa
određivanje	određivanje	Ncnsa
je	biti	Var3s
li	li	Qq
pojedini	pojedini	Agpmsny
glasački	glasački	Agpmsny
listić	listić	Ncmsn
važeći	važeći	Agpmsny
ili	ili	Cc
nevažeći	nevažeći	Agpmsayn
propisana	propisati	Appfsny
su	biti	Var3p
u	u	Sl
člancima	članak	Ncmpl
72.	72.	Mdo
i	i	Cc
73.	73.	Mdo

Zakona	zakon	Ncmsg
o	o	Sl
lokalnim	lokalan	Agpmply
izborima	izbor	Ncmpl
...	...	Z
dalo	dati	Vmp-sn
nalog	nalog	Ncmsan
Gradskom	gradski	Agpnsly
izbornom	izborni	Agpnsly
povjerenstvu	povjerenstvo	Ncnsl
da	da	Cs
u	u	Sl
punom	pun	Agpmsly
sazivu	saziv	Ncmsl
uz	uz	Sa
sudjelovanje	sudjelovanje	Ncnsa
promatrača	promatrač	Ncmpg
dodatno	dodatno	Rgp
provjeri	provjeriti	Vmr3s
nevažeće	nevažeći	Agpmpay
listiće	listić	Ncmpa
,	,	Z
a	a	Cc
što	što	Pi3n-n
se	sebe	Px--sa
vidi	vidjeti	Vmr3s
iz	iz	Sg
isprava	isprava	Ncfpg
koje	koji	Pi-fpa
je	biti	Var3s
uz	uz	Sa
prigovor	prigovor	Ncmsan
i	i	Cc
priložio	priložiti	Vmp-sm
podnositelj	podnositelj	Ncmsn
prigovora	prigovor	Ncmsg
.	.	Z

Naime	naime	Qo
s	sa	Si
obzirom	obzir	Ncmsi
na	na	Sa
citirane	citirati	Agpfpay
odredbe	odredba	Ncfpa
jasno	jasan	Agpnsny
je	biti	Var3s
da	da	Cs
se	sebe	Px--sa
radnja	radnja	Ncfsn
'	'	Z
zaokruživanja	zaokruživanje	Ncnsg
'	'	Z
rednog	redni	Agpmsgy
broja	broj	Ncmsg
ispred	ispred	Sg
imena	ime	Ncnsg
i	i	Cc
prezimena	prezime	Ncnsg
kandidata	kandidat	Ncmpg
za	za	Sa
kojega	koji	Pi-msay
birač	birač	Ncmsn
glasuje	glasovati	Vmr3s
u	u	Sl
smislu	smisao	Ncmsl
članka	članak	Ncmsg
99.	99.	Mdo

Zakona	zakon	Ncmsg
o	o	Sl
lokalnim	lokalan	Agpmply
izborima	izbor	Ncmpl
ne	ne	Qz
smije	smjeti	Vmr3s
tumačiti	tumačiti	Vmn
doslovno	doslovno	Rgp
,	,	Z
sve	sve	Qo
dok	dok	Cs
je	biti	Var3s
glasački	glasački	Agpmsny
listić	listić	Ncmsn
popunjen	popuniti	Appmsnn
tako	tako	Cs
da	da	Cs
se	sebe	Px--sa
na	na	Sa
siguran	siguran	Agpmsann
i	i	Cc
nedvojben	nedvojben	Agpmsann
način	način	Ncmsan
može	moći	Vmr3s
utvrditi	utvrditi	Vmn
za	za	Sa
kojega	koji	Pi-msay
je	biti	Var3s
kandidata	kandidat	Ncmpg
birač	birač	Ncmsn
glasovao	glasovati	Vmp-sm
.	.	Z

(...)	(...)	Ncfsn

Čak	čak	Qo
štoviše	štoviše	Rgp
Ustavni	ustavan	Agpmsny
sud	sud	Ncmsn
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
se	sebe	Px--sa
u	u	Sl
svojim	svoj	Px-fpl
odlukama	odluka	Ncfpl
...	...	Z
izjasnio	izjasniti	Vmp-sm
kako	kako	Cs
je	biti	Var3s
moguće	moguć	Agpnsny
pod	pod	Si
određenim	određen	Agpmpiy
strogim	strog	Agpmply
uvjetima	uvjet	Ncmpl
da	da	Cs
se	sebe	Px--sa
i	i	Qo
glasački	glasački	Agpmsny
listić	listić	Ncmsn
na	na	Sl
kojem	koji	Pi-msl
postoje	postojati	Vmr3p
različite	različit	Agpfpny
oznake	oznaka	Ncfpn
smatrati	smatrati	Vmn
važećim	važeći	Agpmpiy
.	.	Z

Iako	iako	Cs
podnositelj	podnositelj	Ncmsn
prigovora	prigovor	Ncmsg
u	u	Sl
prigovoru	prigovor	Ncmsl
uopće	uopće	Rgp
ne	ne	Qz
ističe	isticati	Vmr3s
problem	problem	Ncmsan
nevažećih	nevažeći	Agpmpgy
listića	listić	Ncmpg
ipak	ipak	Rgp
je	biti	Var3s
za	za	Sa
istaknuti	istaknuti	Vmn
kako	kako	Cs
je	biti	Var3s
Gradsko	gradski	Agpnsny
izborno	izborni	Agpnsny
povjerenstvo	povjerenstvo	Ncnsn
uočilo	uočiti	Vmp-sn
10	10	Mdc
(	(	Z
deset	deset	Mlc
)	)	Z
dvojbenih	dvojben	Agpmpgy
nevažećih	nevažeći	Agpmpgy
listića	listić	Ncmpg
no	no	Cc
jednakim	jednak	Agpnsiy
vrednovanjem	vrednovanje	Ncnsi
ovih	ovaj	Pd-mpg
listića	listić	Ncmpg
(	(	Z
stavljani	stavljati	Appmpny
kružići	kružić	Ncmpn
pored	pored	Sg
imena	ime	Ncnsg
i	i	Cc
prezimena	prezime	Ncnsg
kandidata	kandidat	Ncmpg
,	,	Z
odnosno	odnosno	Rgp
zaokružen	zaokružiti	Appmsnn
pa	pa	Cc
prekrižen	prekrižiti	Appmsnn
jedan	jedan	Mlcmsn
kandidat	kandidat	Ncmsn
a	a	Cc
zatim	zatim	Rgp
zaokružen	zaokružiti	Appmsnn
drugi	drugi	Mlomsn
kandidat	kandidat	Ncmsn
)	)	Z
bi	biti	Vaa3s
izborni	izborni	Agpmsny
rezultat	rezultat	Ncmsn
bio	biti	Vap-sm
jednak	jednak	Agpmsnn
.	.	Z

S	sa	Si
obzirom	obzir	Ncmsi
da	da	Cs
nema	nemati	Vmr3s
nikakvih	nikakav	Pi-fpg
primjedaba	primjedba	Ncfpg
na	na	Sa
rad	rad	Ncmsan
biračkog	birački	Agpmsgy
odbora	odbor	Ncmsg
na	na	Sl
biračkim	birački	Agpnply
mjestima	mjesto	Ncnpl
5	5	Mdc
,	,	Z
20	20	Mdc
i	i	Cc
22	22	Mdc
navode	navod	Ncmpa
iz	iz	Sg
prigovora	prigovor	Ncmsg
ovo	ovaj	Pd-nsn
povjerenstvo	povjerenstvo	Ncnsn
drži	držati	Vmr3s
neutemeljenim	neutemeljen	Agpmsiy
i	i	Cc
ničim	ništa	Pi3n-i
dokazanim	dokazati	Appnsiy
.	.	Z

U	u	Sl
svezi	sveza	Ncfsl
navoda	navod	Ncmpg
iz	iz	Sg
prigovora	prigovor	Ncmsg
a	a	Cc
zbog	zbog	Sg
neobavljene	neobavljen	Agpfsgy
kućne	kućni	Agpfsgy
posjete	posjeta	Ncfsg
na	na	Sl
biračkom	birački	Agpnsly
mjestu	mjesto	Ncnsl
broj	broj	Ncmsan
8	8	Mdc
,	,	Z
Vrgorac	Vrgorac	Npmsn
;	;	Z
razvidno	razvidan	Agpnsny
je	biti	Var3s
iz	iz	Sg
same	sam	Agpfsgy
primjedbe	primjedba	Ncfsg
kako	kako	Cs
je	biti	Var3s
treća	treći	Mlofsn
osoba	osoba	Ncfsn
,	,	Z
biračeva	biračev	Aspfsny
sestra	sestra	Ncfsn
onemogućila	onemogućiti	Vmp-sf
izvršavanje	izvršavanje	Ncnsa
kućne	kućni	Agpfsgy
posjete	posjeta	Ncfsg
,	,	Z
jer	jer	Cs
je	biti	Var3s
poslala	poslati	Vmp-sf
birački	birački	Agpmsny
odbor	odbor	Ncmsn
da	da	Cs
ide	ići	Vmr3s
preko	preko	Sg
granice	granica	Ncfsg
tražiti	tražiti	Vmn
birače	birač	Ncmpa
.	.	Z

Zaista	zaista	Rgp
birački	birački	Agpmsny
odbor	odbor	Ncmsn
kad	kad	Cs
ide	ići	Vmr3s
u	u	Sa
kućnu	kućni	Agpfsay
posjetu	posjeta	Ncfsa
ne	ne	Qz
može	moći	Vmr3s
predvidjeti	predvidjeti	Vmn
situaciju	situacija	Ncfsa
u	u	Sl
kojoj	koji	Pi-fsl
će	htjeti	Var3s
mu	on	Pp3msd
netko	netko	Pi3m-n
od	od	Sg
biračeve	biračev	Agpfsgy
rodbine	rodbina	Ncfsg
zapriječiti	zapriječiti	Vmn
obavljanje	obavljanje	Ncnsa
kućne	kućni	Agpfsgy
posjete	posjeta	Ncfsg
te	te	Cc
nije	biti	Var3s
bilo	biti	Vap-sn
niti	niti	Cc
razumno	razuman	Agpnsny
očekivati	očekivati	Vmn
da	da	Cs
birački	birački	Agpmsny
odbor	odbor	Ncmsn
na	na	Sa
silu	sila	Ncfsa
protiv	protiv	Sg
treće	treći	Mlofsg
osobe	osoba	Ncfsg
ostvari	ostvariti	Vmr3s
kućnu	kućni	Agpfsay
posjetu	posjeta	Ncfsa
.	.	Z

Dodatno	dodatno	Rgp
valja	valjati	Vmr3s
istaknuti	istaknuti	Vmn
kako	kako	Cs
se	sebe	Px--sa
radi	raditi	Vmr3s
o	o	Sl
samo	samo	Rgp
jednoj	jedan	Agpfsly
neostvarenoj	neostvaren	Agpfsly
kućnoj	kućni	Agpfsly
posjeti	posjeta	Ncfsl
pa	pa	Cc
to	taj	Pd-nsn
s	sa	Si
obzirom	obzir	Ncmsi
na	na	Sa
razliku	razlika	Ncfsa
u	u	Sl
glasovima	glas	Ncmpl
nije	biti	Var3s
niti	niti	Qo
moglo	moći	Vmp-sn
utjecati	utjecati	Vmn
na	na	Sa
rezultate	rezultat	Ncmpa
izbora	izbor	Ncmpg
.	.	Z

(...)	(...)	Ncfsn

Stoga	stoga	Rgp
pregled	pregled	Ncmsn
materijala	materijal	Ncmpg
kako	kako	Cs
je	biti	Var3s
to	taj	Pd-nsa
zatražio	zatražiti	Vmp-sm
promatrač	promatrač	Ncmsn
rada	rad	Ncmsg
Gradskog	gradski	Agpnsgy
izbornog	izborni	Agpnsgy
povjerenstva	povjerenstvo	Ncnsg
grada	grad	Ncmsg
Vrgorca	Vrgorc	Npmsg
u	u	Sa
ime	ime	Ncnsa
podnositelja	podnositelj	Ncmsg
ne	ne	Qz
predstavlja	predstavljati	Vmr3s
izbornu	izborni	Agpfsay
radnju	radnja	Ncfsa
odnosno	odnosno	Rgp
pregled	pregled	Ncmsan
ili	ili	Cc
ne	ne	Qz
pregled	pregled	Ncmsn
izbornog	izborni	Agpmsgy
materijala	materijal	Ncmsg
nakon	nakon	Cs
što	što	Cs
je	biti	Var3s
glasovanje	glasovanje	Ncnsn
dovršeno	dovršiti	Appnsny
i	i	Cc
birački	birački	Agpmpny
odbori	odbor	Ncmpn
sastavili	sastaviti	Vmp-pm
zapisnike	zapisnik	Ncmpa
o	o	Sl
radu	rad	Ncmsl
niti	niti	Cc
ne	ne	Qz
može	moći	Vmr3s
utjecati	utjecati	Vmn
na	na	Sa
rezultate	rezultat	Ncmpa
izbora	izbor	Ncmpg
.	.	Z

Dodatno	dodatno	Rgp
se	sebe	Px--sa
mora	morati	Vmr3s
ukazati	ukazati	Vmn
podnositelju	podnositelj	Ncmsd
prigovora	prigovor	Ncmpg
kako	kako	Cs
je	biti	Var3s
zajamčena	zajamčiti	Appfsny
tajnost	tajnost	Ncfsn
glasovanja	glasovanje	Ncnsg
,	,	Z
pa	pa	Cc
u	u	Sl
situaciji	situacija	Ncfsl
kad	kad	Cs
nema	nemati	Vmr3s
relevantnih	relevantan	Agpfpgy
primjedaba	primjedba	Ncfpg
na	na	Sa
rad	rad	Ncmsan
biračkog	birački	Agpmsgy
odbora	odbor	Ncmsg
nije	biti	Var3s
niti	niti	Cc
opravdano	opravdati	Appnsny
dopustiti	dopustiti	Vmn
uvide	uvidjeti	Vmr3p
u	u	Sa
izvadke	izvadka	Ncfpa
iz	iz	Sg
popisa	popis	Ncmsg
birača	birač	Ncmpg
kako	kako	Cs
bi	biti	Vaa3s
se	sebe	Px--sa
znalo	znati	Vmp-sn
tko	tko	Pi3m-n
je	biti	Var3s
pristupio	pristupiti	Vmp-sm
izborima	izbor	Ncmpi
,	,	Z
a	a	Cc
tko	tko	Pi3m-n
nije	biti	Var3s
.	.	Z

(...)	(...)	Ncfsn

Popisi	popis	Ncmpn
birača	birač	Ncmpg
se	sebe	Px--sa
vode	voditi	Vmr3p
prema	prema	Sl
Zakonu	zakon	Ncmsl
o	o	Sl
registru	registar	Ncmsl
birača	birač	Ncmpg
(	(	Z
'	'	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
'	'	Z
broj	broj	Ncmsn
144/12	144/12	Mds
)	)	Z
a	a	Cc
prebivalište	prebivalište	Ncnsn
građana	građanin	Ncmpg
prema	prema	Sl
Zakonu	zakon	Ncmsl
o	o	Sl
prebivalištu	prebivalište	Ncnsl
(	(	Z
'	'	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
'	'	Z
broj	broj	Ncmsn
144/12	144/12	Mds
)	)	Z
pa	pa	Cc
i	i	Qo
navode	navod	Ncmpa
prigovora	prigovor	Ncmpg
u	u	Sl
svezi	sveza	Ncfsl
popisa	popis	Ncmpg
birača	birač	Ncmpg
ovo	ovaj	Pd-nsa
povjerenstvo	povjerenstvo	Ncnsa
smatra	smatrati	Vmr3s
neutemeljenim	neutemeljen	Agpmsiy
.	.	Z

Stoga	stoga	Rgp
,	,	Z
kako	kako	Cs
podnositelj	podnositelj	Ncmsn
prigovora	prigovor	Ncmsg
,	,	Z
nije	biti	Var3s
doveo	dovesti	Vmp-sm
u	u	Sa
sumnju	sumnja	Ncfsa
pravilan	pravilan	Agpmsann
rad	rad	Ncmsan
nadležnih	nadležan	Agpnpgy
izbornih	izborni	Agpnpgy
tijela	tijelo	Ncnpg
u	u	Sl
provedbi	provedba	Ncfsl
izbora	izbor	Ncmpg
za	za	Sa
gradonačelnika	gradonačelnik	Ncmsay
Grada	grad	Ncmsg
Vrgorca	Vrgorc	Npmsg
...	...	Z
valjalo	valjati	Vmp-sn
je	biti	Var3s
na	na	Sl
temelju	temelj	Ncmsl
odredbe	odredba	Ncfsg
članka	članak	Ncmsg
129.	129.	Mdo
stavak	stavak	Ncmsn
4.	4.	Mdo
Zakona	zakon	Ncmsg
o	o	Sl
lokalnim	lokalan	Agpmply
izborima	izbor	Ncmpl
,	,	Z
jer	jer	Cs

