krivotvorene	krivotvoriti	Appfpny
pozvati	pozvati	Vmn
na	na	Sa
to	taj	Pd-nsa
da	da	Cs
ne	ne	Qz
odgovaraju	odgovarati	Vmr3p
za	za	Sa
raspolaganje	raspolaganje	Ncnsa
robom	roba	Ncfsi
.	.	Z

(	(	Z
9	9	Mdc
)	)	Z
O	o	Sl
utvrđenoj	utvrditi	Agpfsly
zlouporabi	zlouporaba	Ncfsl
prava	pravo	Ncnpg
u	u	Sl
carinskom	carinski	Agpnsly
postupanju	postupanje	Ncnsl
carinski	carinski	Agpmsny
ured	ured	Ncmsn
donosi	donositi	Vmr3s
rješenje	rješenje	Ncnsa
.	.	Z

(	(	Z
10	10	Mdc
)	)	Z
U	u	Sl
rješenju	rješenje	Ncnsl
iz	iz	Sg
stavka	stavak	Ncmsg
9.	9.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
carinski	carinski	Agpmsny
ured	ured	Ncmsn
određuje	određivati	Vmr3s
oduzimanje	oduzimanje	Ncnsa
robe	roba	Ncfsg
,	,	Z
a	a	Cc
ako	ako	Cs
je	biti	Var3s
utvrđeno	utvrditi	Appnsny
da	da	Cs
je	biti	Var3s
prijevoznik	prijevoznik	Ncmsn
zlouporabio	zlouporabiti	Vmp-sm
pravo	pravo	Ncnsa
u	u	Sl
carinskom	carinski	Agpnsly
postupanju	postupanje	Ncnsl
određuje	određivati	Vmr3s
se	sebe	Px--sa
i	i	Qo
oduzimanje	oduzimanje	Ncnsn
prijevoznog	prijevozni	Agpnsgy
sredstva	sredstvo	Ncnsg
koje	koji	Pi-nsn
je	biti	Var3s
korišteno	koristiti	Appnsny
za	za	Sa
prijevoz	prijevoz	Ncmsan
robe	roba	Ncfsg
.	.	Z

(	(	Z
11	11	Mdc
)	)	Z
Roba	roba	Ncfsn
i	i	Cc
prijevozno	prijevozni	Agpnsny
sredstvo	sredstvo	Ncnsn
iz	iz	Sg
stavka	stavak	Ncmsg
10.	10.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
oduzet	oduzeti	Vmn
će	htjeti	Var3s
se	sebe	Px--sa
i	i	Qo
ako	ako	Cs
nisu	biti	Var3p
u	u	Sl
vlasništvu	vlasništvo	Ncnsl
osobe	osoba	Ncfsg
koja	koji	Pi-fsn
je	biti	Var3s
zlouporabila	zlouporabiti	Vmp-sf
prava	pravo	Ncnpa
u	u	Sl
carinskom	carinski	Agpnsly
postupanju	postupanje	Ncnsl
.	.	Z

Oduzimanje	oduzimanje	Ncnsn
robe	roba	Ncfsg
i	i	Cc
prijevoznog	prijevozni	Agpnsgy
sredstva	sredstvo	Ncnsg
ne	ne	Qz
utječe	utjecati	Vmr3s
na	na	Sa
prava	pravo	Ncnpa
trećih	treći	Mlofpg
osoba	osoba	Ncfpg
za	za	Sa
naknadu	naknada	Ncfsa
štete	šteta	Ncfsg
od	od	Sg
osobe	osoba	Ncfsg
od	od	Sg
koje	koji	Pi-fsg
su	biti	Var3p
roba	roba	Ncfsn
i	i	Cc
prijevozno	prijevozni	Agpnsny
sredstvo	sredstvo	Ncnsn
oduzeti	oduzeti	Vmn
.	.	Z

(	(	Z
12	12	Mdc
)	)	Z
Žalba	žalba	Ncfsn
izjavljena	izjaviti	Appfsny
protiv	protiv	Sg
rješenja	rješenje	Ncnsg
iz	iz	Sg
stavka	stavak	Ncmsg
9.	9.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
ne	ne	Qz
odgađa	odgađati	Vmr3s
njegovo	njegov	Agpnsay
izvršenje	izvršenje	Ncnsa
.	.	Z

Knjiženja	knjiženje	Ncnpn
i	i	Cc
druga	drugi	Mlonpa
evidentiranja	evidentiranje	Ncnpa

Članak	članak	Ncmsn
21.	21.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Evidencije	evidencija	Ncfpn
koje	koji	Pi-fpn
se	sebe	Px--sa
odnose	odnositi	Vmr3p
na	na	Sa
primjenu	primjena	Ncfsa
carinskog	carinski	Agpnsgy
zakonodavstva	zakonodavstvo	Ncnsg
moraju	morati	Vmr3p
biti	biti	Van
sukladne	sukladan	Agpfpny
s	sa	Si
poreznim	porezni	Agpfpiy
,	,	Z
knjigovodstvenim	knjigovodstven	Agpfply
i	i	Cc
drugim	drugi	Mlofpl
evidencijama	evidencija	Ncfpl
i	i	Cc
ispravama	isprava	Ncfpl
osobe	osoba	Ncfsg
ili	ili	Cc
osoba	osoba	Ncfsn
na	na	Sa
koje	koji	Pi-fpn
se	sebe	Px--sa
odnose	odnositi	Vmr3p
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z

