multidisciplinaran	multidisciplinaran	Agpmsann
hitne	hitan	Agpfsgy
medicine	medicina	Ncfsg
i	i	Cc
istodobno	istodobno	Rgp
osigurati	osigurati	Vmn
izvrsnost	izvrsnost	Ncfsa
u	u	Sl
zbrinjavanju	zbrinjavanje	Ncnsl
hitnih	hitan	Agpmpgy
pacijenata	pacijent	Ncmpg
.	.	Z

2.2.	2.2.	Mdo

Projektni	projektni	Agpmsny
plan	plan	Ncmsn
provedbe	provedba	Ncfsg
dugoročnih	dugoročan	Agpfpgy
reformskih	reformski	Agpfpgy
mjera	mjera	Ncfpg
fiskalne	fiskalan	Agpfsgy
konsolidacije	konsolidacija	Ncfsg
za	za	Sa
razdoblje	razdoblje	Ncnsa
2014.	2014.	Mdo
–	–	Z
2016.	2016.	Mdo

Vlade	vlada	Ncfpn
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg

Nacionalni	nacionalan	Agpmsny
plan	plan	Ncmsn
je	biti	Var3s
i	i	Qo
jedna	jedan	Mlcfsn
od	od	Sg
ključnih	ključan	Agpfpgy
mjera	mjera	Ncfpg
Projektnog	projektni	Agpmsgy
plana	plan	Ncmsg
provedbe	provedba	Ncfsg
dugoročnih	dugoročan	Agpfpgy
reformskih	reformski	Agpfpgy
mjera	mjera	Ncfpg
fiskalne	fiskalan	Agpfsgy
konsolidacije	konsolidacija	Ncfsg
za	za	Sa
razdoblje	razdoblje	Ncnsa
2014.	2014.	Mdo
–	–	Z
2016.	2016.	Mdo

Vlade	vlada	Ncfpn
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
.	.	Z

Važnost	važnost	Ncfsn
reforme	reforma	Ncfsg
bolničkog	bolnički	Agpmsgy
sustava	sustav	Ncmsg
proizlazi	proizlaziti	Vmr3s
iz	iz	Sg
činjenice	činjenica	Ncfsg
da	da	Cs
bolničke	bolnički	Agpfpny
ustanove	ustanova	Ncfpn
posluju	poslovati	Vmr3p
sa	sa	Si
stalnim	stalan	Agpmsiy
gubitkom	gubitak	Ncmsi
i	i	Cc
generiraju	generirati	Vmr3p
dugove	dug	Ncmpa
prema	prema	Sl
dobavljačima	dobavljač	Ncmpl
,	,	Z
da	da	Cs
je	biti	Var3s
postojeći	postojeći	Agpmsny
sustav	sustav	Ncmsn
financiranja	financiranje	Ncnsg
zdravstvenog	zdravstven	Agpmsgy
sustava	sustav	Ncmsg
neodrživ	neodrživ	Agpmsnn
i	i	Cc
nelikvidan	nelikvidan	Agpmsnn
te	te	Cc
da	da	Cs
postoje	postojati	Vmr3p
ozbiljne	ozbiljan	Agpfpny
teškoće	teškoća	Ncfpn
u	u	Sl
svakidašnjem	svakidašnji	Agpnsly
poslovanju	poslovanje	Ncnsl
.	.	Z

U	u	Sl
Projektnom	projektni	Agpmsly
planu	plan	Ncmsl
provedbe	provedba	Ncfsg
dugoročnih	dugoročan	Agpfpgy
reformskih	reformski	Agpfpgy
mjera	mjera	Ncfpg
fiskalne	fiskalan	Agpfsgy
konsolidacije	konsolidacija	Ncfsg
za	za	Sa
razdoblje	razdoblje	Ncnsa
od	od	Sg
2014.	2014.	Mdo
do	do	Sg
2016.	2016.	Mdo
navodi	navoditi	Vmr3s
se	sebe	Px--sa
da	da	Cs
Nacionalni	nacionalan	Agpmsny
plan	plan	Ncmsn
ima	imati	Vmr3s
za	za	Sa
cilj	cilj	Ncmsan
detaljno	detaljno	Rgp
definirati	definirati	Vmn
buduću	budući	Agpfsay
strukturu	struktura	Ncfsa
i	i	Cc
potrebne	potreban	Agpmpay
kapacitete	kapacitet	Ncmpa
bolničkog	bolnički	Agpmsgy
sustava	sustav	Ncmsg
,	,	Z
znatno	znatno	Rgp
izmijeniti	izmijeniti	Vmn
sadašnji	sadašnji	Agpmsayn
model	model	Ncmsan
pružanja	pružanje	Ncnsg
zdravstvene	zdravstven	Agpfsgy
zaštite	zaštita	Ncfsg
u	u	Sl
Republici	republika	Ncfsl
Hrvatskoj	Hrvatska	Npfsl
te	te	Cc
ga	on	Pp3msa
uskladiti	uskladiti	Vmn
s	sa	Si
najboljom	dobar	Agpfsiy
suvremenom	suvremen	Agpfsiy
europskom	europski	Agpfsiy
praksom	praksa	Ncfsi
.	.	Z

Implementacijom	implementacija	Ncfsi
predviđenih	predvidjeti	Agpfpgy
mjera	mjera	Ncfpg
i	i	Cc
aktivnosti	aktivnost	Ncfsl
ukupni	ukupan	Agpmpny
kapaciteti	kapacitet	Ncmpn
bolnica	bolnica	Ncfpg
će	htjeti	Var3s
se	sebe	Px--sa
smanjiti	smanjiti	Vmn
,	,	Z
ne	ne	Qz
dovodeći	dovoditi	Vmr3s
u	u	Sa
pitanje	pitanje	Ncnsa
kvalitetu	kvaliteta	Ncfsa
,	,	Z
učinkovitost	učinkovitost	Ncfsa
i	i	Cc
dostupnost	dostupnost	Ncfsa
bolničkih	bolnički	Agpmpgy
/	/	Z
zdravstvenih	zdravstven	Agpfpgy
usluga	usluga	Ncfpg
,	,	Z
a	a	Cc
što	što	Pi3n-n
će	htjeti	Var3s
se	sebe	Px--sa
postići	postići	Vmn
restrukturiranjem	restrukturiranje	Ncnsi
i	i	Cc
reorganizacijom	reorganizacija	Ncfsi
bolnica	bolnica	Ncfpg
i	i	Cc
njihovih	njihov	Ps3fpg
ustrojstvenih	ustrojstven	Agpfpgy
jedinica	jedinica	Ncfpg
.	.	Z

Ciljevi	cilj	Ncmpn
Nacionalnog	nacionalan	Agpmsgy
plana	plan	Ncmsg
navedeni	navesti	Appmpny
u	u	Sl
poglavlju	poglavlje	Ncnsl
6.	6.	Mdo
provest	provesti	Vmn
će	htjeti	Var3s
se	sebe	Px--sa
kroz	kroz	Sa
sljedeće	sljedeći	Agpmpay
specifične	specifičan	Agpmpay
i	i	Cc
definirane	definirati	Agpfpay
mjere	mjera	Ncfpa
a	a	Cc
koje	koji	Pi-fpn
su	biti	Var3p
dio	dio	Ncmsn
ključnih	ključan	Agpfpgy
mjera	mjera	Ncfpg
navedenih	naveden	Agpfpgy
u	u	Sl
istom	isti	Agpnsly
poglavlju	poglavlje	Ncnsl
:	:	Z

–	–	I
smanjiti	smanjiti	Vmn
stopu	stopa	Ncfsa
akutnog	akutan	Agpnsgy
bolničkog	bolnički	Agpnsgy
liječenja	liječenje	Ncnsg
za	za	Sa
10	10	Mdc
%	%	Z
,	,	Z

–	–	Pd-fsa
prosječnu	prosječan	Agpfsay
stopu	stopa	Ncfsa
popunjenosti	popunjenost	Ncfsg
kreveta	krevet	Ncmsg
dovesti	dovesti	Vmn
na	na	Sa
80	80	Mdc
–	–	Z
85	85	Mdc
%	%	Z
(	(	Z
ovisno	ovisno	Rgp
o	o	Sl
djelatnosti	djelatnost	Ncfsl
)	)	Z
,	,	Z

–	–	Z
smanjiti	smanjiti	Vmn
duljinu	duljina	Ncfsa
bolničkog	bolnički	Agpnsgy
liječenja	liječenje	Ncnsg
(	(	Z
ovisno	ovisno	Rgp
o	o	Sl
djelatnosti	djelatnost	Ncfsl
i	i	Cc
ustanovi	ustanova	Ncfsl
)	)	Z
za	za	Sa
10	10	Mdc
–	–	Z
40	40	Mdc
%	%	Z
,	,	Z

–	–	Z
povećati	povećati	Vmn
broj	broj	Ncmsan
ambulantnih	ambulantan	Agpfpgy
usluga	usluga	Ncfpg
za	za	Sa
minimalno	minimalno	Rgp
10	10	Mdc
%	%	Z
,	,	Z

–	–	Z
povećati	povećati	Vmn
broj	broj	Ncmsan
slučajeva	slučaj	Ncmpg
dnevne	dnevni	Agpfsgy
bolnice	bolnica	Ncfsg
i	i	Cc
dnevne	dnevni	Agpfsgy
kirurgije	kirurgija	Ncfsg
za	za	Sa
minimalno	minimalno	Rgp
10	10	Mdc
%	%	Z
.	.	Z

Nacionalni	nacionalan	Agpmsny
plan	plan	Ncmsn
neće	htjeti	Var3s
jasno	jasno	Rgp
definirati	definirati	Vmn
broj	broj	Ncmsan
postelja	postelja	Ncfpg
unutar	unutar	Sg
zdravstvenog	zdravstven	Agpmsgy
sustava	sustav	Ncmsg
.	.	Z

To	taj	Pd-nsn
nije	biti	Var3s
ni	ni	Qo
njegova	njegov	Ps3fsn
uloga	uloga	Ncfsn
jer	jer	Cs
bi	biti	Vaa3s
isto	isto	Rgp
predstavljalo	predstavljati	Vmp-sn
korak	korak	Ncmsan
nazad	nazad	Rgp
u	u	Sl
reformi	reforma	Ncfsl
mjera	mjera	Ncfpg
fiskalne	fiskalan	Agpfsgy
konsolidacije	konsolidacija	Ncfsg
ali	ali	Cc
i	i	Qo
u	u	Sl
reformi	reforma	Ncfsl
zdravstvenog	zdravstven	Agpmsgy
sustava	sustav	Ncmsg
općenito	preopćenito	Rgp
.	.	Z

Nacionalni	nacionalan	Agpmsny
plan	plan	Ncmsn
će	htjeti	Var3s
definirati	definirati	Vmn
odrednice	odrednica	Ncfpa
razvoja	razvoj	Ncmsg
bolničkog	bolnički	Agpmsgy
zdravstvenog	zdravstven	Agpmsgy
sustava	sustav	Ncmsg
,	,	Z
načela	načeti	Vmp-sf
provođenja	provođenje	Ncnsg
reformi	reforma	Ncfpg
kroz	kroz	Sa
procese	proces	Ncmpa
supsidijarnosti	supsidijarnost	Ncfsg
i	i	Cc
funkcionalne	funkcionalan	Agpfsgy
integracije	integracija	Ncfsg
,	,	Z
dok	dok	Cs
će	htjeti	Var3s
Nacionalni	nacionalan	Agpmsny
registar	registar	Ncmsn
definirati	definirati	Vmn
maksimalni	maksimalan	Agpmsayn
,	,	Z
ugovoreni	ugovoriti	Appmpny
i	i	Cc
aktivni	aktivan	Agpmsny
broj	broj	Ncmsn
postelja	postelja	Ncfpg
,	,	Z
temeljem	temelj	Ncmsi
kojih	koji	Pi-mpg
će	htjeti	Var3p
se	sebe	Px--sa
ugovarati	ugovarati	Vmn
usluge	usluga	Ncfpa
od	od	Sg
strane	strana	Ncfsg
HZZO-a	HZZO	Npmsg
.	.	Z

Time	taj	Pd-nsi
se	sebe	Px--sa
omogućava	omogućavati	Vmr3s
brža	brz	Agcfsny
prilagodba	prilagodba	Ncfsn
sustava	sustav	Ncmsg
zdravstvene	zdravstven	Agpfsgy
zaštite	zaštita	Ncfsg
potrebama	potreba	Ncfpd
korisnika	korisnik	Ncmpg
i	i	Cc
poboljšava	poboljšavati	Vmr3s
njegova	njegov	Ps3fsn
učinkovitost	učinkovitost	Ncfsn
,	,	Z
ostvaruje	ostvarivati	Vmr3s
bolja	dobar	Agcfsny
kvaliteta	kvaliteta	Ncfsn
i	i	Cc
dostupnost	dostupnost	Ncfsn
,	,	Z
a	a	Cc
u	u	Sl
konačnici	konačnica	Ncfsl
,	,	Z
i	i	Cc
bolja	dobar	Agcfsny
financijska	financijski	Agpfsny
održivost	održivost	Ncfsn
.	.	Z

Neki	neki	Pi-mpn
od	od	Sg
ključnih	ključan	Agpmpgy
ciljeva	cilj	Ncmpg
Nacionalnog	nacionalan	Agpmsgy
plana	plan	Ncmsg
koji	koji	Pi-mpn
su	biti	Var3p
navedeni	navesti	Appmpny
u	u	Sl
poglavlju	poglavlje	Ncnsl
6.	6.	Mdo
definiraju	definirati	Vmr3p
i	i	Qo
određene	određen	Agpfpny
različitosti	različitost	Ncfpn
u	u	Sl
načinu	način	Ncmsl
financiranja	financiranje	Ncnsg
bolnica	bolnica	Ncfpg
koji	koji	Pi-msn
će	htjeti	Var3s
zasigurno	zasigurno	Rgp
potpomoći	potpomoći	Vmn
Projektni	projektni	Agpmsayn
plan	plan	Ncmsan

