arterio-venske	arterio-venski	Agpfpny
nosa	nos	Ncmsg
(	(	Z
J33	J33	Mds
,	,	Z
J34	J34	X
)	)	Z
1.	1.	Mdo
S	sa	Si
lakšim	lak	Agpfpiy
smetnjama	smetnja	Ncfpi
disanja	disanje	Ncnsg
(	(	Z
perforacije	perforacija	Ncfsg
,	,	Z
devijacije	devijacija	Ncfsg
septuma	septum	Ncmsg
,	,	Z
sinehije	sinehija	Ncfsg
i	i	Cc
drugo	drugi	Mlonsn
)	)	Z
OS	os	Ncfsn
4	4	Mdc
4	4	Mdc
4	4	Mdc
4	4	Mdc
4	4	Mdc
2.	2.	Mdo
Sa	sa	Si
srednjim	srednji	Agpfpiy
i	i	Cc
težim	težiti	Vmr1s
smetnjama	smetnja	Ncfpl
disanja	disanje	Ncnsg
koje	koji	Pi-nsn
se	sebe	Px--sa
operativno	operativno	Rgp
nisu	biti	Var3p
mogle	moći	Vmp-pf
odstraniti	odstraniti	Vmn
OS	OS	Npmsan
1	1	Mdc
1	1	Mdc
1,3	1,3	Mdc
1,3	1,3	Mdc
1,3	1,3	Mdc
77.	77.	Mdo
*	*	Z
Urođene	urođen	Agpfpny
(	(	Z
Q31-Q32	q31-q3a	Ncfpn
)	)	Z
i	i	Cc
stečene	steći	Appfpay
mane	mana	Ncfpa
grkljana	grkljan	Ncmpg
i	i	Cc
frontalnih	frontalan	Agpmpgy
sinusa	sinus	Ncmpg
1.	1.	Mdo
Bez	bez	Sg
funkcionalnih	funkcionalan	Agpmpgy
poremećaja	poremećaj	Ncmpg
OS	OS	Npmsn
4	4	Mdc
4	4	Mdc
4	4	Mdc
4	4	Mdc
4	4	Mdc
2.	2.	Mdo
S	sa	Si
funkcionalnim	funkcionalan	Agpmpiy
poremećajima	poremećaj	Ncmpi
OS	OS	Npmsn
1	1	Mdc
1	1	Mdc
1,3	1,3	Mdc
1,3	1,3	Mdc
1,3	1,3	Mdc
78.	78.	Mdo

Pneumotoraks	pneumotoraks	Ncmsn
(	(	Z
J93	J93	X
)	)	Z
1.	1.	Mdo
Spontani	spontan	Agpmsny
prvi	prvi	Mlomsan
put	put	Rgp
OS	OS	Npmsn
3	3	Mdc
3	3	Mdc
3	3	Mdc
3	3	Mdc
3	3	Mdc
2.	2.	Mdo
Recidivirajući	recidivirajući	Agpmsayn
spontani	spontan	Agpmsayn
pneumotoraks	pneumotoraks	Ncmsan
,	,	Z
operirani	operirati	Appmpny
i	i	Cc
neoperirani	neoperiran	Agpmsny
OS	OS	Npmsn
1	1	Mdc
1	1	Mdc
1	1	Mdc
1	1	Mdc
1	1	Mdc
79.	79.	Mdo
*	*	Z
Bronhiektazije	Bronhiektazija	Npfsg
(	(	Z
J47	J47	X
,	,	Z
Q33	Q33	Mds
.	.	Z
4	4	Mdc
)	)	Z
1.	1.	Mdo
Lakši	lak	Agcmsayn
oblik	oblik	Ncmsan
OS	OS	Npmsan
3	3	Mdc
1	1	Mdc
3	3	Mdc
3	3	Mdc
3	3	Mdc
2.	2.	Mdo
Teži	težiti	Vmr3s
oblik	oblik	Ncmsan
OS	OS	Npmsan
1	1	Mdc
1	1	Mdc
1	1	Mdc
1	1	Mdc
1	1	Mdc
80.	80.	Mdo
*	*	Z
Urođene	urođen	Agpfsgy
mane	mana	Ncfsg
dišnih	dišni	Agpmpgy
organa	organ	Ncmpg
:	:	Z
Ciste	cista	Ncfsg
pluća	pluća	Ncnsg
,	,	Z
patološke	patološki	Agpfsgy
plućne	plućni	Agpfsgy
arterio-venske	arterio-venski	Agpfsgy
komunikacije	komunikacija	Ncfsg
(	(	Z
Q33-Q34	Q33-Q34	Mds
)	)	Z
1.	1.	Mdo
Neoperirane	neoperiran	Agpfpny
OS	OS	Npmsn
1	1	Mdc
1	1	Mdc
1	1	Mdc
1	1	Mdc
1	1	Mdc
2.	2.	Mdo
Operirane	Operirane	Npfsn
OS	OS	Npfsn
1,4	1,4	Mdc
1,4	1,4	Mdc
1,4	1,4	Mdc
1,4	1,4	Mdc
1,4	1,4	Mdc
81.	81.	Mdo
*	*	Z
Posljedice	posljedica	Ncfpn
upale	upala	Ncfsg
plućnih	plućni	Agpfpgy
ovojnica	ovojnica	Ncfpg
i	i	Cc
medijastinuma	medijastinum	Ncmpg
,	,	Z
posljedice	posljedica	Ncfpn
ozljede	ozljeda	Ncfsg
pluća	pluća	Ncnsg
,	,	Z
plućnih	plućni	Agpfpgy
ovojnica	ovojnica	Ncfpg
i	i	Cc
medijastinuma	medijastinum	Ncmpg
(	(	Z
S27	S27	X
)	)	Z
1.	1.	Mdo
S	sa	Si
opstruktivnim	opstruktivan	Agpfpiy
smetnjama	smetnja	Ncfpi
disanja	disanje	Ncnsg
OS	OS	Npmsn
1,4	1,4	Mdc
1,4	1,4	Mdc
1,3,4	1,3,4	Mdc
1,3,4	1,3,4	Mdc
1,3,4	1,3,4	Mdc
2.	2.	Mdo
S	sa	Si
restriktivnim	restriktivan	Agpfpiy
smetnjama	smetnja	Ncfpi
disanja	disanje	Ncnsg
OS	OS	Npmsn
1	1	Mdc
1	1	Mdc
1,3	1,3	Mdc
1,3	1,3	Mdc
1,3	1,3	Mdc
82.	82.	Mdo

Poremećaji	poremećaj	Ncmpn
dijafragme	dijafragma	Ncfsg

