pravo	prav	Agpnsny
pet	pet	Mlc
godina	godina	Ncfpg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Dozvola	dozvola	Ncfsn
boravka	boravak	Ncmsg
strancu	stranac	Ncmsd
pod	pod	Si
supsidijarnom	supsidijaran	Agpfsiy
zaštitom	zaštita	Ncfsi
izdaje	izdavati	Vmr3s
se	sebe	Px--sa
na	na	Sa
vrijeme	vrijeme	Ncnsa
od	od	Sg
tri	tri	Mlc
godine	godina	Ncfsg
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Zahtjev	zahtjev	Ncmsn
za	za	Sa
izdavanje	izdavanje	Ncnsa
dozvole	dozvola	Ncfsg
iz	iz	Sg
stavaka	stavak	Ncmpg
2.	2.	Mdo
i	i	Cc
3.	3.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
podnosi	podnositi	Vmr3s
azilant	azilant	Ncmsn
i	i	Cc
stranac	stranac	Ncmsn
pod	pod	Si
supsidijarnom	supsidijaran	Agpfsiy
zaštitom	zaštita	Ncfsi
stariji	star	Agcmpny
od	od	Sg
16	16	Mdc
godina	godina	Ncfpg
,	,	Z
a	a	Cc
za	za	Sa
azilanta	azilant	Ncmsay
i	i	Cc
stranca	stranac	Ncmsg
pod	pod	Si
supsidijarnom	supsidijaran	Agpfsiy
zaštitom	zaštita	Ncfsi
mlađeg	mlad	Agcmsgy
od	od	Sg
16	16	Mdc
godina	godina	Ncfpg
zahtjev	zahtjev	Ncmsn
podnosi	podnositi	Vmr3s
zakonski	zakonski	Agpmsny
zastupnik	zastupnik	Ncmsn
ili	ili	Cc
skrbnik	skrbnik	Ncmsn
pod	pod	Si
istim	isti	Agpmpiy
uvjetima	uvjet	Ncmpi
kao	kao	Cs
i	i	Qo
hrvatski	hrvatski	Agpmsny
državljanin	državljanin	Ncmsn
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Azilant	azilant	Ncmsn
može	moći	Vmr3s
podnijeti	podnijeti	Vmn
zahtjev	zahtjev	Ncmsan
za	za	Sa
izdavanje	izdavanje	Ncnsa
putne	putni	Agpfsgy
isprave	isprava	Ncfsg
za	za	Sa
azilanta	azilant	Ncmsay
u	u	Sl
policijskoj	policijski	Agpfsly
upravi	uprava	Ncfsl
,	,	Z
odnosno	odnosno	Rgp
policijskoj	policijski	Agpfsly
postaji	postaja	Ncfsl
prema	prema	Sl
mjestu	mjesto	Ncnsl
prebivališta	prebivalište	Ncnsg
.	.	Z

(	(	Z
6	6	Mdc
)	)	Z
Putna	putni	Agpfsny
isprava	isprava	Ncfsn
za	za	Sa
azilanta	azilant	Ncmsay
izdaje	izdavati	Vmr3s
se	sebe	Px--sa
na	na	Sa
vrijeme	vrijeme	Ncnsa
od	od	Sg
pet	pet	Mlc
godina	godina	Ncfpg
,	,	Z
sukladno	sukladno	Rgp
Aneksu	aneks	Ncmsl
Konvencije	konvencija	Ncfsg
iz	iz	Sg
1951.	1951.	Mdo

(	(	Z
7	7	Mdc
)	)	Z
Zahtjev	zahtjev	Ncmsn
za	za	Sa
izdavanje	izdavanje	Ncnsa
putne	putni	Agpfsgy
isprave	isprava	Ncfsg
za	za	Sa
dijete	dijete	Ncnsa
azilanta	azilant	Ncmsg
podnosi	podnositi	Vmr3s
zakonski	zakonski	Agpmsny
zastupnik	zastupnik	Ncmsn
ili	ili	Cc
posebni	poseban	Agpmsny
skrbnik	skrbnik	Ncmsn
pod	pod	Si
istim	isti	Agpmpiy
uvjetima	uvjet	Ncmpi
kao	kao	Cs
i	i	Qo
hrvatski	hrvatski	Agpmsny
državljanin	državljanin	Ncmsn
.	.	Z

(	(	Z
8	8	Mdc
)	)	Z
Strancu	stranac	Ncmsl
pod	pod	Si
supsidijarnom	supsidijaran	Agpfsiy
zaštitom	zaštita	Ncfsi
može	moći	Vmr3s
se	sebe	Px--sa
izdati	izdati	Vmn
posebna	poseban	Agpfsny
putna	putni	Agpfsny
isprava	isprava	Ncfsn
za	za	Sa
stranca	stranac	Ncmsay
sukladno	sukladno	Rgp
odredbama	odredba	Ncfpl
Zakona	zakon	Ncmsg
o	o	Sl
strancima	stranac	Ncmpl
.	.	Z

(	(	Z
9	9	Mdc
)	)	Z
Izdavanje	izdavanje	Ncnsn
putne	putni	Agpfsgy
isprave	isprava	Ncfsg
azilantu	azilant	Ncmsd
i	i	Cc
strancu	stranac	Ncmsl
pod	pod	Si
supsidijarnom	supsidijaran	Agpfsiy
zaštitom	zaštita	Ncfsi
odbit	odbiti	Vmn
će	htjeti	Var3s
se	sebe	Px--sa
ako	ako	Cs
:	:	Z

1.	1.	Mdo
izbjegava	izbjegavati	Vmr3s
izvršenje	izvršenje	Ncnsa
presude	presuda	Ncfsg
u	u	Sl
kaznenom	kazneni	Agpmsly
postupku	postupak	Ncmsl

2.	2.	Mdo
izbjegava	izbjegavati	Vmr3s
izvršenje	izvršenje	Ncnsa
dospjele	dospjeli	Agpfsgy
imovinskopravne	imovinskopravni	Agpfsgy
obveze	obveza	Ncfsg
iz	iz	Sg
bračnog	bračni	Agpmsgy
odnosa	odnos	Ncmsg
ili	ili	Cc
odnosa	odnos	Ncmpg
roditelja	roditelj	Ncmpg
i	i	Cc
djece	dijete	Ncnpg
,	,	Z
poreznu	porezni	Agpfsay
obvezu	obveza	Ncfsa
ili	ili	Cc
drugu	drugi	Mlofsa
zakonom	zakon	Ncmsi
utvrđenu	utvrditi	Agpfsay
imovinskopravnu	imovinskopravni	Agpfsay
obvezu	obveza	Ncfsa
za	za	Sa
koju	koji	Pi-fsa
postoji	postojati	Vmr3s
izvršni	izvršan	Agpmsny
naslov	naslov	Ncmsn

3.	3.	Mdo
to	taj	Pd-nsa
zahtijevaju	zahtijevati	Vmr3p
razlozi	razlog	Ncmpn
nacionalne	nacionalan	Agpfsgy
sigurnosti	sigurnost	Ncfsg
ili	ili	Cc
zaštite	zaštita	Ncfsg
javnog	javan	Agpmsgy
poretka	poredak	Ncmsg
.	.	Z

(	(	Z
10	10	Mdc
)	)	Z
Putna	putni	Agpfsny
isprava	isprava	Ncfsn
azilantu	azilant	Ncmsd
i	i	Cc
strancu	stranac	Ncmsl
pod	pod	Si
supsidijarnom	supsidijaran	Agpfsiy
zaštitom	zaštita	Ncfsi
oduzet	oduzeti	Vmn
će	htjeti	Var3s
se	sebe	Px--sa
iz	iz	Sg
razloga	razlog	Ncmpg
navedenih	navesti	Appmpgy
u	u	Sl
stavku	stavak	Ncmsl
9.	9.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
.	.	Z

(	(	Z
11	11	Mdc
)	)	Z
Azilant	azilant	Ncmsn
i	i	Cc
stranac	stranac	Ncmsn
pod	pod	Si
supsidijarnom	supsidijaran	Agpfsiy
zaštitom	zaštita	Ncfsi
dužan	dužan	Agpmsnn
je	biti	Var3s
dozvolu	dozvola	Ncfsa
boravka	boravak	Ncmsg
,	,	Z
putnu	putni	Agpfsay
ispravu	isprava	Ncfsa
za	za	Sa
azilanta	azilant	Ncmsan
,	,	Z
posebnu	poseban	Agpfsay
putnu	putni	Agpfsay
ispravu	isprava	Ncfsa
za	za	Sa
stranca	stranac	Ncmsay
vratiti	vratiti	Vmn
Ministarstvu	ministarstvo	Ncnsl
prestankom	prestanak	Ncmsi
međunarodne	međunarodni	Agpfsgy
zaštite	zaštita	Ncfsg
,	,	Z
odnosno	odnosno	Rgp
poništenjem	poništenje	Ncnsi
odluke	odluka	Ncfsg
kojom	koji	Pi-fsi
je	biti	Var3s
odobrena	odobriti	Appfsny
međunarodna	međunarodni	Agpfsny
zaštita	zaštita	Ncfsn
.	.	Z

Uključivanje	uključivanje	Ncnsn
u	u	Sa
društvo	društvo	Ncnsa

Članak	članak	Ncmsn
76.	76.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Postupak	postupak	Ncmsan
uključivanja	uključivanje	Ncnsg
azilanta	azilant	Ncmsg
i	i	Cc
stranca	stranac	Ncmsg
pod	pod	Si
supsidijarnom	supsidijaran	Agpfsiy
zaštitom	zaštita	Ncfsi
u	u	Sa
društvo	društvo	Ncnsa
obuhvaća	obuhvaćati	Vmr3s
postupanja	postupanje	Ncnsg
,	,	Z
odnosno	odnosno	Rgp
ostvarivanja	ostvarivanje	Ncnsg
prava	pravo	Ncnsg
iz	iz	Sg
članaka	članak	Ncmsg
64.	64.	Mdo
do	do	Sg
77.	77.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Azilant	azilant	Ncmsn
i	i	Cc
stranac	stranac	Ncmsn
pod	pod	Si
supsidijarnom	supsidijaran	Agpfsiy
zaštitom	zaštita	Ncfsi
ima	imati	Vmr3s
pravo	pravo	Ncnsa
na	na	Sa
pomoć	pomoć	Ncfsa
pri	pri	Sl
uključivanju	uključivanje	Ncnsl
u	u	Sa
društvo	društvo	Ncnsa
najduže	dug	Agpfsgy
tri	tri	Mlc
godine	godina	Ncfsg
od	od	Sg
uručenja	uručenje	Ncnsg
odluke	odluka	Ncfsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Pomoć	pomoć	Ncfsn
pri	pri	Sl
uključivanju	uključivanje	Ncnsl
u	u	Sa
društvo	društvo	Ncnsa
obuhvaća	obuhvaćati	Vmr3s
:	:	Z

1.	1.	Mdo
izradu	izrada	Ncfsa
plana	plan	Ncmsg
integracije	integracija	Ncfsg
za	za	Sa
azilanta	azilant	Ncmsay
ili	ili	Cc
stranca	stranac	Ncmsay
pod	pod	Si
supsidijarnom	supsidijaran	Agpfsiy
zaštitom	zaštita	Ncfsi
s	sa	Si
obzirom	obzir	Ncmsi
na	na	Sa
njegove	njegov	Ps3fpa
individualne	individualan	Agpfpay
potrebe	potreba	Ncfpa
,	,	Z
znanja	znanje	Ncnsg
,	,	Z
sposobnosti	sposobnost	Ncfsg
i	i	Cc
vještine	vještina	Ncfsg

2.	2.	Mdo
pružanje	pružanje	Ncnsa
pomoći	pomoć	Ncfsg
azilantu	azilant	Ncmsd
ili	ili	Cc
strancu	stranac	Ncmsl
pod	pod	Si
supsidijarnom	supsidijaran	Agpfsiy
zaštitom	zaštita	Ncfsi
radi	radi	Sg
ostvarivanja	ostvarivanje	Ncnsg
izrađenog	izraditi	Agpmsgy
plana	plan	Ncmsg

3.	3.	Mdo
nadzor	nadzor	Ncmsan
nad	nad	Si
izvršenjem	izvršenje	Ncnsi
plana	plan	Ncmsg
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Ministarstvo	ministarstvo	Ncnsn
provodi	provoditi	Vmr3s
aktivnosti	aktivnost	Ncfsg
iz	iz	Sg
stavka	stavak	Ncmsg
3.	3.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Ured	ured	Ncmsn
za	za	Sa
ljudska	ljudski	Agpnpay
prava	pravo	Ncnpa
i	i	Cc
prava	pravo	Ncnpa
nacionalnih	nacionalan	Agpfpgy
manjina	manjina	Ncfpg
Vlade	vlada	Ncfsg
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
provodi	provoditi	Vmr3s
koordinaciju	koordinacija	Ncfsa
rada	rad	Ncmsg
svih	sav	Agpnpgy
ministarstva	ministarstvo	Ncnpg
,	,	Z
nevladinih	nevladin	Agpfpgy
organizacija	organizacija	Ncfpg
i	i	Cc
dugih	dug	Agpnpgy
tijela	tijelo	Ncnpg
koja	koji	Pi-npn
sudjeluju	sudjelovati	Vmr3p
u	u	Sl
postupku	postupak	Ncmsl
uključivanja	uključivanje	Ncnsg
u	u	Sa
društvo	društvo	Ncnsa
azilanta	azilant	Ncmsg
ili	ili	Cc
stranca	stranac	Ncmsay
pod	pod	Si
supsidijarnom	supsidijaran	Agpfsiy
zaštitom	zaštita	Ncfsi
u	u	Sl
okviru	okvir	Ncmsl
Stalnog	stalan	Agpnsgy
povjerenstva	povjerenstvo	Ncnsg
za	za	Sa
provedbu	provedba	Ncfsa
integracije	integracija	Ncfsg
stranaca	stranac	Ncmpg
u	u	Sa
hrvatsko	hrvatski	Agpnsay
društvo	društvo	Ncnsa
i	i	Cc
pripadajuće	pripadajući	Agpfsgy
Radne	radni	Agpfsgy
skupine	skupina	Ncfsg
.	.	Z

Stjecanje	stjecanje	Ncnsn
hrvatskog	hrvatski	Agpnsgy
državljanstva	državljanstvo	Ncnsg

Članak	članak	Ncmsn
77.	77.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Ako	ako	Cs
azilant	azilant	Ncmsn
i	i	Cc
stranac	stranac	Ncmsn
pod	pod	Si
supsidijarnom	supsidijaran	Agpfsiy
zaštitom	zaštita	Ncfsi
ne	ne	Qz
može	moći	Vmr3s
iz	iz	Sg
objektivnih	objektivan	Agpmpgy
razloga	razlog	Ncmpg
pribaviti	pribaviti	Vmn
službene	služben	Agpfsgy
isprave	isprava	Ncfsg
zemlje	zemlja	Ncfsg
podrijetla	podrijetlo	Ncnsg
potrebne	potreban	Agpfpny
za	za	Sa
stjecanje	stjecanje	Ncnsa
hrvatskog	hrvatski	Agpnsgy
državljanstva	državljanstvo	Ncnsg
,	,	Z
u	u	Sl
postupku	postupak	Ncmsl
stjecanja	stjecanje	Ncnsg
hrvatskog	hrvatski	Agpnsgy
državljanstva	državljanstvo	Ncnsg

