osnovano	osnovati	Appnsny
o	o	Sl
upravnim	upravan	Agpmply
sporovima	spor	Ncmpl
(	(	Z
»	i	Agpfpny
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
broj	broj	Ncmsn
20/10	20/10	Mdc
,	,	Z
143/12	143/12	Mdc
i	i	Cc
152/14	152/14	Mdc
)	)	Z
tužbeni	tužbeni	Agpmsayn
zahtjev	zahtjev	Ncmsan
odbiti	odbiti	Vmn
kao	kao	Cs
neosnovan	neosnovan	Agpmsnn
.	.	Z

UPUTA	uputa	Ncfsn
O	o	Sl
PRAVNOM	pravni	Agpmsly
LIJEKU	lijek	Ncmsl

Protiv	protiv	Sg
ove	ovaj	Pd-fsg
presude	presuda	Ncfsg
dopuštena	dopustiti	Appfsny
je	biti	Var3s
žalba	žalba	Ncfsn
Visokom	visok	Agpmsdy
upravnom	upravan	Agpmsdy
sudu	sud	Ncmsd
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
.	.	Z

Žalba	žalba	Ncfsn
se	sebe	Px--sa
podnosi	podnositi	Vmr3s
putem	put	Sg
ovog	ovaj	Pd-msg
Suda	sud	Ncmsg
u	u	Sl
dovoljnom	dovoljan	Agpmsly
broju	broj	Ncmsl
primjeraka	primjerak	Ncmpg
za	za	Sa
sud	sud	Ncmsan
i	i	Cc
sve	sav	Agpfpay
stranke	stranka	Ncfpa
u	u	Sl
sporu	spor	Ncmsl
,	,	Z
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
15	15	Mdc
dana	dan	Ncmpg
od	od	Sg
dana	dan	Ncmsg
dostave	dostava	Ncfsg
presude	presuda	Ncfsg
.	.	Z

Broj	broj	Ncmsn
:	:	Z
2	2	Mdc
UsI-1636	UsI-1636	Mdc
/	/	Z
13	13	Mdc
-	-	Z
11	11	Mdc
Rijeka	Rijeka	Npfsn
,	,	Z
26.	26.	Mdo
veljače	veljača	Ncfsg
2015.	2015.	Mdo

Sudac	sudac	Ncmsn
dr.	dr.	Y
sc.	sc.	Y
Alen	Alen	Npmsn
Rajko	Rajko	Npmsn
,	,	Z
v.	v.	Y
r.	r.	Y

