uglavnom	uglavnom	Rgp
radnika	radnik	Ncmsan
na	na	Sa
kojeg	koji	Pi-msay
se	sebe	Px--sa
ocjena	ocjena	Ncfsn
odnosi	odnositi	Vmr3s
,	,	Z
što	što	Pi3n-n
radnik	radnik	Ncmsn
potvrđuje	potvrđivati	Vmr3s
potpisom	potpis	Ncmsi
na	na	Sl
obrascu	obrazac	Ncmsl
OSR-1	OSR-	Npmsl
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Stručno	stručan	Agpnsny
vijeće	vijeće	Ncnsn
ustanove	ustanova	Ncfsg
dužno	dužan	Agpnsny
je	biti	Var3s
upoznati	upoznati	Vmn
ravnatelja	ravnatelj	Ncmsay
s	sa	Si
prijedlogom	prijedlog	Ncmsi
ocjene	ocjena	Ncfsg
,	,	Z
što	što	Pi3n-n
ravnatelj	ravnatelj	Ncmsn
potvrđuje	potvrđivati	Vmr3s
potpisom	potpis	Ncmsi
na	na	Sl
obrascu	obrazac	Ncmsl
OSR-1	OSR-	Npmsl
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Ako	ako	Cs
stručni	stručan	Agpmsny
radnik	radnik	Ncmsn
ili	ili	Cc
ravnatelj	ravnatelj	Ncmsn
odbije	odbiti	Vmr3s
potpisati	potpisati	Vmn
da	da	Cs
je	biti	Var3s
upoznat	upoznati	Agpmsnn
s	sa	Si
prijedlogom	prijedlog	Ncmsi
ocjene	ocjena	Ncfsg
ili	ili	Cc
ako	ako	Cs
zbog	zbog	Sg
njegove	njegov	Ps3fsg
odsutnosti	odsutnost	Ncfsg
takav	takav	Pd-msn
potpis	potpis	Ncmsn
nije	biti	Var3s
moguće	moguć	Agpnsny
osigurati	osigurati	Vmn
,	,	Z
o	o	Sl
tome	taj	Pd-nsl
će	htjeti	Var3s
se	sebe	Px--sa
sastaviti	sastaviti	Vmn
bilješka	bilješka	Ncfsn
na	na	Sl
obrascu	obrazac	Ncmsl
OSR-1	OSR-	Npmsl
.	.	Z

Članak	članak	Ncmsn
13.	13.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Voditelj	voditelj	Ncmsn
ustrojbene	ustrojbeni	Agpfsgy
jedinice	jedinica	Ncfsg
dostavlja	dostavljati	Vmr3s
ravnatelju	ravnatelj	Ncmsl
ustanove	ustanova	Ncfsg
prijedlog	prijedlog	Ncmsn
ocjene	ocjena	Ncfsg
za	za	Sa
svakoga	svaki	Pi-msg
stručnog	stručan	Agpmsgy
radnika	radnik	Ncmsg
kojem	koji	Pi-msl
je	biti	Var3s
nadređen	nadrediti	Appmsnn
,	,	Z
odnosno	odnosno	Rgp
Stručno	stručan	Agpnsny
vijeće	vijeće	Ncnsn
ustanove	ustanova	Ncfsg
dostavlja	dostavljati	Vmr3s
pisani	pisan	Agpmsayn
prijedlog	prijedlog	Ncmsan
ocjene	ocjena	Ncfsg
rada	rad	Ncmsg
ravnatelja	ravnatelj	Ncmsg
Upravnom	upravan	Agpnsly
vijeću	vijeće	Ncnsl
ustanove	ustanova	Ncfsg
,	,	Z
na	na	Sl
obrascima	obrazac	Ncmpl
propisanim	propisati	Appmply
ovim	ovaj	Pd-msi
Pravilnikom	pravilnik	Ncmsi
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
O	o	Sl
ocjeni	ocjena	Ncfsl
,	,	Z
koja	koji	Pi-fsn
mora	morati	Vmr3s
biti	biti	Van
obrazložena	obrazložiti	Appfsny
,	,	Z
ravnatelj	ravnatelj	Ncmsn
ustanove	ustanova	Ncfsg
,	,	Z
odnosno	odnosno	Rgp
Upravno	upravan	Agpnsny
vijeće	vijeće	Ncnsn
ustanove	ustanova	Ncfsg
,	,	Z
donosi	donositi	Vmr3s
odluku	odluka	Ncfsa
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Ocjena	ocjena	Ncfsn
stručnog	stručan	Agpmsgy
radnika	radnik	Ncmsg
i	i	Cc
ravnatelja	ravnatelj	Ncmpg
unosi	unositi	Vmr3s
se	sebe	Px--sa
u	u	Sa
osobni	osoban	Agpmsny
očevidnik	očevidnik	Ncmsn
.	.	Z

Članak	članak	Ncmsn
14.	14.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Stručni	stručan	Agpmsny
radnik	radnik	Ncmsn
koji	koji	Pi-msn
je	biti	Var3s
nezadovoljan	nezadovoljan	Agpmsnn
ocjenom	ocjena	Ncfsi
može	moći	Vmr3s
podnijeti	podnijeti	Vmn
prigovor	prigovor	Ncmsan
ravnatelju	ravnatelj	Ncmsd
ustanove	ustanova	Ncfsg
u	u	Sl
roku	rok	Ncmsl
15	15	Mdc
dana	dan	Ncmpg
od	od	Sg
dana	dan	Ncmsg
primitka	primitak	Ncmsg
odluke	odluka	Ncfsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Ravnatelj	ravnatelj	Ncmsn
koji	koji	Pi-msn
je	biti	Var3s
nezadovoljan	nezadovoljan	Agpmsnn
ocjenom	ocjena	Ncfsi
može	moći	Vmr3s
podnijeti	podnijeti	Vmn
prigovor	prigovor	Ncmsan
Upravnom	upravan	Agpnsdy
vijeću	vijeće	Ncnsd
ustanove	ustanova	Ncfsg
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
15	15	Mdc
dana	dan	Ncmpg
od	od	Sg
dana	dan	Ncmsg
primitka	primitak	Ncmsg
odluke	odluka	Ncfsg
.	.	Z

Članak	članak	Ncmsn
15.	15.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Stručnom	stručan	Agpmsly
radniku	radnik	Ncmsl
koji	koji	Pi-msn
je	biti	Var3s
dva	dva	Mlc
puta	puta	Rgp
uzastopno	uzastopno	Rgp
ocijenjen	ocijeniti	Appmsnn
ocjenom	ocjena	Ncfsi
»	»	Z
ne	ne	Qz
zadovoljava	zadovoljavati	Vmr3s
«	«	Z
ravnatelj	ravnatelj	Ncmsn
ustanove	ustanova	Ncfsg
može	moći	Vmr3s
redovito	redovito	Rgp
otkazati	otkazati	Vmn
ugovor	ugovor	Ncmsan
o	o	Sl
radu	rad	Ncmsl
,	,	Z
sukladno	sukladno	Rgp
odredbama	odredba	Ncfpl
zakona	zakon	Ncmsg
,	,	Z
podzakonskih	podzakonski	Agpmpgy
akata	akt	Ncmpg
i	i	Cc
općeg	opći	Agpmsgy
akta	akt	Ncmsg
ustanove	ustanova	Ncfsg
kojima	koji	Pi-fpi
se	sebe	Px--sa
uređuju	uređivati	Vmr3p
radni	radni	Agpmpny
odnosi	odnos	Ncmpn
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Ako	ako	Cs
je	biti	Var3s
ravnatelj	ravnatelj	Ncmsn
dva	dva	Mlc
puta	puta	Rgp
uzastopno	uzastopno	Rgp
ocijenjen	ocijeniti	Appmsnn
ocjenom	ocjena	Ncfsi
»	»	Z
ne	ne	Qz
zadovoljava	zadovoljavati	Vmr3s
«	«	Z
,	,	Z
Upravno	upravan	Agpnsny
vijeće	vijeće	Ncnsn
dužno	dužan	Agpnsny
je	biti	Var3s
pokrenuti	pokrenuti	Vmn
postupak	postupak	Ncmsan
za	za	Sa
izmjenu	izmjena	Ncfsa
njegovog	njegov	Ps3msg
ugovora	ugovor	Ncmsg
o	o	Sl
radu	rad	Ncmsl
na	na	Sa
način	način	Ncmsan
da	da	Cs
ne	ne	Qz
obavlja	obavljati	Vmr3s
stručne	stručan	Agpmpay
poslove	posao	Ncmpa
.	.	Z

3.	3.	Mdo
UVJETI	uvjet	Ncmpn
I	i	Cc
NAČIN	način	Ncmsan
NAPREDOVANJA	napredovanje	Ncnsg

Članak	članak	Ncmsn
16.	16.	Mdo

Zvanje	zvanje	Ncnsn
mentora	mentor	Ncmpg
mogu	moći	Vmr3p
steći	steći	Vmn
stručni	stručan	Agpmsayn
radnik	radnik	Ncmsan
i	i	Cc
ravnatelj	ravnatelj	Ncmsn
ako	ako	Cs
:	:	Z

–	–	Pi-fpn
imaju	imati	Vmr3p
najmanje	malo	Rgs
pet	pet	Mlc
godina	godina	Ncfpg
radnog	radni	Agpnsgy
iskustva	iskustvo	Ncnsg
u	u	Sl
djelatnosti	djelatnost	Ncfsl
socijalne	socijalan	Agpfsgy
skrbi	skrb	Ncfsg
i	i	Cc
tri	tri	Mlc
su	biti	Var3p
godine	godina	Ncfsg
uzastopno	uzastopno	Rgp
ocijenjeni	ocijeniti	Appmpny
ocjenom	ocjena	Ncfsi
»	»	Z
naročito	naročito	Rgp

