svom	svoj	Px-msl
Prijavljeno	prijaviti	Appnsny
tijelo	tijelo	Ncnsn
:	:	Z

4.1.	4.1.	Mdo
pregledava	pregledavati	Vmr3s
tehničku	tehnički	Agpfsay
dokumentaciju	dokumentacija	Ncfsa
,	,	Z
provjerava	provjeravati	Vmr3s
jesu	biti	Var3p
li	li	Qq
uzorci	uzorak	Ncmpn
proizvedeni	proizvesti	Appmpny
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
tehničkom	tehnički	Agpfsiy
dokumentacijom	dokumentacija	Ncfsi
,	,	Z
identificira	identificirati	Vmr3s
elemente	element	Ncmpa
projektirane	projektirati	Appfpny
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
primjenjivim	primjenjiv	Agpfpiy
odredbama	odredba	Ncfpi
relevantnih	relevantan	Agpfpgy
usklađenih	uskladiti	Agpfpgy
normi	norma	Ncfpg
,	,	Z
kao	kao	Cs
i	i	Qo
one	onaj	Pd-mpa
elemente	element	Ncmpa
koji	koji	Pi-mpn
su	biti	Var3p
projektirani	projektirati	Appmpny
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
drugim	drugi	Mlofpi
odgovarajućim	odgovarajući	Agpfpiy
tehničkim	tehnički	Agpfpiy
specifikacijama	specifikacija	Ncfpi
;	;	Z

4.2.	4.2.	Mdo
provodi	provoditi	Vmr3s
ili	ili	Cc
daje	davati	Vmr3s
provesti	provesti	Vmn
odgovarajuće	odgovarajući	Agpmpay
preglede	pregled	Ncmpa
i	i	Cc
ispitivanja	ispitivanje	Ncnpa
kako	kako	Cs
bi	biti	Vaa3s
provjerilo	provjeriti	Vmp-sn
jesu	biti	Var3p
li	li	Qq
rješenja	rješenje	Ncnsg
iz	iz	Sg
relevantnih	relevantan	Agpfpgy
usklađenih	uskladiti	Agpfpgy
normi	norma	Ncfpg
,	,	Z
ako	ako	Cs
ih	oni	Pp3-pg
je	biti	Var3s
proizvođač	proizvođač	Ncmsn
odlučio	odlučiti	Vmp-sm
primijeniti	primijeniti	Vmn
,	,	Z
pravilno	pravilno	Rgp
primijenjena	primijeniti	Appfsny
;	;	Z

4.3.	4.3.	Mdo
provodi	provoditi	Vmr3s
ili	ili	Cc
daje	davati	Vmr3s
provesti	provesti	Vmn
odgovarajuće	odgovarajući	Agpmpay
preglede	pregled	Ncmpa
i	i	Cc
ispitivanja	ispitivanje	Ncnpa
kako	kako	Cs
bi	biti	Vaa3s
provjerilo	provjeriti	Vmp-sn
,	,	Z
u	u	Sl
slučaju	slučaj	Ncmsl
kada	kada	Cs
se	sebe	Px--sa
rješenja	rješenje	Ncnpg
iz	iz	Sg
relevantnih	relevantan	Agpfpgy
usklađenih	uskladiti	Agpfpgy
normi	norma	Ncfpg
nisu	biti	Var3p
primijenila	primijeniti	Vmp-pn
,	,	Z
jesu	biti	Var3p
li	li	Qq
rješenja	rješenje	Ncnsg
koja	koji	Pi-fsn
je	biti	Var3s
usvojio	usvojiti	Vmp-sm
proizvođač	proizvođač	Ncmsn
koji	koji	Pi-msn
primjenjuje	primjenjivati	Vmr3s
druge	drugi	Agpfpay
relevantne	relevantan	Agpfpay
tehničke	tehnički	Agpfpay
specifikacije	specifikacija	Ncfpa
,	,	Z
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
bitnim	bitan	Agpmpiy
zdravstvenim	zdravstven	Agpmpiy
i	i	Cc
sigurnosnim	sigurnosni	Agpmply
zahtjevima	zahtjev	Ncmpl
ovog	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
;	;	Z

4.4.	4.4.	Mdo
dogovara	dogovarati	Vmr3s
s	sa	Si
proizvođačem	proizvođač	Ncmsi
mjesto	mjesto	Ncnsa
gdje	gdje	Cs
će	htjeti	Var3s
se	sebe	Px--sa
provesti	provesti	Vmn
preglede	pregled	Ncmpa
i	i	Cc
ispitivanja	ispitivanje	Ncnsg
.	.	Z

5.	5.	Mdo
Prijavljeno	prijaviti	Appnsny
tijelo	tijelo	Ncnsn
sastavlja	sastavljati	Vmr3s
izvještaj	izvještaj	Ncmsan
o	o	Sl
ocjenjivanju	ocjenjivanje	Ncnsl
u	u	Sl
kojem	koji	Pi-msl
su	biti	Var3p
zabilježene	zabilježiti	Appfpny
aktivnosti	aktivnost	Ncfpn
provedene	provesti	Appfpny
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
točkom	točka	Ncfsi
4.	4.	Mdo
,	,	Z
kao	kao	Cs
i	i	Qo
njihovi	njihov	Ps3mpn
rezultati	rezultat	Ncmpn
.	.	Z

Ne	ne	Qz
dovodeći	dovoditi	Rr
u	u	Sa
pitanje	pitanje	Ncnsa
obveze	obveza	Ncfsg
prema	prema	Sl
tijelima	tijelo	Ncnpl
koja	koji	Pi-npn
provode	provoditi	Vmr3p
prijavljivanje	prijavljivanje	Ncnsa
,	,	Z
prijavljeno	prijaviti	Appnsny
tijelo	tijelo	Ncnsn
objavljuje	objavljivati	Vmr3s
sadržaj	sadržaj	Ncmsan
tog	taj	Pd-msg
izvještaja	izvještaj	Ncmsg
,	,	Z
u	u	Sl
cijelosti	cijelost	Ncfsl
ili	ili	Cc
djelomično	djelomično	Rgp
,	,	Z
samo	samo	Rgp
u	u	Sl
suglasnosti	suglasnost	Ncfsl
s	sa	Si
proizvođačem	proizvođač	Ncmsi
.	.	Z

6.	6.	Mdo
Ako	ako	Cs
tip	tip	Ncmsn
odgovara	odgovarati	Vmr3s
zahtjevima	zahtjev	Ncmpd
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
koji	koji	Pi-mpn
se	sebe	Px--sa
primjenjuju	primjenjivati	Vmr3p
na	na	Sa
dotični	dotičan	Agpmsayn
proizvod	proizvod	Ncmsan
,	,	Z
prijavljeno	prijaviti	Appnsny
tijelo	tijelo	Ncnsn
proizvođaču	proizvođač	Ncmsd
izdaje	izdaja	Ncfsg
certifikat	certifikat	Ncmsan
o	o	Sl
EU	E	Npmsl
ispitivanju	ispitivanje	Ncnsl
tipa	tip	Ncmsg
.	.	Z

Taj	taj	Pd-msn
certifikat	certifikat	Ncmsn
sadrži	sadržati	Vmr3s
naziv	naziv	Ncmsan
i	i	Cc
adresu	adresa	Ncfsa
proizvođača	proizvođač	Ncmsg
,	,	Z
zaključke	zaključak	Ncmpa
pregleda	pregled	Ncmsg
,	,	Z
uvjete	uvjet	Ncmpa
(	(	Z
ako	ako	Cs
ih	oni	Pp3-pa
ima	imati	Vmr3s
)	)	Z
valjanosti	valjanost	Ncfpa
certifikata	certifikat	Ncmpg
i	i	Cc
potrebne	potreban	Agpmpay
podatke	podatak	Ncmpa
za	za	Sa
identifikaciju	identifikacija	Ncfsa
odobrenog	odobren	Agpmsgy
tipa	tip	Ncmsg
.	.	Z

Certifikat	certifikat	Ncmsn
o	o	Sl
EU	E	Npmsl
ispitivanju	ispitivanje	Ncnsl
tipa	tip	Ncmsg
može	moći	Vmr3s
imati	imati	Vmn
jedan	jedan	Mlcmsan
ili	ili	Cc
više	mnogo	Rgc
priloga	prilog	Ncmpg
.	.	Z

Certifikat	certifikat	Ncmsn
o	o	Sl
EU	E	Npmsl
ispitivanju	ispitivanje	Ncnsl
tipa	tip	Ncmsg
i	i	Cc
njegovi	njegov	Ps3mpn
prilozi	prilog	Ncmpn
sadrže	sadržati	Vmr3p
sve	sav	Agpfpay
relevantne	relevantan	Agpfpay
informacije	informacija	Ncfpa
za	za	Sa
ocjenjivanje	ocjenjivanje	Ncnsa
sukladnosti	sukladnost	Ncfsg
proizvedenih	proizvesti	Agpmpgy
proizvoda	proizvod	Ncmpg
s	sa	Si
pregledanim	pregledan	Agpmsiy
tipom	tip	Ncmsi
te	te	Cc
za	za	Sa
nadzor	nadzor	Ncmsan
tijekom	tijekom	Sg
korištenja	korištenje	Ncnsg
.	.	Z

Ako	ako	Cs
tip	tip	Ncmsn
ne	ne	Qz
ispunjava	ispunjavati	Vmr3s
primjenjive	primjenjiv	Agpmpay
zahtjeve	zahtjev	Ncmpa
ovoga	ovaj	Pd-nsg
Pravilnika	pravilnik	Ncmpg
,	,	Z
prijavljeno	prijaviti	Appnsny
tijelo	tijelo	Ncnsn
ne	ne	Qz
izdaje	izdavati	Vmr3s
certifikat	certifikat	Ncmsan
o	o	Sl
EU	E	Npmsl
ispitivanju	ispitivanje	Ncnsl
tipa	tip	Ncmsg
te	te	Cc
o	o	Sl
tome	taj	Pd-nsl
obavješćuje	obavješćivati	Vmr3s
podnositelja	podnositelj	Ncmpg
zahtijeva	zahtijevati	Vmr3s
i	i	Cc
detaljno	detaljno	Rgp
navodi	navoditi	Vmr3s
razloge	razlog	Ncmpa
odbijanja	odbijanje	Ncnsg
.	.	Z

7.	7.	Mdo
Prijavljeno	prijaviti	Appnsny
tijelo	tijelo	Ncnsn
upoznato	upoznati	Appnsny
je	biti	Var3s
sa	sa	Si
svim	sav	Agpfpiy
promjenama	promjena	Ncfpi
općepoznatih	općepoznat	Agpnpgy
postignuća	postignuće	Ncnpg
koje	koji	Pi-fpn
ukazuju	ukazivati	Vmr3p
na	na	Sa
to	taj	Pd-nsa
da	da	Cs
odobreni	odobren	Agpmsny
tip	tip	Ncmsn
više	više	Rgp
ne	ne	Qz
ispunjava	ispunjavati	Vmr3s
primjenjive	primjenjiv	Agpmpay
zahtjeve	zahtjev	Ncmpa
iz	iz	Sg
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
te	te	Cc
odlučuje	odlučivati	Vmr3s
zahtijevaju	zahtijevati	Vmr3p
li	li	Qq
takve	takav	Pd-fpa
promjene	promjena	Ncfpa
daljnju	daljnji	Agpfsay
istragu	istraga	Ncfsa
.	.	Z

Prijavljeno	prijaviti	Appnsny
tijelo	tijelo	Ncnsn
u	u	Sl
tom	taj	Pd-msl
slučaju	slučaj	Ncmsl
o	o	Sl
tome	taj	Pd-nsl
obavješćuje	obavješćivati	Vmr3s
proizvođača	proizvođač	Ncmpg
.	.	Z

