glavnoj	glavni	Agpfsly
podnositelja	podnositelj	Ncmpg
.	.	Z

Zbog	zbog	Sg
navedenog	naveden	Agpmsgy
punomoćnica	punomoćniac	Ncmsg
je	biti	Var3s
zatražila	zatražiti	Vmp-sf
izuzeće	izuzeće	Ncnsa
uređujućeg	uređujući	Agpmsgy
suca	sudac	Ncmsg
.	.	Z

3.	3.	Mdo
7.	7.	Mdo
13.	13.	Mdo
ožujka	ožujak	Ncmsg
2013.	2013.	Mdo
prvostupanjski	prvostupanjski	Agpmsny
sud	sud	Ncmsn
donio	donijeti	Vmp-sm
je	biti	Var3s
rješenje	rješenje	Ncnsa
broj	broj	Ncmsn
:	:	Z
9-Su	9-su	Agpmsnn
-101/2013	-101/2013	Mdc
-	-	Z
3.	3.	Mdo
,	,	Z
kojim	koji	Pi-msi
je	biti	Var3s
odbio	odbiti	Vmp-sm
zahtjev	zahtjev	Ncmsan
punomoćnice	punomoćnica	Ncfsg
za	za	Sa
izuzeće	izuzeće	Ncnsa
suca	sudac	Ncmsg
.	.	Z

U	u	Sl
obrazloženju	obrazloženje	Ncnsl
rješenja	rješenje	Ncnsg
,	,	Z
između	između	Sg
ostaloga	ostali	Agpnsgy
,	,	Z
navodi	navoditi	Vmr3s
se	sebe	Px--sa
kako	kako	Cs
je	biti	Var3s
stajalište	stajalište	Ncnsn
suda	sud	Ncmsg
da	da	Cs
podnositelj	podnositelj	Ncmsn
,	,	Z
dok	dok	Cs
god	god	Qo
nije	biti	Var3s
pravomoćno	pravomoćno	Rgp
lišen	lišiti	Appmsnn
poslovne	poslovan	Agpfsgy
sposobnosti	sposobnost	Ncfsg
,	,	Z
ima	imati	Vmr3s
pravo	pravo	Ncnsa
izabrati	izabrati	Vmn
punomoćnika	punomoćnik	Ncmsay
iz	iz	Sg
reda	red	Ncmsg
odvjetnika	odvjetnik	Ncmpg
,	,	Z
stoga	stoga	Rgp
se	sebe	Px--sa
sudska	sudski	Agpnpay
pismena	pismena	Ncnpa
imaju	imati	Vmr3p
dostavljati	dostavljati	Vmn
i	i	Cc
tako	tako	Rgp
izabranom	izabran	Agpmsly
punomoćniku	punomoćnik	Ncmsl
.	.	Z

Okolnost	okolnost	Ncfsn
da	da	Cs
sudac	sudac	Ncmsn
nije	biti	Var3s
priznao	priznati	Vmp-sm
urednu	uredan	Agpfsay
punomoć	punomoć	Ncfsa
podnositelja	podnositelj	Ncmpg
izdanu	izdan	Agpfsay
punomoćnici	punomoćnik	Ncmpn
,	,	Z
nije	biti	Var3s
razlog	razlog	Ncmsn
za	za	Sa
izuzeće	izuzeće	Ncnsa
,	,	Z
već	već	Cc
eventualno	eventualno	Rgp
razlog	razlog	Ncmsn
za	za	Sa
žalbu	žalba	Ncfsa
protiv	protiv	Sg
meritorne	meritoran	Agpfsgy
odluke	odluka	Ncfsg
.	.	Z

Budući	budući	Cs
da	da	Cs
je	biti	Var3s
podnositelju	podnositelj	Ncmsd
imenovan	imenovati	Appmsnn
poseban	poseban	Agpmsnn
skrbnik	skrbnik	Ncmsn
koji	koji	Pi-msn
je	biti	Var3s
uredno	uredno	Rgp
pozvan	pozvati	Appmsnn
na	na	Sa
ročište	ročište	Ncnsa
nema	nemati	Vmr3s
mjesta	mjesto	Ncnsg
kvalifikaciji	kvalifikacija	Ncfsd
da	da	Cs
je	biti	Var3s
pravo	pravo	Ncnsn
podnositelja	podnositelj	Ncmpg
na	na	Sa
pristup	pristup	Ncmsan
sudu	sud	Ncmsl
povrijeđeno	povrijediti	Appnsny
.	.	Z

4.	4.	Mdo
Prvostupanjski	prvostupanjski	Agpmsny
sud	sud	Ncmsn
donio	donijeti	Vmp-sm
je	biti	Var3s
rješenje	rješenje	Ncnsa
broj	broj	Ncmsn
:	:	Z
R1-74	R1-74	Mds
/	/	Z
12	12	Mdc
-	-	Z
14	14	Mdc
od	od	Sg
5.	5.	Mdo
ožujka	ožujak	Ncmsg
2013.	2013.	Mdo
(	(	Z
u	u	Sl
daljnjem	daljnji	Agpmsly
tekstu	tekst	Ncmsl
:	:	Z
prvostupanjsko	prvostupanjski	Agpnsny
rješenje	rješenje	Ncnsn
)	)	Z
,	,	Z
kojim	koji	Pi-msi
je	biti	Var3s
u	u	Sl
potpunosti	potpunost	Ncfsl
lišio	lišiti	Vmp-sm
podnositelja	podnositelj	Ncmpg
poslovne	poslovan	Agpfsgy
sposobnosti	sposobnost	Ncfsg
.	.	Z

U	u	Sl
obrazloženju	obrazloženje	Ncnsl
rješenja	rješenje	Ncnsg
navodi	navoditi	Vmr3s
se	sebe	Px--sa
kako	kako	Cs
slijedi	slijediti	Vmr3s
:	:	Z

»	»	Z
U	u	Sl
odgovoru	odgovor	Ncmsl
na	na	Sa
prijedlog	prijedlog	Ncmsan
poseban	poseban	Agpmsann
skrbnik	skrbnik	Ncmsn
D.	D.	Y
K.	K.	Y
–	–	Z
D.	D.	Y
K.	K.	Y
navodi	navoditi	Vmr3s
da	da	Cs
se	sebe	Px--sa
protivi	protiviti	Vmr3s
prijedlogu	prijedlog	Ncmsd
i	i	Cc
da	da	Cs
smatra	smatrati	Vmr3s
da	da	Cs
je	biti	Var3s
D.	D.	Y
K.	K.	Y
sposoban	sposoban	Agpmsann
brinuti	brinuti	Vmn
se	sebe	Px--sa
o	o	Sl
sebi	sebe	Px--sl
,	,	Z
ne	ne	Qz
u	u	Sl
potpunosti	potpunost	Ncfsl
,	,	Z
ali	ali	Cc
uglavnom	uglavnom	Rgp
sve	sav	Agpnsny
može	moći	Vmr3s
sam	sam	Agpmsnn
.	.	Z

Navodi	navoditi	Vmr3s
se	sebe	Px--sa
da	da	Cs
je	biti	Var3s
protustranka	protustranka	Ncfsn
njen	njen	Ps3msn
sin	sin	Ncmsn
koji	koji	Pi-msn
sve	sav	Agpnsay
radi	raditi	Vmr3s
koliko	koliki	Cs
može	moći	Vmr3s
na	na	Sl
zemlji	zemlja	Ncfsl
,	,	Z
a	a	Cc
i	i	Qo
u	u	Sl
kući	kuća	Ncfsl
zna	znati	Vmr3s
nešto	nešto	Pi3n-a
pomoći	pomoći	Vmn
.	.	Z

Zna	znati	Vmr3s
usisavati	usisavati	Vmn
i	i	Cc
prašiti	prašiti	Vmn
.	.	Z

D.	D.	Y
je	biti	Var3s
završio	završiti	Vmp-sm
8	8	Mdc
razreda	razred	Ncmpg
osnovne	osnovan	Agpfsgy
škole	škola	Ncfsg
,	,	Z
a	a	Cc
poslije	poslije	Sg
škole	škola	Ncfsg
nije	biti	Var3s
nigdje	nigdje	Rgp
radio	raditi	Vmp-sm
.	.	Z

Od	od	Sg
Centra	centar	Ncmsg
za	za	Sa
socijalnu	socijalan	Agpfsay
skrb	skrb	Ncfsa
mjesečno	mjesečno	Rgp
prima	primati	Vmr3s
1.250,00	1.250,00	Mdc
kn	KN	Sa
invalidninu	invalidnina	Ncfsa
,	,	Z
a	a	Cc
osim	osim	Sg
toga	taj	Pd-nsg
nema	nemati	Vmr3s
nikakvih	nikakav	Pi-fpg
prihoda	prihod	Ncmpg
niti	niti	Cc
imovine	imovina	Ncfsg
.	.	Z

U	u	Sl
dokaznom	dokazni	Agpmsly
postupku	postupak	Ncmsl
sud	sud	Ncmsn
je	biti	Var3s
saslušao	saslušati	Vmp-sm
protustranku	protustranka	Ncfsa
D.	D.	Y
K.	K.	Y
,	,	Z
izvršio	izvršiti	Vmp-sm
je	biti	Var3s
uvid	uvid	Ncmsan
u	u	Sa
:	:	Z
socijalnu	socijalan	Agpfsay
anamnezu	anamneza	Ncfsa
Centra	centar	Ncmsg
za	za	Sa
socijalnu	socijalan	Agpfsay
skrb	skrb	Ncfsa
S.	S.	Y
,	,	Z
nalaz	nalaz	Ncmsn
i	i	Cc
mišljenje	mišljenje	Ncnsa
Zavoda	zavod	Ncmsg
za	za	Sa
socijalnu	socijalan	Agpfsay
skrb	skrb	Ncfsa
V.	V.	Mro
od	od	Sg
20.04.2012.	20.04.2012.	Mdo
godine	godina	Ncfsg
,	,	Z
nalaz	nalaz	Ncmsn
i	i	Cc
mišljenje	mišljenje	Ncnsa
I.	I.	Mro
stupanjskog	stupanjski	Agpnsgy
tijela	tijelo	Ncnsg
vještačenja	vještačenje	Ncnsg
od	od	Sg
06.03.1999.	06.03.1999.	Mdo
godine	godina	Ncfsg
,	,	Z
rješenje	rješenje	Ncnsa
HZMO	HZMO	Npfsg
od	od	Sg
17.07.2003.	17.07.2003.	Mdo
godine	godina	Ncfsg
,	,	Z
psihologijski	psihologijski	Agpmsny
nalaz	nalaz	Ncmsn
od	od	Sg
10.12.2002.	10.12.2002.	Mdo
godine	godina	Ncfsg
,	,	Z
povijest	povijest	Ncfsn
bolesti	bolest	Ncfsg
,	,	Z
nalaz	nalaz	Ncmsn
doktora	doktor	Ncmsg
R.	R.	Y
N.	N.	Y
,	,	Z
psihijatra	psihijatar	Ncmsg
Bolnice	bolnica	Ncfsg
za	za	Sa
djecu	dijete	Ncnpa
i	i	Cc
mladež	mladež	Ncfsa
,	,	Z
rodni	rodan	Agpmsny
list	list	Ncmsn
protustranke	protustranka	Ncfsg
i	i	Cc
u	u	Sa
nalaz	nalaz	Ncmsan
i	i	Cc
mišljenje	mišljenje	Ncnsa
sudskog	sudski	Agpmsgy
vještaka	vještak	Ncmsg
E.	E.	Mdo
K.	ka	Ncfsg

Protustranka	protustranka	Ncfsn
D.	D.	Y
K.	K.	Mro
naveo	navesti	Vmp-sm
je	biti	Var3s
u	u	Sl
svom	svoj	Px-msl
iskazu	iskaz	Ncmsl
da	da	Cs
je	biti	Var3s
završio	završiti	Vmp-sm
8	8	Mdc
razreda	razred	Ncmpg
osnovne	osnovan	Agpfsgy
škole	škola	Ncfsg
u	u	Sl
S.	sa	Ncfsl
po	po	Sl
prilagođenom	prilagoditi	Agpmsly
programu	program	Ncmsl
.	.	Z

Poslije	poslije	Sg
škole	škola	Ncfsg
nigdje	nigdje	Rgp
nije	biti	Var3s
radio	radio	Ncmsn
.	.	Z

Ne	ne	Qz
osjeća	osjećati	Vmr3s
se	sebe	Px--sa
sposobnim	sposoban	Agpmsiy
za	za	Sa
neki	neki	Pi-msan
fizički	fizički	Agpmsayn
posao	posao	Ncmsan
jer	jer	Cs
nema	nemati	Vmr3s
snage	snaga	Ncfsg
u	u	Sl
desnoj	desni	Agpfsly
ruci	ruka	Ncfsl
i	i	Cc
desnoj	desni	Agpfsly
nozi	noga	Ncfsl
zbog	zbog	Sg
čega	što	Pi3n-g
i	i	Cc
teže	teško	Rgc
hoda	hodati	Vmr3s
.	.	Z

U	u	Sa
slobodno	slobodan	Agpnsay
vrijeme	vrijeme	Ncnsa
sluša	slušati	Vmr3s
radio	raditi	Vmp-sm
i	i	Cc
gleda	gledati	Vmr3s
televiziju	televizija	Ncfsa
,	,	Z
a	a	Cc
zna	znati	Vmr3s
čitati	čitati	Vmn
knjige	knjiga	Ncfpa
.	.	Z

Pomaže	pomagati	Vmr3s
majci	majka	Ncfsd
u	u	Sl
poslovima	posao	Ncmpl
na	na	Sl
zemlji	zemlja	Ncfsl

