spašavanje	spašavanje	Ncnsn
ukupnom	ukupan	Agpmsly
iznosu	iznos	Ncmsl
)	)	Z
,	,	Z
za	za	Sa
15/100	15/100	Mdc
ukupnog	ukupan	Agpmsgy
iznosa	iznos	Ncmsg
;	;	Z

–	–	Pd-mpn
ostali	ostali	Agpmpny
rizici	rizik	Ncmpn
,	,	Z
dopunske	dopunski	Agpfpny
aktivnosti	aktivnost	Ncfpn
po	po	Sl
zapovjedi	zapovjediti	Ncfsl
/	/	Z
nalogu	nalog	Ncmsl
i	i	Cc
korekcija	korekcija	Ncfsn
odstupanja	odstupanje	Ncnsg
radi	radi	Sg
približnog	približan	Agpnsgy
ujednačavanja	ujednačavanje	Ncnsg
opremljenosti	opremljenost	Ncfsg
osobnom	osoban	Agpfsiy
zaštitnom	zaštitni	Agpfsiy
opremom	oprema	Ncfsi
,	,	Z
za	za	Sa
20/100	20/100	Mdc
ukupnog	ukupan	Agpmsgy
iznosa	iznos	Ncmsg
.	.	Z

Minimalni	minimalan	Agpmsny
financijski	financijski	Agpmsny
standard	standard	Ncmsn
rashoda	rashod	Ncmpg
za	za	Sa
zaposlene	zaposlen	Agpmpay
u	u	Sl
2016.	2016.	Mdo
godini	godina	Ncfsl
naveden	navesti	Appmsnn
u	u	Sl
tablici	tablica	Ncfsl
po	po	Sl
jedinicama	jedinica	Ncfpl
lokalne	lokalan	Agpfsgy
samouprave	samouprava	Ncfsg
–		Agpmpdy
osnivačima	osnivač	Ncmpd
i	i	Cc
suosnivačima	suosnivač	Ncmpl
javnih	javan	Agpfpgy
vatrogasnih	vatrogasan	Agpfpgy
postrojbi	postrojba	Ncfpg
(	(	Z
pod	pod	Si
nazivom	naziv	Ncmsi
:	:	Z
RASHODI	rashod	Ncmpn
ZA	za	Sa
ZAPOSLENE	zaposlen	Agpmpay
)	)	Z
za	za	Sa
općine	općina	Ncfpa
Plitvička	plitvički	Agpnpay
jezera	jezero	Ncnpa
i	i	Cc
Gračac	Gračac	Npmsn
te	te	Cc
osnivača	osnivač	Ncmpg
i	i	Cc
suosnivače	suosnivač	Ncmpa
Javne	javan	Agpfsgy
vatrogasne	vatrogasan	Agpfsgy
postrojbe	postrojba	Ncfsg
Požeško-slavonske	požeško-slavonski	Agpfsgy
županije	županija	Ncfsg
izračunat	izračunati	Appmsnn
je	biti	Var3s
temeljem	temelj	Ncmsi
udjela	udjel	Ncmsg
85/100	85/100	Mdc
,	,	Z
za	za	Sa
Grad	grad	Ncmsan
Zadar	Zadar	Npmsn
temeljem	temelj	Ncmsi
udjela	udjel	Ncmsg
86/100	86/100	Mdc
,	,	Z
a	a	Cc
za	za	Sa
sve	sav	Agpmpay
ostale	ostali	Agpmpay
osnivače	osnivač	Ncmpa
,	,	Z
odnosno	odnosno	Rgp
suosnivače	suosnivač	Ncmpa
izračunat	izračunati	Vmn
je	biti	Var3s
temeljem	temelj	Ncmsi
udjela	udjel	Ncmsg
od	od	Sg
90/100	90/10a	Ncfsg
pojedinačnih	pojedinačan	Agpmpgy
iznosa	iznos	Ncmpg
utvrđenih	utvrditi	Ncfpg
slijedom	slijed	Ncmsi
navedenih	naveden	Agpmpgy
kriterija	kriterij	Ncmpg
i	i	Cc
mjerila	mjerilo	Ncnsg
te	te	Cc
za	za	Sa
prvo	prvi	Mlonsa
tromjesečje	tromjesečje	Ncnsa
2016.	2016.	Mdo
godine	godina	Ncfsg
iznosi	iznositi	Vmr3s
67.901.756	67.901.756	Mdc
kuna	kuna	Ncfpg
.	.	Z

Minimalni	minimalan	Agpmsny
financijski	financijski	Agpmsny
standard	standard	Ncmsn
materijalnih	materijalan	Agpmpgy
i	i	Cc
financijskih	financijski	Agpmpgy
rashoda	rashod	Ncmpg
u	u	Sl
2016.	2016.	Mdo
godini	godina	Ncfsl
naveden	navesti	Appmsnn
u	u	Sl
tablici	tablica	Ncfsl
po	po	Sl
jedinicama	jedinica	Ncfpl
lokalne	lokalan	Agpfsgy
samouprave	samouprava	Ncfsg
–		Agpmpdy
osnivačima	osnivač	Ncmpd
i	i	Cc
suosnivačima	suosnivač	Ncmpl
javnih	javan	Agpfpgy
vatrogasnih	vatrogasan	Agpfpgy
postrojbi	postrojba	Ncfpg
(	(	Z
pod	pod	Si
nazivom	naziv	Ncmsi
:	:	Z
MATERIJALNI	materijalan	Agpmpny
TROŠKOVI	trošak	Ncmpn
)	)	Z
za	za	Sa
općine	općina	Ncfpa
Plitvička	plitvički	Agpnpay
jezera	jezero	Ncnpa
i	i	Cc
Gračac	Gračac	Npmsn
te	te	Cc
osnivača	osnivač	Ncmpg
i	i	Cc
suosnivače	suosnivač	Ncmpa
Javne	javan	Agpfsgy
vatrogasne	vatrogasan	Agpfsgy
postrojbe	postrojba	Ncfsg
Požeško-slavonske	požeško-slavonski	Agpfsgy
županije	županija	Ncfsg
izračunat	izračunati	Appmsnn
je	biti	Var3s
temeljem	temelj	Ncmsi
udjela	udjel	Ncmsg
15/100	15/100	Mdc
,	,	Z
za	za	Sa
Grad	grad	Ncmsan
Zadar	Zadar	Npmsn
temeljem	temelj	Ncmsi
udjela	udjel	Ncmsg
14/100	14/100	Mdc
,	,	Z
a	a	Cc
za	za	Sa
sve	sav	Agpmpay
ostale	ostali	Agpmpay
osnivače	osnivač	Ncmpa
odnosno	odnosno	Rgp
suosnivače	suosnivač	Ncmpa
izračunat	izračunati	Appmsnn
je	biti	Var3s
temeljem	temelj	Ncmsi
udjela	udjel	Ncmsg
od	od	Sg
10/100	10/10a	Ncfsg
pojedinačnih	pojedinačan	Agpmpgy
iznosa	iznos	Ncmpg
utvrđenih	utvrditi	Ncfpg
slijedom	slijed	Ncmsi
navedenih	naveden	Agpmpgy
kriterija	kriterij	Ncmpg
i	i	Cc
mjerila	mjerilo	Ncnsg
te	te	Cc
za	za	Sa
prvo	prvi	Mlonsa
tromjesečje	tromjesečje	Ncnsa
2016.	2016.	Mdo
godine	godina	Ncfsg
iznosi	iznositi	Vmr3s
7.802.154	7.802.15i	Agpfpay
kune	kuna	Ncfpa
.	.	Z

Ukupni	ukupan	Agpmsny
minimalni	minimalan	Agpmsny
financijski	financijski	Agpmsny
standard	standard	Ncmsn
za	za	Sa
2016.	2016.	Mdo
godinu	godina	Ncfsa
utvrđuje	utvrđivati	Vmr3s
se	sebe	Px--sa
u	u	Sl
ukupnom	ukupan	Agpmsly
iznosu	iznos	Ncmsl
od	od	Sg
75.703.910	75.703.910	Mdc
kuna	kuna	Ncfpg
kako	kako	Cs
slijedi	slijediti	Vmr3s
(	(	Z
rashodi	rashod	Ncmpn
za	za	Sa
zaposlene	zaposlen	Agpmpay
i	i	Cc
materijalni	materijalan	Agpmpny
troškovi	trošak	Ncmpn
u	u	Sl
tablici	tablica	Ncfsl
izračunati	izračunati	Appmpny
su	biti	Var3p
prema	prema	Sl
odredbama	odredba	Ncfpl
iz	iz	Sg
stavaka	stavak	Ncmpg
2.	2.	Mdo
i	i	Cc
3.	3.	Mdo
ove	ovaj	Pd-fsg
točke	točka	Ncfsg
)	)	Z
:	:	Z

Osnivači	osnivač	Ncmpn
i	i	Cc
suosnivači	suosnivač	Ncmpn
Javna	javan	Agpfsny
vatrogasna	vatrogasan	Agpfsny
postrojba	postrojba	Ncfsn
Udio	udjel	Ncmsn
za	za	Sa
suosnivače	suosnivač	Ncmpa
Rashodi	rashod	Ncmpn
za	za	Sa
zaposlene	zaposlen	Agpmpay
Materijalni	materijalan	Agpmpny
troškovi	trošak	Ncmpn
Ukupno	ukupno	Rgp
Iznos	iznos	Ncmsn
za	za	Sa
županije	županija	Ncfpa
I	i	Cc
GRAD	grad	Ncmsan
ZAGREB	Zagreb	Npmsn
10.026.170	10.026.170	Mdc
1	1	Mdc
Grad	grad	Ncmsn
Zagreb	Zagreb	Npmsn
JVP	JVP	Npmsn
ZAGREB	Zagreb	Npmsn
9.023.554	9.023.554	Mdc
1.002.616	1.002.616	Mdc
10.026.170	10.026.170	Mdc
II	ii	Mrc
ZAGREBAČKA	zagrebački	Agpfsny
ŽUPANIJA	županija	Ncfsn
3.667.424	3.667.424	Mdc
2	2	Mdc
Grad	grad	Ncmsn
Zaprešić	Zaprešić	Npmsn
JVP	JVP	Npmsn
ZAPREŠIĆ	ZAPREŠIĆ	Npmsn
849.148	849.148	Mdc
94.350	94.350	Mdc
943.498	943.498	Mdc
3	3	Mdc
Grad	grad	Ncmsn
Samobor	Samobor	Npmsn
JVP	JVP	Npmsn
SAMOBOR	SAMOBOR	Npmsn
628.322	628.322	Mdc
69.814	69.814	Mdc
698.136	698.136	Mdc
4	4	Mdc
Grad	grad	Ncmsn
Velika	velik	Agpfsny
Gorica	gorica	Ncfsn
JVP	jv	Agpfpgy
VELIKA	velik	Agpfsny
GORICA	gorica	Ncfsn
1.027.129	1.027.129	Mdc
114.125	114.125	Mdc
1.141.254	1.141.254	Mdc
5	5	Mdc
Grad	grad	Ncmsn
Ivanić	Ivanić	Npmsn
Grad	Grad	Npmsn
JVP	JVP	Npmsn
IVANIĆ	Ivanić	Npmsn
GRAD	grad	Ncmsn
796.082	796.082	Mdc
88.454	88.454	Mdc
884.536	884.536	Mdc
III	III	Mrc
KRAPINSKO-ZAGORSKA	krapinsko-zagorski	Agpfsny
ŽUPANIJA	županija	Ncfsn
2.325.604	2.325.604	Mdc
6	6	Mdc
više	mnogo	Rgc
suosnivača	suosnivač	Ncmpg
:	:	Z
ZAGORSKA	zagorski	Agpfsny
JVP	jvp	Ncfsn
1,0000	1,0000	Mdc
1.598.801	1.598.801	Mdc
177.645	177.645	Mdc
1.776.446	1.776.446	Mdc
Grad	grad	Ncmsn
Zabok	Zabok	Npmsn
(	(	Z
8,96	8,96	Mdc
%	%	Z
)	)	Z
0,0896	0,0896	Mdc
143.253	143.253	Mdc
15.917	15.917	Mdc
159.170	159.170	Mdc
Grad	grad	Ncmsn
Klanjec	Klanjec	Npmsn
(	(	Z
3,09	3,09	Mdc
%	%	Z
)	)	Z
0,0309	0,0309	Mdc
49.403	49.403	Mdc
5.489	5.489	Mdc
54.892	54.892	Mdc
Grad	grad	Ncmsn
Oroslavje	Oroslavja	Npfsg
(	(	Z
5,98	5,98	Mdc
%	%	Z
)	)	Z
0,0598	0,0598	Mdc
95.608	95.608	Mdc
10.623	10.623	Mdc
106.231	106.231	Mdc
Grad	grad	Ncmsn
Pregrada	pregrada	Ncfsn
(	(	Z
6,85	6,85	Mdc
%	%	Z
)	)	Z
0,0685	0,0685	Mdc
109.518	109.518	Mdc
12.169	12.169	Mdc
121.687	121.687	Mdc
Grad	grad	Ncmsn
Zlatar	Zlatar	Npmsn
(	(	Z
6,22	6,22	Mdc
%	%	Z
)	)	Z
0,0622	0,0622	Mdc
99.446	99.446	Mdc
11.050	11.050	Mdc
110.496	110.496	Mdc
Grad	grad	Ncmsn
Donja	Donja	Npfsn
Stubica	Stubica	Npfsn
(	(	Z
5,67	5,67	Mdc
%	%	Z
)	)	Z
0,0567	0,0567	Mdc
90.652	90.652	Mdc
10.072	10.072	Mdc
100.724	100.724	Mdc
Općina	Općina	Npfsn
Bedekovčina	Bedekovčina	Npfsn
(	(	Z
8,11	8,11	Mdc
%	%	Z
)	)	Z
0,0811	0,0811	Mdc
129.663	129.663	Mdc
14.407	14.407	Mdc
144.070	144.070	Mdc
Općina	Općina	Npfsn
Budinščina	Budinščina	Npfsn
(	(	Z
2,67	2,67	Mdc
%	%	Z
)	)	Z
0,0267	0,0267	Mdc
42.688	42.688	Mdc
4.743	4.743	Mdc
47.431	47.431	Mdc
Općina	općina	Ncfsn
Desinić	Desinić	Npmsn
(	(	Z
3,33	3,33	Mdc
%	%	Z
)	)	Z
0,0333	0,0333	Mdc
53.240	53.240	Mdc
5.916	5.916	Mdc
59.156	59.156	Mdc
Općina	općina	Ncfsn
Gornja	gornji	Agpfsny
Stubica	Stubica	Npfsn
(	(	Z
5,48	5,48	Mdc
%	%	Z
)	)	Z
0,0548	0,0548	Mdc
87.614	87.614	Mdc
9.735	9.735	Mdc
97.349	97.349	Mdc
Općina	Općina	Npfsn
Hrašćina	Hrašćina	Npfsn
(	(	Z
1,75	1,75	Mdc
%	%	Z
)	)	Z
0,0175	0,0175	Mdc
27.979	27.979	Mdc
3.109	3.109	Mdc
31.088	31.088	Mdc
Općina	Općina	Npfsn
Konjšćina	Konjšćina	Npfsn
(	(	Z
3,90	3,90	Mdc
%	%	Z
)	)	Z
0,0390	0,0390	Mdc
62.353	62.353	Mdc
6.928	6.928	Mdc
69.281	69.281	Mdc
Općina	općina	Ncfsn
Kraljevec	Kraljevec	Npmsn
na	na	Sl
Sutli	Sutla	Npfsl
(	(	Z
1,74	1,74	Mdc
%	%	Z
)	)	Z
0,0174	0,0174	Mdc
27.819	27.819	Mdc
3.091	3.091	Mdc
30.910	30.910	Mdc
Općina	općina	Ncfsn
Krapinske	krapinski	Agpfsgy
Toplice	Toplica	Npfsg
(	(	Z
5,49	5,49	Mdc
%	%	Z
)	)	Z
0,0549	0,0549	Mdc
87.774	87.774	Mdc
9.753	9.753	Mdc
97.527	97.527	Mdc
Općina	općina	Ncfsn
Kumrovec	Kumrovec	Npmsn
(	(	Z
1,77	1,77	Mdc
%	%	Z
)	)	Z
0,0177	0,0177	Mdc
28.299	28.299	Mdc
3.144	3.144	Mdc
31.443	31.443	Mdc
Općina	općina	Ncfsn
Marija	Marija	Npfsn
Bistrica	Bistrica	Npfsn
(	(	Z
6,32	6,32	Mdc
%	%	Z
)	)	Z
0,0632	0,0632	Mdc
101.044	101.044	Mdc
11.227	11.227	Mdc
112.271	112.271	Mdc
Općina	općina	Ncfsn
Stubičke	stubički	Agpfsgy
Toplice	Toplica	Npfsg
(	(	Z
2,63	2,63	Mdc
%	%	Z
)	)	Z
0,0263	0,0263	Mdc
42.048	42.048	Mdc
4.672	4.672	Mdc
46.720	46.720	Mdc
Općina	Općina	Npfsn
Sveti	svet	Agpmsny
Križ	Križ	Npmsn
Začretje	Začretje	Npmsn
(	(	Z
6,33	6,33	Mdc
%	%	Z
)	)	Z
0,0633	0,0633	Mdc
101.204	101.204	Mdc
11.245	11.245	Mdc
112.449	112.449	Mdc
Općina	općina	Ncfsn
Tuhelj	Tuhelj	Npmsn
(	(	Z
2,09	2,09	Mdc
%	%	Z
)	)	Z
0,0209	0,0209	Mdc
33.415	33.415	Mdc
3.713	3.713	Mdc
37.128	37.128	Mdc
Općina	općina	Ncfsn
Veliko	veliko	Rgp
Trgovišće	Trgovišća	Npfsg
(	(	Z
4,99	4,99	Mdc
%	%	Z
)	)	Z
0,0499	0,0499	Mdc
79.780	79.780	Mdc
8.864	8.864	Mdc
88.644	88.644	Mdc
Općina	općina	Ncfsn
Zagorska	zagorski	Agpnpny
Sela	selo	Ncnpn
(	(	Z
1,14	1,14	Mdc
%	%	Z
)	)	Z

